Tier,RSC ID,Player Name,Team(s),Franchise(s),Conference,SBV,TS,GP,PWE,WP,W,L,P,SP,NP,G,A,Sv,S,S%,P/A,SP/A,NP/A,G/A,A/A,Sv/A,S/A,P/G,SP/G,NP/G,G/G,A/G,Sv/G,S/G,tm_G,opp_G,tm_G/A,opp_G/A,tm_G/G,opp_G/G
Elite,,Al1Ttle,Great Danes,Puppy Paradise,Solar,72.8,773,53,0.671,0.774,41,12,20035,11440,8595,53,38,56,144,36.8%,398.1,227.3,170.8,1.05,0.76,1.11,2.86,378.0,215.8,162.2,1.0,0.72,1.06,2.72,152,97,3.02,1.93,2.87,1.83
Elite,RSC000371,Capn' Clutch,Illuminati,The Order,Lunar,71.3,985,60,0.54,0.55,33,27,25392,15600,9792,69,46,91,185,37.3%,396.0,243.3,152.7,1.08,0.72,1.42,2.88,423.2,260.0,163.2,1.15,0.77,1.52,3.08,164,148,2.56,2.31,2.73,2.47
Elite,,"Cookie, Lol. :>",Anglers,The Abyss,Lunar,70.8,734,49,0.518,0.51,25,24,19610,11470,8140,42,24,92,147,28.6%,410.4,240.0,170.3,0.88,0.5,1.93,3.08,400.2,234.1,166.1,0.86,0.49,1.88,3.0,106,101,2.22,2.11,2.16,2.06
Elite,,Aj,Great Danes,Puppy Paradise,Solar,69.9,694,49,0.64,0.776,38,11,17520,9740,7780,35,36,64,124,28.2%,387.8,215.6,172.2,0.77,0.8,1.42,2.74,357.6,198.8,158.8,0.71,0.73,1.31,2.53,131,91,2.9,2.01,2.67,1.86
Elite,,W.E.X.,Gauntlets,8-Bit Brigade,Lunar,68.9,890,59,0.555,0.559,33,26,23385,13900,9485,61,32,90,170,35.9%,403.6,239.9,163.7,1.05,0.55,1.55,2.93,396.4,235.6,160.8,1.03,0.54,1.53,2.88,155,135,2.68,2.33,2.63,2.29
Elite,,Skim Mike,Knights,The Sovereign,Lunar,67.2,904,56,0.741,0.768,43,13,22821,13830,8991,62,38,80,173,35.8%,387.8,235.0,152.8,1.05,0.65,1.36,2.94,407.5,247.0,160.6,1.11,0.68,1.43,3.09,181,92,3.08,1.56,3.23,1.64
Elite,RSC000457,Bob,X-Men,The Comic Crusaders,Lunar,66.2,671,45,0.655,0.689,31,14,16503,9590,6913,43,34,48,119,36.1%,377.8,219.5,158.2,0.98,0.78,1.1,2.72,366.7,213.1,153.6,0.96,0.76,1.07,2.64,129,86,2.95,1.97,2.87,1.91
Elite,RSC002097,Noobz,Knights,The Sovereign,Lunar,65.9,848,53,0.78,0.792,42,11,20322,11750,8572,48,43,63,165,29.1%,368.1,212.8,155.3,0.87,0.78,1.14,2.99,383.4,221.7,161.7,0.91,0.81,1.19,3.11,178,79,3.22,1.43,3.36,1.49
Elite,RSC000197,Kareemostyle,Indominus,Dino Park,Lunar,65.9,786,51,0.572,0.569,29,22,19481,10890,8591,43,38,66,139,30.9%,380.7,212.8,167.9,0.84,0.74,1.29,2.72,382.0,213.5,168.5,0.84,0.75,1.29,2.73,136,113,2.66,2.21,2.67,2.22
Elite,RSC002644,Kniknok,Great Whites,Shark Attack,Lunar,65.8,881,57,0.459,0.474,27,30,22569,12980,9589,51,33,92,163,31.3%,393.5,226.3,167.2,0.89,0.58,1.6,2.84,395.9,227.7,168.2,0.89,0.58,1.61,2.86,124,138,2.16,2.41,2.18,2.42
Elite,,[N Ξ X U S] Rblegend,Kopi Luwak,The Cat Cafe,Solar,65.7,338,21,0.352,0.286,6,15,8887,4840,4047,20,10,34,64,31.3%,403.9,220.0,183.9,0.91,0.45,1.55,2.91,423.2,230.5,192.7,0.95,0.48,1.62,3.05,45,66,2.04,3.0,2.14,3.14
Elite,RSC002680,Zira,Kodiaks,The Bear Den,Lunar,65.6,484,33,0.602,0.636,21,12,11728,6850,4878,28,29,37,75,37.3%,372.2,217.4,154.8,0.89,0.92,1.17,2.38,355.4,207.6,147.8,0.85,0.88,1.12,2.27,92,71,2.92,2.25,2.79,2.15
Elite,,Argnor,Slap Chops,As Seen on TV!,Solar,65.2,601,41,0.565,0.634,26,15,14929,9150,5779,41,25,53,115,35.7%,381.6,233.9,147.7,1.05,0.64,1.35,2.94,364.1,223.2,141.0,1.0,0.61,1.29,2.8,105,89,2.68,2.27,2.56,2.17
Elite,,Blendã©R,Jaguars,The Jungle,Solar,64.8,892,58,0.592,0.586,34,24,21628,12190,9438,47,50,71,144,32.6%,372.4,209.9,162.5,0.81,0.86,1.22,2.48,372.9,210.2,162.7,0.81,0.86,1.22,2.48,163,129,2.81,2.22,2.81,2.22
Elite,,Artoria,Anglers,The Abyss,Lunar,64.1,32,2,0.584,0.5,1,1,860,500,360,3,1,2,5,60.0%,412.8,240.0,172.8,1.44,0.48,0.96,2.4,430.0,250.0,180.0,1.5,0.5,1.0,2.5,5,4,2.4,1.92,2.5,2.0
Elite,,Skøøt,"Bolts
Death Stars","Electric Mayhem
The Empire",Solar,63.8,247,18,0.45,0.389,7,11,5859,3280,2579,12,12,20,48,25.0%,364.4,204.0,160.4,0.75,0.75,1.24,2.98,325.5,182.2,143.3,0.67,0.67,1.11,2.67,37,42,2.3,2.61,2.06,2.33
Elite,RSC003220,Galaxy,"Dumpsters
Death Stars","Waste Management
The Empire",Solar,61.9,894,60,0.527,0.517,31,29,21594,12180,9414,51,38,70,168,30.4%,371.0,209.3,161.7,0.88,0.65,1.2,2.89,359.9,203.0,156.9,0.85,0.63,1.17,2.8,152,142,2.61,2.44,2.53,2.37
Elite,RSC001059,Saltybonnyr,Eagles,Birds of Prey,Solar,59.9,599,38,0.462,0.447,17,21,15344,8450,6894,27,20,76,95,28.4%,393.5,216.7,176.8,0.69,0.51,1.95,2.44,403.8,222.4,181.4,0.71,0.53,2.0,2.5,73,81,1.87,2.08,1.92,2.13
