Filter(s),,,Name,Tier,Team(s),Franchise(s),Conference,SBV,TS,GP,PWE,WP,W,L,P,SP,NP,G,A,Sv,S,S%,P/A,SP/A,NP/A,G/A,A/A,Sv/A,S/A,P/G,SP/G,NP/G,G/G,A/G,Sv/G,S/G,tm_G,opp_G,tm_G/A,opp_G/A,tm_G/G,opp_G/G
Stat,Condition,,Gizmo,Veteran,Cthulhu,The Mythos,Lunar,92.7,881,60,0.655,0.683,41,19,26159,14890,11269,66,42,90,169,39.1%,467.1,265.9,201.2,1.18,0.75,1.61,3.02,436.0,248.2,187.8,1.10,0.70,1.50,2.82,165,110,2.95,1.96,2.75,1.83
,,,Im_Just_Betterrl,Veteran,Mosaic Maestros,Art Club,Solar,86.9,305,20,0.428,0.450,9,11,8242,4520,3722,17,18,26,62,27.4%,425.1,233.1,192.0,0.88,0.93,1.34,3.20,412.1,226.0,186.1,0.85,0.90,1.30,3.10,45,54,2.32,2.79,2.25,2.70
,,,Tunz,Veteran,Peppermint,Minty Fresh,Solar,86.0,903,57,0.635,0.684,39,18,23604,13470,10134,66,54,46,187,35.3%,411.2,234.7,176.6,1.15,0.94,0.80,3.26,414.1,236.3,177.8,1.16,0.95,0.81,3.28,171,121,2.98,2.11,3.00,2.12
,,,Alphachuck,Veteran,Knead for Speed,The Bakery,Solar,85.1,929,60,0.678,0.683,41,19,25445,15570,9875,66,45,96,192,34.4%,430.9,263.7,167.2,1.12,0.76,1.63,3.25,424.1,259.5,164.6,1.10,0.75,1.60,3.20,178,111,3.01,1.88,2.97,1.85
,,,Flashs,Veteran,Singularity,Event Horizon,Solar,85.1,826,50,0.531,0.560,28,22,22715,13890,8825,62,30,86,189,32.8%,432.6,264.6,168.1,1.18,0.57,1.64,3.60,454.3,277.8,176.5,1.24,0.60,1.72,3.78,132,122,2.51,2.32,2.64,2.44
,,,R0Xy-_-,Veteran,Blues,Whale Defense,Solar,84.4,1009,60,0.635,0.667,40,20,28455,16510,11945,76,27,105,231,32.9%,443.7,257.4,186.2,1.18,0.42,1.64,3.60,474.3,275.2,199.1,1.27,0.45,1.75,3.85,168,117,2.62,1.82,2.80,1.95
,,,Prismback.,Veteran,Gouda Gangsters,Cheese Guild,Solar,79.8,17,1,0.379,0.000,0,1,414,290,124,1,1,2,4,25.0%,383.1,268.4,114.8,0.93,0.93,1.85,3.70,414.0,290.0,124.0,1.00,1.00,2.00,4.00,3,4,2.78,3.70,3.00,4.00
,,,Armo27,Veteran,Knead for Speed,The Bakery,Solar,78.3,751,49,0.728,0.755,37,12,19330,11480,7850,54,41,52,143,37.8%,404.9,240.5,164.4,1.13,0.86,1.09,3.00,394.5,234.3,160.2,1.10,0.84,1.06,2.92,153,82,3.21,1.72,3.12,1.67
,,,Blue Eyes Thunder Thighs,Veteran,Calzones,Fifty-Fifty Pizzeria,Lunar,77.3,981,64,0.576,0.625,40,24,26829,15730,11099,66,39,107,183,36.1%,430.3,252.3,178.0,1.06,0.63,1.72,2.93,419.2,245.8,173.4,1.03,0.61,1.67,2.86,164,135,2.63,2.17,2.56,2.11
,,,Lil Panda,Veteran,Makos,Shark Attack,Lunar,76.1,1033,64,0.653,0.641,41,23,25936,15400,10536,55,59,98,205,26.8%,395.0,234.5,160.5,0.84,0.90,1.49,3.12,405.3,240.6,164.6,0.86,0.92,1.53,3.20,190,127,2.89,1.93,2.97,1.98
,,,Yeetn-Skeet,Veteran,Gouda Gangsters,Cheese Guild,Solar,76.0,950,62,0.575,0.597,37,25,24720,14520,10200,66,31,85,212,31.1%,409.4,240.5,168.9,1.09,0.51,1.41,3.51,398.7,234.2,164.5,1.06,0.50,1.37,3.42,145,119,2.40,1.97,2.34,1.92
,,,Ditto,Veteran,Lightning,Electric Mayhem,Lunar,74.9,1047,64,0.557,0.609,39,25,26897,15240,11657,49,56,111,199,24.6%,404.2,229.0,175.2,0.74,0.84,1.67,2.99,420.3,238.1,182.1,0.77,0.88,1.73,3.11,157,135,2.36,2.03,2.45,2.11
Sort(s),,,Banthisone2,Veteran,"Mosaic Maestros
Cthulhu","Art Club
The Mythos",Lunar,73.7,228,16,0.563,0.563,9,7,6539,3610,2929,12,10,32,31,38.7%,451.2,249.1,202.1,0.83,0.69,2.21,2.14,408.7,225.6,183.1,0.75,0.63,2.00,1.94,41,35,2.83,2.42,2.56,2.19
Stat,Order,,Spiral-Paradoxx,Veteran,Seadevils,The Abyss,Lunar,73.5,909,60,0.751,0.767,46,14,22637,13380,9257,56,45,74,183,30.6%,391.8,231.6,160.2,0.97,0.78,1.28,3.17,377.3,223.0,154.3,0.93,0.75,1.23,3.05,166,80,2.87,1.38,2.77,1.33
Name,Desc,,Lil Windex,Veteran,Peppers,The Garden,Lunar,73.4,859,56,0.601,0.607,34,22,22107,11610,10497,40,40,79,166,24.1%,404.9,212.6,192.2,0.73,0.73,1.45,3.04,394.8,207.3,187.4,0.71,0.71,1.41,2.96,142,109,2.60,2.00,2.54,1.95
Conference,Desc,,Spudsy,Veteran,Peppermint,Minty Fresh,Solar,72.9,849,55,0.594,0.636,35,20,20561,12060,8501,47,41,69,186,25.3%,381.0,223.5,157.5,0.87,0.76,1.28,3.45,373.8,219.3,154.6,0.85,0.75,1.25,3.38,157,124,2.91,2.30,2.85,2.25
TS,Desc,,Lilchris0921,Veteran,Seadevils,The Abyss,Lunar,72.7,966,64,0.748,0.766,49,15,24545,14400,10145,58,48,88,180,32.2%,399.7,234.5,165.2,0.94,0.78,1.43,2.93,383.5,225.0,158.5,0.91,0.75,1.38,2.81,176,86,2.87,1.40,2.75,1.34
,,,Fahhr,Veteran,Wyverns,The Forest,Solar,69.3,12,1,0.146,0.000,0,1,321,230,91,1,0,2,3,33.3%,420.8,301.5,119.3,1.31,0.00,2.62,3.93,321.0,230.0,91.0,1.00,0.00,2.00,3.00,1,3,1.31,3.93,1.00,3.00
,,,Creme,Veteran,"Merciless Mob
Typhoons
Hades","The Syndicate
Storm
The Gods",Lunar,68.8,500,32,0.343,0.313,10,22,12515,7320,5195,31,18,46,102,30.4%,393.8,230.3,163.5,0.98,0.57,1.45,3.21,391.1,228.8,162.3,0.97,0.56,1.44,3.19,63,95,1.98,2.99,1.97,2.97
,,,Goose Cowboy,Veteran,Possessed,Destined,Solar,68.2,849,55,0.599,0.655,36,19,21674,12060,9614,51,26,79,171,29.8%,401.6,223.5,178.2,0.95,0.48,1.46,3.17,394.1,219.3,174.8,0.93,0.47,1.44,3.11,134,103,2.48,1.91,2.44,1.87
,,,.Tor.,Veteran,Nightmare,The Shadows,Solar,67.2,858,57,0.544,0.526,30,27,21195,12590,8605,59,34,67,164,36.0%,388.6,230.9,157.8,1.08,0.62,1.23,3.01,371.8,220.9,151.0,1.04,0.60,1.18,2.88,143,128,2.62,2.35,2.51,2.25
,,,Its Bigwill,Veteran,Mean Manatees,Speed Demons,Lunar,66.3,450,30,0.494,0.567,17,13,11182,5990,5192,18,22,46,79,22.8%,390.9,209.4,181.5,0.63,0.77,1.61,2.76,372.7,199.7,173.1,0.60,0.73,1.53,2.63,60,61,2.10,2.13,2.00,2.03
,,,Flurry ^-^,Veteran,"Banana Spiders
Peppermint
Rockin Revenants","Eight Legged Freaks
Minty Fresh
Ghoul School",Solar,65.8,188,12,0.460,0.417,5,7,4328,2700,1628,13,6,13,45,28.9%,362.2,225.9,136.2,1.09,0.50,1.09,3.77,360.7,225.0,135.7,1.08,0.50,1.08,3.75,28,31,2.34,2.59,2.33,2.58
,,,Grizz,Veteran,Linguini Lancers,Italian Battalion,Lunar,65.5,570,36,0.437,0.417,15,21,14003,8040,5963,31,23,54,109,28.4%,386.5,221.9,164.6,0.86,0.63,1.49,3.01,389.0,223.3,165.6,0.86,0.64,1.50,3.03,79,93,2.18,2.57,2.19,2.58
,,,Mojomo,Veteran,Cthulhu,The Mythos,Lunar,65.5,947,64,0.631,0.656,42,22,22953,13060,9893,53,45,76,171,31.0%,381.3,217.0,164.4,0.88,0.75,1.26,2.84,358.6,204.1,154.6,0.83,0.70,1.19,2.67,170,121,2.82,2.01,2.66,1.89
,,,Ryan.,Veteran,Calzones,Fifty-Fifty Pizzeria,Lunar,64.9,912,60,0.592,0.650,39,21,22962,12420,10542,49,37,82,157,31.2%,396.1,214.2,181.9,0.85,0.64,1.41,2.71,382.7,207.0,175.7,0.82,0.62,1.37,2.62,157,124,2.71,2.14,2.62,2.07
,,,Rock_Sause,Veteran,Grizzly Bears,The Bear Den,Lunar,64.8,981,64,0.583,0.578,37,27,26012,14880,11132,55,28,126,168,32.7%,417.2,238.6,178.5,0.88,0.45,2.02,2.69,406.4,232.5,173.9,0.86,0.44,1.97,2.63,145,116,2.33,1.86,2.27,1.81
,,,Joez,Veteran,Makos,Shark Attack,Lunar,64.5,278,17,0.598,0.588,10,7,6080,3920,2160,21,15,10,57,36.8%,344.1,221.8,122.2,1.19,0.85,0.57,3.23,357.6,230.6,127.1,1.24,0.88,0.59,3.35,50,39,2.83,2.21,2.94,2.29
