Filter(s),,,Name,Tier,Team(s),Franchise(s),Conference,SBV,TS,GP,PWE,WP,W,L,P,SP,NP,G,A,Sv,S,S%,P/A,SP/A,NP/A,G/A,A/A,Sv/A,S/A,P/G,SP/G,NP/G,G/G,A/G,Sv/G,S/G,tm_G,opp_G,tm_G/A,opp_G/A,tm_G/G,opp_G/G
,,,Thereal.Potato,Veteran,Knead for Speed,The Bakery,Solar,64.3,941,60,0.658,0.667,40,20,22140,13100,9040,55,44,72,180,30.6%,370.2,219.0,151.1,0.92,0.74,1.20,3.01,369.0,218.3,150.7,0.92,0.73,1.20,3.00,177,117,2.96,1.96,2.95,1.95
,,,Thirteen_1313,Veteran,Blues,Whale Defense,Solar,64.0,63,4,0.541,0.500,2,2,1495,960,535,5,3,4,11,45.5%,373.3,239.7,133.6,1.25,0.75,1.00,2.75,373.8,240.0,133.8,1.25,0.75,1.00,2.75,10,9,2.50,2.25,2.50,2.25
,,,Sly,Veteran,Nightmare,The Shadows,Solar,63.4,371,26,0.586,0.577,15,11,8730,4970,3760,22,18,24,67,32.8%,370.2,210.8,159.4,0.93,0.76,1.02,2.84,335.8,191.2,144.6,0.85,0.69,0.92,2.58,73,59,3.10,2.50,2.81,2.27
,,,J.,Veteran,Makos,Shark Attack,Lunar,62.3,858,53,0.669,0.642,34,19,20171,12430,7741,60,35,61,163,36.8%,369.9,227.9,141.9,1.10,0.64,1.12,2.99,380.6,234.5,146.1,1.13,0.66,1.15,3.08,157,100,2.88,1.83,2.96,1.89
,,,Acebourne4,Veteran,Seadevils,The Abyss,Lunar,62.2,966,64,0.748,0.766,49,15,23317,13200,10117,60,31,75,190,31.6%,379.7,215.0,164.8,0.98,0.50,1.22,3.09,364.3,206.3,158.1,0.94,0.48,1.17,2.97,176,86,2.87,1.40,2.75,1.34
,,,Legend,Veteran,"Pride
Merciless Mob","Seven Deadly Sins
The Syndicate",Lunar,62.2,531,35,0.448,0.486,17,18,13059,7300,5759,29,22,48,90,32.2%,386.9,216.3,170.6,0.86,0.65,1.42,2.67,373.1,208.6,164.5,0.83,0.63,1.37,2.57,77,88,2.28,2.61,2.20,2.51
,,,Slmrnchr,Veteran,"Guanacos
Water","The Herd
The Elements",Solar,61.5,577,39,0.559,0.487,19,20,14277,8080,6197,33,24,53,93,35.5%,389.3,220.3,169.0,0.90,0.65,1.45,2.54,366.1,207.2,158.9,0.85,0.62,1.36,2.38,83,71,2.26,1.94,2.13,1.82
,,,Racer,Veteran,"Wyverns
Banshees","The Forest
The Monster Mash",Solar,61.1,989,60,0.547,0.550,33,27,24355,14610,9745,57,44,103,156,36.5%,387.4,232.4,155.0,0.91,0.70,1.64,2.48,405.9,243.5,162.4,0.95,0.73,1.72,2.60,159,141,2.53,2.24,2.65,2.35
,,,Trulux,Veteran,Nightmare,The Shadows,Solar,61.0,594,39,0.544,0.487,19,20,13911,7900,6011,27,25,56,115,23.5%,368.4,209.2,159.2,0.72,0.66,1.48,3.05,356.7,202.6,154.1,0.69,0.64,1.44,2.95,94,84,2.49,2.22,2.41,2.15
,,,Avid,Veteran,Pushwalkers,The Quad Dynasty,Solar,60.9,1020,63,0.542,0.524,33,30,24488,14490,9998,52,49,103,169,30.8%,377.7,223.5,154.2,0.80,0.76,1.59,2.61,388.7,230.0,158.7,0.83,0.78,1.63,2.68,170,153,2.62,2.36,2.70,2.43
,,,Slate,Veteran,Calzones,Fifty-Fifty Pizzeria,Lunar,60.6,653,43,0.601,0.651,28,15,15870,8990,6880,35,32,58,99,35.4%,382.3,216.6,165.8,0.84,0.77,1.40,2.39,369.1,209.1,160.0,0.81,0.74,1.35,2.30,113,87,2.72,2.10,2.63,2.02
,,,Mikesplifff,Veteran,Peppers,The Garden,Lunar,60.6,654,42,0.572,0.595,25,17,15504,9330,6174,41,31,52,108,38.0%,373.0,224.4,148.5,0.99,0.75,1.25,2.60,369.1,222.1,147.0,0.98,0.74,1.24,2.57,105,87,2.53,2.09,2.50,2.07
,,,Partyshark.,Veteran,Water,The Elements,Solar,60.6,941,63,0.583,0.556,35,28,22929,13330,9599,57,33,86,168,33.9%,383.3,222.9,160.5,0.95,0.55,1.44,2.81,364.0,211.6,152.4,0.90,0.52,1.37,2.67,141,113,2.36,1.89,2.24,1.79
,,,Glaevv,Veteran,Grizzly Bears,The Bear Den,Lunar,59.5,797,52,0.613,0.596,31,21,19113,10850,8263,39,30,80,145,26.9%,377.3,214.2,163.1,0.77,0.59,1.58,2.86,367.6,208.7,158.9,0.75,0.58,1.54,2.79,122,90,2.41,1.78,2.35,1.73
,,,The_Wheelman_95,Veteran,Seadevils,The Abyss,Lunar,58.7,57,4,0.686,0.750,3,1,1154,660,494,2,4,3,11,18.2%,318.5,182.2,136.3,0.55,1.10,0.83,3.04,288.5,165.0,123.5,0.50,1.00,0.75,2.75,10,6,2.76,1.66,2.50,1.50
,,,Imsoupergreat,Veteran,Gorillas,The Jungle,Solar,58.0,1008,64,0.537,0.594,38,26,24988,14410,10578,55,31,113,171,32.2%,390.0,224.9,165.1,0.86,0.48,1.76,2.67,390.4,225.2,165.3,0.86,0.48,1.77,2.67,154,140,2.40,2.19,2.41,2.19
,,,Chefty,Veteran,Peppers,The Garden,Lunar,58.0,903,60,0.570,0.567,34,26,22573,13000,9573,54,26,96,150,36.0%,393.3,226.5,166.8,0.94,0.45,1.67,2.61,376.2,216.7,159.6,0.90,0.43,1.60,2.50,144,120,2.51,2.09,2.40,2.00
,,,Saucy Rexy,Veteran,Pushwalkers,The Quad Dynasty,Solar,58.0,781,49,0.532,0.531,26,23,18249,10740,7509,48,26,63,149,32.2%,367.6,216.3,151.3,0.97,0.52,1.27,3.00,372.4,219.2,153.2,0.98,0.53,1.29,3.04,131,121,2.64,2.44,2.67,2.47
,,,Bxffled.,Veteran,"Gouda Gangsters
Guanacos","Cheese Guild
The Herd",Lunar,57.7,573,34,0.397,0.324,11,23,14467,7780,6687,20,21,77,88,22.7%,397.2,213.6,183.6,0.55,0.58,2.11,2.42,425.5,228.8,196.7,0.59,0.62,2.26,2.59,66,87,1.81,2.39,1.94,2.56
,,,Iprofessorex,Veteran,"Merciless Mob
Pride","The Syndicate
Seven Deadly Sins",Lunar,57.5,522,33,0.505,0.394,13,20,12318,7250,5068,26,26,51,80,32.5%,371.2,218.5,152.7,0.78,0.78,1.54,2.41,373.3,219.7,153.6,0.79,0.79,1.55,2.42,89,88,2.68,2.65,2.70,2.67
,,,Gekkos0Lid,Veteran,"Linguini Lancers
Cepheus","Italian Battalion
The Nexus",Solar,57.0,651,44,0.386,0.341,15,29,16629,8520,8109,28,18,76,102,27.5%,401.9,205.9,196.0,0.68,0.43,1.84,2.46,377.9,193.6,184.3,0.64,0.41,1.73,2.32,88,118,2.13,2.85,2.00,2.68
,,,Angel <3,Veteran,Banshees,The Monster Mash,Lunar,56.7,1004,60,0.410,0.483,29,31,23215,13420,9795,55,34,86,192,28.6%,363.8,210.3,153.5,0.86,0.53,1.35,3.01,386.9,223.7,163.3,0.92,0.57,1.43,3.20,129,163,2.02,2.55,2.15,2.72
,,,Ace_Cosplays.Ttv,Veteran,Mean Manatees,Speed Demons,Lunar,56.6,1021,64,0.440,0.516,33,31,25514,14590,10924,56,30,117,164,34.1%,393.1,224.8,168.3,0.86,0.46,1.80,2.53,398.7,228.0,170.7,0.88,0.47,1.83,2.56,135,158,2.08,2.43,2.11,2.47
,,,Shim_Sham,Veteran,Typhoons,Storm,Solar,55.9,937,63,0.497,0.476,30,33,21993,12160,9833,41,37,92,161,25.5%,369.3,204.2,165.1,0.69,0.62,1.54,2.70,349.1,193.0,156.1,0.65,0.59,1.46,2.56,130,131,2.18,2.20,2.06,2.08
,,,Tyyphoon454,Veteran,Lightning,Electric Mayhem,Lunar,55.8,999,61,0.552,0.607,37,24,22685,13130,9555,58,34,74,193,30.1%,357.2,206.8,150.5,0.91,0.54,1.17,3.04,371.9,215.2,156.6,0.95,0.56,1.21,3.16,150,131,2.36,2.06,2.46,2.15
,,,Shai,Veteran,Gorillas,The Jungle,Solar,55.8,953,60,0.539,0.600,36,24,22061,13000,9061,56,37,78,165,33.9%,364.2,214.6,149.6,0.92,0.61,1.29,2.72,367.7,216.7,151.0,0.93,0.62,1.30,2.75,147,133,2.43,2.20,2.45,2.22
,,,Lickadoss77,Veteran,Water,The Elements,Solar,55.5,957,64,0.575,0.547,35,29,22623,12020,10603,40,34,93,167,24.0%,371.9,197.6,174.3,0.66,0.56,1.53,2.75,353.5,187.8,165.7,0.63,0.53,1.45,2.61,144,118,2.37,1.94,2.25,1.84
,,,Bovi,Veteran,Peppermint,Minty Fresh,Solar,55.1,960,62,0.603,0.629,39,23,21077,12500,8577,55,41,63,180,30.6%,345.4,204.8,140.6,0.90,0.67,1.03,2.95,340.0,201.6,138.3,0.89,0.66,1.02,2.90,178,137,2.92,2.25,2.87,2.21
,,,Sirtommynoble,Veteran,"Water
Guanacos","The Elements
The Herd",Lunar,53.2,788,49,0.513,0.449,22,27,18345,10490,7855,42,29,71,129,32.6%,366.3,209.4,156.8,0.84,0.58,1.42,2.58,374.4,214.1,160.3,0.86,0.59,1.45,2.63,121,117,2.42,2.34,2.47,2.39
,,,Sturmo.,Veteran,Wyverns,The Forest,Solar,52.8,772,49,0.528,0.449,22,27,17074,9650,7424,33,39,63,125,26.4%,347.9,196.7,151.3,0.67,0.79,1.28,2.55,348.4,196.9,151.5,0.67,0.80,1.29,2.55,116,108,2.36,2.20,2.37,2.20
,,,Niceguybrady,Veteran,Pride,Seven Deadly Sins,Lunar,52.4,911,57,0.475,0.474,27,30,20910,11700,9210,40,34,89,155,25.8%,361.1,202.1,159.1,0.69,0.59,1.54,2.68,366.8,205.3,161.6,0.70,0.60,1.56,2.72,141,150,2.43,2.59,2.47,2.63
,,,Link,Veteran,Pride,Seven Deadly Sins,Lunar,52.0,997,62,0.483,0.484,30,32,22184,12890,9294,61,37,64,174,35.1%,350.1,203.4,146.7,0.96,0.58,1.01,2.75,357.8,207.9,149.9,0.98,0.60,1.03,2.81,158,165,2.49,2.60,2.55,2.66
,,,Chimmy,Veteran,Nightmare,The Shadows,Solar,51.5,656,45,0.542,0.533,24,21,15114,8120,6994,34,25,49,102,33.3%,362.5,194.7,167.7,0.82,0.60,1.18,2.45,335.9,180.4,155.4,0.76,0.56,1.09,2.27,110,99,2.64,2.37,2.44,2.20
,,,Ray,Veteran,Banana Spiders,Eight Legged Freaks,Lunar,51.3,738,48,0.382,0.458,22,26,17172,9340,7832,35,21,70,129,27.1%,366.1,199.1,167.0,0.75,0.45,1.49,2.75,357.8,194.6,163.2,0.73,0.44,1.46,2.69,86,118,1.83,2.52,1.79,2.46
,,,Ogkrish,Veteran,Possessed,Destined,Solar,51.3,842,55,0.595,0.655,36,19,18811,10680,8131,44,26,68,158,27.8%,351.5,199.6,151.9,0.82,0.49,1.27,2.95,342.0,194.2,147.8,0.80,0.47,1.24,2.87,130,101,2.43,1.89,2.36,1.84
,,,Possiblyzach,Veteran,Makos,Shark Attack,Lunar,50.0,930,58,0.655,0.655,38,20,20375,11810,8565,54,37,60,156,34.6%,344.7,199.8,144.9,0.91,0.63,1.01,2.64,351.3,203.6,147.7,0.93,0.64,1.03,2.69,173,115,2.93,1.95,2.98,1.98
,,,Troompet,Veteran,Peppermint,Minty Fresh,Solar,49.2,119,7,0.594,0.429,3,4,2211,1290,921,5,7,4,24,20.8%,292.3,170.5,121.8,0.66,0.93,0.53,3.17,315.9,184.3,131.6,0.71,1.00,0.57,3.43,18,14,2.38,1.85,2.57,2.00
,,,Vp Reported,Veteran,Blues,Whale Defense,Solar,49.1,805,48,0.651,0.667,32,16,16639,9250,7389,31,48,50,125,24.8%,325.2,180.8,144.4,0.61,0.94,0.98,2.44,346.6,192.7,153.9,0.65,1.00,1.04,2.60,138,92,2.70,1.80,2.88,1.92
,,,Braedyn,Veteran,Singularity,Event Horizon,Solar,48.8,112,8,0.295,0.250,2,6,2722,1300,1422,6,3,8,15,40.0%,382.4,182.6,199.7,0.84,0.42,1.12,2.11,340.3,162.5,177.8,0.75,0.38,1.00,1.88,14,24,1.97,3.37,1.75,3.00
,,,Escape_Plan,Veteran,Water,The Elements,Solar,48.8,390,25,0.543,0.560,14,11,8697,4780,3917,17,13,35,68,25.0%,350.8,192.8,158.0,0.69,0.52,1.41,2.74,347.9,191.2,156.7,0.68,0.52,1.40,2.72,55,49,2.22,1.98,2.20,1.96
,,,Lilia,Veteran,Typhoons,Storm,Solar,48.6,271,20,0.367,0.300,6,14,6447,3170,3277,12,9,23,37,32.4%,374.3,184.0,190.2,0.70,0.52,1.34,2.15,322.4,158.5,163.9,0.60,0.45,1.15,1.85,30,43,1.74,2.50,1.50,2.15
,,,Westyzworld,Veteran,Possessed,Destined,Solar,48.4,779,50,0.578,0.680,34,16,16678,9190,7488,32,31,61,139,23.0%,336.8,185.6,151.2,0.65,0.63,1.23,2.81,333.6,183.8,149.8,0.64,0.62,1.22,2.78,118,96,2.38,1.94,2.36,1.92
,,,Redsavage,Veteran,Wyverns,The Forest,Solar,48.2,284,18,0.425,0.333,6,12,6570,3300,3270,10,9,28,45,22.2%,363.9,182.8,181.1,0.55,0.50,1.55,2.49,365.0,183.3,181.7,0.56,0.50,1.56,2.50,37,45,2.05,2.49,2.06,2.50
,,,Braybaum02,Veteran,Linguini Lancers,Italian Battalion,Lunar,47.9,966,63,0.406,0.365,23,40,22097,12340,9757,39,39,102,139,28.1%,359.9,201.0,158.9,0.64,0.64,1.66,2.26,350.7,195.9,154.9,0.62,0.62,1.62,2.21,131,167,2.13,2.72,2.08,2.65
,,,Dougie,Veteran,Blues,Whale Defense,Solar,47.7,424,25,0.621,0.640,16,9,9360,5700,3660,27,12,33,75,36.0%,347.3,211.5,135.8,1.00,0.45,1.22,2.78,374.4,228.0,146.4,1.08,0.48,1.32,3.00,69,50,2.56,1.86,2.76,2.00
,,,Scorch,Veteran,"Gouda Gangsters
Pushwalkers","Cheese Guild
The Quad Dynasty",Solar,47.6,502,29,0.448,0.414,12,17,11502,6510,4992,27,12,47,86,31.4%,360.5,204.0,156.4,0.85,0.38,1.47,2.70,396.6,224.5,172.1,0.93,0.41,1.62,2.97,60,69,1.88,2.16,2.07,2.38
,,,Syncopace,Veteran,"Typhoons
Merciless Mob","Storm
The Syndicate",Lunar,46.8,852,58,0.432,0.414,24,34,19601,10750,8851,42,19,83,145,29.0%,361.9,198.5,163.4,0.78,0.35,1.53,2.68,337.9,185.3,152.6,0.72,0.33,1.43,2.50,113,135,2.09,2.49,1.95,2.33
,,,Hoyci,Veteran,Typhoons,Storm,Solar,46.8,570,38,0.570,0.553,21,17,13283,7460,5823,33,17,50,81,40.7%,366.6,205.9,160.7,0.91,0.47,1.38,2.24,349.6,196.3,153.2,0.87,0.45,1.32,2.13,90,75,2.48,2.07,2.37,1.97
,,,Xhyperzzx,Veteran,Banana Spiders,Eight Legged Freaks,Lunar,46.4,67,4,0.322,0.250,1,3,1672,960,712,2,3,11,6,33.3%,392.6,225.4,167.2,0.47,0.70,2.58,1.41,418.0,240.0,178.0,0.50,0.75,2.75,1.50,6,10,1.41,2.35,1.50,2.50
,,,Hawkish,Veteran,Wyverns,The Forest,Solar,46.3,778,48,0.493,0.375,18,30,17706,10350,7356,42,17,79,135,31.1%,358.0,209.3,148.7,0.85,0.34,1.60,2.73,368.9,215.6,153.3,0.88,0.35,1.65,2.81,120,122,2.43,2.47,2.50,2.54
,,,Slycooperd3Mis3,Veteran,Merciless Mob,The Syndicate,Lunar,45.9,521,35,0.457,0.400,14,21,11226,6240,4986,24,16,42,94,25.5%,339.0,188.4,150.6,0.72,0.48,1.27,2.84,320.7,178.3,142.5,0.69,0.46,1.20,2.69,79,88,2.39,2.66,2.26,2.51
,,,Hocki.,Veteran,Hades,The Gods,Lunar,45.8,142,8,0.360,0.375,3,5,3215,1600,1615,6,3,12,25,24.0%,356.2,177.3,178.9,0.66,0.33,1.33,2.77,401.9,200.0,201.9,0.75,0.38,1.50,3.13,15,22,1.66,2.44,1.88,2.75
,,,S_Ckz,Veteran,Cepheus,The Nexus,Solar,45.8,402,25,0.377,0.320,8,17,9260,5040,4220,17,15,41,54,31.5%,362.4,197.2,165.2,0.67,0.59,1.60,2.11,370.4,201.6,168.8,0.68,0.60,1.64,2.16,58,79,2.27,3.09,2.32,3.16
,,,Heyzisthename11,Veteran,Gorillas,The Jungle,Solar,45.7,184,12,0.441,0.500,6,6,4247,2060,2187,10,3,12,31,32.3%,363.1,176.1,187.0,0.86,0.26,1.03,2.65,353.9,171.7,182.3,0.83,0.25,1.00,2.58,24,28,2.05,2.39,2.00,2.33
,,,Fynnatic,Veteran,Hades,The Gods,Lunar,45.5,57,4,0.500,0.500,2,2,1148,610,538,3,2,2,11,27.3%,316.9,168.4,148.5,0.83,0.55,0.55,3.04,287.0,152.5,134.5,0.75,0.50,0.50,2.75,7,7,1.93,1.93,1.75,1.75
,,,Nuke,Veteran,Mean Manatees,Speed Demons,Lunar,45.5,819,50,0.419,0.500,25,25,17672,10210,7462,38,32,70,131,29.0%,339.5,196.1,143.3,0.73,0.61,1.34,2.52,353.4,204.2,149.2,0.76,0.64,1.40,2.62,107,132,2.06,2.54,2.14,2.64
,,,5Pike,Veteran,Peppers,The Garden,Lunar,43.9,427,30,0.652,0.667,20,10,8668,5080,3588,21,18,27,73,28.8%,319.4,187.2,132.2,0.77,0.66,0.99,2.69,288.9,169.3,119.6,0.70,0.60,0.90,2.43,79,53,2.91,1.95,2.63,1.77
,,,Cereal21,Veteran,Rockin Revenants,Ghoul School,Solar,43.5,359,22,0.392,0.273,6,16,7951,4530,3421,15,15,36,48,31.3%,348.4,198.5,149.9,0.66,0.66,1.58,2.10,361.4,205.9,155.5,0.68,0.68,1.64,2.18,51,67,2.23,2.94,2.32,3.05
,,,Lmao Beer Me,Veteran,Gladiators,The Sovereign,Lunar,43.4,829,50,0.414,0.380,19,31,18632,10810,7822,37,27,91,121,30.6%,353.6,205.1,148.4,0.70,0.51,1.73,2.30,372.6,216.2,156.4,0.74,0.54,1.82,2.42,114,142,2.16,2.69,2.28,2.84
,,,.Pass,Veteran,"Gouda Gangsters
Rockin Revenants
cthulhu
Cthulhu","Cheese Guild
Ghoul School
The Mythos
The Mythos",Solar,43.1,433,28,0.525,0.464,13,15,9404,5140,4264,19,14,37,69,27.5%,341.7,186.8,154.9,0.69,0.51,1.34,2.51,335.9,183.6,152.3,0.68,0.50,1.32,2.46,65,61,2.36,2.22,2.32,2.18
