Tier,RSC ID,Player Name,Team(s),Franchise(s),Conf.,SBV,TS,GP,PWE,WP,W,L,P,SP,NP,G,A,Sv,S,S%,P/A,SP/A,NP/A,G/A,A/A,Sv/A,S/A,P/G,SP/G,NP/G,G/G,A/G,Sv/G,S/G,tm_G,opp_G,tm_G/A,opp_G/A,tm_G/G,opp_G/G
Prospect,RSC004107,Flyfyre-_-,Dragonflies,The Swarm,Solar,104.6,336.0,28.0,0.706,0.821,23.0,5.0,10891.0,6580.0,4311.0,37.0,17.0,23.0,88.0,42.00%,443.0,267.6,175.3,1.5,0.69,0.94,3.58,389.0,235.0,154.0,1.32,0.61,0.82,3.14,84.0,49.0,3.42,1.99,3.0,1.75
Prospect,RSC003895,Gga Astro,Earth,The Elements,Lunar,103.8,557.0,40.0,0.717,0.775,31.0,9.0,18176.0,10800.0,7376.0,60.0,26.0,41.0,145.0,41.40%,446.0,265.0,181.0,1.47,0.64,1.01,3.56,454.4,270.0,184.4,1.5,0.65,1.03,3.63,119.0,65.0,2.92,1.59,2.98,1.63
Prospect,RSC004089,Yomoisty,Firecrackers,Fallout Shelter,Solar,91.1,683.0,54.0,0.497,0.574,31.0,23.0,21095.0,11600.0,9495.0,55.0,29.0,62.0,155.0,35.50%,422.1,232.1,190.0,1.1,0.58,1.24,3.1,390.6,214.8,175.8,1.02,0.54,1.15,2.87,113.0,114.0,2.26,2.28,2.09,2.11
Prospect,RSC004406,Blurryface,Oganesson,Group Zero,Solar,85.3,670.0,48.0,0.683,0.667,32.0,16.0,19231.0,11870.0,7361.0,65.0,33.0,43.0,157.0,41.40%,392.3,242.1,150.1,1.33,0.67,0.88,3.2,400.6,247.3,153.4,1.35,0.69,0.9,3.27,148.0,91.0,3.02,1.86,3.08,1.9
Prospect,RSC000685,Daturquoisorang,Drizzle,Storm,Solar,79.4,670.0,48.0,0.679,0.688,33.0,15.0,18641.0,10970.0,7671.0,56.0,32.0,46.0,147.0,38.10%,380.2,223.8,156.5,1.14,0.65,0.94,3.0,388.4,228.5,159.8,1.17,0.67,0.96,3.06,145.0,90.0,2.96,1.84,3.02,1.88
Prospect,RSC004428,Toronto Pierson International,Spaghetti Scouts,Italian Battalion,Solar,79.2,691.0,52.0,0.584,0.5,26.0,26.0,20644.0,11730.0,8914.0,60.0,26.0,63.0,128.0,46.90%,408.3,232.0,176.3,1.19,0.51,1.25,2.53,397.0,225.6,171.4,1.15,0.5,1.21,2.46,133.0,107.0,2.63,2.12,2.56,2.06
Prospect,RSC004324,Notkyto,Titanoboas,The Serpents,Lunar,78.3,775.0,56.0,0.551,0.554,31.0,25.0,21038.0,12030.0,9008.0,51.0,35.0,67.0,183.0,27.90%,371.0,212.1,158.8,0.9,0.62,1.18,3.23,375.7,214.8,160.9,0.91,0.63,1.2,3.27,137.0,120.0,2.42,2.12,2.45,2.14
Prospect,RSC003207,Lordhadron,House Salads,Fifty-Fifty Pizzeria,Lunar,76.5,645.0,46.0,0.559,0.565,26.0,20.0,17800.0,10540.0,7260.0,51.0,30.0,52.0,134.0,38.10%,377.1,223.3,153.8,1.08,0.64,1.1,2.84,387.0,229.1,157.8,1.11,0.65,1.13,2.91,120.0,103.0,2.54,2.18,2.61,2.24
Prospect,RSC002511,Moist_Games,Spaghetti Scouts,Italian Battalion,Solar,75.5,401.0,31.0,0.664,0.581,18.0,13.0,10876.0,6600.0,4276.0,34.0,21.0,27.0,80.0,42.50%,370.7,224.9,145.7,1.16,0.72,0.92,2.73,350.8,212.9,137.9,1.1,0.68,0.87,2.58,85.0,55.0,2.9,1.87,2.74,1.77
Prospect,RSC004407,Rootbear,Legends of Tomorrow,The Comic Crusaders,Lunar,75.0,625.0,47.0,0.577,0.617,29.0,18.0,17687.0,9920.0,7767.0,38.0,31.0,71.0,102.0,37.30%,386.7,216.9,169.8,0.83,0.68,1.55,2.23,376.3,211.1,165.3,0.81,0.66,1.51,2.17,108.0,88.0,2.36,1.92,2.3,1.87
Prospect,RSC003908,Veoloux,Puffins,Polar Vortex,Lunar,73.7,738.0,48.0,0.603,0.625,30.0,18.0,19656.0,11800.0,7856.0,56.0,34.0,58.0,160.0,35.00%,364.0,218.5,145.5,1.04,0.63,1.07,2.96,409.5,245.8,163.7,1.17,0.71,1.21,3.33,144.0,110.0,2.67,2.04,3.0,2.29
Prospect,RSC003209,Doce,Red Stags,The Forest,Solar,72.8,326.0,24.0,0.455,0.542,13.0,11.0,8745.0,5150.0,3595.0,23.0,19.0,27.0,55.0,41.80%,366.6,215.9,150.7,0.96,0.8,1.13,2.31,364.4,214.6,149.8,0.96,0.79,1.13,2.29,58.0,65.0,2.43,2.72,2.42,2.71
Prospect,RSC004413,Mr. Nuke,Blacktips,Shark Attack,Lunar,72.2,594.0,43.0,0.698,0.744,32.0,11.0,16620.0,9570.0,7050.0,49.0,21.0,49.0,117.0,41.90%,382.4,220.2,162.2,1.13,0.48,1.13,2.69,386.5,222.6,164.0,1.14,0.49,1.14,2.72,127.0,74.0,2.92,1.7,2.95,1.72
Prospect,RSC003900,Tryhard Goblin,Earth,The Elements,Lunar,72.1,634.0,43.0,0.706,0.767,33.0,10.0,16403.0,9400.0,7003.0,35.0,37.0,57.0,120.0,29.20%,353.6,202.6,151.0,0.75,0.8,1.23,2.59,381.5,218.6,162.9,0.81,0.86,1.33,2.79,134.0,76.0,2.89,1.64,3.12,1.77
Prospect,RSC003229,Boeso,Okapis,The Jungle,Solar,70.6,728.0,55.0,0.605,0.564,31.0,24.0,19373.0,10640.0,8733.0,47.0,34.0,57.0,139.0,33.80%,363.7,199.7,163.9,0.88,0.64,1.07,2.61,352.2,193.5,158.8,0.85,0.62,1.04,2.53,137.0,104.0,2.57,1.95,2.49,1.89
Prospect,RSC002756,Blueice16_,Drizzle,Storm,Solar,67.8,638.0,45.0,0.683,0.689,31.0,14.0,16239.0,9440.0,6799.0,40.0,34.0,51.0,119.0,33.60%,347.8,202.2,145.6,0.86,0.73,1.09,2.55,360.9,209.8,151.1,0.89,0.76,1.13,2.64,133.0,81.0,2.85,1.74,2.96,1.8
Prospect,RSC004421,Rettirt,Barbarians,The Sovereign,Lunar,67.1,562.0,37.0,0.45,0.432,16.0,21.0,13964.0,7890.0,6074.0,26.0,34.0,52.0,99.0,26.30%,339.6,191.9,147.7,0.63,0.83,1.26,2.41,377.4,213.2,164.2,0.7,0.92,1.41,2.68,87.0,99.0,2.12,2.41,2.35,2.68
Prospect,RSC003201,Ashuraxgaming,Spearmint,Minty Fresh,Solar,67.1,716.0,55.0,0.478,0.455,25.0,30.0,19739.0,11380.0,8359.0,48.0,28.0,81.0,113.0,42.50%,376.8,217.2,159.5,0.92,0.53,1.55,2.16,358.9,206.9,152.0,0.87,0.51,1.47,2.05,117.0,124.0,2.23,2.37,2.13,2.25
Prospect,RSC003747,Tr33F0Rt,Koala Bears,The Bear Den,Lunar,66.7,549.0,40.0,0.541,0.575,23.0,17.0,14413.0,8930.0,5483.0,49.0,15.0,40.0,128.0,38.30%,358.8,222.3,136.5,1.22,0.37,1.0,3.19,360.3,223.3,137.1,1.23,0.38,1.0,3.2,101.0,91.0,2.51,2.27,2.53,2.28
Prospect,RSC002345,Biddldiddlwiddl,Barbarians,The Sovereign,Lunar,66.4,106.0,8.0,0.552,0.625,5.0,3.0,2903.0,1670.0,1233.0,6.0,4.0,14.0,17.0,35.30%,374.3,215.3,159.0,0.77,0.52,1.8,2.19,362.9,208.8,154.1,0.75,0.5,1.75,2.13,15.0,13.0,1.93,1.68,1.88,1.63
Prospect,RSC001549,Packrat31306,Eclipse,North American Soccar Club,Solar,65.9,246.0,18.0,0.465,0.444,8.0,10.0,6473.0,3770.0,2703.0,22.0,8.0,13.0,52.0,42.30%,359.6,209.4,150.2,1.22,0.44,0.72,2.89,359.6,209.4,150.2,1.22,0.44,0.72,2.89,43.0,47.0,2.39,2.61,2.39,2.61
Prospect,RSC003806,Zlayers98,"Gloom
House Salads","The Shadows
Fifty-Fifty Pizzeria",Lunar,65.7,470.0,35.0,0.581,0.514,18.0,17.0,11994.0,6860.0,5134.0,30.0,21.0,38.0,91.0,33.00%,348.8,199.5,149.3,0.87,0.61,1.1,2.65,342.7,196.0,146.7,0.86,0.6,1.09,2.6,83.0,67.0,2.41,1.95,2.37,1.91
Prospect,RSC001361,Itsjustfruity,Puffins,Polar Vortex,Lunar,64.8,417.0,27.0,0.625,0.63,17.0,10.0,10375.0,6420.0,3955.0,30.0,22.0,31.0,77.0,39.00%,340.0,210.4,129.6,0.98,0.72,1.02,2.52,384.3,237.8,146.5,1.11,0.81,1.15,2.85,87.0,63.0,2.85,2.06,3.22,2.33
Prospect,RSC004195,Eazee.E,Puffins,Polar Vortex,Lunar,64.5,451.0,31.0,0.677,0.71,22.0,9.0,11213.0,6510.0,4703.0,31.0,19.0,30.0,96.0,32.30%,339.8,197.3,142.5,0.94,0.58,0.91,2.91,361.7,210.0,151.7,1.0,0.61,0.97,3.1,95.0,59.0,2.88,1.79,3.06,1.9
Prospect,RSC003049,Lunarxaos,Rodan,Kaiju,Solar,64.4,241.0,17.0,0.531,0.588,10.0,7.0,6393.0,3550.0,2843.0,16.0,8.0,22.0,45.0,35.60%,362.5,201.3,161.2,0.91,0.45,1.25,2.55,376.1,208.8,167.2,0.94,0.47,1.29,2.65,37.0,34.0,2.1,1.93,2.18,2.0
Prospect,RSC003748,Max,Supernova,The Cosmos,Solar,63.9,520.0,40.0,0.531,0.6,24.0,16.0,13677.0,7850.0,5827.0,40.0,19.0,39.0,95.0,42.10%,359.4,206.3,153.1,1.05,0.5,1.02,2.5,341.9,196.3,145.7,1.0,0.48,0.98,2.38,90.0,83.0,2.37,2.18,2.25,2.08
Prospect,RSC001623,Rugg,Koala Bears,The Bear Den,Lunar,63.8,552.0,40.0,0.548,0.6,24.0,16.0,14071.0,7770.0,6301.0,39.0,19.0,35.0,117.0,33.30%,348.4,192.4,156.0,0.97,0.47,0.87,2.9,351.8,194.3,157.5,0.98,0.48,0.88,2.93,104.0,92.0,2.57,2.28,2.6,2.3
Prospect,RSC002108,Donttreadonme777777,Poseidon,Olympus,Solar,63.6,530.0,39.0,0.518,0.513,20.0,19.0,14037.0,7720.0,6317.0,32.0,19.0,53.0,92.0,34.80%,361.9,199.1,162.9,0.83,0.49,1.37,2.37,359.9,197.9,162.0,0.82,0.49,1.36,2.36,86.0,82.0,2.22,2.11,2.21,2.1
Prospect,RSC004065,Coop,Eclipse,North American Soccar Club,Solar,62.8,759.0,55.0,0.497,0.527,29.0,26.0,18737.0,10670.0,8067.0,42.0,38.0,64.0,137.0,30.70%,337.4,192.1,145.3,0.76,0.68,1.15,2.47,340.7,194.0,146.7,0.76,0.69,1.16,2.49,131.0,132.0,2.36,2.38,2.38,2.4
Prospect,RSC000564,Treeedreams,Oganesson,Group Zero,Solar,62.4,618.0,44.0,0.659,0.659,29.0,15.0,15278.0,8970.0,6308.0,43.0,27.0,42.0,122.0,35.20%,337.9,198.4,139.5,0.95,0.6,0.93,2.7,347.2,203.9,143.4,0.98,0.61,0.95,2.77,127.0,83.0,2.81,1.84,2.89,1.89
Prospect,RSC003297,Moist 10 Inch,Blacktips,Shark Attack,Lunar,62.0,679.0,47.0,0.65,0.681,32.0,15.0,16848.0,9790.0,7058.0,46.0,30.0,48.0,129.0,35.70%,339.1,197.0,142.1,0.93,0.6,0.97,2.6,358.5,208.3,150.2,0.98,0.64,1.02,2.74,141.0,95.0,2.84,1.91,3.0,2.02
Prospect,RSC004427,G0D Tierrr,Rodan,Kaiju,Solar,61.3,233.0,16.0,0.613,0.625,10.0,6.0,5653.0,3020.0,2633.0,11.0,10.0,19.0,47.0,23.40%,331.6,177.1,154.4,0.65,0.59,1.11,2.76,353.3,188.8,164.6,0.69,0.63,1.19,2.94,37.0,27.0,2.17,1.58,2.31,1.69
Prospect,RSC004329,Tphillys,Dragonflies,The Swarm,Solar,61.1,730.0,55.0,0.578,0.673,37.0,18.0,18252.0,10000.0,8252.0,41.0,30.0,61.0,135.0,30.40%,341.7,187.2,154.5,0.77,0.56,1.14,2.53,331.9,181.8,150.0,0.75,0.55,1.11,2.45,144.0,118.0,2.7,2.21,2.62,2.15
Prospect,RSC002291,Xp卿,Sparks,Electric Mayhem,Lunar,60.8,681.0,50.0,0.503,0.5,25.0,25.0,17116.0,10030.0,7086.0,50.0,23.0,50.0,138.0,36.20%,343.5,201.3,142.2,1.0,0.46,1.0,2.77,342.3,200.6,141.7,1.0,0.46,1.0,2.76,112.0,111.0,2.25,2.23,2.24,2.22
Prospect,RSC003567,Gibleedoo,Drizzle,Storm,Solar,60.8,753.0,52.0,0.643,0.654,34.0,18.0,18142.0,10810.0,7332.0,49.0,32.0,55.0,156.0,31.40%,329.3,196.2,133.1,0.89,0.58,1.0,2.83,348.9,207.9,141.0,0.94,0.62,1.06,3.0,148.0,101.0,2.69,1.83,2.85,1.94
Prospect,RSC004263,Logicc,Air Buds,Puppy Paradise,Solar,60.7,415.0,32.0,0.377,0.281,9.0,23.0,10815.0,6180.0,4635.0,32.0,12.0,32.0,78.0,41.00%,356.1,203.5,152.6,1.05,0.4,1.05,2.57,338.0,193.1,144.8,1.0,0.38,1.0,2.44,65.0,89.0,2.14,2.93,2.03,2.78
Prospect,RSC003101,Sirzohan1002,Okapis,The Jungle,Solar,57.5,364.0,27.0,0.651,0.63,17.0,10.0,8448.0,4880.0,3568.0,21.0,20.0,23.0,63.0,33.30%,317.2,183.2,134.0,0.79,0.75,0.86,2.37,312.9,180.7,132.1,0.78,0.74,0.85,2.33,72.0,48.0,2.7,1.8,2.67,1.78
Prospect,RSC003700,Fuzz,Blacktips,Shark Attack,Lunar,56.4,303.0,22.0,0.521,0.545,12.0,10.0,7432.0,4480.0,2952.0,23.0,10.0,22.0,58.0,39.70%,335.2,202.1,133.1,1.04,0.45,0.99,2.62,337.8,203.6,134.2,1.05,0.45,1.0,2.64,58.0,55.0,2.62,2.48,2.64,2.5
Prospect,RSC002931,Reekyosprey74,Dragonflies,The Swarm,Solar,56.3,706.0,54.0,0.574,0.667,36.0,18.0,17277.0,9400.0,7877.0,43.0,30.0,49.0,115.0,37.40%,334.4,182.0,152.5,0.83,0.58,0.95,2.23,319.9,174.1,145.9,0.8,0.56,0.91,2.13,140.0,116.0,2.71,2.25,2.59,2.15
Prospect,RSC004332,Friendbrady,Supernova,The Cosmos,Solar,55.9,706.0,55.0,0.549,0.6,33.0,22.0,18085.0,9840.0,8245.0,45.0,21.0,63.0,114.0,39.50%,350.1,190.5,159.6,0.87,0.41,1.22,2.21,328.8,178.9,149.9,0.82,0.38,1.15,2.07,126.0,111.0,2.44,2.15,2.29,2.02
Prospect,RSC000162,Drac.,Eclipse,North American Soccar Club,Solar,55.1,623.0,45.0,0.536,0.556,25.0,20.0,14622.0,8730.0,5892.0,42.0,22.0,43.0,128.0,32.80%,320.8,191.5,129.2,0.92,0.48,0.94,2.81,324.9,194.0,130.9,0.93,0.49,0.96,2.84,112.0,102.0,2.46,2.24,2.49,2.27
Prospect,,Huddled,Gloom,The Shadows,Lunar,54.4,435.0,32.0,0.425,0.375,12.0,20.0,10553.0,5990.0,4563.0,24.0,16.0,41.0,74.0,32.40%,331.5,188.2,143.4,0.75,0.5,1.29,2.32,329.8,187.2,142.6,0.75,0.5,1.28,2.31,65.0,79.0,2.04,2.48,2.03,2.47
Prospect,RSC002823,Sussurance_Blm,House Salads,Fifty-Fifty Pizzeria,Lunar,53.2,608.0,42.0,0.533,0.571,24.0,18.0,13984.0,8160.0,5824.0,35.0,26.0,45.0,111.0,31.50%,314.3,183.4,130.9,0.79,0.58,1.01,2.49,333.0,194.3,138.7,0.83,0.62,1.07,2.64,110.0,101.0,2.47,2.27,2.62,2.4
Prospect,RSC002021,Perk_At_Play,Spaghetti Scouts,Italian Battalion,Solar,52.6,486.0,36.0,0.546,0.444,16.0,20.0,11191.0,6290.0,4901.0,23.0,23.0,41.0,79.0,29.10%,314.7,176.9,137.8,0.65,0.65,1.15,2.22,310.9,174.7,136.1,0.64,0.64,1.14,2.19,91.0,81.0,2.56,2.28,2.53,2.25
Prospect,RSC003468,Hisdudeness3,Gallimimus,Dino Park,Lunar,52.5,762.0,56.0,0.363,0.268,15.0,41.0,20122.0,11310.0,8812.0,48.0,12.0,95.0,116.0,41.40%,360.9,202.8,158.0,0.86,0.22,1.7,2.08,359.3,202.0,157.4,0.86,0.21,1.7,2.07,109.0,156.0,1.95,2.8,1.95,2.79
Prospect,RSC003830,Bradysc.,Blacktips,Shark Attack,Lunar,52.3,788.0,56.0,0.643,0.679,38.0,18.0,17956.0,10350.0,7606.0,45.0,42.0,51.0,120.0,37.50%,311.4,179.5,131.9,0.78,0.73,0.88,2.08,320.6,184.8,135.8,0.8,0.75,0.91,2.14,163.0,112.0,2.83,1.94,2.91,2.0
Prospect,RSC004385,Braybaum02,Blobfish,The Abyss,Lunar,52.2,109.0,8.0,0.218,0.125,1.0,7.0,2679.0,1200.0,1479.0,2.0,4.0,13.0,15.0,13.30%,335.9,150.5,185.4,0.25,0.5,1.63,1.88,334.9,150.0,184.9,0.25,0.5,1.63,1.88,12.0,27.0,1.5,3.39,1.5,3.38
Prospect,,Monty,"Gloom
Sparks","The Shadows
Electric Mayhem",Lunar,51.8,682.0,49.0,0.507,0.469,23.0,26.0,15875.0,8830.0,7045.0,35.0,25.0,57.0,123.0,28.50%,318.1,176.9,141.2,0.7,0.5,1.14,2.46,324.0,180.2,143.8,0.71,0.51,1.16,2.51,112.0,110.0,2.24,2.2,2.29,2.24
Prospect,RSC004005,Stormz,Dragonflies,The Swarm,Solar,51.6,97.0,8.0,0.4,0.5,4.0,4.0,2330.0,1140.0,1190.0,5.0,4.0,6.0,14.0,35.70%,328.3,160.6,167.7,0.7,0.56,0.85,1.97,291.3,142.5,148.8,0.63,0.5,0.75,1.75,13.0,17.0,1.83,2.4,1.63,2.13
Prospect,RSC004210,Nitrowo1F,Poseidon,Olympus,Solar,50.1,619.0,47.0,0.481,0.468,22.0,25.0,13789.0,7630.0,6159.0,29.0,33.0,43.0,93.0,31.20%,304.4,168.5,136.0,0.64,0.73,0.95,2.05,293.4,162.3,131.0,0.62,0.7,0.91,1.98,97.0,102.0,2.14,2.25,2.06,2.17
Prospect,RSC000957,Gamerover40,Hisspy Bacons,The Cat Cafe,Solar,50.1,516.0,42.0,0.421,0.548,23.0,19.0,12592.0,6710.0,5882.0,23.0,18.0,56.0,71.0,32.40%,333.5,177.7,155.8,0.61,0.48,1.48,1.88,299.8,159.8,140.0,0.55,0.43,1.33,1.69,80.0,98.0,2.12,2.6,1.9,2.33
Prospect,RSC004248,Musicalfoxes,Blobfish,The Abyss,Lunar,50.1,438.0,32.0,0.403,0.406,13.0,19.0,10194.0,5750.0,4444.0,22.0,19.0,39.0,65.0,33.80%,318.1,179.4,138.7,0.69,0.59,1.22,2.03,318.6,179.7,138.9,0.69,0.59,1.22,2.03,67.0,86.0,2.09,2.68,2.09,2.69
Prospect,RSC002187,Psychic_Rock,Earth,The Elements,Lunar,50.0,518.0,37.0,0.676,0.73,27.0,10.0,11723.0,6550.0,5173.0,29.0,18.0,35.0,100.0,29.00%,309.3,172.8,136.5,0.77,0.47,0.92,2.64,316.8,177.0,139.8,0.78,0.49,0.95,2.7,102.0,63.0,2.69,1.66,2.76,1.7
Prospect,RSC004424,Bigboy,Legends of Tomorrow,The Comic Crusaders,Lunar,49.7,515.0,39.0,0.578,0.615,24.0,15.0,12701.0,7460.0,5241.0,35.0,15.0,49.0,76.0,46.10%,337.0,198.0,139.1,0.93,0.4,1.3,2.02,325.7,191.3,134.4,0.9,0.38,1.26,1.95,92.0,75.0,2.44,1.99,2.36,1.92
Prospect,RSC001999,Cs O Gunkiller,"Titanoboas
Sparks
sparks
Drizzle
Spearmint
Gloom
Red Stags","The Serpents
Electric Mayhem
Electric Mayhem
Storm
Minty Fresh
The Shadows
The Forest",Lunar,49.6,402.0,28.0,0.471,0.464,13.0,15.0,9024.0,5220.0,3804.0,19.0,16.0,36.0,72.0,26.40%,306.8,177.5,129.3,0.65,0.54,1.22,2.45,322.3,186.4,135.9,0.68,0.57,1.29,2.57,65.0,70.0,2.21,2.38,2.32,2.5
Prospect,RSC003803,Skeletxr,Okapis,The Jungle,Solar,49.5,471.0,34.0,0.526,0.441,15.0,19.0,10317.0,5540.0,4777.0,21.0,18.0,32.0,94.0,22.30%,299.4,160.7,138.6,0.61,0.52,0.93,2.73,303.4,162.9,140.5,0.62,0.53,0.94,2.76,77.0,72.0,2.23,2.09,2.26,2.12
Prospect,RSC003193,Shiftdrink,Okapis,The Jungle,Solar,49.5,699.0,52.0,0.611,0.577,30.0,22.0,16333.0,9710.0,6623.0,51.0,20.0,46.0,131.0,38.90%,319.3,189.8,129.5,1.0,0.39,0.9,2.56,314.1,186.7,127.4,0.98,0.38,0.88,2.52,134.0,100.0,2.62,1.96,2.58,1.92
Prospect,RSC004232,Evan23,Poseidon,Olympus,Solar,48.6,26.0,2.0,0.276,0.0,0.0,2.0,536.0,260.0,276.0,1.0,1.0,1.0,6.0,16.70%,281.7,136.7,145.1,0.53,0.53,0.53,3.15,268.0,130.0,138.0,0.5,0.5,0.5,3.0,2.0,4.0,1.05,2.1,1.0,2.0
Prospect,RSC001078,Binx,Air Buds,Puppy Paradise,Solar,48.5,88.0,7.0,0.254,0.429,3.0,4.0,2131.0,1170.0,961.0,5.0,3.0,8.0,12.0,41.70%,330.9,181.7,149.2,0.78,0.47,1.24,1.86,304.4,167.1,137.3,0.71,0.43,1.14,1.71,10.0,20.0,1.55,3.11,1.43,2.86
Prospect,RSC003276,Consciousprophit,"Red Stags
Barbarians","The Forest
The Sovereign",Lunar,48.4,682.0,49.0,0.437,0.388,19.0,30.0,15646.0,9030.0,6616.0,42.0,22.0,50.0,123.0,34.10%,313.5,180.9,132.6,0.84,0.44,1.0,2.46,319.3,184.3,135.0,0.86,0.45,1.02,2.51,108.0,127.0,2.16,2.54,2.2,2.59
Prospect,RSC002255,Wipeout,Gallimimus,Dino Park,Lunar,47.8,634.0,48.0,0.385,0.313,15.0,33.0,14233.0,7970.0,6263.0,31.0,23.0,52.0,112.0,27.70%,306.8,171.8,135.0,0.67,0.5,1.12,2.41,296.5,166.0,130.5,0.65,0.48,1.08,2.33,91.0,123.0,1.96,2.65,1.9,2.56
Prospect,RSC000253,Musah,Barbarians,The Sovereign,Lunar,47.6,376.0,28.0,0.456,0.429,12.0,16.0,8590.0,4390.0,4200.0,18.0,11.0,27.0,69.0,26.10%,312.2,159.6,152.7,0.65,0.4,0.98,2.51,306.8,156.8,150.0,0.64,0.39,0.96,2.46,57.0,64.0,2.07,2.33,2.04,2.29
Prospect,RSC004004,Gambro,"Air Buds
Gloom","Puppy Paradise
The Shadows",Solar,47.2,592.0,45.0,0.417,0.333,15.0,30.0,14082.0,7450.0,6632.0,35.0,16.0,44.0,95.0,36.80%,325.1,172.0,153.1,0.81,0.37,1.02,2.19,312.9,165.6,147.4,0.78,0.36,0.98,2.11,92.0,114.0,2.12,2.63,2.04,2.53
Prospect,RSC000126,Beyond Teddie,Blobfish,The Abyss,Lunar,47.1,496.0,36.0,0.359,0.333,12.0,24.0,11558.0,6490.0,5068.0,26.0,14.0,47.0,84.0,31.00%,318.5,178.8,139.6,0.72,0.39,1.29,2.31,321.1,180.3,140.8,0.72,0.39,1.31,2.33,72.0,104.0,1.98,2.87,2.0,2.89
Prospect,RSC003523,Sleepy Harlow,Supernova,The Cosmos,Solar,47.1,348.0,28.0,0.54,0.571,16.0,12.0,7905.0,4170.0,3735.0,16.0,9.0,29.0,67.0,23.90%,310.4,163.8,146.7,0.63,0.35,1.14,2.63,282.3,148.9,133.4,0.57,0.32,1.04,2.39,60.0,54.0,2.36,2.12,2.14,1.93
Prospect,RSC004256,Kowalskey,Red Stags,The Forest,Solar,45.9,227.0,16.0,0.401,0.375,6.0,10.0,5142.0,3030.0,2112.0,13.0,11.0,18.0,28.0,46.40%,309.6,182.4,127.2,0.78,0.66,1.08,1.69,321.4,189.4,132.0,0.81,0.69,1.13,1.75,39.0,50.0,2.35,3.01,2.44,3.13
Prospect,RSC002412,Rosefanatic3615,Titanoboas,The Serpents,Lunar,45.8,624.0,46.0,0.559,0.565,26.0,20.0,14106.0,7750.0,6356.0,34.0,24.0,44.0,95.0,35.80%,308.9,169.7,139.2,0.74,0.53,0.96,2.08,306.7,168.5,138.2,0.74,0.52,0.96,2.07,112.0,96.0,2.45,2.1,2.43,2.09
Prospect,RSC003926,Jkay_50,Hisspy Bacons,The Cat Cafe,Solar,45.7,506.0,40.0,0.392,0.475,19.0,21.0,11477.0,5830.0,5647.0,22.0,20.0,38.0,73.0,30.10%,310.0,157.5,152.5,0.59,0.54,1.03,1.97,286.9,145.8,141.2,0.55,0.5,0.95,1.83,73.0,97.0,1.97,2.62,1.83,2.43
Prospect,RSC002459,Darkenedlink,Poseidon,Olympus,Solar,45.0,457.0,34.0,0.409,0.382,13.0,21.0,10540.0,5990.0,4550.0,25.0,11.0,43.0,79.0,31.60%,315.2,179.1,136.1,0.75,0.33,1.29,2.36,310.0,176.2,133.8,0.74,0.32,1.26,2.32,67.0,85.0,2.0,2.54,1.97,2.5
Prospect,RSC004184,Drivingwebster,Red Stags,The Forest,Solar,44.9,552.0,40.0,0.466,0.5,20.0,20.0,12573.0,6910.0,5663.0,33.0,15.0,38.0,96.0,34.40%,311.3,171.1,140.2,0.82,0.37,0.94,2.38,314.3,172.8,141.6,0.83,0.38,0.95,2.4,102.0,111.0,2.53,2.75,2.55,2.78
Prospect,RSC002264,Cubsfan082016,Punch-Outs,8-Bit Brigade,Lunar,44.5,731.0,53.0,0.417,0.377,20.0,33.0,16124.0,8490.0,7634.0,29.0,30.0,60.0,109.0,26.60%,301.4,158.7,142.7,0.54,0.56,1.12,2.04,304.2,160.2,144.0,0.55,0.57,1.13,2.06,100.0,125.0,1.87,2.34,1.89,2.36
Prospect,RSC001972,Jiffy_Lube6925,Red Stags,The Forest,Solar,44.4,247.0,18.0,0.406,0.5,9.0,9.0,5436.0,2620.0,2816.0,10.0,12.0,14.0,32.0,31.30%,300.8,145.0,155.8,0.55,0.66,0.77,1.77,302.0,145.6,156.4,0.56,0.67,0.78,1.78,41.0,52.0,2.27,2.88,2.28,2.89
Prospect,RSC004226,Sensibledictator,Red Stags,The Forest,Solar,43.9,27.0,2.0,0.585,0.5,1.0,1.0,569.0,300.0,269.0,1.0,1.0,2.0,5.0,20.00%,288.0,151.8,136.2,0.51,0.51,1.01,2.53,284.5,150.0,134.5,0.5,0.5,1.0,2.5,5.0,4.0,2.53,2.02,2.5,2.0
Prospect,,Chuggpapimunano,Puffins,Polar Vortex,Lunar,43.2,783.0,52.0,0.645,0.692,36.0,16.0,17266.0,10390.0,6876.0,49.0,30.0,56.0,119.0,41.20%,301.4,181.3,120.0,0.86,0.52,0.98,2.08,332.0,199.8,132.2,0.94,0.58,1.08,2.29,164.0,112.0,2.86,1.95,3.15,2.15
Prospect,RSC003743,N00Bpr0N,Oganesson,Group Zero,Solar,43.1,721.0,51.0,0.689,0.686,35.0,16.0,15360.0,9190.0,6170.0,43.0,28.0,45.0,124.0,34.70%,291.1,174.2,116.9,0.82,0.53,0.85,2.35,301.2,180.2,121.0,0.84,0.55,0.88,2.43,158.0,95.0,2.99,1.8,3.1,1.86
Prospect,RSC002414,Xxdarksidexx,Punch-Outs,8-Bit Brigade,Lunar,43.0,711.0,52.0,0.386,0.365,19.0,33.0,15847.0,8570.0,7277.0,36.0,16.0,57.0,132.0,27.30%,304.6,164.7,139.9,0.69,0.31,1.1,2.54,304.8,164.8,139.9,0.69,0.31,1.1,2.54,96.0,130.0,1.85,2.5,1.85,2.5
