Tier,RSC ID,Player Name,Team(s),Franchise(s),Conf.,SBV,TS,GP,PWE,WP,W,L,P,SP,NP,G,A,Sv,S,S%,P/A,SP/A,NP/A,G/A,A/A,Sv/A,S/A,P/G,SP/G,NP/G,G/G,A/G,Sv/G,S/G,tm_G,opp_G,tm_G/A,opp_G/A,tm_G/G,opp_G/G
Master,RSC002077,Latte,"Wendigos
Immortals
Xenon
Andromeda
Chimaeras
Mercury
Helicoprions
Care Bears
Chaos
Lasagna Legion
Soul
Drones
King Kongs
Nukes
DOOM
Glacier Mint
Blackout
The Watchmen","The Forest
The Sovereign
Group Zero
The Cosmos
The Abyss
Milky Way
Shark Attack
The Bear Den
North American Soccar Club
Italian Battalion
The Elements
The Swarm
Planet of the Apes
Fallout Shelter
8-Bit Brigade
Minty Fresh
Electric Mayhem
The Comic Crusaders",Lunar,24.2,503.0,30.0,0.406,0.3,9.0,21.0,9929.0,5600.0,4329.0,20.0,14.0,43.0,75.0,26.70%,316.0,178.2,137.8,0.64,0.45,1.37,2.39,331.0,186.7,144.3,0.67,0.47,1.43,2.5,70.0,89.0,2.23,2.83,2.33,2.97
Master,RSC001098,Wafe,"Care Bears
Drones
Soul
Tempests
The Watchmen
Fraud
Chimaeras
Mercury
Immortals
Glacier Mint
Xenon
DOOM","The Bear Den
The Swarm
The Elements
Storm
The Comic Crusaders
Inferno
The Abyss
Milky Way
The Sovereign
Minty Fresh
Group Zero
8-Bit Brigade",Lunar,24.0,246.0,14.0,0.455,0.5,7.0,7.0,4771.0,2590.0,2181.0,10.0,6.0,18.0,39.0,25.60%,310.4,168.5,141.9,0.65,0.39,1.17,2.54,340.8,185.0,155.8,0.71,0.43,1.29,2.79,32.0,36.0,2.08,2.34,2.29,2.57
Master,RSC003479,Skel,"Xenon
Glacier Mint
Fraud
Tempests
King Kongs","Group Zero
Minty Fresh
Inferno
Storm
Planet of the Apes",Solar,21.9,100.0,6.0,0.47,0.5,3.0,3.0,1968.0,910.0,1058.0,1.0,5.0,9.0,11.0,9.10%,315.0,145.7,169.3,0.16,0.8,1.44,1.76,328.0,151.7,176.3,0.17,0.83,1.5,1.83,12.0,13.0,1.92,2.08,2.0,2.17
Master,RSC000402,Reagfam,"Soul
Panthers
Glacier Mint
Fraud
Helicoprions
Flex Tapes
The Watchmen
Lasagna Legion
Mambas
Ares
Xenon
DOOM
Tempests
Phantoms
Immortals
Chimaeras
Drones
King Kongs","The Elements
The Jungle
Minty Fresh
Inferno
Shark Attack
As Seen on TV!
The Comic Crusaders
Italian Battalion
The Serpents
Olympus
Group Zero
8-Bit Brigade
Storm
The Shadows
The Sovereign
The Abyss
The Swarm
Planet of the Apes",Solar,21.8,590.0,36.0,0.37,0.333,12.0,24.0,11227.0,6020.0,5207.0,24.0,11.0,42.0,97.0,24.70%,304.6,163.3,141.3,0.65,0.3,1.14,2.63,311.9,167.2,144.6,0.67,0.31,1.17,2.69,71.0,100.0,1.93,2.71,1.97,2.78
Master,RSC004403,Akabryan,"Helicoprions
DOOM
Tempests
Sabertooths","Shark Attack
8-Bit Brigade
Storm
Polar Vortex",Lunar,20.6,78.0,5.0,0.534,0.6,3.0,2.0,1628.0,1030.0,598.0,2.0,3.0,12.0,8.0,25.00%,334.1,211.4,122.7,0.41,0.62,2.46,1.64,325.6,206.0,119.6,0.4,0.6,2.4,1.6,12.0,11.0,2.46,2.26,2.4,2.2
Master,RSC002691,Soup,"Ares
Drones
Blackout
Immortals
Care Bears","Olympus
The Swarm
Electric Mayhem
The Sovereign
The Bear Den",Lunar,20.5,72.0,5.0,0.279,0.4,2.0,3.0,1488.0,700.0,788.0,3.0,0.0,6.0,10.0,30.00%,330.8,155.6,175.2,0.67,0.0,1.33,2.22,297.6,140.0,157.6,0.6,0.0,1.2,2.0,7.0,13.0,1.56,2.89,1.4,2.6
Master,RSC000314,Homie,"Glacier Mint
Ares
Chimaeras
Chaos
King Kongs","Minty Fresh
Olympus
The Abyss
North American Soccar Club
Planet of the Apes",Solar,19.7,83.0,5.0,0.259,0.4,2.0,3.0,1534.0,680.0,854.0,2.0,2.0,5.0,13.0,15.40%,295.8,131.1,164.7,0.39,0.39,0.96,2.51,306.8,136.0,170.8,0.4,0.4,1.0,2.6,10.0,19.0,1.93,3.66,2.0,3.8
Master,,Wüsten,"Chimaeras
Soul","The Abyss
The Elements",Lunar,19.2,35.0,2.0,0.788,1.0,2.0,0.0,676.0,440.0,236.0,1.0,2.0,4.0,4.0,25.00%,309.1,201.2,107.9,0.46,0.91,1.83,1.83,338.0,220.0,118.0,0.5,1.0,2.0,2.0,7.0,3.0,3.2,1.37,3.5,1.5
Master,RSC004390,Proffit,"Chaos
Mambas
Flex Tapes
Tempests
Care Bears
Immortals
Andromeda
Blackout","North American Soccar Club
The Serpents
As Seen on TV!
Storm
The Bear Den
The Sovereign
The Cosmos
Electric Mayhem",Solar,18.6,146.0,8.0,0.684,0.875,7.0,1.0,2550.0,1480.0,1070.0,3.0,7.0,12.0,23.0,13.00%,279.6,162.3,117.3,0.33,0.77,1.32,2.52,318.8,185.0,133.8,0.38,0.88,1.5,2.88,22.0,13.0,2.41,1.43,2.75,1.63
Master,RSC002473,Zdawg2020Dec,"King Kongs
Sabertooths
Glacier Mint
Blackout
Whiskits and Gravy
Lasagna Legion
Immortals","Planet of the Apes
Polar Vortex
Minty Fresh
Electric Mayhem
The Cat Cafe
Italian Battalion
The Sovereign",Lunar,18.4,139.0,8.0,0.464,0.375,3.0,5.0,2673.0,1470.0,1203.0,4.0,6.0,12.0,17.0,23.50%,307.8,169.3,138.5,0.46,0.69,1.38,1.96,334.1,183.8,150.4,0.5,0.75,1.5,2.13,21.0,23.0,2.42,2.65,2.63,2.88
