Tier,RSC ID,Player Name,Team(s),Franchise(s),Conference,SBV,TS,GP,PWE,WP,W,L,P,SP,NP,G,A,Sv,S,S%,P/A,SP/A,NP/A,G/A,A/A,Sv/A,S/A,P/G,SP/G,NP/G,G/G,A/G,Sv/G,S/G,tm_G,opp_G,tm_G/A,opp_G/A,tm_G/G,opp_G/G
Prospect,,Cdeathuwu,Infrared,The Wavelengths,Solar,105.0,816,56,0.73,0.821,46,10,25048,14910,10138,68,42,78,211,32.2%,427.7,254.6,173.1,1.16,0.72,1.33,3.6,447.3,266.3,181.0,1.21,0.75,1.39,3.77,159,82,2.72,1.4,2.84,1.46
Prospect,RSC004578,Justin Beebear,Hippogriffs,Magical Beasts,Solar,96.5,263,19,0.736,0.737,14,5,7508,4750,2758,26,14,16,65,40.0%,397.8,251.7,146.1,1.38,0.74,0.85,3.44,395.2,250.0,145.2,1.37,0.74,0.84,3.42,58,30,3.07,1.59,3.05,1.58
Prospect,RSC000499,Johkev,Koala Bears,The Bear Den,Lunar,90.3,497,38,0.59,0.632,24,14,14903,8260,6643,35,25,51,96,36.5%,417.9,231.6,186.3,0.98,0.7,1.43,2.69,392.2,217.4,174.8,0.92,0.66,1.34,2.53,90,71,2.52,1.99,2.37,1.87
Prospect,RSC000966,Drip2Ez,Blacktips,Shark Attack,Lunar,89.2,739,52,0.725,0.673,35,17,20297,12380,7917,63,36,49,183,34.4%,382.7,233.4,149.3,1.19,0.68,0.92,3.45,390.3,238.1,152.3,1.21,0.69,0.94,3.52,159,85,3.0,1.6,3.06,1.63
Prospect,RSC003842,Koṫa,Earth,The Elements,Solar,87.4,207,15,0.744,0.8,12,3,5428,3550,1878,14,18,18,35,40.0%,365.4,239.0,126.4,0.94,1.21,1.21,2.36,361.9,236.7,125.2,0.93,1.2,1.2,2.33,49,25,3.3,1.68,3.27,1.67
Prospect,RSC003168,Mykopolis,Earth,The Elements,Solar,83.7,770,54,0.582,0.611,33,21,21814,12780,9034,62,31,67,168,36.9%,394.8,231.3,163.5,1.12,0.56,1.21,3.04,404.0,236.7,167.3,1.15,0.57,1.24,3.11,140,113,2.53,2.04,2.59,2.09
Prospect,RSC003228,Phyzixs6589,Earth,The Elements,Solar,79.0,62,4,0.949,1.0,4,0,1548,1200,348,7,3,4,15,46.7%,347.9,269.7,78.2,1.57,0.67,0.9,3.37,387.0,300.0,87.0,1.75,0.75,1.0,3.75,19,3,4.27,0.67,4.75,0.75
Prospect,RSC001361,Itsjustfruity,Iron,Metal,Lunar,74.7,700,48,0.634,0.708,34,14,18587,10950,7637,51,29,59,145,35.2%,370.0,218.0,152.0,1.02,0.58,1.17,2.89,387.2,228.1,159.1,1.06,0.6,1.23,3.02,133,93,2.65,1.85,2.77,1.94
Prospect,RSC004571,Spoiledbred,Koala Bears,The Bear Den,Lunar,70.4,463,35,0.575,0.571,20,15,13156,7010,6146,34,14,43,76,44.7%,396.0,211.0,185.0,1.02,0.42,1.29,2.29,375.9,200.3,175.6,0.97,0.4,1.23,2.17,85,70,2.56,2.11,2.43,2.0
Prospect,RSC004602,Twitch.Wyxik,Hippogriffs,Magical Beasts,Solar,69.8,591,42,0.629,0.667,28,14,15529,9090,6439,44,19,50,124,35.5%,366.2,214.3,151.8,1.04,0.45,1.18,2.92,369.7,216.4,153.3,1.05,0.45,1.19,2.95,110,78,2.59,1.84,2.62,1.86
Prospect,RSC004670,Carnagewolfbite,Rodan,Kaiju,Solar,69.2,673,47,0.624,0.66,31,16,16980,10030,6950,49,28,47,138,35.5%,351.6,207.7,143.9,1.01,0.58,0.97,2.86,361.3,213.4,147.9,1.04,0.6,1.0,2.94,139,101,2.88,2.09,2.96,2.15
Prospect,,(Xp),Sparks,Electric Mayhem,Lunar,69.0,529,35,0.709,0.686,24,11,13133,7830,5303,39,22,34,113,34.5%,345.9,206.3,139.7,1.03,0.58,0.9,2.98,375.2,223.7,151.5,1.11,0.63,0.97,3.23,109,61,2.87,1.61,3.11,1.74
Prospect,RSC004673,Beans.,Rodan,Kaiju,Solar,69.0,745,51,0.593,0.608,31,20,17994,10500,7494,49,41,42,145,33.8%,336.6,196.4,140.2,0.92,0.77,0.79,2.71,352.8,205.9,146.9,0.96,0.8,0.82,2.84,146,115,2.73,2.15,2.86,2.25
Prospect,RSC001768,Moldypbj,Iron,Metal,Lunar,68.8,738,52,0.615,0.673,35,17,18442,10920,7522,54,33,48,147,36.7%,348.2,206.2,142.0,1.02,0.62,0.91,2.78,354.7,210.0,144.7,1.04,0.63,0.92,2.83,137,101,2.59,1.91,2.63,1.94
Prospect,RSC004709,Bacon Satisfies,Hippogriffs,Magical Beasts,Solar,67.4,746,53,0.635,0.66,35,18,18997,10570,8427,46,35,58,132,34.8%,354.9,197.4,157.4,0.86,0.65,1.08,2.47,358.4,199.4,159.0,0.87,0.66,1.09,2.49,143,100,2.67,1.87,2.7,1.89
Prospect,RSC001078,Binx,Titanoboas,The Serpents,Lunar,66.4,611,45,0.434,0.489,22,23,15699,9010,6689,40,25,53,111,36.0%,358.0,205.5,152.6,0.91,0.57,1.21,2.53,348.9,200.2,148.6,0.89,0.56,1.18,2.47,99,117,2.26,2.67,2.2,2.6
Prospect,,Space,Air Buds,Puppy Paradise,Lunar,66.2,254,16,0.518,0.563,9,7,6648,3900,2748,22,7,17,50,44.0%,364.7,214.0,150.8,1.21,0.38,0.93,2.74,415.5,243.8,171.8,1.38,0.44,1.06,3.13,46,44,2.52,2.41,2.88,2.75
Prospect,RSC000716,Mochi,"Midnight
Hisspy Bacons","The Shadows
The Cat Cafe",Solar,65.3,705,52,0.503,0.462,24,28,17662,9440,8222,36,25,62,149,24.2%,349.1,186.6,162.5,0.71,0.49,1.23,2.95,339.7,181.5,158.1,0.69,0.48,1.19,2.87,109,108,2.15,2.13,2.1,2.08
Prospect,,Fourteen,House Salads,Fifty-Fifty Pizzeria,Solar,65.2,405,28,0.488,0.536,15,13,10041,5560,4481,27,14,26,86,31.4%,345.5,191.3,154.2,0.93,0.48,0.89,2.96,358.6,198.6,160.0,0.96,0.5,0.93,3.07,64,66,2.2,2.27,2.29,2.36
Prospect,RSC002414,Xxdarksidexx,Four Horsemen,Rocket Association Wrestling,Lunar,64.6,641,49,0.435,0.49,24,25,16563,9010,7553,31,30,68,101,30.7%,360.1,195.9,164.2,0.67,0.65,1.48,2.2,338.0,183.9,154.1,0.63,0.61,1.39,2.06,98,116,2.13,2.52,2.0,2.37
Prospect,RSC004028,Parker On 3 Legs,Barbarians,The Sovereign,Lunar,64.2,599,44,0.446,0.409,18,26,14538,7750,6788,27,32,48,105,25.7%,338.2,180.3,157.9,0.63,0.74,1.12,2.44,330.4,176.1,154.3,0.61,0.73,1.09,2.39,103,118,2.4,2.75,2.34,2.68
Prospect,RSC004096,Ben,"Rodan
Midnight","Kaiju
The Shadows",Lunar,64.1,441,30,0.619,0.6,18,12,10103,6250,3853,24,24,35,90,26.7%,319.2,197.5,121.7,0.76,0.76,1.11,2.84,336.8,208.3,128.4,0.8,0.8,1.17,3.0,81,59,2.56,1.86,2.7,1.97
Prospect,RSC001999,Cs O Gunkiller,Sparks,Electric Mayhem,Lunar,63.3,765,52,0.617,0.558,29,23,18484,11340,7144,59,28,49,159,37.1%,336.7,206.6,130.1,1.07,0.51,0.89,2.9,355.5,218.1,137.4,1.13,0.54,0.94,3.06,143,105,2.6,1.91,2.75,2.02
Prospect,RSC002262,Crypt1Cgames,Infrared,The Wavelengths,Solar,62.1,816,56,0.73,0.821,46,10,19557,11560,7997,51,41,60,141,36.2%,334.0,197.4,136.6,0.87,0.7,1.02,2.41,349.2,206.4,142.8,0.91,0.73,1.07,2.52,159,82,2.72,1.4,2.84,1.46
Prospect,RSC004640,Tharealdub,Blacktips,Shark Attack,Lunar,60.3,739,52,0.725,0.673,35,17,17635,10050,7585,47,32,48,135,34.8%,332.5,189.5,143.0,0.89,0.6,0.91,2.55,339.1,193.3,145.9,0.9,0.62,0.92,2.6,159,85,3.0,1.6,3.06,1.63
Prospect,RSC004328,Harsa,Blobfish,The Abyss,Lunar,59.8,494,37,0.505,0.514,19,18,12193,7000,5193,33,19,38,85,38.8%,343.9,197.5,146.5,0.93,0.54,1.07,2.4,329.5,189.2,140.4,0.89,0.51,1.03,2.3,88,87,2.48,2.45,2.38,2.35
Prospect,RSC000253,Musah,Puffins,Polar Vortex,Lunar,59.2,625,43,0.417,0.395,17,26,15854,8790,7064,43,17,50,114,37.7%,353.5,196.0,157.5,0.96,0.38,1.11,2.54,368.7,204.4,164.3,1.0,0.4,1.16,2.65,96,119,2.14,2.65,2.23,2.77
Prospect,RSC004264,Tearlessgoose21,Blobfish,The Abyss,Lunar,57.9,399,29,0.382,0.345,10,19,9303,5300,4003,19,21,34,65,29.2%,324.9,185.1,139.8,0.66,0.73,1.19,2.27,320.8,182.8,138.0,0.66,0.72,1.17,2.24,59,80,2.06,2.79,2.03,2.76
Prospect,,Notz0Han,Red Stags,The Forest,Solar,57.5,731,52,0.452,0.462,24,28,17497,10040,7457,38,30,69,129,29.5%,333.5,191.4,142.2,0.72,0.57,1.32,2.46,336.5,193.1,143.4,0.73,0.58,1.33,2.48,113,128,2.15,2.44,2.17,2.46
Prospect,RSC004277,Ohtrebek,Barbarians,The Sovereign,Lunar,57.3,612,44,0.454,0.432,19,25,15061,9380,5681,50,17,48,113,44.2%,342.9,213.6,129.4,1.14,0.39,1.09,2.57,342.3,213.2,129.1,1.14,0.39,1.09,2.57,108,121,2.46,2.76,2.45,2.75
Prospect,RSC003193,Shiftdrink,Snowfall,Sub Zero,Solar,57.2,730,55,0.428,0.382,21,34,18740,10680,8060,43,20,83,123,35.0%,357.7,203.9,153.9,0.82,0.38,1.58,2.35,340.7,194.2,146.5,0.78,0.36,1.51,2.24,105,127,2.0,2.42,1.91,2.31
Prospect,RSC002480,Blizzyy,Midnight,The Shadows,Lunar,56.9,654,49,0.576,0.592,29,20,16035,8790,7245,34,23,62,114,29.8%,341.7,187.3,154.4,0.72,0.49,1.32,2.43,327.2,179.4,147.9,0.69,0.47,1.27,2.33,101,82,2.15,1.75,2.06,1.67
Prospect,RSC002988,Pwapp,Okapis,The Jungle,Solar,56.9,684,48,0.57,0.521,25,23,16341,9570,6771,42,26,57,122,34.4%,332.9,195.0,137.9,0.86,0.53,1.16,2.49,340.4,199.4,141.1,0.88,0.54,1.19,2.54,120,100,2.44,2.04,2.5,2.08
Prospect,RSC003213,Soba_Man,Hisspy Bacons,The Cat Cafe,Solar,56.6,420,29,0.564,0.586,17,12,10045,5970,4075,31,14,28,77,40.3%,333.3,198.1,135.2,1.03,0.46,0.93,2.55,346.4,205.9,140.5,1.07,0.48,0.97,2.66,79,67,2.62,2.22,2.72,2.31
