Tier,RSC ID,Player Name,Team(s),Franchise(s),Conf.,Div,SBV,TS,GP,TS/GP,PWE,W%,W,L,MVPs,P,SP,NP,G,A,Sv,Sh,Sh%,P/A,SP/A,NP/A,G/A,A/A,Sv/A,S/A,PPG,SPPG,NPPG,GPG,APG,SvPG,ShPG,tm_G,opp_G,tm_G/A,opp_G/A,tm_G/G,opp_G/G
Rival,RSC000136,Blun,Hue Heroes,Art Club,Solar,Solar Ocean,44.59,848,55,15.42,0.488,0.400,22,33,5,18496,10450,8046,44,26,69,130,0.338,330.94,186.98,143.96,0.79,0.47,1.23,2.33,336.29,190.00,146.29,0.80,0.47,1.25,2.36,126,139,2.25,2.49,2.29,2.53
Rival,RSC000156,Drupenson,Hue Heroes,Art Club,Solar,Solar Ocean,51.37,448,29,15.45,0.504,0.448,13,16,6,9811,5440,4371,22,15,34,79,0.278,332.28,184.24,148.04,0.75,0.51,1.15,2.68,338.31,187.59,150.72,0.76,0.52,1.17,2.72,68,66,2.30,2.24,2.34,2.28
Rival,RSC007831,Havox,Hue Heroes,Art Club,Solar,Solar Ocean,54.43,839,53,15.83,0.493,0.415,22,31,11,19272,10990,8282,43,29,77,139,0.309,348.52,198.75,149.78,0.78,0.52,1.39,2.51,363.62,207.36,156.26,0.81,0.55,1.45,2.62,131,138,2.37,2.50,2.47,2.60
Rival,RSC007961,Skrilpp,Jetstream,Remove Before Flight,Lunar,Lunar Ocean,44.31,355,22,16.14,0.466,0.364,8,14,3,7348,4180,3168,17,11,26,63,0.270,314.06,178.65,135.40,0.73,0.47,1.11,2.69,334.00,190.00,144.00,0.77,0.50,1.18,2.86,45,56,1.92,2.39,2.05,2.55
Rival,RSC005703,ShoddyWolfman,Jetstream,Remove Before Flight,Lunar,Lunar Ocean,48.55,720,46,15.65,0.441,0.304,14,32,5,16171,8440,7731,27,20,71,119,0.227,340.78,177.86,162.92,0.57,0.42,1.50,2.51,351.54,183.48,168.07,0.59,0.43,1.54,2.59,83,132,1.75,2.78,1.80,2.87
Rival,RSC007960,Kayo04,Jetstream,Remove Before Flight,Lunar,Lunar Ocean,38.64,743,48,15.48,0.463,0.396,19,29,8,15456,8510,6946,36,20,55,116,0.310,315.63,173.78,141.84,0.74,0.41,1.12,2.37,322.00,177.29,144.71,0.75,0.42,1.15,2.42,98,131,2.00,2.68,2.04,2.73
Rival,RSC007501,RAW MUSHROOMS,"Dropouts
Black Ice","Ghoul School
Sub Zero","Lunar
Solar","Lunar Mountain
Solar Mountain",90.14,566,36,15.72,0.557,0.639,23,13,8,15579,9270,6309,41,29,53,107,0.383,417.63,248.50,169.13,1.10,0.78,1.42,2.87,432.75,257.50,175.25,1.14,0.81,1.47,2.97,108,72,2.90,1.93,3.00,2.00
Rival,RSC008170,Hypernova,Dropouts,Ghoul School,Lunar,Lunar Mountain,68.25,1046,64,16.34,0.529,0.609,39,25,13,25379,14260,11119,55,42,94,196,0.281,368.14,206.85,161.29,0.80,0.61,1.36,2.84,396.55,222.81,173.73,0.86,0.66,1.47,3.06,169,131,2.45,1.90,2.64,2.05
Rival,RSC006747,Panda,Dropouts,Ghoul School,Lunar,Lunar Mountain,22.87,798,50,15.96,0.518,0.560,28,22,5,14627,8340,6287,41,26,39,99,0.414,278.11,158.57,119.54,0.78,0.49,0.74,1.88,292.54,166.80,125.74,0.82,0.52,0.78,1.98,127,110,2.41,2.09,2.54,2.20
Rival,RSC008172,Vera,Ostriches,Flightless Fowl,Lunar,Lunar Cloud,71.81,888,57,15.58,0.508,0.474,27,30,11,21789,13150,8639,54,41,81,165,0.327,372.30,224.69,147.61,0.92,0.70,1.38,2.82,382.26,230.70,151.56,0.95,0.72,1.42,2.89,150,141,2.56,2.41,2.63,2.47
