Tier,RSC ID,Player Name,Team(s),Franchise(s),Conf.,Div,SBV,TS,GP,TS/GP,PWE,W%,W,L,MVPs,P,SP,NP,G,A,Sv,Sh,Sh%,P/A,SP/A,NP/A,G/A,A/A,Sv/A,S/A,PPG,SPPG,NPPG,GPG,APG,SvPG,ShPG,tm_G,opp_G,tm_G/A,opp_G/A,tm_G/G,opp_G/G
Master,RSC007924,Kaorix,Oblivion,Event Horizon,N/A,N/A,42.44,465,29,16.03,0.553,0.621,18,11,4,9531,5480,4051,24,15,29,88,0.273,326.70,187.84,138.86,0.82,0.51,0.99,3.02,328.66,188.97,139.69,0.83,0.52,1.00,3.03,75,52,2.57,1.78,2.59,1.79
Master,RSC001211,liam,Plinko,Never Lucky,N/A,N/A,33.11,412,23,17.91,0.393,0.087,2,21,1,8159,4390,3769,14,13,34,64,0.219,315.65,169.84,145.81,0.54,0.50,1.32,2.48,354.74,190.87,163.87,0.61,0.57,1.48,2.78,45,88,1.74,3.40,1.96,3.83
Master,RSC007997,dreamy.,Plinko,Never Lucky,N/A,N/A,37.84,378,22,17.18,0.365,0.045,1,21,1,8775,4480,4295,11,6,51,53,0.208,370.02,188.91,181.11,0.46,0.25,2.15,2.23,398.86,203.64,195.23,0.50,0.27,2.32,2.41,34,80,1.43,3.37,1.55,3.64
Master,RSC003178,Snack Time!,Plinko,Never Lucky,N/A,N/A,30.94,103,6,17.17,0.330,0.000,0,6,0,2256,1330,926,6,2,10,13,0.462,349.11,205.82,143.30,0.93,0.31,1.55,2.01,376.00,221.67,154.33,1.00,0.33,1.67,2.17,11,23,1.70,3.56,1.83,3.83
Master,RSC007330,Spooky,Lemurs,The Jungle,N/A,N/A,70.94,195,11,17.73,0.458,0.545,6,5,4,4917,2770,2147,10,7,20,42,0.238,401.91,226.42,175.49,0.82,0.57,1.63,3.43,447.00,251.82,195.18,0.91,0.64,1.82,3.82,25,31,2.04,2.53,2.27,2.82
Master,RSC008155,Stormy Wormy.,Lemurs,The Jungle,N/A,N/A,22.32,151,9,16.78,0.409,0.444,4,5,2,2624,1470,1154,5,4,10,27,0.185,276.98,155.17,121.81,0.53,0.42,1.06,2.85,291.56,163.33,128.22,0.56,0.44,1.11,3.00,18,28,1.90,2.96,2.00,3.11
Master,RSC000799,Foam,Helicoprions,Shark Attack,N/A,N/A,67.26,109,8,13.63,0.556,0.625,5,3,3,2717,1460,1257,6,4,9,21,0.286,397.31,213.50,183.81,0.88,0.58,1.32,3.07,339.63,182.50,157.13,0.75,0.50,1.13,2.63,17,13,2.49,1.90,2.13,1.63
Elite,RSC007303,Sky,Pixel Picassos,Art Club,Solar,Solar Ocean,46.75,760,50,15.20,0.493,0.420,21,29,3,15604,8430,7174,25,34,62,113,0.221,324.79,175.47,149.32,0.52,0.71,1.29,2.35,312.08,168.60,143.48,0.50,0.68,1.24,2.26,105,111,2.19,2.31,2.10,2.22
Elite,RSC007260,Veoloux,Pixel Picassos,Art Club,Solar,Solar Ocean,34.86,711,45,15.80,0.486,0.422,19,26,7,14297,7880,6417,32,17,55,108,0.296,318.09,175.32,142.77,0.71,0.38,1.22,2.40,317.71,175.11,142.60,0.71,0.38,1.22,2.40,92,103,2.05,2.29,2.04,2.29
Elite,RSC006547,Sholonk,Pixel Picassos,Art Club,Solar,Solar Ocean,83.21,968,63,15.37,0.491,0.429,27,36,15,25533,13760,11773,56,37,84,211,0.265,417.26,224.86,192.39,0.92,0.60,1.37,3.45,405.29,218.41,186.87,0.89,0.59,1.33,3.35,132,143,2.16,2.34,2.10,2.27
Elite,RSC005024,SSpekky,Wyverns,The Forest,Solar,Solar Mountain,75.32,953,60,15.88,0.496,0.483,29,31,11,24261,13880,10381,56,30,94,208,0.269,402.71,230.40,172.32,0.93,0.50,1.56,3.45,404.35,231.33,173.02,0.93,0.50,1.57,3.47,136,141,2.26,2.34,2.27,2.35
Elite,RSC005524,RaunchyRomanian,Wyverns,The Forest,Solar,Solar Mountain,68.37,820,52,15.77,0.499,0.500,26,26,14,19567,11010,8557,45,39,62,146,0.308,377.48,212.40,165.08,0.87,0.75,1.20,2.82,376.29,211.73,164.56,0.87,0.75,1.19,2.81,121,122,2.33,2.35,2.33,2.35
Elite,RSC005375,Ay G.,Wyverns,The Forest,Solar,Solar Mountain,47.05,625,39,16.03,0.528,0.615,24,15,3,12931,7390,5541,22,27,58,94,0.234,327.29,187.04,140.24,0.56,0.68,1.47,2.38,331.56,189.49,142.08,0.56,0.69,1.49,2.41,103,84,2.61,2.13,2.64,2.15
Elite,RSC007482,MyTyranosaur,Loonie,Money Makers,Lunar,Lunar Ember,58.57,272,18,15.11,0.527,0.500,9,9,3,6217,3360,2857,9,13,29,36,0.250,361.57,195.41,166.16,0.52,0.76,1.69,2.09,345.39,186.67,158.72,0.50,0.72,1.61,2.00,40,34,2.33,1.98,2.22,1.89
Elite,RSC002161,TheAngryTryhard,Loonie,Money Makers,Lunar,Lunar Ember,51.05,904,55,16.44,0.508,0.509,28,27,10,18926,11060,7866,40,43,69,146,0.274,331.18,193.54,137.65,0.70,0.75,1.21,2.55,344.11,201.09,143.02,0.73,0.78,1.25,2.65,139,130,2.43,2.27,2.53,2.36
Elite,RSC006193,Saucy Rexy,Loonie,Money Makers,Lunar,Lunar Ember,49.12,749,48,15.60,0.530,0.563,27,21,7,16901,9690,7211,51,21,47,119,0.429,356.95,204.65,152.30,1.08,0.44,0.99,2.51,352.10,201.88,150.23,1.06,0.44,0.98,2.48,124,98,2.62,2.07,2.58,2.04
Elite,RSC007877,Torro,Demons,The Monster Mash,Lunar,Lunar Cloud,53.34,972,60,16.20,0.511,0.533,32,28,10,21876,12230,9646,46,34,88,153,0.301,356.02,199.04,156.99,0.75,0.55,1.43,2.49,364.60,203.83,160.77,0.77,0.57,1.47,2.55,146,133,2.38,2.16,2.43,2.22
Elite,RSC008133,Lyle,Demons,The Monster Mash,Lunar,Lunar Cloud,65.84,972,60,16.20,0.511,0.533,32,28,12,22404,12680,9724,52,44,67,193,0.269,364.62,206.36,158.25,0.85,0.72,1.09,3.14,373.40,211.33,162.07,0.87,0.73,1.12,3.22,146,133,2.38,2.16,2.43,2.22
Elite,RSC007941,Shepherd,Demons,The Monster Mash,Lunar,Lunar Cloud,49.30,960,59,16.27,0.510,0.525,31,28,10,21168,11930,9238,47,33,83,143,0.329,348.81,196.58,152.22,0.77,0.54,1.37,2.36,358.78,202.20,156.58,0.80,0.56,1.41,2.42,143,131,2.36,2.16,2.42,2.22
Elite,RSC004662,Dmxtt.,"Loonie
Thrashers","Money Makers
The Pit","Lunar
Lunar","Lunar Ember
Lunar Ember",77.13,960,60,16.00,0.518,0.617,37,23,15,24024,14590,9434,72,41,64,214,0.336,395.87,240.42,155.45,1.19,0.68,1.05,3.53,400.40,243.17,157.23,1.20,0.68,1.07,3.57,160,138,2.64,2.27,2.67,2.30
Elite,RSC001986,Colinn,Elephants,Safari,Lunar,Lunar Mountain,59.21,969,61,15.89,0.519,0.607,37,24,14,21919,12350,9569,48,39,77,175,0.274,357.83,201.61,156.21,0.78,0.64,1.26,2.86,359.33,202.46,156.87,0.79,0.64,1.26,2.87,129,109,2.11,1.78,2.11,1.79
Elite,RSC006985,not so jucy skep,Elephants,Safari,Lunar,Lunar Mountain,69.71,830,51,16.27,0.529,0.647,33,18,14,20578,11730,8848,47,23,82,178,0.264,392.20,223.56,168.63,0.90,0.44,1.56,3.39,403.49,230.00,173.49,0.92,0.45,1.61,3.49,110,86,2.10,1.64,2.16,1.69
Elite,RSC005872,Ditto,"Elephants
Vortex Vesper
Thrashers
Ghastly Goombahs","Safari
5 O'clock Nowhere
The Pit
The Syndicate","Lunar
Solar
Lunar
Lunar","Lunar Mountain
Solar Cloud
Lunar Ember
Lunar Cloud",38.92,644,39,16.51,0.484,0.462,18,21,5,13207,7010,6197,19,20,65,86,0.221,324.41,172.19,152.22,0.47,0.49,1.60,2.11,338.64,179.74,158.90,0.49,0.51,1.67,2.21,76,86,1.87,2.11,1.95,2.21
Elite,RSC005373,dvorl.ttv,Despair,The Shadows,Lunar,Lunar Ocean,35.17,577,38,15.18,0.446,0.368,14,24,1,11572,5750,5822,18,14,48,85,0.212,317.26,157.64,159.62,0.49,0.38,1.32,2.33,304.53,151.32,153.21,0.47,0.37,1.26,2.24,62,93,1.70,2.55,1.63,2.45
Elite,RSC003125,GrandPlat,"Despair
Frostbite","The Shadows
Sub Zero","Lunar
Solar","Lunar Ocean
Solar Mountain",72.56,982,63,15.59,0.516,0.476,30,33,16,25439,14530,10909,53,39,116,148,0.358,409.79,234.06,175.73,0.85,0.63,1.87,2.38,403.79,230.63,173.16,0.84,0.62,1.84,2.35,153,134,2.46,2.16,2.43,2.13
Elite,RSC004966,Buck,Despair,The Shadows,Lunar,Lunar Ocean,41.17,534,34,15.71,0.502,0.412,14,20,2,10817,5830,4987,24,19,33,83,0.289,320.44,172.71,147.73,0.71,0.56,0.98,2.46,318.15,171.47,146.68,0.71,0.56,0.97,2.44,79,78,2.34,2.31,2.32,2.29
Elite,RSC002105,Flexy,Despair,The Shadows,Lunar,Lunar Ocean,51.50,633,41,15.44,0.493,0.366,15,26,1,13327,7100,6227,26,24,42,120,0.217,333.05,177.43,155.62,0.65,0.60,1.05,3.00,325.05,173.17,151.88,0.63,0.59,1.02,2.93,88,93,2.20,2.32,2.15,2.27
Elite,RSC002837,FRIKitsHOWARD,Pylons,Road Work Ahead,Lunar,Lunar Ocean,42.28,581,36,16.14,0.443,0.361,13,23,2,11324,6040,5284,17,28,42,84,0.202,308.32,164.45,143.87,0.46,0.76,1.14,2.29,314.56,167.78,146.78,0.47,0.78,1.17,2.33,68,103,1.85,2.80,1.89,2.86
Elite,RSC003412,Python,Pylons,Road Work Ahead,Lunar,Lunar Ocean,39.56,915,56,16.34,0.433,0.321,18,38,4,18471,9680,8791,25,25,89,148,0.169,319.34,167.35,151.98,0.43,0.43,1.54,2.56,329.84,172.86,156.98,0.45,0.45,1.59,2.64,97,169,1.68,2.92,1.73,3.02
Elite,RSC002906,PackRL,Pylons,Road Work Ahead,Lunar,Lunar Ocean,34.65,112,7,16.00,0.500,0.571,4,3,2,2313,1240,1073,6,3,7,14,0.429,326.69,175.14,151.55,0.85,0.42,0.99,1.98,330.43,177.14,153.29,0.86,0.43,1.00,2.00,18,18,2.54,2.54,2.57,2.57
Elite,RSC007077,higsn,Cotija Cartel,Cheese Guild,Lunar,Lunar Mountain,45.08,648,38,17.05,0.470,0.421,16,22,8,14299,7930,6369,32,17,59,93,0.344,349.07,193.59,155.48,0.78,0.42,1.44,2.27,376.29,208.68,167.61,0.84,0.45,1.55,2.45,85,106,2.08,2.59,2.24,2.79
Elite,RSC000508,Bender_Escobar,Cotija Cartel,Cheese Guild,Lunar,Lunar Mountain,41.55,463,27,17.15,0.424,0.333,9,18,4,9688,5660,4028,20,13,46,71,0.282,331.00,193.38,137.62,0.68,0.44,1.57,2.43,358.81,209.63,149.19,0.74,0.48,1.70,2.63,58,95,1.98,3.25,2.15,3.52
Elite,RSC005274,KING.,Cotija Cartel,Cheese Guild,Lunar,Lunar Mountain,50.10,1071,63,17.00,0.469,0.397,25,38,7,23078,12370,10708,46,39,81,177,0.260,340.87,182.71,158.16,0.68,0.58,1.20,2.61,366.32,196.35,169.97,0.73,0.62,1.29,2.81,139,180,2.05,2.66,2.21,2.86
Elite,RSC008198,Taiyo,Fire,The Elements,Solar,Solar Ember,58.41,758,47,16.13,0.474,0.468,22,25,12,18185,9820,8365,34,20,84,122,0.279,379.51,204.94,174.57,0.71,0.42,1.75,2.55,386.91,208.94,177.98,0.72,0.43,1.79,2.60,91,112,1.90,2.34,1.94,2.38
Elite,RSC006860,RyAndGav,"Fire
Artisans","The Elements
Monarchy","Solar
Solar","Solar Ember
Solar Cloud",68.89,183,12,15.25,0.478,0.500,6,6,1,4615,2560,2055,5,10,28,16,0.313,398.93,221.29,177.64,0.43,0.86,2.42,1.38,384.58,213.33,171.25,0.42,0.83,2.33,1.33,24,27,2.07,2.33,2.00,2.25
Elite,RSC007655,Geo,"Fire
Artisans","The Elements
Monarchy","Solar
Solar","Solar Ember
Solar Cloud",30.28,253,16,15.81,0.452,0.500,8,8,1,4971,2920,2051,13,4,20,42,0.310,310.81,182.57,128.24,0.81,0.25,1.25,2.63,310.69,182.50,128.19,0.81,0.25,1.25,2.63,31,41,1.94,2.56,1.94,2.56
Elite,RSC004990,Legend,Artisans,Monarchy,Solar,Solar Cloud,24.10,301,20,15.05,0.361,0.150,3,17,1,5490,2880,2610,7,8,28,38,0.184,288.53,151.36,137.17,0.37,0.42,1.47,2.00,274.50,144.00,130.50,0.35,0.40,1.40,1.90,27,64,1.42,3.36,1.35,3.20
Elite,RSC004863,wicked,"Artisans
Despair","Monarchy
The Shadows","Solar
Lunar","Solar Cloud
Lunar Ocean",39.43,609,40,15.23,0.376,0.200,8,32,7,12602,6370,6232,22,11,51,107,0.206,327.34,165.46,161.88,0.57,0.29,1.32,2.78,315.05,159.25,155.80,0.55,0.28,1.28,2.68,52,132,1.35,3.43,1.30,3.30
Elite,RSC008122,BroGott1,Artisans,Monarchy,Solar,Solar Cloud,29.45,297,20,14.85,0.347,0.150,3,17,0,5637,2900,2737,9,10,23,35,0.257,300.24,154.46,145.78,0.48,0.53,1.23,1.86,281.85,145.00,136.85,0.45,0.50,1.15,1.75,25,65,1.33,3.46,1.25,3.25
Elite,RSC000009,Timbo,Menthol,Minty Fresh,Solar,Solar Ember,62.81,855,54,15.83,0.475,0.444,24,30,10,20579,12010,8569,52,35,75,131,0.397,380.75,222.21,158.54,0.96,0.65,1.39,2.42,381.09,222.41,158.69,0.96,0.65,1.39,2.43,128,156,2.37,2.89,2.37,2.89
Elite,RSC003831,Aki,Menthol,Minty Fresh,Solar,Solar Ember,53.07,518,31,16.71,0.504,0.516,16,15,7,11583,6970,4613,30,18,44,87,0.345,353.73,212.85,140.87,0.92,0.55,1.34,2.66,373.65,224.84,148.81,0.97,0.58,1.42,2.81,81,79,2.47,2.41,2.61,2.55
Elite,RSC004214,Miserable,Menthol,Minty Fresh,Solar,Solar Ember,56.93,798,52,15.35,0.467,0.404,21,31,7,18757,10440,8317,38,25,83,124,0.306,371.82,206.95,164.87,0.75,0.50,1.65,2.46,360.71,200.77,159.94,0.73,0.48,1.60,2.38,115,149,2.28,2.95,2.21,2.87
Elite,RSC006438,WestyzWorld,"Praetorian Guard
Stoked Blokes","The Sovereign
Vibe Tribe","Solar
Solar","Solar Cloud
Solar Ocean",43.95,246,15,16.40,0.523,0.467,7,8,2,4882,2640,2242,7,9,21,44,0.159,313.94,169.76,144.17,0.45,0.58,1.35,2.83,325.47,176.00,149.47,0.47,0.60,1.40,2.93,31,27,1.99,1.74,2.07,1.80
Elite,RSC001243,Destin,Praetorian Guard,The Sovereign,Solar,Solar Cloud,88.28,1032,64,16.13,0.528,0.609,39,25,20,28103,15420,12683,65,47,90,207,0.314,430.78,236.36,194.41,1.00,0.72,1.38,3.17,439.11,240.94,198.17,1.02,0.73,1.41,3.23,163,128,2.50,1.96,2.55,2.00
Elite,RSC004856,Redfire0817,Praetorian Guard,The Sovereign,Solar,Solar Cloud,60.46,393,24,16.38,0.547,0.583,14,10,4,8828,5110,3718,21,18,28,71,0.296,355.34,205.69,149.66,0.85,0.72,1.13,2.86,367.83,212.92,154.92,0.88,0.75,1.17,2.96,60,44,2.42,1.77,2.50,1.83
Elite,RSC006649,morgan,Orochi,The Shrine,Solar,Solar Ocean,55.60,675,46,14.67,0.492,0.457,21,25,11,15379,8460,6919,29,18,68,126,0.230,360.41,198.26,162.15,0.68,0.42,1.59,2.95,334.33,183.91,150.41,0.63,0.39,1.48,2.74,86,92,2.02,2.16,1.87,2.00
Elite,RSC005374,A Yapping Panda,Orochi,The Shrine,Solar,Solar Ocean,52.59,900,59,15.25,0.489,0.492,29,30,8,20450,11390,9060,44,27,84,144,0.306,359.44,200.20,159.24,0.77,0.47,1.48,2.53,346.61,193.05,153.56,0.75,0.46,1.42,2.44,114,125,2.00,2.20,1.93,2.12
Elite,RSC004797,Tempest,Orochi,The Shrine,Solar,Solar Ocean,57.47,657,44,14.93,0.487,0.500,22,22,6,15294,8170,7124,30,20,61,112,0.268,368.24,196.71,171.53,0.72,0.48,1.47,2.70,347.59,185.68,161.91,0.68,0.45,1.39,2.55,87,96,2.09,2.31,1.98,2.18
Elite,RSC007954,Killer,"Great Whites
Wyverns
Elephants
Praetorian Guard
Demons","Shark Attack
The Forest
Safari
The Sovereign
The Monster Mash","Solar
Solar
Lunar
Solar
Lunar","Solar Mountain
Solar Mountain
Lunar Mountain
Solar Cloud
Lunar Cloud",45.55,679,44,15.43,0.504,0.477,21,23,3,14269,7580,6689,23,27,60,93,0.247,332.43,176.59,155.84,0.54,0.63,1.40,2.17,324.30,172.27,152.02,0.52,0.61,1.36,2.11,98,95,2.28,2.21,2.23,2.16
Elite,RSC007282,.krs,Great Whites,Shark Attack,Solar,Solar Mountain,96.71,838,56,14.96,0.564,0.661,37,19,18,23748,13910,9838,59,46,82,161,0.366,448.29,262.58,185.71,1.11,0.87,1.55,3.04,424.07,248.39,175.68,1.05,0.82,1.46,2.88,157,93,2.96,1.76,2.80,1.66
Elite,RSC006409,Reported.,Great Whites,Shark Attack,Solar,Solar Mountain,67.94,863,57,15.14,0.546,0.632,36,21,10,21239,12130,9109,53,38,71,138,0.384,389.32,222.35,166.97,0.97,0.70,1.30,2.53,372.61,212.81,159.81,0.93,0.67,1.25,2.42,152,104,2.79,1.91,2.67,1.82
Elite,RSC005705,Rapidz (Goofy and Silly),Keno,Never Lucky,Lunar,Lunar Ember,80.97,991,64,15.48,0.512,0.516,33,31,15,25702,14810,10892,57,49,97,181,0.315,410.27,236.41,173.86,0.91,0.78,1.55,2.89,401.59,231.41,170.19,0.89,0.77,1.52,2.83,154,139,2.46,2.22,2.41,2.17
Elite,RSC006218,Stingray,Keno,Never Lucky,Lunar,Lunar Ember,53.13,419,27,15.52,0.497,0.407,11,16,0,9297,4980,4317,12,14,48,68,0.176,351.00,188.02,162.98,0.45,0.53,1.81,2.57,344.33,184.44,159.89,0.44,0.52,1.78,2.52,58,59,2.19,2.23,2.15,2.19
Elite,RSC008224,Gwolden,Keno,Never Lucky,Lunar,Lunar Ember,58.30,785,51,15.39,0.522,0.569,29,22,7,18285,10020,8265,42,27,63,132,0.318,368.47,201.92,166.55,0.85,0.54,1.27,2.66,358.53,196.47,162.06,0.82,0.53,1.24,2.59,129,108,2.60,2.18,2.53,2.12
Elite,RSC002890,Myth1ck,Black-Holes,The Cosmos,Lunar,Lunar Cloud,64.35,919,56,16.41,0.490,0.482,27,29,9,21894,13300,8594,50,38,97,155,0.323,376.87,228.94,147.93,0.86,0.65,1.67,2.67,390.96,237.50,153.46,0.89,0.68,1.73,2.77,133,144,2.29,2.48,2.38,2.57
Elite,RSC007718,dxge,Black-Holes,The Cosmos,Lunar,Lunar Cloud,66.21,333,22,15.14,0.477,0.455,10,12,6,8593,4740,3853,20,8,36,54,0.370,408.21,225.17,183.03,0.95,0.38,1.71,2.57,390.59,215.45,175.14,0.91,0.36,1.64,2.45,44,51,2.09,2.42,2.00,2.32
