Tier,RSC ID,Player Name,Team(s),Franchise(s),Conference,SBV,TS,GP,PWE,WP,W,L,P,SP,NP,G,A,Sv,S,S%,P/A,SP/A,NP/A,G/A,A/A,Sv/A,S/A,P/G,SP/G,NP/G,G/G,A/G,Sv/G,S/G,tm_G,opp_G,tm_G/A,opp_G/A,tm_G/G,opp_G/G
Veteran,RSC006049,Iamreaperr_-,Titanium,Metal,Solar,95.4,941,59,0.662,0.678,40,19,25876,15910,9966,80,52,66,201,39.8%,426.6,262.3,164.3,1.32,0.86,1.09,3.31,438.6,269.7,168.9,1.36,0.88,1.12,3.41,198,131,3.26,2.16,3.36,2.22
Veteran,,Ace,Possessed,Destined,Solar,88.0,79,5,0.419,0.2,1,4,2271,1470,801,7,2,10,17,41.2%,446.0,288.7,157.3,1.37,0.39,1.96,3.34,454.2,294.0,160.2,1.4,0.4,2.0,3.4,14,17,2.75,3.34,2.8,3.4
Veteran,RSC006287,Chase Bank,Supernova,The Cosmos,Lunar,86.7,716,44,0.688,0.727,32,12,18644,11680,6964,53,40,58,148,35.8%,404.0,253.1,150.9,1.15,0.87,1.26,3.21,423.7,265.5,158.3,1.2,0.91,1.32,3.36,136,82,2.95,1.78,3.09,1.86
Veteran,RSC006408,Mw_Firegodk,Humpbacks,Whale Defense,Solar,86.4,586,39,0.556,0.513,20,19,15900,9260,6640,37,31,57,116,31.9%,421.0,245.2,175.8,0.98,0.82,1.51,3.07,407.7,237.4,170.3,0.95,0.79,1.46,2.97,98,85,2.59,2.25,2.51,2.18
Veteran,RSC005245,Rmack,Banana Spiders,Eight Legged Freaks,Lunar,81.2,52,4,0.3,0.0,0,4,1264,700,564,2,4,4,10,20.0%,377.1,208.8,168.3,0.6,1.19,1.19,2.98,316.0,175.0,141.0,0.5,1.0,1.0,2.5,10,16,2.98,4.77,2.5,4.0
Veteran,RSC004820,Aos Arctic,Possessed,Destined,Solar,80.1,919,59,0.613,0.559,33,26,24363,13910,10453,51,49,93,171,29.8%,411.3,234.8,176.5,0.86,0.83,1.57,2.89,412.9,235.8,177.2,0.86,0.83,1.58,2.9,172,129,2.9,2.18,2.92,2.19
Veteran,RSC003168,Mykopolis,Seadevils,The Abyss,Lunar,79.3,870,54,0.554,0.574,31,23,22781,14060,8721,67,33,78,181,37.0%,406.2,250.7,155.5,1.19,0.59,1.39,3.23,421.9,260.4,161.5,1.24,0.61,1.44,3.35,149,130,2.66,2.32,2.76,2.41
Veteran,RSC006468,Alphachuck,"Typhoons
Gouda Gangsters","Storm
Cheese Guild",Lunar,78.0,109,8,0.731,0.875,7,1,2955,1680,1275,8,3,10,23,34.8%,420.6,239.1,181.5,1.14,0.43,1.42,3.27,369.4,210.0,159.4,1.0,0.38,1.25,2.88,21,11,2.99,1.57,2.63,1.38
Veteran,RSC005100,Fluffy,Supernova,The Cosmos,Lunar,77.1,799,50,0.696,0.7,35,15,20514,11990,8524,54,34,65,164,32.9%,398.3,232.8,165.5,1.05,0.66,1.26,3.18,410.3,239.8,170.5,1.08,0.68,1.3,3.28,147,86,2.85,1.67,2.94,1.72
Veteran,RSC005100,Fluffy,Supernova,The Cosmos,Lunar,77.1,799,50,0.696,0.7,35,15,20514,11990,8524,54,34,65,164,32.9%,398.3,232.8,165.5,1.05,0.66,1.26,3.18,410.3,239.8,170.5,1.08,0.68,1.3,3.28,147,86,2.85,1.67,2.94,1.72
Veteran,RSC000367,Pana,Seadevils,The Abyss,Lunar,76.5,879,54,0.578,0.611,33,21,22093,13640,8453,56,46,81,169,33.1%,389.9,240.7,149.2,0.99,0.81,1.43,2.98,409.1,252.6,156.5,1.04,0.85,1.5,3.13,155,127,2.74,2.24,2.87,2.35
Veteran,RSC002492,Dray,"Cthulhu
Spastics
Cepheus","The Mythos
The Quad Dynasty
The Nexus",Solar,75.8,453,31,0.473,0.452,14,17,11566,6500,5066,34,10,30,110,30.9%,396.1,222.6,173.5,1.16,0.34,1.03,3.77,373.1,209.7,163.4,1.1,0.32,0.97,3.55,71,76,2.43,2.6,2.29,2.45
Veteran,RSC005920,R0Xy-_-,Linguini Lancers,Italian Battalion,Lunar,75.5,296,20,0.59,0.55,11,9,7730,4240,3490,13,13,34,59,22.0%,405.2,222.2,182.9,0.68,0.68,1.78,3.09,386.5,212.0,174.5,0.65,0.65,1.7,2.95,41,32,2.15,1.68,2.05,1.6
Veteran,RSC005522,Diviniation,Calzones,Fifty-Fifty Pizzeria,Lunar,74.3,909,58,0.566,0.552,32,26,23868,13790,10078,50,37,104,174,28.7%,407.4,235.4,172.0,0.85,0.63,1.78,2.97,411.5,237.8,173.8,0.86,0.64,1.79,3.0,145,122,2.47,2.08,2.5,2.1
Veteran,RSC005374,A Calm Panda,Banana Spiders,Eight Legged Freaks,Lunar,73.8,834,56,0.562,0.554,31,25,22016,12910,9106,56,34,82,151,37.1%,409.5,240.2,169.4,1.04,0.63,1.53,2.81,393.1,230.5,162.6,1.0,0.61,1.46,2.7,144,123,2.68,2.29,2.57,2.2
Veteran,RSC002559,Commanderboy,"Typhoons
Rockin Revenants","Storm
Ghoul School",Solar,73.0,660,43,0.619,0.581,25,18,17689,9990,7699,40,20,74,129,31.0%,415.8,234.8,181.0,0.94,0.47,1.74,3.03,411.4,232.3,179.0,0.93,0.47,1.72,3.0,111,81,2.61,1.9,2.58,1.88
