Tier,RSC ID,Player Name,Team(s),Franchise(s),Conf.,Div,SBV,TS,GP,TS/GP,PWE,W%,W,L,MVPs,P,SP,NP,G,A,Sv,Sh,Sh%,P/A,SP/A,NP/A,G/A,A/A,Sv/A,S/A,PPG,SPPG,NPPG,GPG,APG,SvPG,ShPG,tm_G,opp_G,tm_G/A,opp_G/A,tm_G/G,opp_G/G,opp_S,opp_S/A,opp_S/G,opp_S%
Premier,RSC007382,takeeover,Gummy Bears,The Bear Den,N/A,N/A,58.33,66,4,16.50,0.500,0.250,1,3,0,1503,760,743,2,4,6,6,0.333,382.99,193.66,189.33,0.51,1.02,1.53,1.53,375.75,190.00,185.75,0.50,1.00,1.50,1.50,9,9,2.29,2.29,2.25,2.25,36,9.17,9.00,0.25
Premier,RSC005170,FrenchyNF,Gummy Bears,The Bear Den,N/A,N/A,58.24,851,56,15.20,0.499,0.446,25,31,10,19415,10600,8815,38,33,77,130,0.292,383.69,209.48,174.21,0.75,0.65,1.52,2.57,346.70,189.29,157.41,0.68,0.59,1.38,2.32,116,117,2.29,2.31,2.07,2.09,428,8.46,7.64,0.27
Premier,RSC000181,Eclipse,Gummy Bears,The Bear Den,N/A,N/A,57.29,785,52,15.10,0.499,0.462,24,28,7,17023,9430,7593,36,29,60,138,0.261,364.70,202.03,162.67,0.77,0.62,1.29,2.96,327.37,181.35,146.02,0.69,0.56,1.15,2.65,107,108,2.29,2.31,2.06,2.08,392,8.40,7.54,0.28
Premier,RSC001605,Reeves,Punks,The Pit,N/A,N/A,56.51,871,50,17.42,0.508,0.560,28,22,10,20310,11160,9150,40,29,88,131,0.305,392.16,215.48,176.67,0.77,0.56,1.70,2.53,406.20,223.20,183.00,0.80,0.58,1.76,2.62,123,115,2.37,2.22,2.46,2.30,449,8.67,8.98,0.26
Premier,RSC008139,Oibu,Gummy Bears,The Bear Den,N/A,N/A,56.49,851,56,15.20,0.499,0.446,25,31,8,19730,10840,8890,40,23,84,149,0.268,389.91,214.22,175.69,0.79,0.45,1.66,2.94,352.32,193.57,158.75,0.71,0.41,1.50,2.66,116,117,2.29,2.31,2.07,2.09,428,8.46,7.64,0.27
Premier,RSC001977,T.,Double Mint,Minty Fresh,N/A,N/A,55.07,827,49,16.88,0.529,0.592,29,20,6,17577,9540,8037,37,33,57,134,0.276,357.45,194.01,163.44,0.75,0.67,1.16,2.73,358.71,194.69,164.02,0.76,0.67,1.16,2.73,129,103,2.62,2.09,2.63,2.10,367,7.46,7.49,0.28
Premier,RSC002050,Goobz,Super Clusters,The Cosmos,N/A,N/A,54.79,65,4,16.25,0.427,0.250,1,3,0,1179,580,599,1,5,3,8,0.125,305.05,150.07,154.98,0.26,1.29,0.78,2.07,294.75,145.00,149.75,0.25,1.25,0.75,2.00,10,13,2.59,3.36,2.50,3.25,28,7.24,7.00,0.46
Premier,RSC002714,Nika,Crooked Capos,The Syndicate,N/A,N/A,53.97,909,52,17.48,0.492,0.462,24,28,4,19612,10590,9022,37,35,74,144,0.257,362.85,195.93,166.92,0.68,0.65,1.37,2.66,377.15,203.65,173.50,0.71,0.67,1.42,2.77,117,125,2.16,2.31,2.25,2.40,496,9.18,9.54,0.25
Premier,RSC008634,LEUMYY,Megalodons,Shark Attack,N/A,N/A,51.68,348,20,17.40,0.454,0.350,7,13,2,7538,4260,3278,16,7,32,71,0.225,364.29,205.87,158.42,0.77,0.34,1.55,3.43,376.90,213.00,163.90,0.80,0.35,1.60,3.55,40,53,1.93,2.56,2.00,2.65,179,8.65,8.95,0.30
Premier,RSC006534,FIN0oo,Megalodons,Shark Attack,N/A,N/A,50.75,863,52,16.60,0.462,0.404,21,31,8,19730,10690,9040,30,26,102,129,0.233,384.49,208.32,176.17,0.58,0.51,1.99,2.51,379.42,205.58,173.85,0.58,0.50,1.96,2.48,97,132,1.89,2.57,1.87,2.54,459,8.94,8.83,0.29
Premier,RSC004215,Tsheg,Capybaras,The Jungle,N/A,N/A,50.35,658,40,16.45,0.522,0.575,23,17,7,14049,7850,6199,32,19,52,110,0.291,359.08,200.64,158.44,0.82,0.49,1.33,2.81,351.23,196.25,154.98,0.80,0.48,1.30,2.75,99,84,2.53,2.15,2.48,2.10,302,7.72,7.55,0.28
Premier,RSC001903,Plasma,Crooked Capos,The Syndicate,N/A,N/A,49.75,686,38,18.05,0.482,0.447,17,21,5,14677,8260,6417,30,25,61,96,0.313,359.82,202.50,157.32,0.74,0.61,1.50,2.35,386.24,217.37,168.87,0.79,0.66,1.61,2.53,86,98,2.11,2.40,2.26,2.58,370,9.07,9.74,0.26
Premier,RSC006970,Sniz,Super Clusters,The Cosmos,N/A,N/A,49.44,806,44,18.32,0.453,0.341,15,29,7,17272,8990,8282,30,25,68,134,0.224,360.39,187.58,172.81,0.63,0.52,1.42,2.80,392.55,204.32,188.23,0.68,0.57,1.55,3.05,91,130,1.90,2.71,2.07,2.95,403,8.41,9.16,0.32
Premier,RSC003804,ayylo,Punks,The Pit,N/A,N/A,46.19,940,54,17.41,0.504,0.556,30,24,7,19513,11250,8263,36,34,93,130,0.277,349.11,201.28,147.84,0.64,0.61,1.66,2.33,361.35,208.33,153.02,0.67,0.63,1.72,2.41,133,129,2.38,2.31,2.46,2.39,484,8.66,8.96,0.27
Premier,RSC008513,sigms,Long Beards,Dwarf Haven,N/A,N/A,45.05,1031,56,18.41,0.567,0.696,39,17,6,18214,9930,8284,38,50,41,158,0.241,297.11,161.98,135.13,0.62,0.82,0.67,2.58,325.25,177.32,147.93,0.68,0.89,0.73,2.82,165,94,2.69,1.53,2.95,1.68,452,7.37,8.07,0.21
Premier,RSC000672,JK,Long Beards,Dwarf Haven,N/A,N/A,42.41,54,4,13.50,0.829,1.000,4,0,1,1204,670,534,3,1,5,7,0.429,374.98,208.67,166.31,0.93,0.31,1.56,2.18,301.00,167.50,133.50,0.75,0.25,1.25,1.75,10,2,3.11,0.62,2.50,0.50,21,6.54,5.25,0.10
Premier,RSC005499,R0cket,Capybaras,The Jungle,N/A,N/A,41.77,525,32,16.41,0.480,0.531,17,15,1,10105,5630,4475,19,20,40,73,0.260,323.70,180.35,143.35,0.61,0.64,1.28,2.34,315.78,175.94,139.84,0.59,0.63,1.25,2.28,69,79,2.21,2.53,2.16,2.47,277,8.87,8.66,0.29
Premier,RSC007924,Kaorix,Megalodons,Shark Attack,N/A,N/A,40.87,460,29,15.86,0.451,0.448,13,16,3,9839,5460,4379,20,7,47,76,0.263,359.72,199.62,160.10,0.73,0.26,1.72,2.78,339.28,188.28,151.00,0.69,0.24,1.62,2.62,50,70,1.83,2.56,1.72,2.41,254,9.29,8.76,0.28
Premier,RSC006087,DoorTK,Double Mint,Minty Fresh,N/A,N/A,38.75,140,9,15.56,0.478,0.333,3,6,0,2627,1310,1317,4,5,9,21,0.190,315.57,157.37,158.21,0.48,0.60,1.08,2.52,291.89,145.56,146.33,0.44,0.56,1.00,2.33,18,20,2.16,2.40,2.00,2.22,63,7.57,7.00,0.32
Premier,RSC005100,Fluffy,Super Clusters,The Cosmos,N/A,N/A,36.28,783,43,18.21,0.442,0.326,14,29,5,15229,8370,6859,21,26,79,102,0.206,327.10,179.78,147.32,0.45,0.56,1.70,2.19,354.16,194.65,159.51,0.49,0.60,1.84,2.37,86,133,1.85,2.86,2.00,3.09,405,8.70,9.42,0.33
Premier,RSC007893,solar722,Super Clusters,The Cosmos,N/A,N/A,35.68,740,40,18.50,0.433,0.300,12,28,3,14462,7880,6582,35,9,52,133,0.263,328.68,179.09,149.59,0.80,0.20,1.18,3.02,361.55,197.00,164.55,0.88,0.23,1.30,3.33,77,127,1.75,2.89,1.93,3.18,408,9.27,10.20,0.31
Premier,RSC003749,Rule,Crooked Capos,The Syndicate,N/A,N/A,35.33,453,26,17.42,0.480,0.346,9,17,3,9177,4910,4267,18,10,40,61,0.295,340.70,182.29,158.41,0.67,0.37,1.49,2.26,352.96,188.85,164.12,0.69,0.38,1.54,2.35,55,63,2.04,2.34,2.12,2.42,254,9.43,9.77,0.25
Premier,RSC007282,.krs,Megalodons,Shark Attack,N/A,N/A,33.68,486,27,18.00,0.470,0.407,11,16,3,8782,4830,3952,15,16,37,68,0.221,303.90,167.14,136.76,0.52,0.55,1.28,2.35,325.26,178.89,146.37,0.56,0.59,1.37,2.52,57,70,1.97,2.42,2.11,2.59,247,8.55,9.15,0.28
Premier,RSC000996,GreenSleeves,Punks,The Pit,N/A,N/A,31.45,146,10,14.60,0.406,0.400,4,6,0,2765,1470,1295,5,3,12,22,0.227,318.50,169.33,149.17,0.58,0.35,1.38,2.53,276.50,147.00,129.50,0.50,0.30,1.20,2.20,17,27,1.96,3.11,1.70,2.70,79,9.10,7.90,0.34
Premier,RSC004208,Super,Capybaras,The Jungle,N/A,N/A,27.90,778,48,16.21,0.507,0.542,26,22,2,14359,7700,6659,23,22,68,90,0.256,310.39,166.45,143.95,0.50,0.48,1.47,1.95,299.15,160.42,138.73,0.48,0.46,1.42,1.88,107,101,2.31,2.18,2.23,2.10,384,8.30,8.00,0.26
Premier,RSC005187,3565336c98822fdd,Super Clusters,The Cosmos,N/A,N/A,19.96,67,4,16.75,0.231,0.250,1,3,0,1179,640,539,2,1,6,9,0.222,295.94,160.65,135.30,0.50,0.25,1.51,2.26,294.75,160.00,134.75,0.50,0.25,1.50,2.25,4,13,1.00,3.26,1.00,3.25,39,9.79,9.75,0.33
Premier,RSC003008,GeneralZippy,Megalodons,Shark Attack,N/A,N/A,19.51,330,20,16.50,0.360,0.200,4,16,1,5642,2720,2922,10,5,20,47,0.213,287.53,138.62,148.91,0.51,0.25,1.02,2.40,282.10,136.00,146.10,0.50,0.25,1.00,2.35,25,61,1.27,3.11,1.25,3.05,188,9.58,9.40,0.32
Premier,RSC004132,RobFromRSC,Super Clusters,The Cosmos,N/A,N/A,16.41,180,9,20.00,0.344,0.111,1,8,0,3338,1970,1368,6,1,22,22,0.273,311.88,184.06,127.82,0.56,0.09,2.06,2.06,370.89,218.89,152.00,0.67,0.11,2.44,2.44,15,33,1.40,3.08,1.67,3.67,116,10.84,12.89,0.28
Premier,RSC000232,Unexpected,Capybaras,The Jungle,N/A,N/A,0.04,65,4,16.25,0.251,0.000,0,4,0,1124,560,564,1,0,8,6,0.167,290.82,144.89,145.93,0.26,0.00,2.07,1.55,281.00,140.00,141.00,0.25,0.00,2.00,1.50,5,14,1.29,3.62,1.25,3.50,47,12.16,11.75,0.30
Premier,RSC008524,legal account,Super Clusters,The Cosmos,N/A,N/A,-2.56,144,8,18.00,0.242,0.000,0,8,0,2455,1320,1135,3,1,18,7,0.429,286.72,154.16,132.56,0.35,0.12,2.10,0.82,306.88,165.00,141.88,0.38,0.13,2.25,0.88,10,36,1.17,4.20,1.25,4.50,109,12.73,13.63,0.33
Master,RSC002125,Neoblastz,Olympic Knights,The Rising,N/A,N/A,98.81,879,56,15.70,0.551,0.607,34,22,15,25384,14970,10414,63,43,94,182,0.346,471.66,278.16,193.50,1.17,0.80,1.75,3.38,453.29,267.32,185.96,1.13,0.77,1.68,3.25,146,96,2.71,1.78,2.61,1.71,397,7.38,7.09,0.24
Master,RSC006985,not so jucy skep,Kawaii,The Pit,N/A,N/A,91.86,13,1,13.00,0.734,1.000,1,0,0,404,230,174,1,0,2,3,0.333,507.57,288.96,218.61,1.26,0.00,2.51,3.77,404.00,230.00,174.00,1.00,0.00,2.00,3.00,2,1,2.51,1.26,2.00,1.00,8,10.05,8.00,0.13
Master,RSC002490,bex,Nightmare,The Shadows,N/A,N/A,88.89,66,4,16.50,0.500,0.500,2,2,1,1647,860,787,2,4,6,16,0.125,407.58,212.82,194.76,0.49,0.99,1.48,3.96,411.75,215.00,196.75,0.50,1.00,1.50,4.00,9,9,2.23,2.23,2.25,2.25,31,7.67,7.75,0.29
Master,RSC010000,Spoon,Eastern Brown,Venom Lab,N/A,N/A,87.32,986,60,16.43,0.526,0.633,38,22,15,26116,14910,11206,67,46,76,211,0.318,432.60,246.98,185.62,1.11,0.76,1.26,3.50,435.27,248.50,186.77,1.12,0.77,1.27,3.52,169,137,2.80,2.27,2.82,2.28,432,7.16,7.20,0.32
Master,RSC013077,bustt.,"Andromeda
Leviathans","The Cosmos
Mythical","N/A
N/A","N/A
N/A",81.88,283,19,14.89,0.524,0.526,10,9,4,7377,4010,3367,15,15,25,51,0.294,425.75,231.43,194.32,0.87,0.87,1.44,2.94,388.26,211.05,177.21,0.79,0.79,1.32,2.68,45,39,2.60,2.25,2.37,2.05,131,7.56,6.89,0.30
Master,RSC008174,DJ,Blackbirds,Mach Velocity,N/A,N/A,81.47,333,18,18.50,0.562,0.667,12,6,6,8599,5030,3569,22,17,27,63,0.349,421.76,246.71,175.05,1.08,0.83,1.32,3.09,477.72,279.44,198.28,1.22,0.94,1.50,3.50,64,45,3.14,2.21,3.56,2.50,149,7.31,8.28,0.30
Master,RSC008242,Snipes,Andromeda,The Cosmos,N/A,N/A,81.37,778,48,16.21,0.533,0.625,30,18,13,20417,12170,8247,50,35,78,152,0.329,428.62,255.49,173.13,1.05,0.73,1.64,3.19,425.35,253.54,171.81,1.04,0.73,1.63,3.17,132,102,2.77,2.14,2.75,2.13,359,7.54,7.48,0.28
Master,RSC004887,Laser,Diplomats,The King's Court,N/A,N/A,80.05,909,56,16.23,0.516,0.625,35,21,20,24539,13840,10699,53,41,100,149,0.356,440.91,248.68,192.24,0.95,0.74,1.80,2.68,438.20,247.14,191.05,0.95,0.73,1.79,2.66,144,127,2.59,2.28,2.57,2.27,471,8.46,8.41,0.27
Master,RSC000657,Saucey,Heinous Henchmen,The Syndicate,N/A,N/A,74.47,978,60,16.30,0.539,0.633,38,22,15,24829,14220,10609,58,45,89,172,0.337,414.65,237.48,177.17,0.97,0.75,1.49,2.87,413.82,237.00,176.82,0.97,0.75,1.48,2.87,160,115,2.67,1.92,2.67,1.92,457,7.63,7.62,0.25
Master,RSC005524,RaunchyRomanian,"Care Bears
Spectres","The Bear Den
The Monster Mash","N/A
N/A","N/A
N/A",74.08,646,40,16.15,0.489,0.450,18,22,11,16230,8980,7250,34,26,60,128,0.266,410.34,227.04,183.30,0.86,0.66,1.52,3.24,405.75,224.50,181.25,0.85,0.65,1.50,3.20,92,100,2.33,2.53,2.30,2.50,308,7.79,7.70,0.32
Master,RSC000241,Geherpaderp,Olympic Knights,The Rising,N/A,N/A,73.65,845,54,15.65,0.550,0.593,32,22,11,20738,11990,8748,49,38,70,169,0.290,400.84,231.75,169.09,0.95,0.73,1.35,3.27,384.04,222.04,162.00,0.91,0.70,1.30,3.13,141,94,2.73,1.82,2.61,1.74,377,7.29,6.98,0.25
Master,RSC003445,bosco,Battle Masters,Dwarf Haven,N/A,N/A,73.48,64,4,16.00,0.590,0.750,3,1,1,1589,1070,519,6,1,5,17,0.353,405.51,273.06,132.45,1.53,0.26,1.28,4.34,397.25,267.50,129.75,1.50,0.25,1.25,4.25,10,7,2.55,1.79,2.50,1.75,31,7.91,7.75,0.23
Master,RSC008571,Divine.,Spectres,The Monster Mash,N/A,N/A,72.78,758,45,16.84,0.504,0.578,26,19,10,18595,10820,7775,40,28,75,167,0.240,400.67,233.14,167.53,0.86,0.60,1.62,3.60,413.22,240.44,172.78,0.89,0.62,1.67,3.71,99,96,2.13,2.07,2.20,2.13,377,8.12,8.38,0.25
Master,RSC008488,J.Boosted,Nightmare,The Shadows,N/A,N/A,71.72,235,16,14.69,0.406,0.250,4,12,3,6329,3300,3029,11,6,30,40,0.275,439.87,229.35,210.52,0.76,0.42,2.09,2.78,395.56,206.25,189.31,0.69,0.38,1.88,2.50,23,40,1.60,2.78,1.44,2.50,127,8.83,7.94,0.31
Master,RSC007558,Frijole,Eastern Brown,Venom Lab,N/A,N/A,69.31,986,60,16.43,0.526,0.633,38,22,16,23265,13260,10005,51,48,77,191,0.267,385.38,219.65,165.73,0.84,0.80,1.28,3.16,387.75,221.00,166.75,0.85,0.80,1.28,3.18,169,137,2.80,2.27,2.82,2.28,432,7.16,7.20,0.32
Master,RSC008576,Sangani,Heinous Henchmen,The Syndicate,N/A,N/A,68.29,945,58,16.29,0.543,0.655,38,20,15,22379,13070,9309,51,40,81,192,0.266,386.78,225.89,160.89,0.88,0.69,1.40,3.32,385.84,225.34,160.50,0.88,0.69,1.40,3.31,156,109,2.70,1.88,2.69,1.88,447,7.73,7.71,0.24
Master,RSC013076,BOBTHEHUGEMAN,Spectres,The Monster Mash,N/A,N/A,66.82,194,12,16.17,0.420,0.417,5,7,2,4751,2290,2461,4,10,22,29,0.138,399.99,192.79,207.19,0.34,0.84,1.85,2.44,395.92,190.83,205.08,0.33,0.83,1.83,2.42,23,35,1.94,2.95,1.92,2.92,110,9.26,9.17,0.32
Master,RSC005024,SSpekky,Leviathans,Mythical,N/A,N/A,66.43,860,54,15.93,0.496,0.444,24,30,12,21752,11910,9842,51,21,83,161,0.317,413.11,226.19,186.92,0.97,0.40,1.58,3.06,402.81,220.56,182.26,0.94,0.39,1.54,2.98,127,131,2.41,2.49,2.35,2.43,436,8.28,8.07,0.30
Master,RSC008169,Trickter02,Blackbirds,Mach Velocity,N/A,N/A,65.37,865,52,16.63,0.505,0.538,28,24,17,20641,12540,8101,60,25,69,184,0.326,389.74,236.78,152.96,1.13,0.47,1.30,3.47,396.94,241.15,155.79,1.15,0.48,1.33,3.54,136,131,2.57,2.47,2.62,2.52,425,8.02,8.17,0.31
Master,RSC008155,Stormy Wormy.,Andromeda,The Cosmos,N/A,N/A,63.87,852,52,16.38,0.537,0.635,33,19,11,19660,11960,7700,53,41,62,151,0.351,376.88,229.27,147.61,1.02,0.79,1.19,2.89,378.08,230.00,148.08,1.02,0.79,1.19,2.90,148,111,2.84,2.13,2.85,2.13,407,7.80,7.83,0.27
Master,RSC007280,BallChasinq,"Leviathans
Care Bears","Mythical
The Bear Den","N/A
N/A","N/A
N/A",63.22,371,24,15.46,0.527,0.542,13,11,6,8757,5180,3577,22,18,30,58,0.379,385.52,228.04,157.47,0.97,0.79,1.32,2.55,364.88,215.83,149.04,0.92,0.75,1.25,2.42,56,47,2.47,2.07,2.33,1.96,181,7.97,7.54,0.26
Master,RSC006424,RSC Raven,"Captains
Blackbirds","Grand Fleet
Mach Velocity","N/A
N/A","N/A
N/A",62.66,216,12,18.00,0.500,0.333,4,8,2,4761,2990,1771,15,10,11,44,0.341,360.00,226.09,133.91,1.13,0.76,0.83,3.33,396.75,249.17,147.58,1.25,0.83,0.92,3.67,34,34,2.57,2.57,2.83,2.83,98,7.41,8.17,0.35
Master,RSC003125,GrandPlat,Andromeda,The Cosmos,N/A,N/A,61.76,547,34,16.09,0.542,0.588,20,14,6,12979,7280,5699,23,26,57,83,0.277,387.54,217.37,170.17,0.69,0.78,1.70,2.48,381.74,214.12,167.62,0.68,0.76,1.68,2.44,94,70,2.81,2.09,2.76,2.06,262,7.82,7.71,0.27
Master,RSC007099,kolm,Captains,Grand Fleet,N/A,N/A,61.63,907,54,16.80,0.499,0.444,24,30,12,21734,12540,9194,53,29,83,164,0.323,391.37,225.81,165.56,0.95,0.52,1.49,2.95,402.48,232.22,170.26,0.98,0.54,1.54,3.04,127,128,2.29,2.30,2.35,2.37,454,8.18,8.41,0.28
Master,RSC005349,Rzemb1e,Glacier Mint,Minty Fresh,N/A,N/A,60.95,987,60,16.45,0.503,0.550,33,27,18,23993,13720,10273,61,28,90,172,0.355,397.03,227.04,170.00,1.01,0.46,1.49,2.85,399.88,228.67,171.22,1.02,0.47,1.50,2.87,141,138,2.33,2.28,2.35,2.30,490,8.11,8.17,0.28
Master,RSC002620,The CZD,Leviathans,Mythical,N/A,N/A,60.51,290,18,16.11,0.500,0.389,7,11,2,6837,4050,2787,16,11,28,50,0.320,385.06,228.10,156.96,0.90,0.62,1.58,2.82,379.83,225.00,154.83,0.89,0.61,1.56,2.78,49,49,2.76,2.76,2.72,2.72,149,8.39,8.28,0.33
Master,RSC004918,Nezitic,Battle Masters,Dwarf Haven,N/A,N/A,59.97,923,56,16.48,0.502,0.500,28,28,10,20673,12090,8583,55,30,62,199,0.276,365.82,213.94,151.88,0.97,0.53,1.10,3.52,369.16,215.89,153.27,0.98,0.54,1.11,3.55,137,135,2.42,2.39,2.45,2.41,427,7.56,7.63,0.32
Master,RSC002944,PayloSoul,Andromeda,The Cosmos,N/A,N/A,59.70,574,35,16.40,0.547,0.686,24,11,6,13119,8040,5079,34,27,47,94,0.362,373.29,228.77,144.52,0.97,0.77,1.34,2.67,374.83,229.71,145.11,0.97,0.77,1.34,2.69,100,72,2.85,2.05,2.86,2.06,291,8.28,8.31,0.25
Master,RSC002888,Kri0s,Heinous Henchmen,The Syndicate,N/A,N/A,58.33,875,54,16.20,0.539,0.630,34,20,6,20327,11510,8817,41,38,83,136,0.301,379.42,214.85,164.58,0.77,0.71,1.55,2.54,376.43,213.15,163.28,0.76,0.70,1.54,2.52,136,99,2.54,1.85,2.52,1.83,417,7.78,7.72,0.24
Master,RSC003178,Snack Time!,Heinous Henchmen,The Syndicate,N/A,N/A,56.65,136,8,17.00,0.555,0.500,4,4,2,2982,1860,1122,10,7,6,21,0.476,358.12,223.37,134.75,1.20,0.84,0.72,2.52,372.75,232.50,140.25,1.25,0.88,0.75,2.63,28,22,3.36,2.64,3.50,2.75,50,6.00,6.25,0.44
Master,RSC006193,Saucy Rexy,Eastern Brown,Venom Lab,N/A,N/A,55.03,571,36,15.86,0.542,0.667,24,12,7,12825,7810,5015,32,21,51,101,0.317,366.84,223.40,143.45,0.92,0.60,1.46,2.89,356.25,216.94,139.31,0.89,0.58,1.42,2.81,96,71,2.75,2.03,2.67,1.97,235,6.72,6.53,0.30
Master,RSC007846,Lovegreyhounds,Captains,Grand Fleet,N/A,N/A,54.72,453,29,15.62,0.533,0.552,16,13,0,9420,5800,3620,19,22,38,90,0.211,339.64,209.12,130.52,0.69,0.79,1.37,3.24,324.83,200.00,124.83,0.66,0.76,1.31,3.10,70,56,2.52,2.02,2.41,1.93,201,7.25,6.93,0.28
Master,RSC007494,C-Loupe,Battle Masters,Dwarf Haven,N/A,N/A,54.35,890,55,16.18,0.497,0.473,26,29,10,20123,11720,8403,40,31,92,157,0.255,369.29,215.08,154.21,0.73,0.57,1.69,2.88,365.87,213.09,152.78,0.73,0.56,1.67,2.85,131,134,2.40,2.46,2.38,2.44,410,7.52,7.45,0.33
Master,RSC004035,Timmy_-_,Lemurs,The Jungle,N/A,N/A,53.34,611,38,16.08,0.474,0.447,17,21,5,13899,7730,6169,25,26,61,88,0.284,371.54,206.63,164.91,0.67,0.70,1.63,2.35,365.76,203.42,162.34,0.66,0.68,1.61,2.32,83,100,2.22,2.67,2.18,2.63,332,8.87,8.74,0.30
Master,RSC005899,DJDancingDuckGif,Kawaii,The Pit,N/A,N/A,53.25,579,35,16.54,0.471,0.314,11,24,4,13676,7420,6256,20,20,72,82,0.244,385.78,209.31,176.47,0.56,0.56,2.03,2.31,390.74,212.00,178.74,0.57,0.57,2.06,2.34,73,90,2.06,2.54,2.09,2.57,322,9.08,9.20,0.28
Master,RSC007908,C01E01,Leviathans,Mythical,N/A,N/A,52.85,634,38,16.68,0.470,0.395,15,23,3,13864,7660,6204,24,29,56,101,0.238,357.16,197.33,159.82,0.62,0.75,1.44,2.60,364.84,201.58,163.26,0.63,0.76,1.47,2.66,82,102,2.11,2.63,2.16,2.68,326,8.40,8.58,0.31
Master,RSC006409,Reported.,"Leviathans
Helicoprions","Mythical
Shark Attack","N/A
N/A","N/A
N/A",51.49,626,36,17.39,0.503,0.472,17,19,4,14288,7830,6458,30,18,58,103,0.291,372.78,204.29,168.49,0.78,0.47,1.51,2.69,396.89,217.50,179.39,0.83,0.50,1.61,2.86,82,80,2.14,2.09,2.28,2.22,320,8.35,8.89,0.25
