Tier,RSC ID,Player Name,Team(s),Franchise(s),Conf.,Div,SBV,TS,GP,TS/GP,PWE,W%,W,L,MVPs,P,SP,NP,G,A,Sv,Sh,Sh%,P/A,SP/A,NP/A,G/A,A/A,Sv/A,S/A,PPG,SPPG,NPPG,GPG,APG,SvPG,ShPG,tm_G,opp_G,tm_G/A,opp_G/A,tm_G/G,opp_G/G,opp_S,opp_S/A,opp_S/G,opp_S%
Premier,RSC008343,surreal,Capybaras,The Jungle,N/A,N/A,108.03,719,44,16.34,0.529,0.614,27,17,21,22532,12300,10232,51,30,80,170,0.300,527.04,287.70,239.33,1.19,0.70,1.87,3.98,512.09,279.55,232.55,1.16,0.68,1.82,3.86,110,88,2.57,2.06,2.50,2.00,331,7.74,7.52,0.27
Premier,RSC000978,leaf,Megalodons,Shark Attack,N/A,N/A,101.13,102,8,12.75,0.668,0.875,7,1,4,3105,1680,1425,6,7,12,13,0.462,511.95,277.00,234.96,0.99,1.15,1.98,2.14,388.13,210.00,178.13,0.75,0.88,1.50,1.63,22,10,3.63,1.65,2.75,1.25,50,8.24,6.25,0.20
Premier,RSC000462,kruncho,Punks,The Pit,N/A,N/A,84.06,133,8,16.63,0.610,0.875,7,1,1,3209,1820,1389,8,6,8,32,0.250,405.78,230.14,175.64,1.01,0.76,1.01,4.05,401.13,227.50,173.63,1.00,0.75,1.00,4.00,25,15,3.16,1.90,3.13,1.88,54,6.83,6.75,0.28
Premier,RSC000128,Tylurr,Long Beards,Dwarf Haven,N/A,N/A,77.56,1031,56,18.41,0.567,0.696,39,17,18,27139,16110,11029,60,37,126,196,0.306,442.70,262.79,179.91,0.98,0.60,2.06,3.20,484.63,287.68,196.95,1.07,0.66,2.25,3.50,165,94,2.69,1.53,2.95,1.68,452,7.37,8.07,0.21
Premier,RSC000579,Cryptt.,Double Mint,Minty Fresh,N/A,N/A,71.03,815,46,17.72,0.531,0.609,28,18,10,18468,11440,7028,37,38,84,164,0.226,381.09,236.07,145.03,0.76,0.78,1.73,3.38,401.48,248.70,152.78,0.80,0.83,1.83,3.57,123,97,2.54,2.00,2.67,2.11,364,7.51,7.91,0.27
Premier,RSC008244,Oghma,Crooked Capos,The Syndicate,N/A,N/A,70.99,679,40,16.98,0.506,0.550,22,18,12,17370,9870,7500,32,27,84,112,0.286,430.23,244.47,185.76,0.79,0.67,2.08,2.77,434.25,246.75,187.50,0.80,0.68,2.10,2.80,93,89,2.30,2.20,2.33,2.23,368,9.11,9.20,0.24
Premier,RSC003334,vidhawk rl,Double Mint,Minty Fresh,N/A,N/A,70.19,891,52,17.13,0.526,0.577,30,22,14,20672,12100,8572,57,34,59,175,0.326,390.19,228.39,161.80,1.08,0.64,1.11,3.30,397.54,232.69,164.85,1.10,0.65,1.13,3.37,135,110,2.55,2.08,2.60,2.12,397,7.49,7.63,0.28
Premier,RSC003780,FusionBleach,Punks,The Pit,N/A,N/A,70.04,796,46,17.30,0.504,0.522,24,22,13,19313,10890,8423,43,34,71,134,0.321,408.04,230.08,177.96,0.91,0.72,1.50,2.83,419.85,236.74,183.11,0.93,0.74,1.54,2.91,107,104,2.26,2.20,2.33,2.26,419,8.85,9.11,0.25
Premier,RSC005920,The Alpha,Long Beards,Dwarf Haven,N/A,N/A,69.01,977,52,18.79,0.563,0.673,35,17,14,23450,14040,9410,60,31,91,194,0.309,403.66,241.68,161.98,1.03,0.53,1.57,3.34,450.96,270.00,180.96,1.15,0.60,1.75,3.73,155,92,2.67,1.58,2.98,1.77,431,7.42,8.29,0.21
Premier,RSC007575,chip!,Super Clusters,The Cosmos,N/A,N/A,66.58,65,4,16.25,0.427,0.250,1,3,0,1467,680,787,2,3,4,13,0.154,379.57,175.94,203.63,0.52,0.78,1.03,3.36,366.75,170.00,196.75,0.50,0.75,1.00,3.25,10,13,2.59,3.36,2.50,3.25,28,7.24,7.00,0.46
