Filter(s),,,Name,Tier,Team(s),Franchise(s),Conference,SBV,TS,GP,PWE,WP,W,L,P,SP,NP,G,A,Sv,S,S%,P/A,SP/A,NP/A,G/A,A/A,Sv/A,S/A,P/G,SP/G,NP/G,G/G,A/G,Sv/G,S/G,tm_G,opp_G,tm_G/A,opp_G/A,tm_G/G,opp_G/G
Stat,Condition,,Plopwiththesave,Veteran,Calzones,Fifty-Fifty Pizzeria,Lunar,95.0,189,12,0.428,0.250,3,9,5388,3390,1998,18,5,17,49,36.7%,436.6,274.7,161.9,1.46,0.41,1.38,3.97,449.0,282.5,166.5,1.50,0.42,1.42,4.08,31,37,2.51,3.00,2.58,3.08
,,,Peakingpineapple,Veteran,"Hades
Gouda Gangsters","The Gods
Cheese Guild",Solar,93.2,604,39,0.564,0.564,22,17,17560,10240,7320,51,19,56,139,36.7%,445.3,259.7,185.6,1.29,0.48,1.42,3.52,450.3,262.6,187.7,1.31,0.49,1.44,3.56,98,83,2.49,2.10,2.51,2.13
,,,Yullbrenna,Veteran,Menthol,Minty Fresh,Solar,83.8,839,56,0.641,0.661,37,19,22331,13350,8981,58,50,69,160,36.3%,407.7,243.7,164.0,1.06,0.91,1.26,2.92,398.8,238.4,160.4,1.04,0.89,1.23,2.86,168,117,3.07,2.14,3.00,2.09
,,,Clem5On3_,Veteran,Atomic,Energy,Lunar,82.6,888,53,0.661,0.585,31,22,23077,14010,9067,63,35,77,211,29.9%,398.0,241.7,156.4,1.09,0.60,1.33,3.64,435.4,264.3,171.1,1.19,0.66,1.45,3.98,163,106,2.81,1.83,3.08,2.00
,,,Kidfluffy,Veteran,Cthulhu,The Mythos,Lunar,78.6,927,60,0.666,0.650,39,21,24212,14990,9222,73,47,71,179,40.8%,400.1,247.7,152.4,1.21,0.78,1.17,2.96,403.5,249.8,153.7,1.22,0.78,1.18,2.98,181,117,2.99,1.93,3.02,1.95
,,,Croutqn,Veteran,Jaculus,Draconem,Solar,77.6,844,56,0.602,0.625,35,21,22343,12510,9833,51,42,75,156,32.7%,405.5,227.0,178.4,0.93,0.76,1.36,2.83,399.0,223.4,175.6,0.91,0.75,1.34,2.79,157,121,2.85,2.20,2.80,2.16
,,,Djretirementhome,Veteran,Titanium,Metal,Solar,76.7,848,56,0.560,0.536,30,26,22348,12950,9398,47,39,94,160,29.4%,403.7,233.9,169.7,0.85,0.70,1.70,2.89,399.1,231.3,167.8,0.84,0.70,1.68,2.86,138,118,2.49,2.13,2.46,2.11
,,,Tinsel,Veteran,Menthol,Minty Fresh,Solar,76.4,947,64,0.623,0.625,40,24,24777,14710,10067,67,41,82,186,36.0%,400.7,237.9,162.8,1.08,0.66,1.33,3.01,387.1,229.8,157.3,1.05,0.64,1.28,2.91,191,140,3.09,2.26,2.98,2.19
,,,Danub,Veteran,Grizzly Bears,The Bear Den,Lunar,74.7,290,20,0.544,0.500,10,10,7654,4490,3164,18,12,31,54,33.3%,404.3,237.1,167.1,0.95,0.63,1.64,2.85,382.7,224.5,158.2,0.90,0.60,1.55,2.70,46,41,2.43,2.17,2.30,2.05
,,,Jmac Hd,Veteran,Dobermans,Puppy Paradise,Solar,73.4,908,60,0.508,0.500,30,30,23671,14070,9601,61,34,90,177,34.5%,399.3,237.3,162.0,1.03,0.57,1.52,2.99,394.5,234.5,160.0,1.02,0.57,1.50,2.95,154,151,2.60,2.55,2.57,2.52
,,,Janixity.,Veteran,Grizzly Bears,The Bear Den,Lunar,72.9,915,60,0.612,0.633,38,22,23516,14310,9206,60,41,91,171,35.1%,393.6,239.5,154.1,1.00,0.69,1.52,2.86,391.9,238.5,153.4,1.00,0.68,1.52,2.85,163,122,2.73,2.04,2.72,2.03
,,,Supe,Veteran,Banana Spiders,Eight Legged Freaks,Lunar,72.8,1022,63,0.571,0.587,37,26,26680,15130,11550,54,43,114,188,28.7%,399.9,226.8,173.1,0.81,0.64,1.71,2.82,423.5,240.2,183.3,0.86,0.68,1.81,2.98,159,132,2.38,1.98,2.52,2.10
Sort(s),,,Rozi-,Veteran,Cepheus,The Nexus,Solar,72.0,662,47,0.507,0.489,23,24,16848,9200,7648,37,31,54,125,29.6%,389.8,212.9,177.0,0.86,0.72,1.25,2.89,358.5,195.7,162.7,0.79,0.66,1.15,2.66,113,111,2.61,2.57,2.40,2.36
Stat,Order,,Sly,Veteran,Jaculus,Draconem,Solar,71.2,373,27,0.561,0.593,16,11,9881,6210,3671,31,13,36,66,47.0%,405.7,255.0,150.7,1.27,0.53,1.48,2.71,366.0,230.0,136.0,1.15,0.48,1.33,2.44,72,62,2.96,2.55,2.67,2.30
Name,Desc,,Crypt_Rl,Veteran,Typhoons,Storm,Solar,71.0,982,64,0.526,0.531,34,30,25065,13890,11175,52,43,94,184,28.3%,390.9,216.6,174.3,0.81,0.67,1.47,2.87,391.6,217.0,174.6,0.81,0.67,1.47,2.88,153,143,2.39,2.23,2.39,2.23
Conference,Desc,,Beckols,Veteran,Seadevils,The Abyss,Lunar,71.0,958,58,0.538,0.534,31,27,23975,13940,10035,53,34,98,204,26.0%,383.3,222.9,160.4,0.85,0.54,1.57,3.26,413.4,240.3,173.0,0.91,0.59,1.69,3.52,135,122,2.16,1.95,2.33,2.10
TS,Desc,,Commanderboy,Veteran,Rockin Revenants,Ghoul School,Solar,70.6,821,56,0.486,0.446,25,31,22396,12220,10176,45,28,100,132,34.1%,417.8,228.0,189.8,0.84,0.52,1.87,2.46,399.9,218.2,181.7,0.80,0.50,1.79,2.36,107,111,2.00,2.07,1.91,1.98
,,,King.,Veteran,Peppers,The Garden,Solar,70.1,868,56,0.628,0.643,36,20,22075,12280,9795,46,42,81,153,30.1%,389.5,216.7,172.8,0.81,0.74,1.43,2.70,394.2,219.3,174.9,0.82,0.75,1.45,2.73,149,106,2.63,1.87,2.66,1.89
,,,Dvorl.Ttv,Veteran,Matadors,Ox Gaming,Solar,68.9,599,40,0.521,0.575,23,17,14712,8540,6172,38,21,48,129,29.5%,376.2,218.4,157.8,0.97,0.54,1.23,3.30,367.8,213.5,154.3,0.95,0.53,1.20,3.23,94,89,2.40,2.28,2.35,2.23
