Tier,RSC ID,Player Name,Team(s),Franchise(s),Conference,SBV,TS,GP,PWE,WP,W,L,P,SP,NP,G,A,Sv,S,S%,P/A,SP/A,NP/A,G/A,A/A,Sv/A,S/A,P/G,SP/G,NP/G,G/G,A/G,Sv/G,S/G,tm_G,opp_G,tm_G/A,opp_G/A,tm_G/G,opp_G/G
Veteran,,Eekeos,Cobras,The Serpents,Solar,95.1,73,4,0.563,0.75,3,1,1859,1220,639,6,5,4,17,35.3%,399.9,262.5,137.5,1.29,1.08,0.86,3.66,464.8,305.0,159.8,1.5,1.25,1.0,4.25,14,12,3.01,2.58,3.5,3.0
Veteran,,Alley 8,Linguini Lancers,Italian Battalion,Lunar,91.2,1094,64,0.716,0.719,46,18,30234,18450,11784,87,47,98,250,34.8%,434.0,264.8,169.2,1.25,0.67,1.41,3.59,472.4,288.3,184.1,1.36,0.73,1.53,3.91,219,122,3.14,1.75,3.42,1.91
Veteran,RSC004904,Capricious,Dobermans,Puppy Paradise,Solar,90.0,130,10,0.295,0.3,3,7,3823,2100,1723,3,7,25,20,15.0%,461.8,253.7,208.1,0.36,0.85,3.02,2.42,382.3,210.0,172.3,0.3,0.7,2.5,2.0,15,26,1.81,3.14,1.5,2.6
Veteran,RSC005602,Ezjuri,Seadevils,The Abyss,Lunar,89.5,238,14,0.59,0.643,9,5,6427,3960,2467,12,16,31,41,29.3%,424.1,261.3,162.8,0.79,1.06,2.05,2.71,459.1,282.9,176.2,0.86,1.14,2.21,2.93,38,30,2.51,1.98,2.71,2.14
Veteran,,Holey Shmoley,Yellow Jackets,The Swarm,Solar,86.7,986,63,0.554,0.571,36,27,26402,14990,11412,70,39,74,234,29.9%,420.5,238.7,181.8,1.11,0.62,1.18,3.73,419.1,237.9,181.1,1.11,0.62,1.17,3.71,162,141,2.58,2.25,2.57,2.24
Veteran,RSC003895,Gga Astro,Water,The Elements,Solar,84.4,349,23,0.627,0.652,15,8,9144,5480,3664,24,25,26,53,45.3%,411.5,246.6,164.9,1.08,1.12,1.17,2.38,397.6,238.3,159.3,1.04,1.09,1.13,2.3,74,54,3.33,2.43,3.22,2.35
Veteran,RSC003073,Perkls,Fighters,Dungeons And Double Taps,Solar,83.3,404,27,0.433,0.407,11,16,10951,6660,4291,26,16,48,86,30.2%,425.7,258.9,166.8,1.01,0.62,1.87,3.34,405.6,246.7,158.9,0.96,0.59,1.78,3.19,60,71,2.33,2.76,2.22,2.63
Veteran,,Riptide;),Makos,Shark Attack,Lunar,81.1,75,4,0.882,1.0,4,0,1881,1210,671,6,4,5,16,37.5%,393.9,253.4,140.5,1.26,0.84,1.05,3.35,470.3,302.5,167.8,1.5,1.0,1.25,4.0,18,5,3.77,1.05,4.5,1.25
Veteran,RSC005296,Moose,Quetzalcoatl,Pantheon,Lunar,81.0,941,60,0.643,0.617,37,23,24552,14270,10282,61,43,81,197,31.0%,409.7,238.2,171.6,1.02,0.72,1.35,3.29,409.2,237.8,171.4,1.02,0.72,1.35,3.28,161,110,2.69,1.84,2.68,1.83
Veteran,,Vyvants,Banana Spiders,Eight Legged Freaks,Lunar,80.7,1018,64,0.549,0.547,35,29,27998,15690,12308,65,38,106,199,32.7%,431.9,242.0,189.9,1.0,0.59,1.64,3.07,437.5,245.2,192.3,1.02,0.59,1.66,3.11,159,140,2.45,2.16,2.48,2.19
