Filter(s),,,Name,Tier,Team(s),Franchise(s),Conference,SBV,TS,GP,PWE,WP,W,L,P,SP,NP,G,A,Sv,S,S%,P/A,SP/A,NP/A,G/A,A/A,Sv/A,S/A,P/G,SP/G,NP/G,G/G,A/G,Sv/G,S/G,tm_G,opp_G,tm_G/A,opp_G/A,tm_G/G,opp_G/G
Stat,Condition,,Wheats :),Prospect,Compost Bins,Waste Management,Solar,102.1,528,39,0.676,0.615,24,15,16645,10470,6175,61,27,34,132,46.2%,418.1,263.0,155.1,1.53,0.68,0.85,3.32,426.8,268.5,158.3,1.56,0.69,0.87,3.38,121,76,3.04,1.91,3.10,1.95
,,,Gorillacream707,Prospect,Squalls,Storm,Solar,98.5,577,43,0.744,0.814,35,8,18316,11200,7116,59,27,52,135,43.7%,421.0,257.4,163.6,1.36,0.62,1.20,3.10,426.0,260.5,165.5,1.37,0.63,1.21,3.14,130,65,2.99,1.49,3.02,1.51
,,,Turtle_Supreme,Prospect,Punch-Outs,8-Bit Brigade,Lunar,79.7,662,51,0.672,0.725,37,14,18703,11260,7443,51,36,62,126,40.5%,374.7,225.6,149.1,1.02,0.72,1.24,2.52,366.7,220.8,145.9,1.00,0.71,1.22,2.47,140,88,2.80,1.76,2.75,1.73
,,,Spiffy,Prospect,Pioneer,Mission Control,Solar,79.3,806,58,0.598,0.621,36,22,22634,13060,9574,62,42,64,156,39.7%,372.4,214.9,157.5,1.02,0.69,1.05,2.57,390.2,225.2,165.1,1.07,0.72,1.10,2.69,166,129,2.73,2.12,2.86,2.22
,,,Blaze,Prospect,Mambas,The Serpents,Solar,78.9,49,4,0.458,0.500,2,2,1364,710,654,2,4,5,6,33.3%,369.2,192.2,177.0,0.54,1.08,1.35,1.62,341.0,177.5,163.5,0.50,1.00,1.25,1.50,9,10,2.44,2.71,2.25,2.50
,,,Shadowstorm,Prospect,Snow Owls,Polar Vortex,Lunar,76.0,510,38,0.478,0.474,18,20,13591,7310,6281,41,17,22,126,32.5%,353.4,190.1,163.3,1.07,0.44,0.57,3.28,357.7,192.4,165.3,1.08,0.45,0.58,3.32,87,92,2.26,2.39,2.29,2.42
,,,Revolution,Prospect,Punch-Outs,8-Bit Brigade,Lunar,74.7,669,51,0.691,0.745,38,13,17811,10080,7731,40,42,56,118,33.9%,353.1,199.8,153.3,0.79,0.83,1.11,2.34,349.2,197.6,151.6,0.78,0.82,1.10,2.31,146,87,2.89,1.72,2.86,1.71
,,,Alienhealer,Prospect,Pickles,The Garden,Lunar,73.3,792,60,0.570,0.550,33,27,21707,12230,9477,53,31,75,163,32.5%,363.5,204.8,158.7,0.89,0.52,1.26,2.73,361.8,203.8,158.0,0.88,0.52,1.25,2.72,150,125,2.51,2.09,2.50,2.08
,,,Zakaronincheese,Prospect,Compost Bins,Waste Management,Solar,70.5,511,38,0.678,0.605,23,15,12850,7910,4940,34,31,39,101,33.7%,333.5,205.3,128.2,0.88,0.80,1.01,2.62,338.2,208.2,130.0,0.89,0.82,1.03,2.66,110,68,2.85,1.76,2.89,1.79
,,,† Booterzzz,Prospect,Punch-Outs,8-Bit Brigade,Lunar,69.8,452,33,0.660,0.758,25,8,12307,7330,4977,41,19,29,83,49.4%,361.1,215.1,146.0,1.20,0.56,0.85,2.44,372.9,222.1,150.8,1.24,0.58,0.88,2.52,95,62,2.79,1.82,2.88,1.88
,,,Flamez_Gamez,Prospect,"Do Re Migos
Isopods
Templars","The Jukebox
The Abyss
The Order",Lunar,66.9,221,18,0.597,0.667,12,6,6050,3130,2920,13,10,20,33,39.4%,363.0,187.8,175.2,0.78,0.60,1.20,1.98,336.1,173.9,162.2,0.72,0.56,1.11,1.83,45,35,2.70,2.10,2.50,1.94
,,,Ned1Oo,Prospect,Spartans,The Sovereign,Lunar,65.9,618,46,0.514,0.500,23,23,15661,8750,6911,35,33,50,110,31.8%,336.1,187.8,148.3,0.75,0.71,1.07,2.36,340.5,190.2,150.2,0.76,0.72,1.09,2.39,119,115,2.55,2.47,2.59,2.50
Sort(s),,,Nytro,Prospect,Squalls,Storm,Solar,65.9,532,41,0.737,0.780,32,9,13310,7310,6000,32,27,35,101,31.7%,331.8,182.2,149.6,0.80,0.67,0.87,2.52,324.6,178.3,146.3,0.78,0.66,0.85,2.46,119,61,2.97,1.52,2.90,1.49
Stat,Order,,Greensleeves,Prospect,Squalls,Storm,Solar,65.8,661,50,0.712,0.760,38,12,17304,10600,6704,51,28,57,125,40.8%,347.2,212.7,134.5,1.02,0.56,1.14,2.51,346.1,212.0,134.1,1.02,0.56,1.14,2.50,138,76,2.77,1.52,2.76,1.52
Name,Desc,,Viv1D,Prospect,Breadsticks,Fifty-Fifty Pizzeria,Lunar,65.3,778,56,0.565,0.554,31,25,20249,11470,8779,57,25,58,162,35.2%,345.2,195.5,149.6,0.97,0.43,0.99,2.76,361.6,204.8,156.8,1.02,0.45,1.04,2.89,150,127,2.56,2.16,2.68,2.27
Conference,Desc,,Jaywalk,Prospect,Air Buds,Dog Pound,Solar,64.5,661,54,0.437,0.407,22,32,18196,10340,7856,41,23,80,109,37.6%,365.1,207.4,157.6,0.82,0.46,1.61,2.19,337.0,191.5,145.5,0.76,0.43,1.48,2.02,107,126,2.15,2.53,1.98,2.33
TS,Desc,,Flyinhi13,Prospect,Templars,The Order,Lunar,63.7,438,31,0.515,0.452,14,17,11205,6730,4475,27,21,44,78,34.6%,339.3,203.8,135.5,0.82,0.64,1.33,2.36,361.5,217.1,144.4,0.87,0.68,1.42,2.52,83,80,2.51,2.42,2.68,2.58
,,,Flipbaker516,Prospect,Ravagers,The Swarm,Solar,63.2,756,57,0.563,0.561,32,25,19751,11380,8371,58,24,58,148,39.2%,346.5,199.6,146.8,1.02,0.42,1.02,2.60,346.5,199.6,146.9,1.02,0.42,1.02,2.60,146,124,2.56,2.18,2.56,2.18
,,,Ben5Tein,Prospect,Do Re Migos,The Jukebox,Lunar,62.4,761,58,0.488,0.517,30,28,20058,10930,9128,48,27,69,133,36.1%,349.5,190.5,159.1,0.84,0.47,1.20,2.32,345.8,188.4,157.4,0.83,0.47,1.19,2.29,122,126,2.13,2.20,2.10,2.17
,,,Xxsetupking97Xx,Prospect,Firecrackers,Fallout Shelter,Solar,62.3,76,6,0.525,0.500,3,3,2019,1330,689,7,3,7,13,53.8%,352.3,232.1,120.2,1.22,0.52,1.22,2.27,336.5,221.7,114.8,1.17,0.50,1.17,2.17,17,16,2.97,2.79,2.83,2.67
,,,Slmrnchr,Prospect,Firecrackers,Fallout Shelter,Solar,60.7,826,59,0.564,0.559,33,26,19711,10840,8871,49,36,49,169,29.0%,316.5,174.0,142.4,0.79,0.58,0.79,2.71,334.1,183.7,150.4,0.83,0.61,0.83,2.86,158,134,2.54,2.15,2.68,2.27
,,,Quitstalin,Prospect,Gallimimus,Dino Park,Solar,60.5,698,53,0.548,0.566,30,23,17411,10660,6751,45,34,65,121,37.2%,330.8,202.5,128.3,0.85,0.65,1.23,2.30,328.5,201.1,127.4,0.85,0.64,1.23,2.28,139,123,2.64,2.34,2.62,2.32
,,,Marq,Prospect,Pioneer,Mission Control,Solar,59.6,730,53,0.626,0.642,34,19,18300,11400,6900,62,25,50,145,42.8%,332.4,207.1,125.3,1.13,0.45,0.91,2.63,345.3,215.1,130.2,1.17,0.47,0.94,2.74,154,111,2.80,2.02,2.91,2.09
,,,Johnmoney4,Prospect,Mambas,The Serpents,Solar,59.5,61,4,0.146,0.000,0,4,1758,1020,738,3,2,11,7,42.9%,382.2,221.7,160.4,0.65,0.43,2.39,1.52,439.5,255.0,184.5,0.75,0.50,2.75,1.75,6,18,1.30,3.91,1.50,4.50
,,,Honeybadgermo,Prospect,Spartans,The Sovereign,Lunar,57.8,595,45,0.525,0.511,23,22,15063,8260,6803,36,24,50,96,37.5%,335.7,184.1,151.6,0.80,0.53,1.11,2.14,334.7,183.6,151.2,0.80,0.53,1.11,2.13,112,105,2.50,2.34,2.49,2.33
,,,Moose.,Prospect,Gallimimus,Dino Park,Solar,56.8,616,48,0.541,0.583,28,20,15546,8840,6706,46,20,43,109,42.2%,334.7,190.3,144.4,0.99,0.43,0.93,2.35,323.9,184.2,139.7,0.96,0.42,0.90,2.27,121,109,2.60,2.35,2.52,2.27
