Filter(s),,,Name,Tier,Team(s),Franchise(s),Conference,SBV,TS,GP,PWE,WP,W,L,P,SP,NP,G,A,Sv,S,S%,P/A,SP/A,NP/A,G/A,A/A,Sv/A,S/A,P/G,SP/G,NP/G,G/G,A/G,Sv/G,S/G,tm_G,opp_G,tm_G/A,opp_G/A,tm_G/G,opp_G/G
,,,Kingbonkk,Prospect,Breadsticks,Fifty-Fifty Pizzeria,Lunar,56.7,763,54,0.578,0.593,32,22,18539,10950,7589,49,33,61,135,36.3%,322.2,190.3,131.9,0.85,0.57,1.06,2.35,343.3,202.8,140.5,0.91,0.61,1.13,2.50,147,120,2.55,2.09,2.72,2.22
,,,Sadmello,Prospect,Snow Owls,Polar Vortex,Lunar,55.9,629,49,0.490,0.510,25,24,14928,8590,6338,36,24,51,124,29.0%,314.7,181.1,133.6,0.76,0.51,1.08,2.61,304.7,175.3,129.3,0.73,0.49,1.04,2.53,112,115,2.36,2.42,2.29,2.35
,,,Atoll,Prospect,Templars,The Order,Lunar,55.3,698,49,0.521,0.449,22,27,16189,9580,6609,50,31,34,133,37.6%,307.6,182.0,125.6,0.95,0.59,0.65,2.53,330.4,195.5,134.9,1.02,0.63,0.69,2.71,134,127,2.55,2.41,2.73,2.59
,,,Marcus,Prospect,Gallimimus,Dino Park,Solar,55.0,666,50,0.513,0.560,28,22,16301,9010,7291,35,29,60,106,33.0%,324.6,179.4,145.2,0.70,0.58,1.19,2.11,326.0,180.2,145.8,0.70,0.58,1.20,2.12,126,122,2.51,2.43,2.52,2.44
,,,Kylbrew,Prospect,Dolphins,The Ocean,Solar,54.6,51,4,0.221,0.250,1,3,1350,760,590,4,2,4,6,66.7%,351.0,197.6,153.4,1.04,0.52,1.04,1.56,337.5,190.0,147.5,1.00,0.50,1.00,1.50,7,15,1.82,3.90,1.75,3.75
,,,Vote4Jr,Prospect,Ravagers,The Swarm,Solar,54.5,760,57,0.550,0.544,31,26,17700,10090,7610,44,38,50,129,34.1%,308.9,176.1,132.8,0.77,0.66,0.87,2.25,310.5,177.0,133.5,0.77,0.67,0.88,2.26,140,123,2.44,2.15,2.46,2.16
,,,Treefrog,Prospect,Templars,The Order,Lunar,54.4,621,44,0.570,0.545,24,20,15009,8690,6319,43,26,41,104,41.3%,320.5,185.6,134.9,0.92,0.56,0.88,2.22,341.1,197.5,143.6,0.98,0.59,0.93,2.36,130,109,2.78,2.33,2.95,2.48
,,,Tigertopaz,Prospect,Firecrackers,Fallout Shelter,Solar,52.9,826,59,0.564,0.559,33,26,19367,11050,8317,60,32,39,150,40.0%,310.9,177.4,133.5,0.96,0.51,0.63,2.41,328.3,187.3,141.0,1.02,0.54,0.66,2.54,159,135,2.55,2.17,2.69,2.29
,,,Thunderama,Prospect,Pioneer,Mission Control,Solar,52.6,748,53,0.604,0.642,34,19,17019,10070,6949,39,43,57,117,33.3%,301.7,178.5,123.2,0.69,0.76,1.01,2.07,321.1,190.0,131.1,0.74,0.81,1.08,2.21,153,117,2.71,2.07,2.89,2.21
,,,Ukcats,Prospect,Gallimimus,Dino Park,Solar,52.2,302,23,0.585,0.565,13,10,7671,4520,3151,24,9,24,47,51.1%,336.8,198.5,138.4,1.05,0.40,1.05,2.06,333.5,196.5,137.0,1.04,0.39,1.04,2.04,61,49,2.68,2.15,2.65,2.13
,,,Clemsontiger206,Prospect,Dolphins,The Ocean,Solar,51.0,731,56,0.333,0.357,20,36,18023,9990,8033,36,29,78,104,34.6%,327.0,181.2,145.7,0.65,0.53,1.42,1.89,321.8,178.4,143.4,0.64,0.52,1.39,1.86,104,162,1.89,2.94,1.86,2.89
,,,Sexy Horse,Prospect,Pickles,The Garden,Lunar,50.9,495,39,0.579,0.590,23,16,11848,6610,5238,34,20,29,76,44.7%,317.4,177.1,140.3,0.91,0.54,0.78,2.04,303.8,169.5,134.3,0.87,0.51,0.74,1.95,98,80,2.63,2.14,2.51,2.05
,,,Cobra910,Prospect,Sparks,Electric Mayhem,Lunar,50.8,658,49,0.486,0.531,26,23,16530,9570,6960,37,18,78,107,34.6%,333.1,192.9,140.3,0.75,0.36,1.57,2.16,337.3,195.3,142.0,0.76,0.37,1.59,2.18,112,116,2.26,2.34,2.29,2.37
,,,Tr1Ppn,Prospect,Compost Bins,Waste Management,Solar,50.1,563,42,0.694,0.667,28,14,12892,7250,5642,36,20,32,105,34.3%,303.7,170.8,132.9,0.85,0.47,0.75,2.47,307.0,172.6,134.3,0.86,0.48,0.76,2.50,125,74,2.94,1.74,2.98,1.76
,,,D__E__R__K,Prospect,Pickles,The Garden,Lunar,50.0,780,59,0.583,0.559,33,26,18309,10080,8229,48,28,51,133,36.1%,311.3,171.4,139.9,0.82,0.48,0.87,2.26,310.3,170.8,139.5,0.81,0.47,0.86,2.25,148,119,2.52,2.02,2.51,2.02
,,,Duffy Doug,Prospect,Chimps,Planet of the Apes,Solar,49.8,692,50,0.328,0.340,17,33,15594,8350,7244,34,28,46,125,27.2%,298.8,160.0,138.8,0.65,0.54,0.88,2.40,311.9,167.0,144.9,0.68,0.56,0.92,2.50,91,145,1.74,2.78,1.82,2.90
,,,C'Mon Now,Prospect,Gorgons,πολύ κεφάλη,Lunar,48.8,517,40,0.364,0.350,14,26,12453,7120,5333,35,17,39,82,42.7%,319.4,182.6,136.8,0.90,0.44,1.00,2.10,311.3,178.0,133.3,0.88,0.43,0.98,2.05,84,119,2.15,3.05,2.10,2.98
,,,Roadome,Prospect,Firecrackers,Fallout Shelter,Solar,48.4,792,56,0.581,0.589,33,23,18166,10710,7456,46,31,64,136,33.8%,304.2,179.3,124.8,0.77,0.52,1.07,2.28,324.4,191.3,133.1,0.82,0.55,1.14,2.43,152,123,2.55,2.06,2.71,2.20
,,,Tip,Prospect,Air Buds,Dog Pound,Solar,47.7,575,46,0.410,0.370,17,29,13991,7860,6131,34,12,57,101,33.7%,322.7,181.3,141.4,0.78,0.28,1.31,2.33,304.2,170.9,133.3,0.74,0.26,1.24,2.20,87,110,2.01,2.54,1.89,2.39
,,,Its A Cookie Dusta,Prospect,Dolphins,The Ocean,Solar,46.8,482,36,0.410,0.417,15,21,11783,6210,5573,30,9,39,81,37.0%,324.2,170.9,153.3,0.83,0.25,1.07,2.23,327.3,172.5,154.8,0.83,0.25,1.08,2.25,76,96,2.09,2.64,2.11,2.67
,,,Stealth69King-,Prospect,Pickles,The Garden,Lunar,46.7,115,8,0.647,0.625,5,3,2668,1380,1288,7,4,6,18,38.9%,307.7,159.1,148.5,0.81,0.46,0.69,2.08,333.5,172.5,161.0,0.88,0.50,0.75,2.25,21,14,2.42,1.61,2.63,1.75
,,,Blood12Aven,Prospect,Spartans,The Sovereign,Lunar,46.6,538,41,0.393,0.341,14,27,12372,7610,4762,40,13,38,106,37.7%,305.0,187.6,117.4,0.99,0.32,0.94,2.61,301.8,185.6,116.1,0.98,0.32,0.93,2.59,90,118,2.22,2.91,2.20,2.88
,,,Trepidy,Prospect,Sparks,Electric Mayhem,Lunar,46.5,686,52,0.497,0.558,29,23,15576,8340,7236,38,25,43,114,33.3%,301.1,161.2,139.9,0.73,0.48,0.83,2.20,299.5,160.4,139.2,0.73,0.48,0.83,2.19,116,117,2.24,2.26,2.23,2.25
,,,Whiffles Mccantscore,Prospect,Isopods,The Abyss,Lunar,46.5,506,40,0.393,0.350,14,26,12120,6470,5650,29,11,43,87,33.3%,317.6,169.6,148.1,0.76,0.29,1.13,2.28,303.0,161.8,141.3,0.73,0.28,1.08,2.18,74,98,1.94,2.57,1.85,2.45
,,,Jack,Prospect,Pickles,The Garden,Lunar,46.0,67,4,0.750,0.500,2,2,1457,860,597,6,1,1,16,37.5%,288.4,170.2,118.2,1.19,0.20,0.20,3.17,364.3,215.0,149.3,1.50,0.25,0.25,4.00,11,5,2.18,0.99,2.75,1.25
,,,Leshazimiz,Prospect,Punch-Outs,8-Bit Brigade,Lunar,45.9,42,4,0.771,1.000,4,0,962,500,462,4,0,0,10,40.0%,303.8,157.9,145.9,1.26,0.00,0.00,3.16,240.5,125.0,115.5,1.00,0.00,0.00,2.50,9,4,2.84,1.26,2.25,1.00
,,,Lazaryo,Prospect,Ravagers,The Swarm,Solar,45.5,768,57,0.569,0.561,32,25,16535,9670,6865,42,35,48,132,31.8%,285.5,167.0,118.5,0.73,0.60,0.83,2.28,290.1,169.6,120.4,0.74,0.61,0.84,2.32,146,122,2.52,2.11,2.56,2.14
,,,Goose,Prospect,Squalls,Storm,Solar,45.1,603,46,0.684,0.717,33,13,12649,7080,5569,28,32,34,98,28.6%,278.2,155.7,122.5,0.62,0.70,0.75,2.16,275.0,153.9,121.1,0.61,0.70,0.74,2.13,123,74,2.71,1.63,2.67,1.61
,,,Leet,Prospect,Templars,The Order,Lunar,44.6,517,35,0.533,0.486,17,18,11715,6970,4745,29,26,42,67,43.3%,300.5,178.8,121.7,0.74,0.67,1.08,1.72,334.7,199.1,135.6,0.83,0.74,1.20,1.91,98,90,2.51,2.31,2.80,2.57
,,,Sentir,Prospect,Punch-Outs,8-Bit Brigade,Lunar,43.7,383,29,0.654,0.655,19,10,8076,4690,3386,22,18,19,64,34.4%,279.6,162.4,117.2,0.76,0.62,0.66,2.22,278.5,161.7,116.8,0.76,0.62,0.66,2.21,84,56,2.91,1.94,2.90,1.93
,,,Thedrprofessornoah,Prospect,Air Buds,Dog Pound,Solar,43.0,444,36,0.396,0.333,12,24,10003,4820,5183,21,15,26,67,31.3%,298.8,144.0,154.8,0.63,0.45,0.78,2.00,277.9,133.9,144.0,0.58,0.42,0.72,1.86,67,88,2.00,2.63,1.86,2.44
,,,Prometiumz,Prospect,"Mambas
Chimps","The Serpents
Planet of the Apes",Solar,42.7,561,43,0.386,0.372,16,27,12608,6750,5858,31,18,37,90,34.4%,298.0,159.6,138.5,0.73,0.43,0.87,2.13,293.2,157.0,136.2,0.72,0.42,0.86,2.09,88,118,2.08,2.79,2.05,2.74
,,,Flez,Prospect,Sparks,Electric Mayhem,Lunar,42.7,657,50,0.493,0.560,28,22,14445,8130,6315,37,28,41,98,37.8%,291.6,164.1,127.5,0.75,0.57,0.83,1.98,288.9,162.6,126.3,0.74,0.56,0.82,1.96,116,118,2.34,2.38,2.32,2.36
,,,Blindvisionary,Prospect,Spartans,The Sovereign,Lunar,42.7,637,48,0.497,0.500,24,24,14060,7680,6380,34,25,41,98,34.7%,292.7,159.9,132.8,0.71,0.52,0.85,2.04,292.9,160.0,132.9,0.71,0.52,0.85,2.04,114,115,2.37,2.39,2.38,2.40
,,,Heartless,Prospect,Gorgons,πολύ κεφάλη,Lunar,41.2,684,55,0.369,0.382,21,34,16004,8810,7194,46,17,47,101,45.5%,310.3,170.8,139.5,0.89,0.33,0.91,1.96,291.0,160.2,130.8,0.84,0.31,0.85,1.84,110,154,2.13,2.99,2.00,2.80
,,,Potato Prophecy,Prospect,Do Re Migos,The Jukebox,Lunar,38.3,761,58,0.488,0.517,30,28,16720,9330,7390,38,21,65,123,30.9%,291.4,162.6,128.8,0.66,0.37,1.13,2.14,288.3,160.9,127.4,0.66,0.36,1.12,2.12,122,126,2.13,2.20,2.10,2.17
,,,Porkins,Prospect,Gorgons,πολύ κεφάλη,Lunar,37.8,584,48,0.400,0.417,20,28,13383,7560,5823,28,20,61,71,39.4%,303.9,171.7,132.2,0.64,0.45,1.39,1.61,278.8,157.5,121.3,0.58,0.42,1.27,1.48,96,124,2.18,2.82,2.00,2.58
,,,Intrude_N313,Prospect,Breadsticks,Fifty-Fifty Pizzeria,Lunar,37.5,436,33,0.510,0.455,15,18,9258,4970,4288,24,15,23,67,35.8%,281.6,151.2,130.4,0.73,0.46,0.70,2.04,280.5,150.6,129.9,0.73,0.45,0.70,2.03,80,78,2.43,2.37,2.42,2.36
,,,Totoro,Prospect,Compost Bins,Waste Management,Solar,37.2,618,48,0.586,0.542,26,22,12856,7150,5706,33,24,34,95,34.7%,275.9,153.4,122.4,0.71,0.52,0.73,2.04,267.8,149.0,118.9,0.69,0.50,0.71,1.98,126,101,2.70,2.17,2.63,2.10
,,,Hayhay,Prospect,Isopods,The Abyss,Lunar,36.1,595,46,0.371,0.304,14,32,13046,7120,5926,29,17,50,87,33.3%,290.8,158.7,132.1,0.65,0.38,1.11,1.94,283.6,154.8,128.8,0.63,0.37,1.09,1.89,83,117,1.85,2.61,1.80,2.54
,,,Joez,Prospect,Chimps,Planet of the Apes,Solar,34.8,554,41,0.330,0.341,14,27,11202,5850,5352,24,17,33,95,25.3%,268.1,140.0,128.1,0.57,0.41,0.79,2.27,273.2,142.7,130.5,0.59,0.41,0.80,2.32,77,121,1.84,2.90,1.88,2.95
,,,Gat0Rbait,Prospect,Mambas,The Serpents,Solar,34.3,731,55,0.327,0.309,17,38,16251,8650,7601,34,18,67,100,34.0%,294.8,156.9,137.9,0.62,0.33,1.22,1.81,295.5,157.3,138.2,0.62,0.33,1.22,1.82,98,156,1.78,2.83,1.78,2.84
,,,Lustlizard,Prospect,Sparks,Electric Mayhem,Lunar,34.2,333,25,0.478,0.520,13,12,7413,3900,3513,18,8,25,45,40.0%,295.2,155.3,139.9,0.72,0.32,1.00,1.79,296.5,156.0,140.5,0.72,0.32,1.00,1.80,49,52,1.95,2.07,1.96,2.08
,,,Dirtdawg12,Prospect,Isopods,The Abyss,Lunar,33.6,655,52,0.334,0.269,14,38,14222,7300,6922,24,16,63,95,25.3%,287.9,147.8,140.1,0.49,0.32,1.28,1.92,273.5,140.4,133.1,0.46,0.31,1.21,1.83,84,132,1.70,2.67,1.62,2.54
,,,Beeg Yoshi,Prospect,"Breadsticks
Dolphins","Fifty-Fifty Pizzeria
The Ocean",Lunar,32.6,562,40,0.492,0.500,20,20,11691,6330,5361,26,17,41,83,31.3%,275.9,149.4,126.5,0.61,0.40,0.97,1.96,292.3,158.3,134.0,0.65,0.43,1.03,2.08,96,98,2.27,2.31,2.40,2.45
,,,Kai.,Prospect,Gorgons,πολύ κεφάλη,Lunar,31.9,266,21,0.407,0.429,9,12,5853,2980,2873,8,7,30,33,24.2%,291.8,148.6,143.2,0.40,0.35,1.50,1.65,278.7,141.9,136.8,0.38,0.33,1.43,1.57,45,57,2.24,2.84,2.14,2.71
,,,Buckwild,Prospect,Chimps,Planet of the Apes,Solar,30.7,715,52,0.304,0.327,17,35,14908,7810,7098,26,18,65,106,24.5%,276.5,144.9,131.7,0.48,0.33,1.21,1.97,286.7,150.2,136.5,0.50,0.35,1.25,2.04,86,148,1.60,2.75,1.65,2.85
,,,Drip2Ez,Prospect,Isopods,The Abyss,Lunar,30.5,351,26,0.334,0.269,7,19,6989,3660,3329,15,10,22,56,26.8%,264.1,138.3,125.8,0.57,0.38,0.83,2.12,268.8,140.8,128.0,0.58,0.38,0.85,2.15,46,72,1.74,2.72,1.77,2.77
,,,Thomasuh,Prospect,Gorgons,πολύ κεφάλη,Lunar,29.4,59,6,0.577,0.667,4,2,1266,500,766,3,0,2,10,30.0%,284.6,112.4,172.2,0.67,0.00,0.45,2.25,211.0,83.3,127.7,0.50,0.00,0.33,1.67,11,9,2.47,2.02,1.83,1.50
,,,Vartonex,Prospect,"Mambas
Pioneer","The Serpents
Mission Control",Solar,28.4,426,33,0.331,0.333,11,22,8509,4400,4109,17,13,29,60,28.3%,264.9,137.0,127.9,0.53,0.40,0.90,1.87,257.8,133.3,124.5,0.52,0.39,0.88,1.82,60,94,1.87,2.93,1.82,2.85
,,,Shooter12133,Prospect,Do Re Migos,The Jukebox,Lunar,28.2,258,19,0.563,0.632,12,7,5087,3020,2067,11,11,21,32,34.4%,261.5,155.2,106.2,0.57,0.57,1.08,1.64,267.7,158.9,108.8,0.58,0.58,1.11,1.68,46,39,2.36,2.00,2.42,2.05
,,,Beyond Teddie,Prospect,"Dolphins
Breadsticks","The Ocean
Fifty-Fifty Pizzeria",Lunar,27.6,365,29,0.360,0.379,11,18,8076,4660,3416,18,8,41,41,43.9%,293.4,169.3,124.1,0.65,0.29,1.49,1.49,278.5,160.7,117.8,0.62,0.28,1.41,1.41,51,74,1.85,2.69,1.76,2.55
,,,Bak3R,Prospect,Ravagers,The Swarm,Solar,27.1,110,9,0.375,0.444,4,5,2381,1210,1171,5,3,9,11,45.5%,287.1,145.9,141.2,0.60,0.36,1.09,1.33,264.6,134.4,130.1,0.56,0.33,1.00,1.22,15,21,1.81,2.53,1.67,2.33
,,,Itsdapperdyl,Prospect,Chimps,Planet of the Apes,Solar,26.6,330,25,0.242,0.320,8,17,6965,3220,3745,14,6,22,42,33.3%,279.9,129.4,150.5,0.56,0.24,0.88,1.69,278.6,128.8,149.8,0.56,0.24,0.88,1.68,35,74,1.41,2.97,1.40,2.96
,,,Anomaly,Prospect,Snow Owls,Polar Vortex,Lunar,25.5,530,40,0.435,0.425,17,23,10438,5710,4728,23,16,38,71,32.4%,261.2,142.9,118.3,0.58,0.40,0.95,1.78,261.0,142.8,118.2,0.58,0.40,0.95,1.78,88,104,2.20,2.60,2.20,2.60
,,,Lukemac18,Prospect,Air Buds,Dog Pound,Solar,25.3,528,44,0.379,0.341,15,29,10004,4900,5104,18,23,27,60,30.0%,251.3,123.1,128.2,0.45,0.58,0.68,1.51,227.4,111.4,116.0,0.41,0.52,0.61,1.36,81,111,2.03,2.79,1.84,2.52
,,,Heiz.,Prospect,Dolphins,The Ocean,Solar,24.7,51,4,0.221,0.250,1,3,1066,590,476,2,0,6,9,22.2%,277.2,153.4,123.8,0.52,0.00,1.56,2.34,266.5,147.5,119.0,0.50,0.00,1.50,2.25,7,15,1.82,3.90,1.75,3.75
,,,Ricostealth,Prospect,"Do Re Migos
Compost Bins","The Jukebox
Waste Management",Lunar,24.1,529,40,0.406,0.350,14,26,10404,5510,4894,22,12,39,76,28.9%,260.8,138.1,122.7,0.55,0.30,0.98,1.91,260.1,137.8,122.4,0.55,0.30,0.98,1.90,73,94,1.83,2.36,1.83,2.35
,,,Munski,Prospect,Isopods,The Abyss,Lunar,23.7,115,10,0.318,0.200,2,8,2389,1010,1379,4,3,7,11,36.4%,275.5,116.5,159.0,0.46,0.35,0.81,1.27,238.9,101.0,137.9,0.40,0.30,0.70,1.10,16,26,1.85,3.00,1.60,2.60
,,,Rum,Prospect,Snow Owls,Polar Vortex,Lunar,23.3,518,41,0.449,0.439,18,23,9606,5150,4456,24,14,25,80,30.0%,245.9,131.8,114.1,0.61,0.36,0.64,2.05,234.3,125.6,108.7,0.59,0.34,0.61,1.95,85,97,2.18,2.48,2.07,2.37
,,,Biggz1313,Prospect,Dolphins,The Ocean,Solar,21.4,391,31,0.293,0.323,10,21,7666,3900,3766,14,13,29,40,35.0%,260.0,132.3,127.7,0.47,0.44,0.98,1.36,247.3,125.8,121.5,0.45,0.42,0.94,1.29,56,97,1.90,3.29,1.81,3.13
,,,Prem1X,Prospect,"Sparks
Dolphins
Gallimimus","Electric Mayhem
The Ocean
Dino Park",Solar,18.0,222,17,0.330,0.471,8,9,4370,2050,2320,9,4,14,25,36.0%,261.0,122.5,138.6,0.54,0.24,0.84,1.49,257.1,120.6,136.5,0.53,0.24,0.82,1.47,29,46,1.73,2.75,1.71,2.71
,,,Rkr,Prospect,Mambas,The Serpents,Solar,15.0,375,28,0.312,0.214,6,22,6984,3910,3074,15,10,30,41,36.6%,247.0,138.3,108.7,0.53,0.35,1.06,1.45,249.4,139.6,109.8,0.54,0.36,1.07,1.46,50,83,1.77,2.94,1.79,2.96
