Filter(s),,,Name,Tier,Team(s),Franchise(s),Conference,SBV,TS,GP,PWE,WP,W,L,P,SP,NP,G,A,Sv,S,S%,P/A,SP/A,NP/A,G/A,A/A,Sv/A,S/A,P/G,SP/G,NP/G,G/G,A/G,Sv/G,S/G,tm_G,opp_G,tm_G/A,opp_G/A,tm_G/G,opp_G/G
Stat,Condition,,Skepsis,Veteran,Quetzalcoatl,Pantheon,Lunar,136.5,54,4,0.751,0.500,2,2,1589,1000,589,4,6,3,15,26.7%,445.9,280.6,165.3,1.12,1.68,0.84,4.21,397.3,250.0,147.3,1.00,1.50,0.75,3.75,12,6,3.37,1.68,3.00,1.50
,,,Taskhetto,Veteran,Water,The Elements,Solar,109.7,302,20,0.648,0.700,14,6,9212,5550,3662,27,19,25,65,41.5%,462.2,278.5,183.8,1.35,0.95,1.25,3.26,460.6,277.5,183.1,1.35,0.95,1.25,3.25,68,47,3.41,2.36,3.40,2.35
,,,Tr1Ppn,Veteran,Quetzalcoatl,Pantheon,Lunar,104.6,10,1,0.326,0.000,0,1,270,170,100,1,1,0,2,50.0%,409.1,257.6,151.5,1.52,1.52,0.00,3.03,270.0,170.0,100.0,1.00,1.00,0.00,2.00,2,3,3.03,4.55,2.00,3.00
,,,Neito,Veteran,Typhoons,Storm,Solar,100.1,60,4,0.469,0.500,2,2,1772,1140,632,6,5,4,9,66.7%,447.5,287.9,159.6,1.52,1.26,1.01,2.27,443.0,285.0,158.0,1.50,1.25,1.00,2.25,14,15,3.54,3.79,3.50,3.75
,,,Tinsel,Veteran,Peppermint,Minty Fresh,Solar,100.1,14,1,0.000,0.000,0,1,435,190,245,0,0,3,4,0.0%,470.8,205.7,265.2,0.00,0.00,3.25,4.33,435.0,190.0,245.0,0.00,0.00,3.00,4.00,0,3,0.00,3.25,0.00,3.00
,,,Snack Time!,Veteran,Marshmallow Mob,Snack Syndicate,Lunar,94.0,842,59,0.644,0.610,36,23,22612,13040,9572,56,54,56,194,28.9%,407.0,234.7,172.3,1.01,0.97,1.01,3.49,383.3,221.0,162.2,0.95,0.92,0.95,3.29,164,113,2.95,2.03,2.78,1.92
,,,Cotni,Veteran,Typhoons,Storm,Solar,87.3,561,34,0.539,0.559,19,15,15615,9160,6455,40,27,53,116,34.5%,421.8,247.4,174.4,1.08,0.73,1.43,3.13,459.3,269.4,189.9,1.18,0.79,1.56,3.41,82,74,2.21,2.00,2.41,2.18
,,,.Bzy,Veteran,Makos,Shark Attack,Lunar,87.3,733,48,0.574,0.563,27,21,19935,11530,8405,47,38,67,158,29.7%,412.1,238.4,173.8,0.97,0.79,1.39,3.27,415.3,240.2,175.1,0.98,0.79,1.40,3.29,126,104,2.60,2.15,2.63,2.17
,,,Bill3113,Veteran,Quetzalcoatl,Pantheon,Lunar,81.9,884,57,0.628,0.649,37,20,24269,14860,9409,69,44,82,166,41.6%,416.0,254.7,161.3,1.18,0.75,1.41,2.85,425.8,260.7,165.1,1.21,0.77,1.44,2.91,171,123,2.93,2.11,3.00,2.16
,,,Frenchy,Veteran,"Supernova
Banshees","The Cosmos
The Monster Mash",Lunar,77.5,319,22,0.562,0.636,14,8,8775,4950,3825,23,14,28,55,41.8%,416.8,235.1,181.7,1.09,0.67,1.33,2.61,398.9,225.0,173.9,1.05,0.64,1.27,2.50,54,46,2.57,2.19,2.45,2.09
,,,Vencill,Veteran,Gladiators,The Sovereign,Lunar,76.5,802,54,0.643,0.667,36,18,20750,12600,8150,53,46,70,150,35.3%,392.1,238.1,154.0,1.00,0.87,1.32,2.83,384.3,233.3,150.9,0.98,0.85,1.30,2.78,146,100,2.76,1.89,2.70,1.85
