Filter(s),,,Name,Tier,Team(s),Franchise(s),Conference,SBV,TS,GP,PWE,WP,W,L,P,SP,NP,G,A,Sv,S,S%,P/A,SP/A,NP/A,G/A,A/A,Sv/A,S/A,P/G,SP/G,NP/G,G/G,A/G,Sv/G,S/G,tm_G,opp_G,tm_G/A,opp_G/A,tm_G/G,opp_G/G
,,,Buddha,Veteran,Cobras,The Serpents,Solar,76.0,704,46,0.543,0.500,23,23,19203,11950,7253,53,22,82,145,36.6%,413.3,257.2,156.1,1.14,0.47,1.77,3.12,417.5,259.8,157.7,1.15,0.48,1.78,3.15,116,104,2.50,2.24,2.52,2.26
Sort(s),,,Be Tolerant,Veteran,"Linguini Lancers
Thermal
Quetzalcoatl","Italian Battalion
Energy
Pantheon",Lunar,75.9,137,10,0.725,0.600,6,4,3630,2220,1410,10,6,13,27,37.0%,401.5,245.6,156.0,1.11,0.66,1.44,2.99,363.0,222.0,141.0,1.00,0.60,1.30,2.70,31,17,3.43,1.88,3.10,1.70
Stat,Order,,Zay,Veteran,Titanium,Metal,Solar,75.8,559,37,0.679,0.730,27,10,14644,8540,6104,38,24,48,114,33.3%,397.0,231.5,165.5,1.03,0.65,1.30,3.09,395.8,230.8,165.0,1.03,0.65,1.30,3.08,118,74,3.20,2.01,3.19,2.00
Name,Desc,,G,Veteran,Quetzalcoatl,Pantheon,Lunar,74.3,966,63,0.641,0.635,40,23,25089,15060,10029,72,46,74,186,38.7%,393.6,236.2,157.3,1.13,0.72,1.16,2.92,398.2,239.0,159.2,1.14,0.73,1.17,2.95,190,132,2.98,2.07,3.02,2.10
Conference,Desc,,Cobraz Re,Veteran,Peppers,The Garden,Solar,73.9,719,47,0.627,0.681,32,15,18982,11270,7712,48,33,70,132,36.4%,400.1,237.5,162.5,1.01,0.70,1.48,2.78,403.9,239.8,164.1,1.02,0.70,1.49,2.81,135,97,2.85,2.04,2.87,2.06
TS,Desc,,M0Vethatbus,Veteran,"Hades
Gorillas","The Gods
The Jungle",Lunar,72.6,196,14,0.422,0.429,6,8,4980,2770,2210,12,10,14,37,32.4%,385.0,214.2,170.9,0.93,0.77,1.08,2.86,355.7,197.9,157.9,0.86,0.71,1.00,2.64,33,40,2.55,3.09,2.36,2.86
,,,Armo27,Veteran,X-ray,The Wavelengths,Solar,72.0,756,52,0.522,0.519,27,25,19692,10790,8902,37,36,79,134,27.6%,394.7,216.3,178.4,0.74,0.72,1.58,2.69,378.7,207.5,171.2,0.71,0.69,1.52,2.58,131,124,2.63,2.49,2.52,2.38
,,,Lordpinhead,Veteran,Grizzly Bears,The Bear Den,Lunar,71.3,768,50,0.570,0.600,30,20,20415,11990,8425,51,32,79,134,38.1%,402.8,236.6,166.2,1.01,0.63,1.56,2.64,408.3,239.8,168.5,1.02,0.64,1.58,2.68,133,111,2.62,2.19,2.66,2.22
,,,Scanti,Veteran,Linguini Lancers,Italian Battalion,Lunar,71.1,186,12,0.500,0.500,6,6,5048,2910,2138,12,7,21,31,38.7%,411.3,237.1,174.2,0.98,0.57,1.71,2.53,420.7,242.5,178.2,1.00,0.58,1.75,2.58,29,29,2.36,2.36,2.42,2.42
,,,Thunda Esq,Veteran,X-ray,The Wavelengths,Solar,70.8,69,4,0.293,0.500,2,2,1952,1240,712,4,3,12,9,44.4%,428.7,272.3,156.4,0.88,0.66,2.64,1.98,488.0,310.0,178.0,1.00,0.75,3.00,2.25,8,14,1.76,3.07,2.00,3.50
,,,Girth,Veteran,Titanium,Metal,Solar,70.7,942,63,0.656,0.698,44,19,23485,13620,9865,62,46,65,187,33.2%,377.8,219.1,158.7,1.00,0.74,1.05,3.01,372.8,216.2,156.6,0.98,0.73,1.03,2.97,189,126,3.04,2.03,3.00,2.00
,,,Galacticcccc,Veteran,"Supernova
Grizzly Bears","The Cosmos
The Bear Den",Lunar,70.6,540,35,0.552,0.571,20,15,12947,7390,5557,25,30,45,114,21.9%,363.3,207.4,155.9,0.70,0.84,1.26,3.20,369.9,211.1,158.8,0.71,0.86,1.29,3.26,87,76,2.44,2.13,2.49,2.17
,,,Jeremy,Veteran,Marshmallow Mob,Snack Syndicate,Lunar,70.4,687,49,0.654,0.612,30,19,16756,9570,7186,42,35,44,142,29.6%,369.6,211.1,158.5,0.93,0.77,0.97,3.13,342.0,195.3,146.7,0.86,0.71,0.90,2.90,136,91,3.00,2.01,2.78,1.86
,,,Cujo.,Veteran,Gouda Gangsters,Cheese Guild,Solar,69.9,130,10,0.379,0.200,2,8,3124,1720,1404,6,7,10,27,22.2%,364.2,200.5,163.7,0.70,0.82,1.17,3.15,312.4,172.0,140.4,0.60,0.70,1.00,2.70,24,32,2.80,3.73,2.40,3.20
,,,Gekkos0Lid,Veteran,Lightning,Electric Mayhem,Lunar,69.8,694,48,0.587,0.604,29,19,18090,10260,7830,39,33,71,116,33.6%,395.0,224.0,171.0,0.85,0.72,1.55,2.53,376.9,213.8,163.1,0.81,0.69,1.48,2.42,125,100,2.73,2.18,2.60,2.08
,,,Colossal Beast,Veteran,Posessed,Destined,Solar,69.7,731,49,0.531,0.592,29,20,18619,10380,8239,44,32,60,138,31.9%,386.0,215.2,170.8,0.91,0.66,1.24,2.86,380.0,211.8,168.1,0.90,0.65,1.22,2.82,120,111,2.49,2.30,2.45,2.27
,,,Uf2,Veteran,Humpbacks,Whale Defense,Solar,69.0,924,56,0.535,0.571,32,24,23739,14220,9519,59,44,90,162,36.4%,389.3,233.2,156.1,0.97,0.72,1.48,2.66,423.9,253.9,170.0,1.05,0.79,1.61,2.89,166,152,2.72,2.49,2.96,2.71
,,,Darii,Veteran,"Peppers
Gorillas
Typhoons","The Garden
The Jungle
Storm",Solar,68.2,614,44,0.516,0.545,24,20,15948,8550,7398,28,35,63,85,32.9%,393.6,211.0,182.6,0.69,0.86,1.55,2.10,362.5,194.3,168.1,0.64,0.80,1.43,1.93,103,99,2.54,2.44,2.34,2.25
,,,P1Zzly,Veteran,Banana Spiders,Eight Legged Freaks,Lunar,67.9,662,43,0.572,0.581,25,18,17211,9930,7281,42,28,64,113,37.2%,394.0,227.3,166.7,0.96,0.64,1.47,2.59,400.3,230.9,169.3,0.98,0.65,1.49,2.63,112,93,2.56,2.13,2.60,2.16
,,,Slmrnchr,Veteran,X-ray,The Wavelengths,Solar,67.8,684,46,0.553,0.565,26,20,17194,10540,6654,51,31,52,129,39.5%,380.9,233.5,147.4,1.13,0.69,1.15,2.86,373.8,229.1,144.7,1.11,0.67,1.13,2.80,120,105,2.66,2.33,2.61,2.28
,,,Siiderij23,Veteran,Supernova,The Cosmos,Lunar,67.5,763,50,0.544,0.460,23,27,18824,11030,7794,51,38,52,143,35.7%,373.9,219.1,154.8,1.01,0.75,1.03,2.84,376.5,220.6,155.9,1.02,0.76,1.04,2.86,134,120,2.66,2.38,2.68,2.40
,,,Bosnia_2003,Veteran,Water,The Elements,Solar,66.9,877,54,0.541,0.556,30,24,22744,13920,8824,69,33,76,157,43.9%,393.0,240.5,152.5,1.19,0.57,1.31,2.71,421.2,257.8,163.4,1.28,0.61,1.41,2.91,155,140,2.68,2.42,2.87,2.59
,,,Cazzuto,Veteran,"Rollin Cannolis
Werewolves","The Bakery
The Forest",Lunar,66.3,755,50,0.572,0.580,29,21,19275,11020,8255,50,25,66,147,34.0%,386.9,221.2,165.7,1.00,0.50,1.32,2.95,385.5,220.4,165.1,1.00,0.50,1.32,2.94,130,108,2.61,2.17,2.60,2.16
,,,Viper15,Veteran,"Valencias Wrath
Posessed","Seas Despair
Destined",Solar,65.6,686,47,0.643,0.681,32,15,17212,10100,7112,51,29,46,125,40.8%,380.2,223.1,157.1,1.13,0.64,1.02,2.76,366.2,214.9,151.3,1.09,0.62,0.98,2.66,136,94,3.00,2.08,2.89,2.00
,,,Moose,Veteran,Humpbacks,Whale Defense,Solar,64.5,621,39,0.523,0.513,20,19,15523,8840,6683,40,25,49,114,35.1%,378.8,215.7,163.1,0.98,0.61,1.20,2.78,398.0,226.7,171.4,1.03,0.64,1.26,2.92,109,103,2.66,2.51,2.79,2.64
,,,Lilia,Veteran,Werewolves,The Forest,Lunar,64.1,846,57,0.485,0.561,32,25,21548,11830,9718,47,36,79,138,34.1%,386.0,211.9,174.1,0.84,0.64,1.42,2.47,378.0,207.5,170.5,0.82,0.63,1.39,2.42,133,138,2.38,2.47,2.33,2.42
,,,Holey Shmoley,Veteran,Yellow Jackets,The Swarm,Solar,63.5,965,61,0.526,0.607,37,24,23522,13710,9812,59,43,77,181,32.6%,369.4,215.3,154.1,0.93,0.68,1.21,2.84,385.6,224.8,160.9,0.97,0.70,1.26,2.97,154,144,2.42,2.26,2.52,2.36
,,,Archhie.,Veteran,Titanium,Metal,Solar,63.2,833,56,0.663,0.714,40,16,20249,12280,7969,64,32,52,168,38.1%,368.4,223.4,145.0,1.16,0.58,0.95,3.06,361.6,219.3,142.3,1.14,0.57,0.93,3.00,167,109,3.04,1.98,2.98,1.95
,,,Sspekky,Veteran,Taurus,The Nexus,Solar,62.9,778,50,0.494,0.480,24,26,19171,10630,8541,41,32,70,143,28.7%,373.4,207.0,166.4,0.80,0.62,1.36,2.79,383.4,212.6,170.8,0.82,0.64,1.40,2.86,123,125,2.40,2.43,2.46,2.50
,,,Nickm,Veteran,Peppers,The Garden,Solar,62.3,897,56,0.593,0.661,37,19,21312,12560,8752,56,43,62,171,32.7%,360.0,212.2,147.9,0.95,0.73,1.05,2.89,380.6,224.3,156.3,1.00,0.77,1.11,3.05,166,131,2.80,2.21,2.96,2.34
,,,Goum,Veteran,Lightning,Electric Mayhem,Lunar,61.9,269,18,0.678,0.778,14,4,6431,3710,2721,15,19,18,36,41.7%,362.3,209.0,153.3,0.85,1.07,1.01,2.03,357.3,206.1,151.2,0.83,1.06,1.00,2.00,53,33,2.99,1.86,2.94,1.83
,,,Cubby,Veteran,Thermal,Energy,Solar,61.5,916,58,0.574,0.586,34,24,21714,12650,9064,51,54,67,150,34.0%,359.2,209.3,149.9,0.84,0.89,1.11,2.48,374.4,218.1,156.3,0.88,0.93,1.16,2.59,171,142,2.83,2.35,2.95,2.45
,,,Supercruz101,Veteran,Thermal,Energy,Solar,61.4,683,43,0.600,0.628,27,16,16600,9770,6830,43,35,52,112,38.4%,368.3,216.8,151.5,0.95,0.78,1.15,2.48,386.0,227.2,158.8,1.00,0.81,1.21,2.60,130,101,2.88,2.24,3.02,2.35
,,,Wicked,Veteran,Peppers,The Garden,Solar,60.7,640,40,0.578,0.600,24,16,15083,8520,6563,36,25,47,132,27.3%,357.1,201.7,155.4,0.85,0.59,1.11,3.13,377.1,213.0,164.1,0.90,0.63,1.18,3.30,109,89,2.58,2.11,2.73,2.23
,,,Mrfelon,Veteran,Valencias Wrath,Seas Despair,Lunar,60.1,851,54,0.526,0.537,29,25,20777,12110,8667,51,35,75,151,33.8%,370.0,215.6,154.3,0.91,0.62,1.34,2.69,384.8,224.3,160.5,0.94,0.65,1.39,2.80,144,135,2.56,2.40,2.67,2.50
,,,Crunch,Veteran,Marshmallow Mob,Snack Syndicate,Lunar,58.7,758,53,0.650,0.623,33,20,17846,10620,7226,54,33,43,142,38.0%,356.8,212.3,144.5,1.08,0.66,0.86,2.84,336.7,200.4,136.3,1.02,0.62,0.81,2.68,152,103,3.04,2.06,2.87,1.94
,,,El_Unico_Nacho,Veteran,Dobermans,Puppy Paradise,Lunar,58.7,56,4,0.445,0.250,1,3,1304,770,534,3,2,5,12,25.0%,352.9,208.4,144.5,0.81,0.54,1.35,3.25,326.0,192.5,133.5,0.75,0.50,1.25,3.00,6,7,1.62,1.89,1.50,1.75
,,,Bachleon,Veteran,Lightning,Electric Mayhem,Lunar,58.7,768,52,0.595,0.635,33,19,18663,11260,7403,50,24,71,151,33.1%,368.2,222.2,146.1,0.99,0.47,1.40,2.98,358.9,216.5,142.4,0.96,0.46,1.37,2.90,132,103,2.60,2.03,2.54,1.98
,,,Acp.,Veteran,Makos,Shark Attack,Lunar,58.2,866,56,0.545,0.518,29,27,21319,11830,9489,47,36,79,138,34.1%,373.1,207.0,166.0,0.82,0.63,1.38,2.41,380.7,211.3,169.4,0.84,0.64,1.41,2.46,150,134,2.62,2.34,2.68,2.39
,,,Fjord,Veteran,Peppermint,Minty Fresh,Solar,58.0,973,63,0.626,0.619,39,24,23895,14150,9745,62,35,90,170,36.5%,372.1,220.4,151.8,0.97,0.55,1.40,2.65,379.3,224.6,154.7,0.98,0.56,1.43,2.70,169,121,2.63,1.88,2.68,1.92
,,,Sturmo.,Veteran,Gladiators,The Sovereign,Lunar,57.9,873,60,0.619,0.617,37,23,20566,11770,8796,49,37,68,162,30.2%,357.0,204.3,152.7,0.85,0.64,1.18,2.81,342.8,196.2,146.6,0.82,0.62,1.13,2.70,152,111,2.64,1.93,2.53,1.85
,,,Leaf.,Veteran,Thermal,Energy,Solar,57.8,829,51,0.534,0.529,27,24,19553,11830,7723,57,31,59,163,35.0%,357.4,216.2,141.2,1.04,0.57,1.08,2.98,383.4,232.0,151.4,1.12,0.61,1.16,3.20,145,133,2.65,2.43,2.84,2.61
,,,Sagents,Veteran,Werewolves,The Forest,Lunar,57.6,564,38,0.530,0.632,24,14,12911,7560,5351,29,28,44,106,27.4%,346.9,203.1,143.8,0.78,0.75,1.18,2.85,339.8,198.9,140.8,0.76,0.74,1.16,2.79,95,88,2.55,2.36,2.50,2.32
,,,Cereal21,Veteran,Rollin Cannolis,The Bakery,Lunar,57.3,894,60,0.533,0.550,33,27,21701,11530,10171,44,38,76,143,30.8%,367.8,195.4,172.4,0.75,0.64,1.29,2.42,361.7,192.2,169.5,0.73,0.63,1.27,2.38,149,137,2.53,2.32,2.48,2.28
,,,Roman.,Veteran,"Gorillas
Valencias Wrath","The Jungle
Seas Despair",Lunar,57.1,814,54,0.582,0.574,31,23,19567,11040,8527,39,34,81,139,28.1%,364.3,205.5,158.7,0.73,0.63,1.51,2.59,362.4,204.4,157.9,0.72,0.63,1.50,2.57,135,109,2.51,2.03,2.50,2.02
,,,Tbonelul,Veteran,Supernova,The Cosmos,Lunar,57.0,807,54,0.614,0.574,31,23,18875,10930,7945,42,40,67,138,30.4%,354.4,205.2,149.2,0.79,0.75,1.26,2.59,349.5,202.4,147.1,0.78,0.74,1.24,2.56,155,116,2.91,2.18,2.87,2.15
,,,Limon,Veteran,Peppermint,Minty Fresh,Solar,56.8,908,59,0.608,0.610,36,23,21155,12440,8715,56,28,70,194,28.9%,353.1,207.6,145.4,0.93,0.47,1.17,3.24,358.6,210.8,147.7,0.95,0.47,1.19,3.29,153,115,2.55,1.92,2.59,1.95
,,,2K,Veteran,Banana Spiders,Eight Legged Freaks,Lunar,55.9,943,62,0.560,0.548,34,28,22904,13460,9444,54,39,92,151,35.8%,368.1,216.3,151.8,0.87,0.63,1.48,2.43,369.4,217.1,152.3,0.87,0.63,1.48,2.44,152,130,2.44,2.09,2.45,2.10
,,,Crypt_Rl,Veteran,Peppermint,Minty Fresh,Solar,55.9,873,57,0.662,0.649,37,20,20174,11860,8314,43,46,76,146,29.5%,350.2,205.9,144.3,0.75,0.80,1.32,2.53,353.9,208.1,145.9,0.75,0.81,1.33,2.56,158,102,2.74,1.77,2.77,1.79
,,,Kxle,Veteran,Cobras,The Serpents,Solar,55.8,871,57,0.470,0.456,26,31,20684,11920,8764,48,42,73,137,35.0%,359.9,207.4,152.5,0.84,0.73,1.27,2.38,362.9,209.1,153.8,0.84,0.74,1.28,2.40,138,149,2.40,2.59,2.42,2.61
,,,Tmonz14,Veteran,Water,The Elements,Solar,55.4,265,18,0.549,0.556,10,8,5867,3640,2227,16,17,15,44,36.4%,335.5,208.1,127.3,0.91,0.97,0.86,2.52,325.9,202.2,123.7,0.89,0.94,0.83,2.44,53,47,3.03,2.69,2.94,2.61
,,,Iamnavy101,Veteran,"Seadevils
Rollin Cannolis","The Abyss
The Bakery",Lunar,55.0,492,33,0.342,0.333,11,22,11890,6590,5300,20,22,55,74,27.0%,366.2,203.0,163.2,0.62,0.68,1.69,2.28,360.3,199.7,160.6,0.61,0.67,1.67,2.24,65,98,2.00,3.02,1.97,2.97
,,,A Calm Panda,Veteran,"Banshees
Typhoons","The Monster Mash
Storm",Lunar,54.7,569,39,0.378,0.410,16,23,13691,7750,5941,32,19,52,100,32.0%,364.6,206.4,158.2,0.85,0.51,1.38,2.66,351.1,198.7,152.3,0.82,0.49,1.33,2.56,78,107,2.08,2.85,2.00,2.74
,,,Bdbr,Veteran,"Gorillas
Gouda Gangsters","The Jungle
Cheese Guild",Solar,54.4,793,54,0.385,0.370,20,34,19237,10420,8817,48,26,60,132,36.4%,367.6,199.1,168.5,0.92,0.50,1.15,2.52,356.2,193.0,163.3,0.89,0.48,1.11,2.44,119,159,2.27,3.04,2.20,2.94
,,,Virrexo,Veteran,Banshees,The Monster Mash,Lunar,54.4,636,43,0.400,0.419,18,25,14964,8040,6924,31,21,54,119,26.1%,356.5,191.6,165.0,0.74,0.50,1.29,2.84,348.0,187.0,161.0,0.72,0.49,1.26,2.77,83,108,1.98,2.57,1.93,2.51
,,,Wolfocus,Veteran,X-ray,The Wavelengths,Solar,54.3,298,21,0.609,0.667,14,7,6932,4050,2882,17,16,22,45,37.8%,352.5,205.9,146.6,0.86,0.81,1.12,2.29,330.1,192.9,137.2,0.81,0.76,1.05,2.14,58,44,2.95,2.24,2.76,2.10
,,,Humble Potato,Veteran,Posessed,Destined,Solar,53.8,673,47,0.578,0.638,30,17,15478,8520,6958,36,32,44,112,32.1%,348.5,191.8,156.7,0.81,0.72,0.99,2.52,329.3,181.3,148.0,0.77,0.68,0.94,2.38,122,100,2.75,2.25,2.60,2.13
,,,N0Maa,Veteran,Fighters,Dungeons And Double Taps,Solar,53.4,146,12,0.278,0.167,2,10,3446,1630,1816,5,6,12,23,21.7%,357.7,169.2,188.5,0.52,0.62,1.25,2.39,287.2,135.8,151.3,0.42,0.50,1.00,1.92,17,31,1.76,3.22,1.42,2.58
,,,Tinyelephant,Veteran,Linguini Lancers,Italian Battalion,Lunar,53.3,713,47,0.459,0.489,23,24,17052,9880,7172,34,27,79,118,28.8%,362.4,210.0,152.4,0.72,0.57,1.68,2.51,362.8,210.2,152.6,0.72,0.57,1.68,2.51,108,120,2.30,2.55,2.30,2.55
,,,Captainplasmo,Veteran,Banana Spiders,Eight Legged Freaks,Lunar,53.1,595,39,0.559,0.538,21,18,13600,7620,5980,32,25,42,107,29.9%,346.4,194.1,152.3,0.81,0.64,1.07,2.73,348.7,195.4,153.3,0.82,0.64,1.08,2.74,90,77,2.29,1.96,2.31,1.97
,,,Kidfluffy,Veteran,Posessed,Destined,Solar,51.7,738,49,0.459,0.510,25,24,17576,9830,7746,38,27,70,118,32.2%,360.9,201.8,159.1,0.78,0.55,1.44,2.42,358.7,200.6,158.1,0.78,0.55,1.43,2.41,109,121,2.24,2.48,2.22,2.47
,,,Form_Rl,Veteran,"Water
Fighters","The Elements
Dungeons And Double Taps",Solar,51.5,668,41,0.470,0.415,17,24,15641,9040,6601,31,25,71,114,27.2%,354.8,205.1,149.7,0.70,0.57,1.61,2.59,381.5,220.5,161.0,0.76,0.61,1.73,2.78,99,107,2.25,2.43,2.41,2.61
,,,Hoes,Veteran,Rollin Cannolis,The Bakery,Lunar,51.3,908,61,0.532,0.557,34,27,20689,11820,8869,53,36,62,162,32.7%,345.3,197.3,148.0,0.88,0.60,1.03,2.70,339.2,193.8,145.4,0.87,0.59,1.02,2.66,153,141,2.55,2.35,2.51,2.31
,,,Melon,Veteran,Lightning,Electric Mayhem,Lunar,50.8,792,53,0.571,0.585,31,22,18905,10790,8115,46,28,71,124,37.1%,361.7,206.4,155.3,0.88,0.54,1.36,2.37,356.7,203.6,153.1,0.87,0.53,1.34,2.34,138,115,2.64,2.20,2.60,2.17
,,,Kayo,Veteran,Gorillas,The Jungle,Solar,50.8,206,14,0.372,0.286,4,10,4632,2650,1982,12,5,15,45,26.7%,340.7,194.9,145.8,0.88,0.37,1.10,3.31,330.9,189.3,141.6,0.86,0.36,1.07,3.21,28,39,2.06,2.87,2.00,2.79
,,,Tomkay,Veteran,X-ray,The Wavelengths,Solar,50.5,58,4,0.361,0.250,1,3,1507,890,617,2,3,10,4,50.0%,393.7,232.5,161.2,0.52,0.78,2.61,1.05,376.8,222.5,154.3,0.50,0.75,2.50,1.00,10,14,2.61,3.66,2.50,3.50
,,,Perkls,Veteran,Linguini Lancers,Italian Battalion,Lunar,50.5,814,52,0.461,0.519,27,25,18770,10760,8010,49,30,59,141,34.8%,349.4,200.3,149.1,0.91,0.56,1.10,2.62,361.0,206.9,154.0,0.94,0.58,1.13,2.71,125,138,2.33,2.57,2.40,2.65
,,,Cundy,Veteran,Quetzalcoatl,Pantheon,Lunar,50.3,956,62,0.645,0.645,40,22,21490,11950,9540,42,51,75,145,29.0%,340.6,189.4,151.2,0.67,0.81,1.19,2.30,346.6,192.7,153.9,0.68,0.82,1.21,2.34,188,129,2.98,2.04,3.03,2.08
,,,Arrowsmith2,Veteran,Typhoons,Storm,Solar,49.9,792,53,0.547,0.585,31,22,18240,10480,7760,36,38,76,118,30.5%,349.0,200.5,148.5,0.69,0.73,1.45,2.26,344.2,197.7,146.4,0.68,0.72,1.43,2.23,133,118,2.54,2.26,2.51,2.23
,,,Skrikeshut,Veteran,Water,The Elements,Solar,49.4,93,6,0.864,1.000,6,0,2094,1390,704,7,5,6,14,50.0%,341.2,226.5,114.7,1.14,0.81,0.98,2.28,349.0,231.7,117.3,1.17,0.83,1.00,2.33,25,8,4.07,1.30,4.17,1.33
,,,.Skoot^,Veteran,Calzones,Fifty-Fifty Pizzeria,Solar,49.2,797,52,0.373,0.346,18,34,18076,10500,7576,41,24,73,155,26.5%,343.7,199.6,144.0,0.78,0.46,1.39,2.95,347.6,201.9,145.7,0.79,0.46,1.40,2.98,107,149,2.03,2.83,2.06,2.87
,,,Gtg Sugar,Veteran,Gladiators,The Sovereign,Lunar,48.9,739,50,0.575,0.580,29,21,16333,9010,7323,38,27,49,141,27.0%,334.9,184.8,150.2,0.78,0.55,1.00,2.89,326.7,180.2,146.5,0.76,0.54,0.98,2.82,117,96,2.40,1.97,2.34,1.92
,,,Dareaves12,Veteran,Dobermans,Puppy Paradise,Lunar,48.6,443,31,0.444,0.387,12,19,10509,5880,4629,28,10,36,78,35.9%,359.5,201.1,158.3,0.96,0.34,1.23,2.67,339.0,189.7,149.3,0.90,0.32,1.16,2.52,64,74,2.19,2.53,2.06,2.39
,,,Splish.,Veteran,Yellow Jackets,The Swarm,Solar,48.6,760,48,0.493,0.563,27,21,17557,10330,7227,40,27,74,128,31.3%,350.1,206.0,144.1,0.80,0.54,1.48,2.55,365.8,215.2,150.6,0.83,0.56,1.54,2.67,115,117,2.29,2.33,2.40,2.44
,,,Tdeez,Veteran,Supernova,The Cosmos,Lunar,47.7,759,50,0.576,0.500,25,25,17505,10430,7075,50,23,59,133,37.6%,349.5,208.2,141.3,1.00,0.46,1.18,2.66,350.1,208.6,141.5,1.00,0.46,1.18,2.66,137,113,2.74,2.26,2.74,2.26
,,,Gcol,Veteran,Hades,The Gods,Lunar,47.6,734,49,0.422,0.449,22,27,17065,9610,7455,35,26,73,116,30.2%,352.3,198.4,153.9,0.72,0.54,1.51,2.39,348.3,196.1,152.1,0.71,0.53,1.49,2.37,96,118,1.98,2.44,1.96,2.41
,,,Chefty,Veteran,Werewolves,The Forest,Lunar,46.9,475,33,0.426,0.424,14,19,10703,6150,4553,25,18,39,80,31.3%,341.5,196.2,145.3,0.80,0.57,1.24,2.55,324.3,186.4,138.0,0.76,0.55,1.18,2.42,66,80,2.11,2.55,2.00,2.42
,,,Gidderrrs,Veteran,Banana Spiders,Eight Legged Freaks,Lunar,45.5,119,8,0.597,0.625,5,3,2744,1560,1184,8,5,7,16,50.0%,349.4,198.7,150.8,1.02,0.64,0.89,2.04,343.0,195.0,148.0,1.00,0.63,0.88,2.00,23,18,2.93,2.29,2.88,2.25
