Tier,RSC ID,Player Name,Team(s),Franchise(s),Conf.,Div,SBV,TS,GP,TS/GP,PWE,W%,W,L,MVPs,P,SP,NP,G,A,Sv,Sh,Sh%,P/A,SP/A,NP/A,G/A,A/A,Sv/A,S/A,PPG,SPPG,NPPG,GPG,APG,SvPG,ShPG,tm_G,opp_G,tm_G/A,opp_G/A,tm_G/G,opp_G/G,opp_S,opp_S/A,opp_S/G,opp_S%
Prospect,RSC006369,nate,Dark Matter,The Cosmos,Solar,N/A,12.04,95,5,19.00,0.520,0.600,3,2,0,1673,900,773,4,0,7,15,0.267,261.95,140.92,121.03,0.63,0.00,1.10,2.35,334.60,180.00,154.60,0.80,0.00,1.40,3.00,12,11,1.88,1.72,2.40,2.20,50,7.83,10.00,0.22
Prospect,RSC008092,ImPodz,Prism Proteges,Art Club,Solar,N/A,10.93,90,6,15.00,0.299,0.167,1,5,0,1421,630,791,1,2,6,13,0.077,234.86,104.12,130.73,0.17,0.33,0.99,2.15,236.83,105.00,131.83,0.17,0.33,1.00,2.17,9,22,1.49,3.64,1.50,3.67,49,8.10,8.17,0.45
Prospect,RSC007291,brdtrd999,"Card Dealers
Prism Proteges","The Casino
Art Club","Lunar
Solar","N/A
N/A",2.56,58,4,14.50,0.374,0.250,1,3,0,868,300,568,0,2,3,5,0.000,222.61,76.94,145.67,0.00,0.51,0.77,1.28,217.00,75.00,142.00,0.00,0.50,0.75,1.25,6,10,1.54,2.56,1.50,2.50,34,8.72,8.50,0.29
Prospect,RSC010273,WJB VOIDFX,Prism Proteges,Art Club,Solar,N/A,-3.82,66,4,16.50,0.214,0.250,1,3,0,798,370,428,0,3,3,7,0.000,179.85,83.39,96.46,0.00,0.68,0.68,1.58,199.50,92.50,107.00,0.00,0.75,0.75,1.75,5,17,1.13,3.83,1.25,4.25,40,9.02,10.00,0.43
Prospect,RSC004509,tazlien,"Ankle Biters
River Wolves
Okapis
Principales
Card Dealers","Pawverse
The Romp
The Jungle
The Sovereign
The Casino","Solar
Lunar
Solar
Lunar
Lunar","N/A
N/A
N/A
N/A
N/A",-9.68,274,20,13.70,0.333,0.200,4,16,1,3966,1590,2376,4,5,15,19,0.211,215.30,86.32,128.99,0.22,0.27,0.81,1.03,198.30,79.50,118.80,0.20,0.25,0.75,0.95,21,61,1.14,3.31,1.05,3.05,178,9.66,8.90,0.34
Prospect,RSC004879,DefNotMongo.,Card Dealers,The Casino,Lunar,N/A,-21.88,16,1,16.00,0.000,0.000,0,1,0,186,70,116,0,0,1,2,0.000,172.92,65.08,107.84,0.00,0.00,0.93,1.86,186.00,70.00,116.00,0.00,0.00,1.00,2.00,0,5,0.00,4.65,0.00,5.00,10,9.30,10.00,0.50
Prospect,RSC013762,:D,Back Flips,Inconveniences,Solar,N/A,-28.43,12,1,12.00,0.088,0.000,0,1,0,138,60,78,0,0,1,1,0.000,171.06,74.37,96.69,0.00,0.00,1.24,1.24,138.00,60.00,78.00,0.00,0.00,1.00,1.00,1,4,1.24,4.96,1.00,4.00,8,9.92,8.00,0.50
Contender,RSC013109,TTVst1x4r,Kodiak Bears,The Bear Den,Solar,Solar Ember,108.14,771,51,15.12,0.566,0.725,37,14,31,25873,16160,9713,87,30,75,221,0.394,483.77,302.16,181.61,1.63,0.56,1.40,4.13,507.31,316.86,190.45,1.71,0.59,1.47,4.33,163,97,3.05,1.81,3.20,1.90,309,5.78,6.06,0.31
Contender,RSC014105,thenetkiller27,Abyss,The Shadows,Lunar,Lunar Cloud,88.09,668,44,15.18,0.526,0.500,22,22,14,19542,11670,7872,52,29,70,152,0.342,421.74,251.85,169.89,1.12,0.63,1.51,3.28,444.14,265.23,178.91,1.18,0.66,1.59,3.45,118,97,2.55,2.09,2.68,2.20,329,7.10,7.48,0.29
Contender,RSC003733,sheluvtaco,Kappa,The Shrine,Solar,Solar Mountain,86.98,821,56,14.66,0.507,0.500,28,28,22,24892,14020,10872,56,29,105,172,0.326,437.08,246.18,190.90,0.98,0.51,1.84,3.02,444.50,250.36,194.14,1.00,0.52,1.88,3.07,130,123,2.28,2.16,2.32,2.20,414,7.27,7.39,0.30
Contender,RSC014100,Pistonless,Wobbegongs,Shark Attack,Solar,Solar Mountain,86.27,772,56,13.79,0.522,0.589,33,23,17,23135,13010,10125,55,28,89,166,0.331,432.02,242.95,189.07,1.03,0.52,1.66,3.10,413.13,232.32,180.80,0.98,0.50,1.59,2.96,135,113,2.52,2.11,2.41,2.02,377,7.04,6.73,0.30
