Tier,RSC ID,Player Name,Team(s),Franchise(s),Conference,SBV,TS,GP,PWE,WP,W,L,P,SP,NP,G,A,Sv,S,S%,P/A,SP/A,NP/A,G/A,A/A,Sv/A,S/A,P/G,SP/G,NP/G,G/G,A/G,Sv/G,S/G,tm_G,opp_G,tm_G/A,opp_G/A,tm_G/G,opp_G/G
Prospect,RSC001276,Electrify,Gallimimus,Dino Park,Solar,86.4,99,8,0.795,1.0,8,0,3589,2300,1289,14,3,10,25,56.0%,484.7,310.6,174.1,1.89,0.41,1.35,3.38,448.6,287.5,161.1,1.75,0.38,1.25,3.13,24,10,3.24,1.35,3.0,1.25
Prospect,RSC001235,Deejayz_,Supernova,The Cosmos,Lunar,84.5,82,7,0.63,0.429,3,4,2746,1560,1186,6,3,12,21,28.6%,447.7,254.3,193.4,0.98,0.49,1.96,3.42,392.3,222.9,169.4,0.86,0.43,1.71,3.0,13,9,2.12,1.47,1.86,1.29
Prospect,RSC000798,Stealth69King-,Pioneer,Mission Control,Lunar,80.4,86,7,0.791,0.857,6,1,2666,1660,1006,8,6,7,21,38.1%,414.5,258.1,156.4,1.24,0.93,1.09,3.26,380.9,237.1,143.7,1.14,0.86,1.0,3.0,23,10,3.58,1.55,3.29,1.43
Prospect,,Vendetta,Legends of Tomorrow,The Comic Crusaders,Solar,80.1,77,6,0.755,1.0,6,0,2773,1730,1043,12,1,6,18,66.7%,481.5,300.4,181.1,2.08,0.17,1.04,3.13,462.2,288.3,173.8,2.0,0.17,1.0,3.0,25,13,4.34,2.26,4.17,2.17
Prospect,,Avidreaper1117,Wobbegongs,Shark Attack,Lunar,79.0,123,8,0.823,0.875,7,1,3704,2310,1394,10,11,10,26,38.5%,402.6,251.1,151.5,1.09,1.2,1.09,2.83,463.0,288.8,174.3,1.25,1.38,1.25,3.25,32,12,3.48,1.3,4.0,1.5
Prospect,RSC001955,Witha ^~^,Mambas,The Serpents,Solar,77.8,93,7,0.5,0.429,3,4,2945,1610,1335,8,5,7,21,38.1%,423.4,231.4,191.9,1.15,0.72,1.01,3.02,420.7,230.0,190.7,1.14,0.71,1.0,3.0,18,18,2.59,2.59,2.57,2.57
Prospect,,Changswrld,Wobbegongs,Shark Attack,Lunar,73.1,123,8,0.823,0.875,7,1,3737,2430,1307,15,4,8,33,45.5%,406.2,264.1,142.1,1.63,0.43,0.87,3.59,467.1,303.8,163.4,1.88,0.5,1.0,4.13,32,12,3.48,1.3,4.0,1.5
Prospect,,Fo0F,Cucumbers,The Garden,Lunar,72.7,36,3,0.5,0.667,2,1,1030,630,400,2,2,5,8,25.0%,382.5,234.0,148.5,0.74,0.74,1.86,2.97,343.3,210.0,133.3,0.67,0.67,1.67,2.67,7,7,2.6,2.6,2.33,2.33
Prospect,RSC000217,Itsdapperdyl,Care Bears,The Bear Den,Solar,72.4,38,3,0.612,0.667,2,1,1018,670,348,2,4,4,7,28.6%,358.2,235.7,122.4,0.7,1.41,1.41,2.46,339.3,223.3,116.0,0.67,1.33,1.33,2.33,8,6,2.81,2.11,2.67,2.0
Prospect,RSC001995,Tvveedle,Cucumbers,The Garden,Lunar,70.3,76,6,0.425,0.333,2,4,2369,1540,829,10,4,4,14,71.4%,416.7,270.9,145.8,1.76,0.7,0.7,2.46,394.8,256.7,138.2,1.67,0.67,0.67,2.33,15,18,2.64,3.17,2.5,3.0
Prospect,RSC000796,Hoyci,Dolphins,The Ocean,Solar,70.2,107,8,0.622,0.625,5,3,3128,2070,1058,12,4,8,27,44.4%,390.8,258.6,132.2,1.5,0.5,1.0,3.37,391.0,258.8,132.3,1.5,0.5,1.0,3.38,22,16,2.75,2.0,2.75,2.0
Prospect,RSC001018,Ampleth3Grayman,Sparks,Electric Mayhem,Lunar,69.6,112,8,0.624,0.75,6,2,3224,2040,1184,10,6,10,24,41.7%,384.8,243.5,141.3,1.19,0.72,1.19,2.86,403.0,255.0,148.0,1.25,0.75,1.25,3.0,26,19,3.1,2.27,3.25,2.38
Prospect,,Ukcats,Gallimimus,Dino Park,Solar,69.4,99,8,0.795,1.0,8,0,2930,1710,1220,7,6,11,16,43.8%,395.7,230.9,164.8,0.95,0.81,1.49,2.16,366.3,213.8,152.5,0.88,0.75,1.38,2.0,24,10,3.24,1.35,3.0,1.25
Prospect,RSC001834,Ziared,Snow Owls,Polar Vortex,Lunar,67.5,91,7,0.737,0.857,6,1,2399,1390,1009,7,5,4,24,29.2%,352.5,204.2,148.2,1.03,0.73,0.59,3.53,342.7,198.6,144.1,1.0,0.71,0.57,3.43,18,9,2.64,1.32,2.57,1.29
Prospect,,Velocifaptor,Legends of Tomorrow,The Comic Crusaders,Solar,66.5,46,4,0.707,0.75,3,1,1205,700,505,1,5,6,5,20.0%,350.2,203.4,146.8,0.29,1.45,1.74,1.45,301.3,175.0,126.3,0.25,1.25,1.5,1.25,9,5,2.62,1.45,2.25,1.25
Prospect,,Ninjatron,Soul,The Elements,Lunar,64.6,82,7,0.373,0.286,2,5,2376,1190,1186,5,3,8,14,35.7%,387.4,194.0,193.4,0.82,0.49,1.3,2.28,339.4,170.0,169.4,0.71,0.43,1.14,2.0,13,18,2.12,2.93,1.86,2.57
Prospect,,Tinypotato,Drizzle,Storm,Solar,63.8,72,6,0.752,0.667,4,2,1943,970,973,4,2,6,17,23.5%,360.8,180.1,180.7,0.74,0.37,1.11,3.16,323.8,161.7,162.2,0.67,0.33,1.0,2.83,13,6,2.41,1.11,2.17,1.0
Prospect,RSC000987,Cobra910,Sparks,Electric Mayhem,Lunar,62.4,112,8,0.624,0.75,6,2,3105,1880,1225,9,6,10,18,50.0%,370.6,224.4,146.2,1.07,0.72,1.19,2.15,388.1,235.0,153.1,1.13,0.75,1.25,2.25,26,19,3.1,2.27,3.25,2.38
Prospect,,Damón,Pioneer,Mission Control,Lunar,61.9,81,7,0.882,1.0,7,0,2304,1420,884,9,2,5,17,52.9%,380.3,234.4,145.9,1.49,0.33,0.83,2.81,329.1,202.9,126.3,1.29,0.29,0.71,2.43,22,6,3.63,0.99,3.14,0.86
Prospect,,A Hot Jackson,Wintergreen,Minty Fresh,Lunar,61.7,77,6,0.559,0.5,3,3,2057,1240,817,4,3,11,14,28.6%,357.2,215.3,141.9,0.69,0.52,1.91,2.43,342.8,206.7,136.2,0.67,0.5,1.83,2.33,14,12,2.43,2.08,2.33,2.0
Prospect,,Bxffled,Kappas,Meme Machine,Solar,61.5,95,7,0.475,0.714,5,2,2816,1480,1336,6,2,13,13,46.2%,396.3,208.3,188.0,0.84,0.28,1.83,1.83,402.3,211.4,190.9,0.86,0.29,1.86,1.86,15,16,2.11,2.25,2.14,2.29
Prospect,,Reddime,Snow Owls,Polar Vortex,Lunar,61.2,100,7,0.647,0.714,5,2,2700,1680,1020,7,4,12,18,38.9%,361.0,224.6,136.4,0.94,0.53,1.6,2.41,385.7,240.0,145.7,1.0,0.57,1.71,2.57,18,12,2.41,1.6,2.57,1.71
Prospect,RSC001190,Chandler,Legends of Tomorrow,The Comic Crusaders,Solar,61.1,100,8,0.717,0.875,7,1,2690,1660,1030,8,6,8,16,50.0%,359.6,221.9,137.7,1.07,0.8,1.07,2.14,336.3,207.5,128.8,1.0,0.75,1.0,2.0,28,16,3.74,2.14,3.5,2.0
Prospect,RSC001974,Tinyelephant,Firecrackers,Fallout Shelter,Solar,61.0,104,7,0.46,0.286,2,5,3008,1840,1168,9,4,12,14,64.3%,386.7,236.5,150.1,1.16,0.51,1.54,1.8,429.7,262.9,166.9,1.29,0.57,1.71,2.0,19,21,2.44,2.7,2.71,3.0
Prospect,,Booq,Drizzle,Storm,Solar,59.9,43,3,0.746,1.0,3,0,944,490,454,1,4,2,9,11.1%,293.5,152.3,141.2,0.31,1.24,0.62,2.8,314.7,163.3,151.3,0.33,1.33,0.67,3.0,10,5,3.11,1.55,3.33,1.67
Prospect,RSC001726,Sxd,Firecrackers,Fallout Shelter,Solar,59.8,98,7,0.458,0.286,2,5,2305,1280,1025,5,6,5,23,21.7%,314.5,174.6,139.8,0.68,0.82,0.68,3.14,329.3,182.9,146.4,0.71,0.86,0.71,3.29,18,20,2.46,2.73,2.57,2.86
Prospect,RSC000886,Blue Eyes Thunder Thighs,Drizzle,Storm,Solar,59.0,85,6,0.679,0.667,4,2,2320,1420,900,8,2,7,17,47.1%,364.9,223.3,141.6,1.26,0.31,1.1,2.67,386.7,236.7,150.0,1.33,0.33,1.17,2.83,15,9,2.36,1.42,2.5,1.5
Prospect,RSC001082,☭ Tuxedo Marx ☭,Zomberries,Spooky Breakfast Gang,Solar,58.8,109,8,0.5,0.5,4,4,2997,1830,1167,10,4,9,18,55.6%,367.6,224.5,143.1,1.23,0.49,1.1,2.21,374.6,228.8,145.9,1.25,0.5,1.13,2.25,23,23,2.82,2.82,2.88,2.88
