Tier,RSC ID,Name,Team(s),Franchise(s),Conf.,Div,SBV,GP,W%,W,L,MVPs,P,SP,NP,G,A,Sv,Sh,Sh%,PPG,GPG,APG,SvPG,ShPG
Veteran,,Other Ninja,Lightning,Electric Mayhem,Lunar,N/A,47.67,63,0.54,34,29,7,16975,10800,6175,46,37,58,145,0.319,269.44,0.73,0.59,0.91,2.29
Veteran,,SavorySweets,Lightning,Electric Mayhem,Lunar,N/A,23.17,26,0.231,6,20,2,6420,4060,2360,16,11,26,61,0.250,246.92,0.58,0.39,0.96,2.31
Veteran,,Sonu,Lightning,Electric Mayhem,Lunar,N/A,86.75,63,0.46,29,34,19,23860,15640,8220,69,38,99,189,0.365,378.73,1.10,0.60,1.56,3.00
Veteran,,nicklitt,Lightning,Electric Mayhem,Lunar,N/A,65.98,60,0.55,33,27,2,17036,11690,5346,47,54,56,149,0.311,283.92,0.77,0.90,0.93,2.47
Veteran,,Nobody Special,Lions,Apex Predators,Solar,N/A,33.2,49,0.49,24,25,7,12260,8180,4080,35,22,52,98,0.351,250.20,0.69,0.43,1.04,1.98
Veteran,,Vague,Lions,Apex Predators,Solar,N/A,27.15,58,0.448,26,32,8,14566,8720,5846,25,25,75,122,0.205,251.12,0.43,0.41,1.29,2.10
Veteran,,Zach,Lions,Apex Predators,Solar,N/A,50.48,59,0.475,28,31,9,17271,11190,6081,50,26,67,154,0.318,292.71,0.83,0.42,1.12,2.61
Veteran,,slim,Lions,Apex Predators,Solar,N/A,9.86,22,0.273,6,16,2,4570,2820,1750,11,7,18,47,0.234,207.73,0.50,0.32,0.82,2.14
Veteran,RSC000380,Shnick,Monsoons,The Storm,Solar,N/A,36.89,37,0.432,16,21,3,8986,5820,3166,20,24,34,92,0.207,242.84,0.51,0.62,0.89,2.49
Veteran,,Sillybunny,Monsoons,The Storm,Solar,N/A,41.14,54,0.407,22,32,8,14586,9690,4896,43,22,58,139,0.304,270.09,0.78,0.39,1.07,2.56
Veteran,RSC000542,gotmott,Monsoons,The Storm,Solar,N/A,28.03,51,0.412,21,30,4,12866,8090,4776,28,25,63,89,0.315,252.26,0.55,0.47,1.22,1.75
Veteran,,whale,Monsoons,The Storm,Solar,N/A,63.99,57,0.386,22,35,12,18595,12340,6255,48,28,87,179,0.263,326.23,0.83,0.47,1.53,3.14
Veteran,,Apple.,Quads,The Quad Dynasty,Solar,N/A,45.44,42,0.643,27,15,8,11970,7460,4510,31,15,54,91,0.344,285.00,0.74,0.36,1.26,2.14
Veteran,RSC000525,CheesePie,Quads,The Quad Dynasty,Solar,N/A,88.05,62,0.71,44,18,24,22266,14690,7576,58,46,99,164,0.354,359.11,0.94,0.73,1.58,2.65
Veteran,RSC000325,Rayem Whisperwind,Quads,The Quad Dynasty,Solar,N/A,50.68,66,0.697,46,20,5,18120,11460,6660,45,38,72,146,0.302,274.55,0.67,0.56,1.08,2.21
Veteran,,Vortexx,Quads,The Quad Dynasty,Solar,N/A,86.87,30,0.7,21,9,9,10435,7150,3285,36,24,33,70,0.500,347.83,1.17,0.77,1.07,2.33
Veteran,RSC000294,Big Boi Johnny,Queens,House of Cards,Lunar,N/A,57.26,46,0.761,35,11,10,12495,8550,3945,36,32,48,95,0.369,271.63,0.76,0.67,1.04,2.07
Veteran,,Dgallub,Queens,House of Cards,Lunar,N/A,78.91,52,0.692,36,16,15,17576,11710,5866,61,25,56,156,0.393,337.98,1.17,0.46,1.06,2.98
Veteran,,Estoymuybien ;)~,Queens,House of Cards,Lunar,N/A,16.59,23,0.609,14,9,3,4726,2960,1766,13,7,17,46,0.267,205.44,0.52,0.30,0.74,1.96
Veteran,RSC000159,Prussia,Queens,House of Cards,Lunar,N/A,72.23,59,0.695,41,18,14,18851,12500,6351,56,33,73,160,0.352,319.49,0.95,0.56,1.24,2.70
Veteran,,Call Me Steve,Reverb,Studio City,Solar,N/A,23.24,21,0.238,5,16,0,5590,3540,2050,10,10,33,39,0.237,266.19,0.43,0.43,1.52,1.81
Veteran,,Peach Tundra,Reverb,Studio City,Solar,N/A,39.33,49,0.367,18,31,8,13390,8110,5280,30,32,50,101,0.290,273.27,0.59,0.63,1.02,2.04
