Tier,RSC ID,Name,Team(s),Franchise(s),Conf.,Div,SBV,GP,W%,W,L,MVPs,P,SP,NP,G,A,Sv,Sh,Sh%,PPG,GPG,APG,SvPG,ShPG
Veteran,,Resonant,Reverb,Studio City,Solar,N/A,50.83,33,0.333,11,22,3,9360,6140,3220,21,24,40,84,0.250,283.64,0.64,0.70,1.21,2.55
Veteran,,divine,Reverb,Studio City,Solar,N/A,40.71,49,0.327,16,33,5,13510,8580,4930,33,25,57,118,0.279,275.71,0.67,0.51,1.16,2.41
Veteran,,aether,Sailfish,The Aquarium,Solar,N/A,36.56,21,0.286,6,15,1,5861,3710,2151,17,12,20,41,0.390,279.05,0.76,0.52,0.91,1.95
Veteran,,delta hx,Sailfish,The Aquarium,Solar,N/A,57.93,62,0.387,24,38,18,19071,11810,7261,56,34,55,176,0.320,307.58,0.90,0.55,0.87,2.82
Veteran,RSC000197,kareemostyle,Sailfish,The Aquarium,Solar,N/A,37.35,58,0.431,25,33,6,15316,9510,5806,34,30,67,126,0.270,264.05,0.59,0.52,1.14,2.17
Veteran,,ozzadnar,Sailfish,The Aquarium,Solar,N/A,39.15,62,0.371,23,39,5,16701,10620,6081,36,33,78,147,0.240,269.36,0.57,0.53,1.26,2.36
Veteran,,Bloo,Sham Wows,Cleanup Crew,Solar,N/A,70.63,41,0.585,24,17,8,13151,8510,4641,42,26,39,106,0.396,320.73,1.02,0.63,0.93,2.59
Veteran,,Salvo,Sham Wows,Cleanup Crew,Solar,N/A,31.96,36,0.417,15,21,5,8886,5770,3116,18,21,44,72,0.250,246.81,0.50,0.56,1.22,2.00
Veteran,RSC000036,Scribbs,Sham Wows,Cleanup Crew,Solar,N/A,21.53,48,0.458,22,26,7,10380,7010,3370,26,27,46,76,0.329,216.25,0.52,0.54,0.96,1.58
Veteran,,farzam,Sham Wows,Cleanup Crew,Solar,N/A,59.15,32,0.594,19,13,7,9556,6330,3226,29,15,36,88,0.333,298.59,0.91,0.44,1.13,2.72
Veteran,,Angebro,Thunder Eagles,The Birdcage,Lunar,N/A,103.66,44,0.659,29,15,18,17035,11710,5325,58,28,61,146,0.397,387.16,1.32,0.64,1.39,3.32
Veteran,,basedBara,Thunder Eagles,The Birdcage,Lunar,N/A,61.57,63,0.571,36,27,7,20095,12440,7655,42,46,94,124,0.331,318.97,0.65,0.73,1.49,1.97
Veteran,,clown sandwich,Thunder Eagles,The Birdcage,Lunar,N/A,31.41,51,0.51,26,25,3,12045,8460,3585,35,25,56,91,0.385,236.18,0.69,0.47,1.10,1.78
Veteran,,kadu,Thunder Eagles,The Birdcage,Lunar,N/A,73.89,23,0.522,12,11,4,7551,5140,2411,28,11,21,74,0.378,328.26,1.22,0.44,0.87,3.22
Veteran,,Benji,Waste Baskets,Waste Management,Solar,N/A,54.19,52,0.423,22,30,9,15431,9720,5711,40,32,57,127,0.315,296.73,0.77,0.62,1.10,2.44
Veteran,RSC000310,ChrisakaMrXD,Waste Baskets,Waste Management,Solar,N/A,36.2,67,0.507,34,33,15,16945,10670,6275,49,32,55,142,0.345,252.91,0.73,0.46,0.81,2.12
Veteran,RSC000121,Cineo,Waste Baskets,Waste Management,Solar,N/A,34.35,53,0.472,25,28,6,13505,8580,4925,36,21,55,118,0.305,254.81,0.68,0.40,1.02,2.23
Veteran,,Zebu,Waste Baskets,Waste Management,Solar,N/A,34.84,38,0.632,24,14,3,8991,6150,2841,26,19,38,70,0.362,236.58,0.66,0.50,0.97,1.82
Veteran,RSC000399,Dart,Yellow Jackets,The Swarm,Solar,N/A,67.93,66,0.742,49,17,9,19445,12720,6725,53,47,68,167,0.317,294.62,0.80,0.71,1.03,2.53
Veteran,,Zeus,Yellow Jackets,The Swarm,Solar,N/A,24.28,41,0.39,16,25,2,10335,6320,4015,18,18,57,77,0.221,252.07,0.42,0.42,1.39,1.88
Veteran,RSC000130,anthage,Yellow Jackets,The Swarm,Solar,N/A,106.09,66,0.742,49,17,23,26056,17730,8326,85,47,98,198,0.426,394.77,1.27,0.71,1.47,2.99
Veteran,,iGraphici,Yellow Jackets,The Swarm,Solar,N/A,81.07,58,0.759,44,14,16,18330,12320,6010,54,39,62,187,0.290,316.03,0.93,0.67,1.05,3.21
