Tier,RSC ID,Player Name,Team(s),Franchise(s),Conference,SBV,TS,GP,PWE,WP,W,L,P,SP,NP,G,A,Sv,S,S%,P/A,SP/A,NP/A,G/A,A/A,Sv/A,S/A,P/G,SP/G,NP/G,G/G,A/G,Sv/G,S/G,tm_G,opp_G,tm_G/A,opp_G/A,tm_G/G,opp_G/G
Prospect,RSC001654,Woopr,Okapis,The Jungle,Solar,99.8,780,54,0.755,0.796,43,11,24427,15770,8657,89,38,56,217,41.0%,423.3,273.3,150.0,1.54,0.66,0.97,3.76,452.4,292.0,160.3,1.65,0.7,1.04,4.02,188,92,3.26,1.59,3.48,1.7
Prospect,RSC000921,Kranky,Koala Bears,The Bear Den,Lunar,94.8,751,56,0.741,0.75,42,14,22075,13820,8255,69,57,47,172,40.1%,397.3,248.8,148.6,1.24,1.03,0.85,3.1,394.2,246.8,147.4,1.23,1.02,0.84,3.07,189,98,3.4,1.76,3.38,1.75
Prospect,RSC002569,Spades,Compost Bins,Waste Management,Solar,85.3,781,55,0.57,0.582,32,23,22972,12870,10102,56,47,67,157,35.7%,397.6,222.8,174.8,0.97,0.81,1.16,2.72,417.7,234.0,183.7,1.02,0.85,1.22,2.85,153,128,2.65,2.22,2.78,2.33
Prospect,RSC003984,Cpt Jon Smith,Koala Bears,The Bear Den,Lunar,85.2,751,56,0.741,0.75,42,14,22297,14430,7867,85,37,49,163,52.1%,401.3,259.7,141.6,1.53,0.67,0.88,2.93,398.2,257.7,140.5,1.52,0.66,0.88,2.91,189,98,3.4,1.76,3.38,1.75
Prospect,RSC002966,The Better Quack,House Salads,Fifty-Fifty Pizzeria,Lunar,77.2,604,45,0.638,0.644,29,16,17303,10290,7013,49,31,54,114,43.0%,387.3,230.3,157.0,1.1,0.69,1.21,2.55,384.5,228.7,155.8,1.09,0.69,1.2,2.53,125,87,2.8,1.95,2.78,1.93
Prospect,RSC000930,Solidfisher63,Heat Wave,The Soundtrack,Lunar,77.2,444,34,0.588,0.588,20,14,12228,7250,4978,34,23,35,95,35.8%,372.3,220.7,151.6,1.04,0.7,1.07,2.89,359.6,213.2,146.4,1.0,0.68,1.03,2.79,89,71,2.71,2.16,2.62,2.09
Prospect,RSC003119,Vencill,Barbarians,The Sovereign,Lunar,76.1,644,48,0.708,0.667,32,16,17967,10320,7647,52,24,49,147,35.4%,377.1,216.6,160.5,1.09,0.5,1.03,3.09,374.3,215.0,159.3,1.08,0.5,1.02,3.06,143,81,3.0,1.7,2.98,1.69
Prospect,RSC000379,Topsgod,Blacktips,Shark Attack,Lunar,74.3,708,52,0.567,0.596,31,21,19302,11120,8182,49,37,59,142,34.5%,368.5,212.3,156.2,0.94,0.71,1.13,2.71,371.2,213.8,157.3,0.94,0.71,1.13,2.73,131,110,2.5,2.1,2.52,2.12
Prospect,RSC003450,Chronoelevated,Heat Wave,The Soundtrack,Lunar,73.8,42,4,0.742,0.75,3,1,962,480,482,2,4,0,8,25.0%,309.6,154.5,155.1,0.64,1.29,0.0,2.57,240.5,120.0,120.5,0.5,1.0,0.0,2.0,13,7,4.18,2.25,3.25,1.75
Prospect,RSC003411,Levibullrush,"Titanoboas
Earth","The Serpents
The Elements",Lunar,73.8,583,44,0.5,0.455,20,24,16136,9120,7016,39,23,56,127,30.7%,374.1,211.5,162.7,0.9,0.53,1.3,2.94,366.7,207.3,159.5,0.89,0.52,1.27,2.89,94,94,2.18,2.18,2.14,2.14
