Tier,RSC ID,Player Name,Team(s),Franchise(s),Conference,SBV,TS,GP,PWE,WP,W,L,P,SP,NP,G,A,Sv,S,S%,P/A,SP/A,NP/A,G/A,A/A,Sv/A,S/A,P/G,SP/G,NP/G,G/G,A/G,Sv/G,S/G,tm_G,opp_G,tm_G/A,opp_G/A,tm_G/G,opp_G/G
Prospect,RSC002880,Aitan,Odyssey,Mission Control,Solar,105.2,841,60,0.726,0.783,47,13,26016,15330,10686,67,50,77,228,29.4%,424.6,250.2,174.4,1.09,0.82,1.26,3.72,433.6,255.5,178.1,1.12,0.83,1.28,3.8,179,95,2.92,1.55,2.98,1.58
Prospect,RSC002562,Yung,Ravagers,The Swarm,Solar,100.5,859,59,0.631,0.644,38,21,26762,16010,10752,78,42,77,226,34.5%,427.6,255.8,171.8,1.25,0.67,1.23,3.61,453.6,271.4,182.2,1.32,0.71,1.31,3.83,171,121,2.73,1.93,2.9,2.05
Prospect,RSC001962,Fiftygod,Dolphins,The Ocean,Solar,75.6,767,55,0.608,0.6,33,22,21352,13280,8072,69,24,68,178,38.8%,382.1,237.6,144.4,1.23,0.43,1.22,3.19,388.2,241.5,146.8,1.25,0.44,1.24,3.24,140,105,2.51,1.88,2.55,1.91
Prospect,RSC000663,Thedrprofessornoah,Blacktips,Shark Attack,Lunar,75.4,800,59,0.623,0.61,36,23,20721,12090,8631,44,52,72,149,29.5%,355.5,207.4,148.1,0.75,0.89,1.24,2.56,351.2,204.9,146.3,0.75,0.88,1.22,2.53,155,112,2.66,1.92,2.63,1.9
Prospect,RSC002493,Chit,Drizzle,Storm,Solar,75.2,742,55,0.792,0.818,45,10,19465,11280,8185,52,43,50,143,36.4%,360.0,208.6,151.4,0.96,0.8,0.92,2.64,353.9,205.1,148.8,0.95,0.78,0.91,2.6,166,69,3.07,1.28,3.02,1.25
Prospect,RSC002709,Nightstalker1674,Tomatoes,The Garden,Lunar,74.7,250,20,0.632,0.75,15,5,7206,4150,3056,21,8,23,50,42.0%,395.6,227.8,167.8,1.15,0.44,1.26,2.74,360.3,207.5,152.8,1.05,0.4,1.15,2.5,47,33,2.58,1.81,2.35,1.65
Prospect,RSC000313,Hendo,Spastics,The Quad Dynasty,Solar,73.1,854,59,0.625,0.661,39,20,22160,13430,8730,68,34,58,203,33.5%,356.1,215.8,140.3,1.09,0.55,0.93,3.26,375.6,227.6,148.0,1.15,0.58,0.98,3.44,173,125,2.78,2.01,2.93,2.12
Prospect,RSC002357,Bieles,Supernova,The Cosmos,Solar,73.0,809,56,0.649,0.661,37,19,22260,13950,8310,76,30,64,165,46.1%,377.6,236.7,141.0,1.29,0.51,1.09,2.8,397.5,249.1,148.4,1.36,0.54,1.14,2.95,166,112,2.82,1.9,2.96,2.0
Prospect,RSC002894,Jax,Nines,House of Cards,Lunar,72.7,663,51,0.617,0.686,35,16,18239,10700,7539,50,32,59,115,43.5%,377.6,221.5,156.1,1.04,0.66,1.22,2.38,357.6,209.8,147.8,0.98,0.63,1.16,2.25,139,103,2.88,2.13,2.73,2.02
Prospect,,Ca$H,Purristas,The Cat Cafe,Lunar,72.7,342,28,0.377,0.357,10,18,9011,4230,4781,12,16,30,73,16.4%,361.6,169.7,191.9,0.48,0.64,1.2,2.93,321.8,151.1,170.8,0.43,0.57,1.07,2.61,39,55,1.57,2.21,1.39,1.96
Prospect,RSC003093,Communistcowboy,Air Buds,Puppy Paradise,Solar,71.9,51,4,0.406,0.25,1,3,1463,790,673,2,2,8,9,22.2%,393.7,212.6,181.1,0.54,0.54,2.15,2.42,365.8,197.5,168.3,0.5,0.5,2.0,2.25,7,9,1.88,2.42,1.75,2.25
