Filter(s),,,Name,Tier,Team(s),Franchise(s),Conference,SBV,TS,GP,PWE,WP,W,L,P,SP,NP,G,A,Sv,S,S%,P/A,SP/A,NP/A,G/A,A/A,Sv/A,S/A,P/G,SP/G,NP/G,G/G,A/G,Sv/G,S/G,tm_G,opp_G,tm_G/A,opp_G/A,tm_G/G,opp_G/G
,,,Kingtutt97,Challenger,Flailers,The Quad Dynasty,Solar,32.0,784,50,0.603,0.640,32,18,14375,7670,6705,28,27,44,132,21.2%,271.8,145.0,126.8,0.53,0.51,0.83,2.50,287.5,153.4,134.1,0.56,0.54,0.88,2.64,135,103,2.55,1.95,2.70,2.06
,,,Youreviltwin,Challenger,Greed,Seven Deadly Sins,Lunar,30.5,124,9,0.413,0.333,3,6,2202,1190,1012,3,7,8,14,21.4%,263.2,142.3,121.0,0.36,0.84,0.96,1.67,244.7,132.2,112.4,0.33,0.78,0.89,1.56,21,26,2.51,3.11,2.33,2.89
,,,Alpha44,Challenger,Panda Bears,The Bear Den,Lunar,28.9,266,19,0.225,0.211,4,15,5447,2930,2517,4,12,34,23,17.4%,303.5,163.3,140.3,0.22,0.67,1.89,1.28,286.7,154.2,132.5,0.21,0.63,1.79,1.21,24,54,1.34,3.01,1.26,2.84
,,,Echonxt,Challenger,"Deceased
Narwhals
Penne Patrol","Destined
Whale Defense
Italian Battalion",Lunar,27.4,506,34,0.338,0.294,10,24,9865,5570,4295,21,15,41,67,31.3%,289.0,163.2,125.8,0.62,0.44,1.20,1.96,290.1,163.8,126.3,0.62,0.44,1.21,1.97,66,101,1.93,2.96,1.94,2.97
,,,Tacobae,Challenger,Threshers,Shark Attack,Lunar,26.9,216,15,0.110,0.067,1,14,3946,1840,2106,3,10,16,24,12.5%,270.8,126.3,144.5,0.21,0.69,1.10,1.65,263.1,122.7,140.4,0.20,0.67,1.07,1.60,16,59,1.10,4.05,1.07,3.93
,,,Pineapple448,Challenger,Isopods,The Abyss,Lunar,26.8,762,49,0.244,0.265,13,36,14715,7930,6785,26,24,63,98,26.5%,286.3,154.3,132.0,0.51,0.47,1.23,1.91,300.3,161.8,138.5,0.53,0.49,1.29,2.00,88,178,1.71,3.46,1.80,3.63
,,,Chris.,Challenger,Penne Patrol,Italian Battalion,Lunar,26.5,770,50,0.437,0.400,20,30,14678,8810,5868,44,16,48,121,36.4%,282.6,169.6,113.0,0.85,0.31,0.92,2.33,293.6,176.2,117.4,0.88,0.32,0.96,2.42,121,142,2.33,2.73,2.42,2.84
,,,Heartlesswins,Challenger,Chromatic Chaos,Art Club,Solar,24.9,123,8,0.202,0.000,0,8,2755,1440,1315,6,1,13,14,42.9%,332.0,173.5,158.5,0.72,0.12,1.57,1.69,344.4,180.0,164.4,0.75,0.13,1.63,1.75,16,36,1.93,4.34,2.00,4.50
,,,Shogun,Challenger,Jock O Lanterns,Ghoul School,Solar,24.6,634,44,0.484,0.477,21,23,11995,6480,5515,19,19,56,83,22.9%,280.5,151.5,128.9,0.44,0.44,1.31,1.94,272.6,147.3,125.3,0.43,0.43,1.27,1.89,94,98,2.20,2.29,2.14,2.23
,,,Tr1Ppn,Challenger,Recycling Cringe,Maste Wanagement,Solar,24.3,679,45,0.373,0.356,16,29,12825,6550,6275,26,18,43,90,28.9%,280.0,143.0,137.0,0.57,0.39,0.94,1.96,285.0,145.6,139.4,0.58,0.40,0.96,2.00,88,123,1.92,2.69,1.96,2.73
,,,Redline,Challenger,"Zombies
Tarantulas","The Monster Mash
Eight Legged Freaks",Lunar,23.3,353,23,0.238,0.261,6,17,6688,3470,3218,13,7,26,52,25.0%,280.9,145.7,135.1,0.55,0.29,1.09,2.18,290.8,150.9,139.9,0.57,0.30,1.13,2.26,42,86,1.76,3.61,1.83,3.74
,,,Treefrog,Challenger,Abyss,The Shadows,Solar,22.6,470,30,0.541,0.467,14,16,8464,4640,3824,22,13,23,64,34.4%,267.0,146.3,120.6,0.69,0.41,0.73,2.02,282.1,154.7,127.5,0.73,0.43,0.77,2.13,81,73,2.55,2.30,2.70,2.43
,,,Dascrappydoo,Challenger,Deceased,Destined,Solar,22.0,489,31,0.287,0.194,6,25,9421,4970,4451,19,9,39,67,28.4%,285.6,150.7,134.9,0.58,0.27,1.18,2.03,303.9,160.3,143.6,0.61,0.29,1.26,2.16,50,91,1.52,2.76,1.61,2.94
,,,Zcgentry,Challenger,Venus,The Nexus,Solar,21.3,384,26,0.359,0.346,9,17,7092,3840,3252,10,16,34,34,29.4%,273.8,148.2,125.5,0.39,0.62,1.31,1.31,272.8,147.7,125.1,0.38,0.62,1.31,1.31,55,79,2.12,3.05,2.12,3.04
,,,Rieces,Challenger,Squalls,Storm,Solar,21.2,151,10,0.365,0.300,3,7,3222,1650,1572,7,2,14,15,46.7%,316.3,162.0,154.3,0.69,0.20,1.37,1.47,322.2,165.0,157.2,0.70,0.20,1.40,1.50,15,22,1.47,2.16,1.50,2.20
,,,Theairgerbil,Challenger,Isopods,The Abyss,Lunar,20.8,703,47,0.282,0.340,16,31,13615,7080,6535,30,13,51,88,34.1%,287.1,149.3,137.8,0.63,0.27,1.08,1.86,289.7,150.6,139.0,0.64,0.28,1.09,1.87,83,150,1.75,3.16,1.77,3.19
,,,Way2Luckee,Challenger,"Squalls
Spartans","Storm
The Sovereign",Solar,20.7,494,33,0.367,0.424,14,19,8074,4440,3634,18,18,21,69,26.1%,242.3,133.2,109.0,0.54,0.54,0.63,2.07,244.7,134.5,110.1,0.55,0.55,0.64,2.09,72,101,2.16,3.03,2.18,3.06
,,,Hank _,Challenger,Isopods,The Abyss,Lunar,20.3,34,3,0.316,0.333,1,2,720,370,350,1,1,4,2,50.0%,313.9,161.3,152.6,0.44,0.44,1.74,0.87,240.0,123.3,116.7,0.33,0.33,1.33,0.67,5,8,2.18,3.49,1.67,2.67
,,,Anserem,Challenger,"Chromatic Chaos
Threshers","Art Club
Shark Attack",Lunar,19.0,321,23,0.131,0.043,1,22,6415,3230,3185,10,3,33,43,23.3%,296.2,149.2,147.1,0.46,0.14,1.52,1.99,278.9,140.4,138.5,0.43,0.13,1.43,1.87,24,80,1.11,3.69,1.04,3.48
