Tier,RSC ID,Player Name,Team(s),Franchise(s),Conf.,Div,SBV,TS,GP,TS/GP,PWE,W%,W,L,MVPs,P,SP,NP,G,A,Sv,Sh,Sh%,P/A,SP/A,NP/A,G/A,A/A,Sv/A,S/A,PPG,SPPG,NPPG,GPG,APG,SvPG,ShPG,tm_G,opp_G,tm_G/A,opp_G/A,tm_G/G,opp_G/G
Premier,RSC008139,Oibu,"Capybaras
Interstellar
Feta Forgers","The Jungle
Event Horizon
Cheese Guild","N/A
N/A
N/A","N/A
N/A
N/A",54.43,590,35,16.86,0.517,0.571,20,15,7,14246,8420,5826,32,21,66,87,0.368,409.46,242.01,167.45,0.92,0.60,1.90,2.50,407.03,240.57,166.46,0.91,0.60,1.89,2.49,91,81,2.62,2.33,2.60,2.31
Premier,RSC000579,Cryptt.,Capybaras,The Jungle,N/A,N/A,53.75,832,51,16.31,0.538,0.686,35,16,7,18187,10190,7997,45,32,52,149,0.302,370.69,207.69,163.00,0.92,0.65,1.06,3.04,356.61,199.80,156.80,0.88,0.63,1.02,2.92,150,112,3.06,2.28,2.94,2.20
Premier,RSC005170,FrenchyNF,"Interstellar
Crooked Capos
Feta Forgers","Event Horizon
The Syndicate
Cheese Guild","N/A
N/A
N/A","N/A
N/A
N/A",53.27,429,25,17.16,0.530,0.560,14,11,7,9981,5580,4401,21,18,39,63,0.333,394.54,220.57,173.97,0.83,0.71,1.54,2.49,399.24,223.20,176.04,0.84,0.72,1.56,2.52,69,57,2.73,2.25,2.76,2.28
Premier,RSC004138,ghoosstyyyyyyy,"Super Clusters
Feta Forgers","The Cosmos
Cheese Guild","N/A
N/A","N/A
N/A",50.54,350,21,16.67,0.503,0.571,12,9,1,7311,4230,3081,18,13,22,68,0.265,354.23,204.95,149.28,0.87,0.63,1.07,3.29,348.14,201.43,146.71,0.86,0.62,1.05,3.24,54,53,2.62,2.57,2.57,2.52
Premier,RSC006889,Jay,Leviathans,Mythical,N/A,N/A,48.82,425,24,17.71,0.497,0.542,13,11,2,9603,5510,4093,20,16,41,66,0.303,383.17,219.85,163.31,0.80,0.64,1.64,2.63,400.13,229.58,170.54,0.83,0.67,1.71,2.75,58,59,2.31,2.35,2.42,2.46
Premier,RSC004149,insanity,Super Clusters,The Cosmos,N/A,N/A,46.90,919,52,17.67,0.516,0.577,30,22,6,20311,11180,9131,36,40,84,138,0.261,374.79,206.30,168.49,0.66,0.74,1.55,2.55,390.60,215.00,175.60,0.69,0.77,1.62,2.65,144,127,2.66,2.34,2.77,2.44
Premier,RSC006677,Luigi,Interstellar,Event Horizon,N/A,N/A,44.76,797,48,16.60,0.461,0.313,15,33,6,17466,9620,7846,36,22,71,137,0.263,371.63,204.69,166.94,0.77,0.47,1.51,2.91,363.88,200.42,163.46,0.75,0.46,1.48,2.85,102,137,2.17,2.91,2.13,2.85
Premier,RSC008604,grogǃ,Feta Forgers,Cheese Guild,N/A,N/A,44.44,59,4,14.75,0.469,0.500,2,2,1,1244,660,584,2,2,5,11,0.182,357.55,189.70,167.85,0.57,0.57,1.44,3.16,311.00,165.00,146.00,0.50,0.50,1.25,2.75,8,9,2.30,2.59,2.00,2.25
Premier,RSC002050,Goobz,"Punks
Capybaras","The Pit
The Jungle","N/A
N/A","N/A
N/A",43.57,488,30,16.27,0.460,0.400,12,18,6,11158,6490,4668,23,13,56,74,0.311,387.74,225.53,162.21,0.80,0.45,1.95,2.57,371.93,216.33,155.60,0.77,0.43,1.87,2.47,61,80,2.12,2.78,2.03,2.67
Premier,RSC006952,nave,Punks,The Pit,N/A,N/A,42.04,670,40,16.75,0.470,0.400,16,24,5,14601,8360,6241,27,27,67,96,0.281,369.55,211.59,157.96,0.68,0.68,1.70,2.43,365.03,209.00,156.03,0.68,0.68,1.68,2.40,86,107,2.18,2.71,2.15,2.68
Premier,RSC000618,Taelo,"Interstellar
Super Clusters","Event Horizon
The Cosmos","N/A
N/A","N/A
N/A",41.36,952,56,17.00,0.471,0.321,18,38,5,19206,11110,8096,45,32,66,171,0.263,342.11,197.90,144.21,0.80,0.57,1.18,3.05,342.96,198.39,144.57,0.80,0.57,1.18,3.05,126,159,2.24,2.83,2.25,2.84
Premier,RSC001114,ASHES.,Interstellar,Event Horizon,N/A,N/A,40.58,818,48,17.04,0.486,0.417,20,28,6,16010,8970,7040,35,34,47,142,0.246,331.90,185.96,145.95,0.73,0.70,0.97,2.94,333.54,186.88,146.67,0.73,0.71,0.98,2.96,116,129,2.40,2.67,2.42,2.69
Premier,RSC001903,Plasma,Crooked Capos,The Syndicate,N/A,N/A,40.41,575,35,16.43,0.509,0.457,16,19,5,12508,7020,5488,22,24,57,77,0.286,368.89,207.03,161.85,0.65,0.71,1.68,2.27,357.37,200.57,156.80,0.63,0.69,1.63,2.20,86,81,2.54,2.39,2.46,2.31
Premier,RSC001977,T.,Feta Forgers,Cheese Guild,N/A,N/A,39.71,737,45,16.38,0.472,0.422,19,26,5,15652,8020,7632,32,20,53,117,0.274,360.14,184.53,175.61,0.74,0.46,1.22,2.69,347.82,178.22,169.60,0.71,0.44,1.18,2.60,102,126,2.35,2.90,2.27,2.80
Premier,RSC008413,Duck,Leviathans,Mythical,N/A,N/A,38.23,863,48,17.98,0.480,0.479,23,25,11,19647,10950,8697,41,17,96,120,0.342,386.06,215.17,170.90,0.81,0.33,1.89,2.36,409.31,228.13,181.19,0.85,0.35,2.00,2.50,115,134,2.26,2.63,2.40,2.79
Premier,RSC005340,Mystikal,Gummy Bears,The Bear Den,N/A,N/A,36.39,695,44,15.80,0.495,0.500,22,22,5,13891,8100,5791,36,22,46,110,0.327,338.94,197.64,141.30,0.88,0.54,1.12,2.68,315.70,184.09,131.61,0.82,0.50,1.05,2.50,106,110,2.59,2.68,2.41,2.50
Premier,RSC003804,ayylo,"Feta Forgers
Super Clusters
Crooked Capos","Cheese Guild
The Cosmos
The Syndicate","N/A
N/A
N/A","N/A
N/A
N/A",35.76,399,23,17.35,0.474,0.391,9,14,2,7626,4090,3536,14,20,22,59,0.237,324.11,173.83,150.28,0.60,0.85,0.94,2.51,331.57,177.83,153.74,0.61,0.87,0.96,2.57,60,70,2.55,2.98,2.61,3.04
Premier,RSC005320,MaggieZerua,Leviathans,Mythical,N/A,N/A,35.75,644,35,18.40,0.475,0.457,16,19,2,13496,7820,5676,24,22,67,97,0.247,355.38,205.92,149.46,0.63,0.58,1.76,2.55,385.60,223.43,162.17,0.69,0.63,1.91,2.77,81,97,2.13,2.55,2.31,2.77
Premier,RSC008347,kor,Feta Forgers,Cheese Guild,N/A,N/A,24.86,79,4,19.75,0.385,0.500,2,2,0,1597,920,677,2,2,10,12,0.167,342.81,197.48,145.32,0.43,0.43,2.15,2.58,399.25,230.00,169.25,0.50,0.50,2.50,3.00,9,14,1.93,3.01,2.25,3.50
Premier,RSC008285,ChiRho_-,Leviathans,Mythical,N/A,N/A,19.11,209,12,17.42,0.401,0.333,4,8,1,3801,2100,1701,4,10,19,25,0.160,308.41,170.39,138.02,0.32,0.81,1.54,2.03,316.75,175.00,141.75,0.33,0.83,1.58,2.08,22,37,1.79,3.00,1.83,3.08
Premier,RSC008094,JoshuaNaoki,"Punks
Gummy Bears","The Pit
The Bear Den","N/A
N/A","N/A
N/A",16.72,818,49,16.69,0.475,0.429,21,28,2,14223,8020,6203,27,26,57,117,0.231,294.86,166.26,128.59,0.56,0.54,1.18,2.43,290.27,163.67,126.59,0.55,0.53,1.16,2.39,110,133,2.28,2.76,2.24,2.71
Premier,RSC000996,GreenSleeves,Gummy Bears,The Bear Den,N/A,N/A,14.00,241,14,17.21,0.369,0.214,3,11,1,4290,2410,1880,6,6,23,36,0.167,301.86,169.58,132.29,0.42,0.42,1.62,2.53,306.43,172.14,134.29,0.43,0.43,1.64,2.57,27,54,1.90,3.80,1.93,3.86
Premier,RSC007924,Kaorix,Interstellar,Event Horizon,N/A,N/A,13.85,191,12,15.92,0.409,0.333,4,8,2,3737,2030,1707,6,3,21,23,0.261,331.79,180.23,151.56,0.53,0.27,1.86,2.04,311.42,169.17,142.25,0.50,0.25,1.75,1.92,19,31,1.69,2.75,1.58,2.58
Premier,RSC005187,3565336c98822fdd,Punks,The Pit,N/A,N/A,8.07,208,12,17.33,0.493,0.500,6,6,0,3261,1710,1551,7,5,9,31,0.226,265.86,139.41,126.45,0.57,0.41,0.73,2.53,271.75,142.50,129.25,0.58,0.42,0.75,2.58,26,27,2.12,2.20,2.17,2.25
Premier,RSC000657,Saucey,Feta Forgers,Cheese Guild,N/A,N/A,7.51,35,2,17.50,0.251,0.000,0,2,0,606,340,266,1,1,3,4,0.250,293.61,164.73,128.88,0.48,0.48,1.45,1.94,303.00,170.00,133.00,0.50,0.50,1.50,2.00,3,7,1.45,3.39,1.50,3.50
Master,RSC004580,Static,Spectres,The Monster Mash,N/A,N/A,103.89,130,8,16.25,0.456,0.625,5,3,5,4063,2350,1713,11,3,16,30,0.367,456.80,264.21,192.59,1.24,0.34,1.80,3.37,507.88,293.75,214.13,1.38,0.38,2.00,3.75,17,21,1.91,2.36,2.13,2.63
Master,RSC008285,ChiRho_-,Reapers,Mythical,N/A,N/A,101.13,52,4,13.00,0.593,0.750,3,1,2,1691,1010,681,5,2,7,6,0.833,475.29,283.88,191.41,1.41,0.56,1.97,1.69,422.75,252.50,170.25,1.25,0.50,1.75,1.50,10,7,2.81,1.97,2.50,1.75
Master,RSC007893,solar722,Spectres,The Monster Mash,N/A,N/A,86.31,671,48,13.98,0.489,0.500,24,24,12,18415,10140,8275,40,21,71,154,0.260,401.12,220.87,180.25,0.87,0.46,1.55,3.35,383.65,211.25,172.40,0.83,0.44,1.48,3.21,86,94,1.87,2.05,1.79,1.96
Master,RSC005653,xim,Reapers,Mythical,N/A,N/A,85.08,212,20,10.60,0.576,0.550,11,9,4,5920,3090,2830,11,8,24,39,0.282,408.14,213.03,195.11,0.76,0.55,1.65,2.69,296.00,154.50,141.50,0.55,0.40,1.20,1.95,40,25,2.76,1.72,2.00,1.25
Master,RSC007282,.krs,Helicoprions,Shark Attack,N/A,N/A,80.92,704,44,16.00,0.525,0.545,24,20,10,17859,10460,7399,45,33,57,146,0.308,370.77,217.16,153.61,0.93,0.69,1.18,3.03,405.89,237.73,168.16,1.02,0.75,1.30,3.32,120,99,2.49,2.06,2.73,2.25
Master,RSC007876,dwsn.,Helicoprions,Shark Attack,N/A,N/A,80.51,770,48,16.04,0.519,0.521,25,23,9,19810,10950,8860,43,40,66,135,0.319,376.02,207.85,168.18,0.82,0.76,1.25,2.56,412.71,228.13,184.58,0.90,0.83,1.38,2.81,127,109,2.41,2.07,2.65,2.27
Master,RSC004132,RobFromRSC,Andromeda,The Cosmos,N/A,N/A,76.29,819,56,14.63,0.530,0.625,35,21,14,21410,12440,8970,48,35,89,144,0.333,382.08,222.00,160.08,0.86,0.62,1.59,2.57,382.32,222.14,160.18,0.86,0.63,1.59,2.57,127,98,2.27,1.75,2.27,1.75
Master,RSC007412,spuf.,Care Bears,The Bear Den,N/A,N/A,76.16,711,52,13.67,0.533,0.635,33,19,11,18227,9990,8237,37,28,69,144,0.257,374.69,205.36,169.33,0.76,0.58,1.42,2.96,350.52,192.12,158.40,0.71,0.54,1.33,2.77,118,90,2.43,1.85,2.27,1.73
Master,RSC002888,Kri0s,Heinous Henchmen,The Syndicate,N/A,N/A,74.80,119,8,14.88,0.613,0.750,6,2,1,2734,1640,1094,8,7,5,24,0.333,335.80,201.43,134.37,0.98,0.86,0.61,2.95,341.75,205.00,136.75,1.00,0.88,0.63,3.00,24,14,2.95,1.72,3.00,1.75
Master,RSC004717,slain.,Heinous Henchmen,The Syndicate,N/A,N/A,74.75,642,49,13.10,0.515,0.490,24,25,7,16891,9280,7611,31,28,75,103,0.301,384.54,211.27,173.27,0.71,0.64,1.71,2.34,344.71,189.39,155.33,0.63,0.57,1.53,2.10,108,96,2.46,2.19,2.20,1.96
Master,RSC007565,AcX,Care Bears,The Bear Den,N/A,N/A,71.30,666,51,13.06,0.537,0.627,32,19,12,16668,9370,7298,38,32,58,107,0.355,365.79,205.63,160.16,0.83,0.70,1.27,2.35,326.82,183.73,143.10,0.75,0.63,1.14,2.10,110,81,2.41,1.78,2.16,1.59
Master,RSC003008,GeneralZippy,Andromeda,The Cosmos,N/A,N/A,68.28,819,56,14.63,0.530,0.625,35,21,16,20317,11300,9017,47,28,71,165,0.285,362.58,201.66,160.92,0.84,0.50,1.27,2.94,362.80,201.79,161.02,0.84,0.50,1.27,2.95,127,98,2.27,1.75,2.27,1.75
Master,RSC005499,R0cket,Heinous Henchmen,The Syndicate,N/A,N/A,68.22,733,55,13.33,0.521,0.509,28,27,10,18599,10920,7679,48,31,69,112,0.429,370.86,217.74,153.12,0.96,0.62,1.38,2.23,338.16,198.55,139.62,0.87,0.56,1.25,2.04,128,108,2.55,2.15,2.33,1.96
Master,RSC006903,BobbyWitDatT00L,Heinous Henchmen,The Syndicate,N/A,N/A,67.97,747,56,13.34,0.522,0.518,29,27,11,18888,10660,8228,43,29,73,126,0.341,369.56,208.57,160.99,0.84,0.57,1.43,2.47,337.29,190.36,146.93,0.77,0.52,1.30,2.25,130,109,2.54,2.13,2.32,1.95
Master,RSC006534,FIN0oo,Kawaii,The Pit,N/A,N/A,65.88,760,49,15.51,0.508,0.531,26,23,14,18707,10210,8497,40,28,68,141,0.284,359.76,196.35,163.41,0.77,0.54,1.31,2.71,381.78,208.37,173.41,0.82,0.57,1.39,2.88,110,103,2.12,1.98,2.24,2.10
Master,RSC000799,Foam,Reapers,Mythical,N/A,N/A,65.72,618,42,14.71,0.497,0.500,21,21,9,14675,8120,6555,32,28,48,112,0.286,347.07,192.04,155.03,0.76,0.66,1.14,2.65,349.40,193.33,156.07,0.76,0.67,1.14,2.67,91,93,2.15,2.20,2.17,2.21
Master,RSC005349,Rzemb1e,Lemurs,The Jungle,N/A,N/A,65.20,356,27,13.19,0.497,0.407,11,16,3,8277,4750,3527,19,16,27,70,0.271,339.82,195.01,144.80,0.78,0.66,1.11,2.87,306.56,175.93,130.63,0.70,0.59,1.00,2.59,57,58,2.34,2.38,2.11,2.15
Master,RSC001243,Destin,"Permafrost
Lemurs","Sub Zero
The Jungle","N/A
N/A","N/A
N/A",64.77,510,32,15.94,0.467,0.344,11,21,3,12462,6750,5712,28,17,42,100,0.280,357.14,193.44,163.70,0.80,0.49,1.20,2.87,389.44,210.94,178.50,0.88,0.53,1.31,3.13,74,93,2.12,2.67,2.31,2.91
Master,RSC004208,Super,Care Bears,The Bear Den,N/A,N/A,63.93,763,56,13.63,0.533,0.643,36,20,11,18177,10520,7657,42,34,66,132,0.318,348.19,201.52,146.68,0.80,0.65,1.26,2.53,324.59,187.86,136.73,0.75,0.61,1.18,2.36,128,97,2.45,1.86,2.29,1.73
Master,RSC005690,DQ.,Oblivion,Event Horizon,N/A,N/A,62.85,622,42,14.81,0.503,0.476,20,22,4,14860,8890,5970,39,27,52,104,0.375,349.18,208.90,140.28,0.92,0.63,1.22,2.44,353.81,211.67,142.14,0.93,0.64,1.24,2.48,94,92,2.21,2.16,2.24,2.19
Master,RSC001357,bubblebuddy47,Lemurs,The Jungle,N/A,N/A,62.84,73,4,18.25,0.379,0.000,0,4,0,1858,950,908,2,3,10,10,0.200,372.00,190.21,181.80,0.40,0.60,2.00,2.00,464.50,237.50,227.00,0.50,0.75,2.50,2.50,8,13,1.60,2.60,2.00,3.25
Master,RSC001935,Kenobs,"Oblivion
Lemurs","Event Horizon
The Jungle","N/A
N/A","N/A
N/A",60.61,546,40,13.65,0.491,0.450,18,22,8,12223,6660,5563,24,28,38,96,0.250,327.20,178.28,148.92,0.64,0.75,1.02,2.57,305.58,166.50,139.08,0.60,0.70,0.95,2.40,85,91,2.28,2.44,2.13,2.28
Master,RSC000739,Salty,"Battle Masters
Lemurs","Dwarf Haven
The Jungle","N/A
N/A","N/A
N/A",60.46,183,11,16.64,0.421,0.455,5,6,3,4348,2410,1938,10,6,15,36,0.278,347.27,192.48,154.78,0.80,0.48,1.20,2.88,395.27,219.09,176.18,0.91,0.55,1.36,3.27,24,36,1.92,2.88,2.18,3.27
Master,RSC005290,IMOLDGREG67,Kawaii,The Pit,N/A,N/A,60.28,564,38,14.84,0.531,0.605,23,15,4,12939,7660,5279,34,25,40,101,0.337,335.31,198.51,136.80,0.88,0.65,1.04,2.62,340.50,201.58,138.92,0.89,0.66,1.05,2.66,90,71,2.33,1.84,2.37,1.87
Master,RSC008171,Shxde,Fromunda Frauds,Cheese Guild,N/A,N/A,58.00,806,56,14.39,0.503,0.589,33,23,11,19617,11130,8487,45,20,81,158,0.285,355.73,201.83,153.90,0.82,0.36,1.47,2.87,350.30,198.75,151.55,0.80,0.36,1.45,2.82,113,110,2.05,1.99,2.02,1.96
Master,RSC003728,yillow,"Lemurs
Permafrost","The Jungle
Sub Zero","N/A
N/A","N/A
N/A",57.87,555,40,13.88,0.483,0.425,17,23,7,13747,7510,6237,27,18,61,86,0.314,362.02,197.77,164.25,0.71,0.47,1.61,2.26,343.68,187.75,155.93,0.68,0.45,1.53,2.15,78,89,2.05,2.34,1.95,2.23
Master,RSC008242,Snipes,Reapers,Mythical,N/A,N/A,55.62,697,53,13.15,0.500,0.491,26,27,4,16539,8840,7699,32,26,65,109,0.294,346.82,185.37,161.44,0.67,0.55,1.36,2.29,312.06,166.79,145.26,0.60,0.49,1.23,2.06,107,107,2.24,2.24,2.02,2.02
Master,RSC005899,DJDancingDuckGif,"Battle Masters
Kawaii","Dwarf Haven
The Pit","N/A
N/A","N/A
N/A",55.32,693,48,14.44,0.504,0.479,23,25,6,16432,8780,7652,26,28,75,103,0.252,346.56,185.18,161.39,0.55,0.59,1.58,2.17,342.33,182.92,159.42,0.54,0.58,1.56,2.15,107,104,2.26,2.19,2.23,2.17
Master,RSC005024,SSpekky,Reapers,Mythical,N/A,N/A,54.83,641,48,13.35,0.497,0.521,25,23,10,15021,8470,6551,35,20,56,117,0.299,342.50,193.13,149.37,0.80,0.46,1.28,2.67,312.94,176.46,136.48,0.73,0.42,1.17,2.44,95,97,2.17,2.21,1.98,2.02
Master,RSC007558,Frijole,Fromunda Frauds,Cheese Guild,N/A,N/A,54.67,792,51,15.53,0.508,0.569,29,22,8,18403,10450,7953,42,26,70,145,0.290,339.61,192.85,146.77,0.78,0.48,1.29,2.68,360.84,204.90,155.94,0.82,0.51,1.37,2.84,113,106,2.09,1.96,2.22,2.08
Master,RSC002490,bex,Permafrost,Sub Zero,N/A,N/A,52.16,683,48,14.23,0.478,0.438,21,27,8,15818,8440,7378,37,21,50,119,0.311,338.50,180.61,157.89,0.79,0.45,1.07,2.55,329.54,175.83,153.71,0.77,0.44,1.04,2.48,97,115,2.08,2.46,2.02,2.40
Master,RSC001927,Ghxst,Permafrost,Sub Zero,N/A,N/A,49.79,625,44,14.20,0.484,0.477,21,23,6,14597,8480,6117,27,25,74,83,0.325,341.36,198.31,143.05,0.63,0.58,1.73,1.94,331.75,192.73,139.02,0.61,0.57,1.68,1.89,92,104,2.15,2.43,2.09,2.36
Master,RSC004698,Slvr.,Oblivion,Event Horizon,N/A,N/A,48.44,646,44,14.68,0.492,0.477,21,23,9,14357,7890,6467,28,25,56,104,0.269,324.83,178.51,146.32,0.63,0.57,1.27,2.35,326.30,179.32,146.98,0.64,0.57,1.27,2.36,93,99,2.10,2.24,2.11,2.25
Master,RSC005705,Rapidz (Goofy and Silly),"Oblivion
Lemurs
Andromeda","Event Horizon
The Jungle
The Cosmos","N/A
N/A
N/A","N/A
N/A
N/A",48.25,482,32,15.06,0.545,0.656,21,11,5,10632,5700,4932,23,22,33,65,0.354,322.40,172.84,149.55,0.70,0.67,1.00,1.97,332.25,178.13,154.13,0.72,0.69,1.03,2.03,84,61,2.55,1.85,2.63,1.91
Master,RSC000330,Infinite,Oblivion,Event Horizon,N/A,N/A,47.87,623,42,14.83,0.492,0.500,21,21,8,14408,7880,6528,26,21,66,93,0.280,338.02,184.87,153.15,0.61,0.49,1.55,2.18,343.05,187.62,155.43,0.62,0.50,1.57,2.21,90,96,2.11,2.25,2.14,2.29
Master,RSC005234,Hirsch,Oblivion,Event Horizon,N/A,N/A,47.73,491,30,16.37,0.439,0.300,9,21,3,11029,6100,4929,17,18,54,80,0.213,328.31,181.58,146.72,0.51,0.54,1.61,2.38,367.63,203.33,164.30,0.57,0.60,1.80,2.67,53,82,1.58,2.44,1.77,2.73
Master,RSC007166,nelz,Helicoprions,Shark Attack,N/A,N/A,47.64,690,48,14.38,0.521,0.500,24,24,4,15492,8440,7052,28,28,65,99,0.283,328.16,178.78,149.38,0.59,0.59,1.38,2.10,322.75,175.83,146.92,0.58,0.58,1.35,2.06,109,92,2.31,1.95,2.27,1.92
Master,RSC003445,bosco,"Lemurs
Kawaii
Helicoprions","The Jungle
The Pit
Shark Attack","N/A
N/A
N/A","N/A
N/A
N/A",47.59,129,12,10.75,0.490,0.417,5,7,0,2649,1400,1249,4,7,9,20,0.200,300.13,158.62,141.51,0.45,0.79,1.02,2.27,220.75,116.67,104.08,0.33,0.58,0.75,1.67,18,19,2.04,2.15,1.50,1.58
