Tier,RSC ID,Player Name,Team(s),Franchise(s),Conf.,Div,SBV,TS,GP,TS/GP,PWE,W%,W,L,MVPs,P,SP,NP,G,A,Sv,Sh,Sh%,P/A,SP/A,NP/A,G/A,A/A,Sv/A,S/A,PPG,SPPG,NPPG,GPG,APG,SvPG,ShPG,tm_G,opp_G,tm_G/A,opp_G/A,tm_G/G,opp_G/G
Premier,RSC007071,Ankur,Interstellar,Event Horizon,N/A,N/A,113.06,74,4,18.50,0.707,1.000,4,0,2,2304,1440,864,7,4,8,14,0.500,527.99,329.99,197.99,1.60,0.92,1.83,3.21,576.00,360.00,216.00,1.75,1.00,2.00,3.50,14,6,3.21,1.37,3.50,1.50
Premier,RSC007460,mogiiuh,Punks,The Pit,N/A,N/A,92.31,356,20,17.80,0.484,0.500,10,10,6,10005,5970,4035,22,18,43,72,0.306,476.58,284.38,192.20,1.05,0.86,2.05,3.43,500.25,298.50,201.75,1.10,0.90,2.15,3.60,48,53,2.29,2.52,2.40,2.65
Premier,RSC008343,surreal,Capybaras,The Jungle,N/A,N/A,89.74,732,47,15.57,0.543,0.681,32,15,14,19698,11100,8598,48,38,59,145,0.331,456.33,257.15,199.19,1.11,0.88,1.37,3.36,419.11,236.17,182.94,1.02,0.81,1.26,3.09,133,96,3.08,2.22,2.83,2.04
Premier,RSC000381,Noriko,Gummy Bears,The Bear Den,N/A,N/A,72.95,634,41,15.46,0.527,0.512,21,20,7,15924,9540,6384,36,34,63,109,0.330,425.93,255.17,170.76,0.96,0.91,1.69,2.92,388.39,232.68,155.71,0.88,0.83,1.54,2.66,106,87,2.84,2.33,2.59,2.12
Premier,RSC007845,Enchanted,Leviathans,Mythical,N/A,N/A,72.92,642,36,17.83,0.498,0.528,19,17,9,16579,9460,7119,34,30,69,111,0.306,437.92,249.88,188.04,0.90,0.79,1.82,2.93,460.53,262.78,197.75,0.94,0.83,1.92,3.08,93,94,2.46,2.48,2.58,2.61
Premier,RSC000181,Eclipse,Gummy Bears,The Bear Den,N/A,N/A,69.64,791,50,15.82,0.511,0.540,27,23,13,18627,10900,7727,46,36,58,160,0.288,399.34,233.68,165.66,0.99,0.77,1.24,3.43,372.54,218.00,154.54,0.92,0.72,1.16,3.20,126,116,2.70,2.49,2.52,2.32
Premier,RSC005920,The Alpha,Super Clusters,The Cosmos,N/A,N/A,67.88,520,28,18.57,0.526,0.607,17,11,7,13273,7820,5453,26,17,67,102,0.255,432.85,255.02,177.83,0.85,0.55,2.18,3.33,474.04,279.29,194.75,0.93,0.61,2.39,3.64,76,64,2.48,2.09,2.71,2.29
Premier,RSC004215,Tsheg,Capybaras,The Jungle,N/A,N/A,67.60,696,43,16.19,0.528,0.651,28,15,9,15884,9680,6204,42,37,46,133,0.316,387.01,235.85,151.16,1.02,0.90,1.12,3.24,369.40,225.12,144.28,0.98,0.86,1.07,3.09,119,97,2.90,2.36,2.77,2.26
Premier,RSC008244,Oghma,Crooked Capos,The Syndicate,N/A,N/A,65.56,703,42,16.74,0.533,0.548,23,19,8,17551,10530,7021,37,29,83,123,0.301,423.37,254.01,169.36,0.89,0.70,2.00,2.97,417.88,250.71,167.17,0.88,0.69,1.98,2.93,110,86,2.65,2.07,2.62,2.05
Premier,RSC003780,FusionBleach,"Gummy Bears
Punks","The Bear Den
The Pit","N/A
N/A","N/A
N/A",64.66,278,16,17.38,0.519,0.500,8,8,4,6606,3530,3076,12,10,25,58,0.207,402.96,215.33,187.63,0.73,0.61,1.52,3.54,412.88,220.63,192.25,0.75,0.63,1.56,3.63,38,34,2.32,2.07,2.38,2.13
Premier,RSC004090,LikeWisse,Super Clusters,The Cosmos,N/A,N/A,63.79,991,56,17.70,0.517,0.571,32,24,14,24005,13720,10285,63,37,78,167,0.377,410.77,234.77,176.00,1.08,0.63,1.33,2.86,428.66,245.00,183.66,1.13,0.66,1.39,2.98,156,136,2.67,2.33,2.79,2.43
Premier,RSC007174,LMNS,Super Clusters,The Cosmos,N/A,N/A,63.26,272,16,17.00,0.565,0.688,11,5,4,6433,3890,2543,17,13,22,44,0.386,401.07,242.52,158.54,1.06,0.81,1.37,2.74,402.06,243.13,158.94,1.06,0.81,1.38,2.75,54,38,3.37,2.37,3.38,2.38
Premier,RSC002714,Nika,Crooked Capos,The Syndicate,N/A,N/A,61.12,788,47,16.77,0.522,0.511,24,23,9,18509,10240,8269,44,26,61,149,0.295,398.32,220.37,177.95,0.95,0.56,1.31,3.21,393.81,217.87,175.94,0.94,0.55,1.30,3.17,116,98,2.50,2.11,2.47,2.09
Premier,RSC004580,Static,Feta Forgers,Cheese Guild,N/A,N/A,59.59,434,25,17.36,0.457,0.320,8,17,4,9909,6240,3669,28,15,37,84,0.333,387.18,243.82,143.36,1.09,0.59,1.45,3.28,396.36,249.60,146.76,1.12,0.60,1.48,3.36,58,76,2.27,2.97,2.32,3.04
Premier,RSC002062,Qundar al-Din,Punks,The Pit,N/A,N/A,57.89,208,12,17.33,0.493,0.500,6,6,2,4773,2750,2023,11,7,18,40,0.275,389.13,224.20,164.93,0.90,0.57,1.47,3.26,397.75,229.17,168.58,0.92,0.58,1.50,3.33,26,27,2.12,2.20,2.17,2.25
Premier,RSC007718,dxge,"Gummy Bears
Capybaras","The Bear Den
The Jungle","N/A
N/A","N/A
N/A",57.22,146,8,18.25,0.500,0.625,5,3,3,3774,2150,1624,8,2,20,25,0.320,438.35,249.72,188.63,0.93,0.23,2.32,2.90,471.75,268.75,203.00,1.00,0.25,2.50,3.13,20,20,2.32,2.32,2.50,2.50
Premier,RSC007330,Spooky,Capybaras,The Jungle,N/A,N/A,55.83,156,10,15.60,0.564,0.600,6,4,1,3551,2100,1451,7,8,15,25,0.280,386.01,228.28,157.73,0.76,0.87,1.63,2.72,355.10,210.00,145.10,0.70,0.80,1.50,2.50,31,23,3.37,2.50,3.10,2.30
Premier,RSC008424,Kev.,"Leviathans
Feta Forgers","Mythical
Cheese Guild","N/A
N/A","N/A
N/A",55.12,70,5,14.00,0.526,0.600,3,2,2,1800,930,870,4,2,7,8,0.500,436.06,225.30,210.76,0.97,0.48,1.70,1.94,360.00,186.00,174.00,0.80,0.40,1.40,1.60,10,9,2.42,2.18,2.00,1.80
Premier,RSC003749,Rule,Crooked Capos,The Syndicate,N/A,N/A,55.03,572,33,17.33,0.546,0.545,18,15,5,13506,8120,5386,33,24,56,82,0.402,400.41,240.73,159.68,0.98,0.71,1.66,2.43,409.27,246.06,163.21,1.00,0.73,1.70,2.48,96,70,2.85,2.08,2.91,2.12
