Tier,Name,GP,Season,Team,Franchise,Conference,RSC ID,# of Seasons,First Season,Seasons Played,PPG,GPG,APG,SvPG,ShPG,ShPCT,GAPG,AAPG,ShAPG,Hat Trick,Playmaker,Savior,TierMaxGames,GPThreshold,MAJ,EXT,ACC,NEG,RAW,tZ,DI,DT,mShPG,mShA,SvpmShA,SvpAA,SvpGA,PPG_mean,PPG_std,GPG_mean,GPG_std,APG_mean,APG_std,ShPG_mean,ShPG_std,ShPCT_mean,ShPCT_std,SvPG_mean,SvPG_std,GAPG_mean,GAPG_std,AAPG_mean,AAPG_std,ShAPG_mean,ShAPG_std,RAW_mean,RAW_std,DI_mean,DI_std,DT_mean,DT_std,tZ_mean,tZ_std,mShPG_mean,mShPG_std,mShA_mean,mShA_std,SvpmShA_mean,SvpmShA_std,SvpAA_mean,SvpAA_std,SvpGA_mean,SvpGA_std,PPG_z,GPG_z,APG_z,ShPG_z,ShPCT_z,SvPG_z,GAPG_z,AAPG_z,ShAPG_z,RAW_z,DI_z,DT_z,tZ_z,mShPG_z,mShA_z,SvpmShA_z,SvpAA_z,SvpGA_z,pdt_z,pnt_z,pot_z,RvShA,RvAA,RvShA_mean,RvShA_std,RvAA_mean,RvAA_std,RvShA_z,RvAA_z,RSvA,DWR,RSvA_mean,RSvA_std,DWR_mean,DWR_std,RSvA_z,DWR_z,RSvA_w,SvpGA_w,DWR_w,RvShA_w,SvpGA_s,RSvA_s,RvShA_s,DEF,DEFS,PRES,ATT,DEF_mean,DEF_std,DEFS_mean,DEFS_std,PRES_mean,PRES_std,ATT_mean,ATT_std,DEF_z,DEFS_z,PRES_z,ATT_z,RAD,RADS,RAD_mean,RAD_std,RADS_mean,RADS_std,RAD_z,RADS_z
Challenger,Juanma206,14,1,Apprentices,The Ninja Academy,Solar,,,,,165.0,0.5,0.286,1.357,1.286,38.88,0.12605847953216373,0.16533333333333333,0.667,0,0,2,52,31.0,154.51,10.49,2,3.57,6.92,6.92,1,1,0.79,0.54,2.51,8.21,10.76,196.0382,41.95305508140779,0.7420666666666667,0.26856753002144207,0.41762222222222223,0.15297567972020448,2.107022222222222,0.5440135145751472,34.74702222222222,6.584367490465196,0.9102444444444444,0.2020011426110298,0.10509018843404808,0.06693859016297443,0.1315037037037037,0.0828810947671977,0.5522222222222223,0.25322689151403055,24.85,13.872310550157101,1.0,0.0,1.0,0.0,24.85,13.872310550157101,1.3646666666666667,0.34274029394121297,0.4468888888888889,0.20445962284455427,2.9786666666666664,2.895172784920695,12.051555555555556,12.238924855401379,16.831333333333333,21.609561919752935,-0.7398316985442878,-0.9013251402630108,-0.860412730069001,-1.5091945332707544,0.6276954899256058,2.2116486559475605,-0.31324667948733986,-0.4081706416240361,-0.45326061972141796,-1.2925027835249079,0,0,-1.2925027835249079,-1.6766825401778813,-0.4554009726502395,-0.16187865163270534,-0.31388014886456056,-0.28095587295472335,,,,-1.75,-1.7,0.0006666666666666586,1.5880554146502572,0.0,1.545718426669442,-1.1023964595418239,-1.0998122107290838,-0.6833,17.3692,2.2222222222170433e-06,0.896131206781505,86.62031555555556,178.1680886742271,-0.7625024293890317,-0.38868416937546174,-0.1373,-0.0843,-0.1322,-0.1984,-0.1264,-0.2097,-0.3032,-0.5522,-0.6393,-2.9692,101.74000000000001,-1.7777777777753e-05,0.7962971319828049,1.0177044392397268e-17,0.8068377557420755,-9.86864910777917e-18,1.6542230939463558,130.02391111111112,36.31111160438997,-0.6934374117953572,-0.7923526080060724,-1.7949211390324642,-0.778932669956918,-1.0250361214140005,-1.0281378777547108,-7.894919286223336e-17,0.7580487203671372,-8.635067969306773e-17,0.7409588810154336,-1.352203484912627,-1.3875775081415016
Challenger,Keeganator_1354,16,1,Apprentices,The Ninja Academy,Solar,RSC003603,1.0,1.0,[1],189.375,0.312,0.562,1.375,1.062,29.379,0.062,0.312,0.458,0,0,4,52,31.0,148.3,41.07,4,6.25,34.82,34.82,1,1,0.75,0.4,3.44,4.41,22.18,196.0382,41.95305508140779,0.7420666666666667,0.26856753002144207,0.41762222222222223,0.15297567972020448,2.107022222222222,0.5440135145751472,34.74702222222222,6.584367490465196,0.9102444444444444,0.2020011426110298,0.10509018843404808,0.06693859016297443,0.1315037037037037,0.0828810947671977,0.5522222222222223,0.25322689151403055,24.85,13.872310550157101,1.0,0.0,1.0,0.0,24.85,13.872310550157101,1.3646666666666667,0.34274029394121297,0.4468888888888889,0.20445962284455427,2.9786666666666664,2.895172784920695,12.051555555555556,12.238924855401379,16.831333333333333,21.609561919752935,-0.15882514365331404,-1.601335301524837,0.9437956284413811,-1.920949009949399,-0.8152677125017151,2.3007570627978153,0.6437271584169462,-2.1777740364468774,0.3720861621720839,0.7186978668010782,0,0,0.7186978668010782,-1.793388981489567,0.22933080006969084,0.15934569975794052,-0.6243649377570223,0.24751388697877955,,,,1.09,-1.46,0.0006666666666666586,1.5880554146502572,0.0,1.545718426669442,0.685954232631889,-0.9445446045085072,-0.7748,119.7808,2.2222222222170433e-06,0.896131206781505,86.62031555555556,178.1680886742271,-0.8646080131557508,0.18611910073906104,-0.1556,0.0743,0.0633,0.1235,0.1114,-0.2378,0.1886,0.10550000000000001,0.06219999999999998,-1.0747,71.199,-1.7777777777753e-05,0.7962971319828049,1.0177044392397268e-17,0.8068377557420755,-9.86864910777917e-18,1.6542230939463558,130.02391111111112,36.31111160438997,0.13251055860898955,0.07709108746750772,-0.6496705335168359,-1.6200250697915637,-0.7796925876252048,-0.7082935181820004,-7.894919286223336e-17,0.7580487203671372,-8.635067969306773e-17,0.7409588810154336,-1.028552079406697,-0.9559147428145166
Challenger,MrMenstration,37,1,Apprentices,The Ninja Academy,Solar,RSC000823,2.0,1.0,"[1, 2]",187.568,0.784,0.405,1.081,2.027,38.678,0.027,0.09,0.387,2,0,5,52,31.0,180.54,7.03,7,4.73,2.3,2.3,1,1,1.24,0.36,3.0,12.01,40.04,196.0382,41.95305508140779,0.7420666666666667,0.26856753002144207,0.41762222222222223,0.15297567972020448,2.107022222222222,0.5440135145751472,34.74702222222222,6.584367490465196,0.9102444444444444,0.2020011426110298,0.10509018843404808,0.06693859016297443,0.1315037037037037,0.0828810947671977,0.5522222222222223,0.25322689151403055,24.85,13.872310550157101,1.0,0.0,1.0,0.0,24.85,13.872310550157101,1.3646666666666667,0.34274029394121297,0.4468888888888889,0.20445962284455427,2.9786666666666664,2.895172784920695,12.051555555555556,12.238924855401379,16.831333333333333,21.609561919752935,-0.20189709625589794,0.15613701823889686,-0.08251130013155354,-0.14709601890077334,0.5970167648555788,0.8453197509103191,1.1665944598463012,0.5007620111713323,0.6524671263560008,-1.6255403105681359,0,0,-1.6255403105681359,-0.36373507542141986,0.4249684494182425,0.007368587272043597,-0.003395359972098888,1.073999868801228,,,,-0.97,-1.12,0.0006666666666666586,1.5880554146502572,0.0,1.545718426669442,-0.6112297201420014,-0.7245821623626905,-0.3424,6.9,2.2222222222170433e-06,0.896131206781505,86.62031555555556,178.1680886742271,-0.38208938560679634,-0.4474444113351904,-0.0688,0.3222,-0.1521,-0.11,0.4833,-0.1051,-0.1681,-0.008700000000000027,0.21009999999999998,-1.9893,137.348,-1.7777777777753e-05,0.7962971319828049,1.0177044392397268e-17,0.8068377557420755,-9.86864910777917e-18,1.6542230939463558,130.02391111111112,36.31111160438997,-0.01090324437136081,0.26039931634925045,-1.202558474295191,0.20170379162954133,-0.2476073420504341,-0.11184094230451078,-7.894919286223336e-17,0.7580487203671372,-8.635067969306773e-17,0.7409588810154336,-0.32663776799268673,-0.15094082164349026
Challenger,Tacomnivore,39,1,Apprentices,The Ninja Academy,Solar,RSC001730,2.0,1.0,"[1, 2]",170.385,0.487,0.256,1.205,1.564,31.138,0.009,0.085,0.359,0,0,5,52,31.0,145.82,24.56,5,3.21,21.35,21.35,1,1,1.08,0.35,3.44,14.18,133.89,196.0382,41.95305508140779,0.7420666666666667,0.26856753002144207,0.41762222222222223,0.15297567972020448,2.107022222222222,0.5440135145751472,34.74702222222222,6.584367490465196,0.9102444444444444,0.2020011426110298,0.10509018843404808,0.06693859016297443,0.1315037037037037,0.0828810947671977,0.5522222222222223,0.25322689151403055,24.85,13.872310550157101,1.0,0.0,1.0,0.0,24.85,13.872310550157101,1.3646666666666667,0.34274029394121297,0.4468888888888889,0.20445962284455427,2.9786666666666664,2.895172784920695,12.051555555555556,12.238924855401379,16.831333333333333,21.609561919752935,-0.6114739427252975,-0.9497300982226052,-1.056522334254912,-0.9981778166785078,-0.5481198045899525,1.4591776647676309,1.4354976434385407,0.5610893996312019,0.7630399009637427,-0.2523011568509302,0,0,-0.2523011568509302,-0.8305608406681615,0.47387786175538044,0.15934569975794052,0.17390779579017532,5.4169847172915295,,,,0.51,0.31,0.0006666666666666586,1.5880554146502572,0.0,1.545718426669442,0.32072768282176445,0.20055399136824467,0.1864,73.444,2.2222222222170433e-06,0.896131206781505,86.62031555555556,178.1680886742271,0.20800277500348827,-0.07395440818612531,0.0374,1.6251,-0.0251,0.0577,2.4376,0.0572,0.0882,1.6951000000000003,2.583,-1.0829,95.47800000000001,-1.7777777777753e-05,0.7962971319828049,1.0177044392397268e-17,0.8068377557420755,-9.86864910777917e-18,1.6542230939463558,130.02391111111112,36.31111160438997,2.128750324086791,3.201387121038144,-0.6546275432635914,-0.9513867679813622,0.14518346307492636,0.7809450015587052,-7.894919286223336e-17,0.7580487203671372,-8.635067969306773e-17,0.7409588810154336,0.1915226016140643,1.0539653705054097
Challenger,Caboose,36,1,Barbarians,The Sovereign,Lunar,RSC003571,2.0,1.0,"[1, 2]",203.056,0.694,0.556,0.917,2.306,30.095,0.065,0.12,0.519,1,1,0,52,31.0,172.53,30.53,2,1.39,29.14,29.14,1,1,1.61,0.45,2.04,7.64,14.11,196.0382,41.95305508140779,0.7420666666666667,0.26856753002144207,0.41762222222222223,0.15297567972020448,2.107022222222222,0.5440135145751472,34.74702222222222,6.584367490465196,0.9102444444444444,0.2020011426110298,0.10509018843404808,0.06693859016297443,0.1315037037037037,0.0828810947671977,0.5522222222222223,0.25322689151403055,24.85,13.872310550157101,1.0,0.0,1.0,0.0,24.85,13.872310550157101,1.3646666666666667,0.34274029394121297,0.4468888888888889,0.20445962284455427,2.9786666666666664,2.895172784920695,12.051555555555556,12.238924855401379,16.831333333333333,21.609561919752935,0.16727744824262106,-0.1789742291736798,0.9045737076041989,0.3657588873195027,-0.7065253008673653,0.03344315516355279,0.5989099611515729,0.13879768041211485,0.1311954746337891,0.30924913225442574,0,0,0.30924913225442574,0.7157995067116711,-0.015216261615998495,-0.3242178399699133,-0.3604528671984299,-0.1259319065994489,,,,0.44,0.45,0.0006666666666666586,1.5880554146502572,0.0,1.545718426669442,0.27664861646537015,0.291126761663581,-0.0542,59.4456,2.2222222222170433e-06,0.896131206781505,86.62031555555556,178.1680886742271,-0.060484694442114004,-0.15252291113277527,-0.0109,-0.0378,-0.0519,0.0498,-0.0567,-0.0166,0.0761,-0.0508,0.002799999999999997,1.025,122.55499999999999,-1.7777777777753e-05,0.7962971319828049,1.0177044392397268e-17,0.8068377557420755,-9.86864910777917e-18,1.6542230939463558,130.02391111111112,36.31111160438997,-0.06377295632821496,0.003470338342588757,0.619626218344428,-0.20569216366838364,0.06397713789733117,0.0760492488190801,-7.894919286223336e-17,0.7580487203671372,-8.635067969306773e-17,0.7409588810154336,0.08439713197635361,0.10263626061794397
Challenger,Yasopp,28,1,Barbarians,The Sovereign,Lunar,RSC000492,1.0,1.0,[1],212.857,0.929,0.464,1.0,2.429,38.246,0.083,0.071,0.548,1,2,1,52,31.0,197.39,15.47,4,3.57,11.9,11.9,1,1,1.5,0.46,2.17,14.08,12.05,196.0382,41.95305508140779,0.7420666666666667,0.26856753002144207,0.41762222222222223,0.15297567972020448,2.107022222222222,0.5440135145751472,34.74702222222222,6.584367490465196,0.9102444444444444,0.2020011426110298,0.10509018843404808,0.06693859016297443,0.1315037037037037,0.0828810947671977,0.5522222222222223,0.25322689151403055,24.85,13.872310550157101,1.0,0.0,1.0,0.0,24.85,13.872310550157101,1.3646666666666667,0.34274029394121297,0.4468888888888889,0.20445962284455427,2.9786666666666664,2.895172784920695,12.051555555555556,12.238924855401379,16.831333333333333,21.609561919752935,0.4008957146830899,0.6960384724036033,0.3031709214340715,0.591856211567151,0.5314068181711671,0.4443319200841723,0.33000677755933316,0.7300060873188369,0.016673672361484947,-0.9335142803484416,0,0,-0.9335142803484416,0.39485679310453575,-0.06412567395313641,-0.2793155112808984,0.16573714345090004,-0.22126007695522956,,,,-0.92,-0.2,0.0006666666666666586,1.5880554146502572,0.0,1.545718426669442,-0.5797446727445769,-0.12938967185048045,0.027,25.823,2.2222222222170433e-06,0.896131206781505,86.62031555555556,178.1680886742271,0.03012703672572848,-0.3412357173944932,0.0054,-0.0664,-0.116,-0.1044,-0.0996,0.0083,-0.1594,-0.28140000000000004,-0.2507,-0.5387,155.436,-1.7777777777753e-05,0.7962971319828049,1.0177044392397268e-17,0.8068377557420755,-9.86864910777917e-18,1.6542230939463558,130.02391111111112,36.31111160438997,-0.3533633500871361,-0.31071922231678767,-0.32565135982648136,0.6998433197461407,0.0754015552165514,0.04949957982354003,-7.894919286223336e-17,0.7580487203671372,-8.635067969306773e-17,0.7409588810154336,0.09946795395952003,0.06680475947019397
Challenger,intrude_N313,30,1,Barbarians,The Sovereign,Lunar,RSC000778,5.0,1.0,"[1, 2, 3, 5, 6]",147.833,0.667,0.133,0.633,1.5,44.467,0.12605847953216373,0.16533333333333333,0.417,2,0,1,52,31.0,124.43,23.4,3,2.5,20.9,20.9,1,1,0.83,0.29,2.18,3.83,5.02,196.0382,41.95305508140779,0.7420666666666667,0.26856753002144207,0.41762222222222223,0.15297567972020448,2.107022222222222,0.5440135145751472,34.74702222222222,6.584367490465196,0.9102444444444444,0.2020011426110298,0.10509018843404808,0.06693859016297443,0.1315037037037037,0.0828810947671977,0.5522222222222223,0.25322689151403055,24.85,13.872310550157101,1.0,0.0,1.0,0.0,24.85,13.872310550157101,1.3646666666666667,0.34274029394121297,0.4468888888888889,0.20445962284455427,2.9786666666666664,2.895172784920695,12.051555555555556,12.238924855401379,16.831333333333333,21.609561919752935,-1.1490271663520149,-0.2795076033974524,-1.8605717114171472,-1.1158219528724065,1.4762204254020224,-1.3724894862515797,-0.31324667948733986,-0.4081706416240361,0.5339962964191346,-0.28473987701747855,0,0,-0.28473987701747855,-1.559976098866196,0.7673343357782078,-0.2758614859971279,-0.6717547213248192,-0.5465790272470444,,,,0.25,-0.69,0.0006666666666666586,1.5880554146502572,0.0,1.545718426669442,0.15700543635515696,-0.4463943678841575,-0.5658,45.562,2.2222222222170433e-06,0.896131206781505,86.62031555555556,178.1680886742271,-0.631383237120294,-0.23044707871693554,-0.1136,-0.164,-0.0784,0.0283,-0.246,-0.1736,0.0432,-0.3277,-0.37639999999999996,-1.8447,126.167,-1.7777777777753e-05,0.7962971319828049,1.0177044392397268e-17,0.8068377557420755,-9.86864910777917e-18,1.6542230939463558,130.02391111111112,36.31111160438997,-0.4115074751133201,-0.46651262576800506,-1.1151458390048454,-0.10621848080918626,-0.4793742356423784,-0.49247870475967204,-7.894919286223336e-17,0.7580487203671372,-8.635067969306773e-17,0.7409588810154336,-0.6323791898365166,-0.6646505189124172
Challenger,jRampag3,42,1,Barbarians,The Sovereign,Lunar,RSC003662,2.0,1.0,"[1, 2]",204.762,0.738,0.381,0.833,2.667,27.672,0.048,0.167,0.413,2,1,1,52,31.0,167.0,37.76,4,2.38,35.38,35.38,1,1,1.93,0.36,2.31,4.99,17.35,196.0382,41.95305508140779,0.7420666666666667,0.26856753002144207,0.41762222222222223,0.15297567972020448,2.107022222222222,0.5440135145751472,34.74702222222222,6.584367490465196,0.9102444444444444,0.2020011426110298,0.10509018843404808,0.06693859016297443,0.1315037037037037,0.0828810947671977,0.5522222222222223,0.25322689151403055,24.85,13.872310550157101,1.0,0.0,1.0,0.0,24.85,13.872310550157101,1.3646666666666667,0.34274029394121297,0.4468888888888889,0.20445962284455427,2.9786666666666664,2.895172784920695,12.051555555555556,12.238924855401379,16.831333333333333,21.609561919752935,0.20794194804340035,-0.015142063771975658,-0.23939898348028252,1.029345343038211,-1.074518126831095,-0.38239607680430365,0.8528740789886881,-0.42827977111065946,0.5497924070773834,0.7590660518972271,0,0,0.7590660518972271,1.6494510372051545,0.4249684494182425,-0.23095915730811295,-0.5769751541892255,0.02400172056207043,,,,1.31,0.33,0.0006666666666666586,1.5880554146502572,0.0,1.545718426669442,0.8244884411805569,0.21349295855329273,-0.2055,81.7278,2.2222222222170433e-06,0.896131206781505,86.62031555555556,178.1680886742271,-0.22932157776347567,-0.027460111358669406,-0.0413,0.0072,-0.0093,0.1484,0.0108,-0.0631,0.2267,0.10500000000000001,0.1744,2.4085,128.142,-1.7777777777753e-05,0.7962971319828049,1.0177044392397268e-17,0.8068377557420755,-9.86864910777917e-18,1.6542230939463558,130.02391111111112,36.31111160438997,0.13188265229121218,0.2161525024812436,1.4559704847634682,-0.05182741667659664,0.41590233947159777,0.417236047332155,-7.894919286223336e-17,0.7580487203671372,-8.635067969306773e-17,0.7409588810154336,0.5486485608341487,0.5631028360984912
Challenger,Aust106,8,1,Boxers,The Great Hounds,Solar,RSC002866,3.0,1.0,"[1, 2, 8]",220.625,0.625,0.625,0.75,2.375,26.316,0.12605847953216373,0.16533333333333333,0.6312923976608187,0,0,0,52,31.0,160.25,60.38,0,0.0,60.38,60.38,1,1,1.75,0.51,1.47,4.54,5.95,196.0382,41.95305508140779,0.7420666666666667,0.26856753002144207,0.41762222222222223,0.15297567972020448,2.107022222222222,0.5440135145751472,34.74702222222222,6.584367490465196,0.9102444444444444,0.2020011426110298,0.10509018843404808,0.06693859016297443,0.1315037037037037,0.0828810947671977,0.5522222222222223,0.25322689151403055,24.85,13.872310550157101,1.0,0.0,1.0,0.0,24.85,13.872310550157101,1.3646666666666667,0.34274029394121297,0.4468888888888889,0.20445962284455427,2.9786666666666664,2.895172784920695,12.051555555555556,12.238924855401379,16.831333333333333,21.609561919752935,0.5860550549248574,-0.43589285218998813,1.355625797231794,0.4925939716535494,-1.2804604594793898,-0.7932848417249232,-0.31324667948733986,-0.4081706416240361,-0.3122503102488045,2.561217172261014,0,0,2.561217172261014,1.12427205130257,-0.30867273563882575,-0.5210972811448253,-0.6137430897159645,-0.5035425231543862,,,,2.25,2.15,0.0006666666666666586,1.5880554146502572,0.0,1.545718426669442,1.4164073322521378,1.3909389723926646,0.3285,88.7586,2.2222222222170433e-06,0.896131206781505,86.62031555555556,178.1680886742271,0.3665733045472126,0.012001500719661426,0.066,-0.1511,0.0041,0.255,-0.2266,0.1008,0.3895,0.174,0.26370000000000005,3.6855,112.566,-1.7777777777753e-05,0.7962971319828049,1.0177044392397268e-17,0.8068377557420755,-9.86864910777917e-18,1.6542230939463558,130.02391111111112,36.31111160438997,0.21853372414448863,0.32683150747880707,2.2279340758130632,-0.4807870191724033,0.481343521768247,0.49235345428459276,-7.894919286223336e-17,0.7580487203671372,-8.635067969306773e-17,0.7409588810154336,0.6349770256654789,0.6644814805510612
Challenger,Depezpoopsie,36,1,Boxers,The Great Hounds,Solar,RSC001240,1.0,1.0,[1],220.972,1.056,0.194,1.028,2.5,42.24,0.048,0.071,0.262,3,0,3,52,31.0,198.9,22.07,6,4.17,17.9,17.9,1,1,1.44,0.21,4.9,14.48,21.42,196.0382,41.95305508140779,0.7420666666666667,0.26856753002144207,0.41762222222222223,0.15297567972020448,2.107022222222222,0.5440135145751472,34.74702222222222,6.584367490465196,0.9102444444444444,0.2020011426110298,0.10509018843404808,0.06693859016297443,0.1315037037037037,0.0828810947671977,0.5522222222222223,0.25322689151403055,24.85,13.872310550157101,1.0,0.0,1.0,0.0,24.85,13.872310550157101,1.3646666666666667,0.34274029394121297,0.4468888888888889,0.20445962284455427,2.9786666666666664,2.895172784920695,12.051555555555556,12.238924855401379,16.831333333333333,21.609561919752935,0.5943262046498696,1.1689176770857943,-1.461815516239128,0.7223676751572574,1.1379950752488135,0.5829449974067912,0.8528740789886881,0.7300060873188369,1.146095584426277,-0.500998011461133,0,0,-0.500998011461133,0.2197971311370074,1.1586096344753107,0.6636333911884169,0.1984197528080013,0.2123442707310159,,,,0.65,0.23,0.0006666666666666586,1.5880554146502572,0.0,1.545718426669442,0.4088858155345531,0.1487981226280525,0.1751,87.71,2.2222222222170433e-06,0.896131206781505,86.62031555555556,178.1680886742271,0.19539301438530327,0.006116047225700851,0.0352,0.0637,0.0021,0.0736,0.0956,0.0537,0.1124,0.1746,0.2617,-0.2812,172.84000000000003,-1.7777777777753e-05,0.7962971319828049,1.0177044392397268e-17,0.8068377557420755,-9.86864910777917e-18,1.6542230939463558,130.02391111111112,36.31111160438997,0.2192872117258215,0.32435269437695785,-0.16998916351068602,1.1791456388163148,0.49812596124816183,0.5134361084820918,-7.894919286223336e-17,0.7580487203671372,-8.635067969306773e-17,0.7409588810154336,0.6571160241612308,0.6929346845515404
