RSC ID,Tier,Name,GP,Season,Team,Franchise,Conference,# of Seasons,First Season,Seasons Played,PPG,GPG,APG,SvPG,ShPG,ShPCT,GAPG,AAPG,ShAPG,Hat Trick,Playmaker,Savior,MAJ,EXT,ACC,NEG,RAW,tZ,DI,DT,mShPG,mShA,SvpmShA,SvpAA,SvpGA,TierMaxGames,GPThreshold,PPG_mean,PPG_std,GPG_mean,GPG_std,APG_mean,APG_std,ShPG_mean,ShPG_std,ShPCT_mean,ShPCT_std,SvPG_mean,SvPG_std,GAPG_mean,GAPG_std,AAPG_mean,AAPG_std,ShAPG_mean,ShAPG_std,RAW_mean,RAW_std,DI_mean,DI_std,DT_mean,DT_std,tZ_mean,tZ_std,mShPG_mean,mShPG_std,mShA_mean,mShA_std,SvpmShA_mean,SvpmShA_std,SvpAA_mean,SvpAA_std,SvpGA_mean,SvpGA_std,PPG_z,GPG_z,APG_z,ShPG_z,ShPCT_z,SvPG_z,GAPG_z,AAPG_z,ShAPG_z,RAW_z,DI_z,DT_z,tZ_z,mShPG_z,mShA_z,SvpmShA_z,SvpAA_z,SvpGA_z,pdt_z,pnt_z,pot_z,RvShA,RvAA,RvShA_mean,RvShA_std,RvAA_mean,RvAA_std,RvShA_z,RvAA_z,RSvA,DWR,RSvA_mean,RSvA_std,DWR_mean,DWR_std,RSvA_z,DWR_z,RSvA_w,SvpGA_w,DWR_w,RvShA_w,SvpGA_s,RSvA_s,RvShA_s,DEF,DEFS,PRES,ATT,DEF_mean,DEF_std,DEFS_mean,DEFS_std,PRES_mean,PRES_std,ATT_mean,ATT_std,DEF_z,DEFS_z,PRES_z,ATT_z,RAD,RADS,PvShA,RAD_mean,RAD_std,RADS_mean,RADS_std,RAD_z,RADS_z
RSC000879,Amateur,InwardLicense54,44,10,Beavers,The Forest,Solar,8,5,"[5, 6, 7, 8, 9, 10, 15, 16]",275.136,0.614,0.5,0.841,1.455,42.199,0.758,0.47,1.788,0,2,3,148.89,126.25,5,2.84,123.41,123.41,1,1,0.84,1.03,0.82,1.79,1.11,55,33.0,307.1749130434783,80.62951947976342,0.8833043478260869,0.38284443016388514,0.5054347826086957,0.17677227931770828,2.0711304347826087,0.7786306922673364,42.69660869565217,8.718739065104282,0.8573913043478261,0.239216474639876,0.8416521739130435,0.1494476523419282,0.4876086956521739,0.0934041750723629,2.0269565217391308,0.18218858318208977,119.8695652173913,26.841550469757763,1.0,0.0,1.0,0.0,119.8695652173913,26.841550469757763,1.1882608695652173,0.4624996528147399,1.184782608695652,0.13117890508134267,0.726086956521739,0.19158997721068013,1.8421739130434782,0.6380791951541263,1.056521739130435,0.3358112117849467,-0.3973595929902504,-0.7034302359075857,-0.03074454111058828,-0.7912999588912498,-0.057073470364974586,-0.06852080055314787,0.5597423084415658,0.18852150493842454,1.311588890837928,0.1319012769622861,0,0,0.1319012769622861,-0.7529970399885199,1.179935208329975,0.49017722558101406,-0.08176714338864428,0.15925096897542731,,,,1.44,0.32,0.0,1.5324223248889914,-0.0008695652173912665,1.5861099154950202,0.9396887376358951,0.20229970324424135,0.0517,101.1962,4.347826086941562e-06,0.9524966592536314,90.22561304347826,40.09438896516913,0.0542738409333859,0.27361900853638477,0.0098,0.0478,0.093,0.1691,0.0717,0.0149,0.2584,0.3197,0.34500000000000003,-0.6211,118.149,-8.69565217392174e-06,0.896148792390397,2.6086956521760392e-05,0.9163792556565369,-9.654113257610057e-18,1.8905984117589474,151.73834782608697,48.99987941600071,0.35675849631999107,0.3764532107356826,-0.3285203225269559,-0.685498581351988,-0.24516961583747626,-0.17504308239891203,0.9831,-8.205996268968548e-17,0.8801378090057793,-6.75787928032704e-17,0.8588299590811045,-0.27855821364432065,-0.20381576183741584
RSC003966,Amateur,gotmayo,46,10,Beavers,The Forest,Solar,2,10,"[10, 11]",278.217,0.913,0.196,0.652,2.087,43.747,0.783,0.522,1.971,4,0,1,159.13,119.09,5,2.72,116.37,116.37,1,1,1.17,1.19,0.55,1.25,0.83,55,33.0,307.1749130434783,80.62951947976342,0.8833043478260869,0.38284443016388514,0.5054347826086957,0.17677227931770828,2.0711304347826087,0.7786306922673364,42.69660869565217,8.718739065104282,0.8573913043478261,0.239216474639876,0.8416521739130435,0.1494476523419282,0.4876086956521739,0.0934041750723629,2.0269565217391308,0.18218858318208977,119.8695652173913,26.841550469757763,1.0,0.0,1.0,0.0,119.8695652173913,26.841550469757763,1.1882608695652173,0.4624996528147399,1.184782608695652,0.13117890508134267,0.726086956521739,0.19158997721068013,1.8421739130434782,0.6380791951541263,1.056521739130435,0.3358112117849467,-0.3591477814864843,0.07756584616158901,-1.7504711926724466,0.020381376402181156,0.12047513940999711,-0.8586001639603985,0.39245965389172144,-0.36819879112665127,0.307135171489887,-0.13037865384617908,0,0,-0.13037865384617908,-0.039482990860821146,-0.03977309690999929,-0.9190822979644004,-0.928057077461114,-0.6745508523268107,,,,0.18,-0.5,0.0,1.5324223248889914,-0.0008695652173912665,1.5861099154950202,0.11746109220448689,-0.31468842726881985,-0.6398,64.0035,4.347826086941562e-06,0.9524966592536314,90.22561304347826,40.09438896516913,-0.6717129573214802,-0.6540095439852689,-0.1209,-0.2024,-0.2224,0.0211,-0.3035,-0.1847,0.0323,-0.5246,-0.45589999999999997,-0.1699,155.917,-8.69565217392174e-06,0.896148792390397,2.6086956521760392e-05,0.9163792556565369,-9.654113257610057e-18,1.8905984117589474,151.73834782608697,48.99987941600071,-0.5853841558481885,-0.497529908214558,-0.08986572660977267,0.08527882565663039,-0.18332898735188866,-0.1898793604357817,0.2173,-8.205996268968548e-17,0.8801378090057793,-6.75787928032704e-17,0.8588299590811045,-0.20829577536156588,-0.22109075076857002
RSC003707,Amateur,lil-uwuzi-vert-,24,10,Beavers,The Forest,Solar,2,10,"[10, 11]",281.333,0.875,0.25,0.833,1.917,45.644,0.847,0.472,2.292,3,0,2,166.65,114.68,5,5.21,109.47,109.47,1,1,1.04,1.44,0.58,1.76,0.98,55,33.0,307.1749130434783,80.62951947976342,0.8833043478260869,0.38284443016388514,0.5054347826086957,0.17677227931770828,2.0711304347826087,0.7786306922673364,42.69660869565217,8.718739065104282,0.8573913043478261,0.239216474639876,0.8416521739130435,0.1494476523419282,0.4876086956521739,0.0934041750723629,2.0269565217391308,0.18218858318208977,119.8695652173913,26.841550469757763,1.0,0.0,1.0,0.0,119.8695652173913,26.841550469757763,1.1882608695652173,0.4624996528147399,1.184782608695652,0.13117890508134267,0.726086956521739,0.19158997721068013,1.8421739130434782,0.6380791951541263,1.056521739130435,0.3358112117849467,-0.3205018857884192,-0.021691180991015198,-1.4449934321976428,-0.19795062834446972,0.33805247322338255,-0.10196331328996275,-0.03578394175587957,0.16710918585899856,-1.4547754509730684,-0.38744279057606734,0,0,-0.38744279057606734,-0.3205642829414295,-1.94556732384746,-0.7624979064593548,-0.12878325083711487,-0.2278713052006119,,,,-1.84,-0.22,0.0,1.5324223248889914,-0.0008695652173912665,1.5861099154950202,-1.2007133869791995,-0.1381558948985063,-0.1332,63.4926,4.347826086941562e-06,0.9524966592536314,90.22561304347826,40.09438896516913,-0.13984757482557975,-0.666751975362483,-0.0252,-0.0684,-0.2267,-0.2161,-0.1025,-0.0385,-0.3302,-0.5364,-0.47119999999999995,-0.708,152.314,-8.69565217392174e-06,0.896148792390397,2.6086956521760392e-05,0.9163792556565369,-9.654113257610057e-18,1.8905984117589474,151.73834782608697,48.99987941600071,-0.5985516120788938,-0.5142260522024948,-0.3744846052955801,0.011748032459954401,-0.29393366243185987,-0.29133743446635363,-1.8293,-8.205996268968548e-17,0.8801378090057793,-6.75787928032704e-17,0.8588299590811045,-0.333963226467788,-0.3392259799344527
RSC003722,Amateur,tillythegringo,54,10,Beavers,The Forest,Solar,1,10,[10],324.667,0.759,0.648,0.87,2.333,32.533,0.765,0.488,1.895,1,3,2,181.22,143.45,6,2.78,140.67,140.67,1,1,1.57,1.13,0.77,1.78,1.14,55,33.0,307.1749130434783,80.62951947976342,0.8833043478260869,0.38284443016388514,0.5054347826086957,0.17677227931770828,2.0711304347826087,0.7786306922673364,42.69660869565217,8.718739065104282,0.8573913043478261,0.239216474639876,0.8416521739130435,0.1494476523419282,0.4876086956521739,0.0934041750723629,2.0269565217391308,0.18218858318208977,119.8695652173913,26.841550469757763,1.0,0.0,1.0,0.0,119.8695652173913,26.841550469757763,1.1882608695652173,0.4624996528147399,1.184782608695652,0.13117890508134267,0.726086956521739,0.19158997721068013,1.8421739130434782,0.6380791951541263,1.056521739130435,0.3358112117849467,0.21694395637458677,-0.3246863165094909,0.8064908024129481,0.33632063032968745,-1.1657200220993893,0.05270830811780608,0.5129031651676094,-0.004189366776409382,0.7242853500169426,0.7749341755069042,0,0,0.7749341755069042,0.8253825232333596,0.4176175175549917,0.22920323973927093,-0.09743917920480115,0.24858687840066646,,,,1.5,0.77,0.0,1.5324223248889914,-0.0008695652173912665,1.5861099154950202,0.9788424350373908,0.486012701696531,0.1768,108.3159,4.347826086941562e-06,0.9524966592536314,90.22561304347826,40.09438896516913,0.18561288426192352,0.4511924841213359,0.0334,0.0746,0.1534,0.1762,0.1119,0.051,0.2692,0.4376,0.4321,1.6003,131.763,-8.69565217392174e-06,0.896148792390397,2.6086956521760392e-05,0.9163792556565369,-9.654113257610057e-18,1.8905984117589474,151.73834782608697,48.99987941600071,0.4883214700149199,0.47150119383040845,0.846451573240843,-0.4076611629285784,0.2266235447085198,0.24499083645567749,1.5707,-8.205996268968548e-17,0.8801378090057793,-6.75787928032704e-17,0.8588299590811045,0.25748643268094373,0.2852611670857439
RSC003807,Amateur,Blossom,45,10,Capybaras,The Jungle,Solar,4,10,"[10, 11, 17, 18]",272.133,0.6,0.511,0.889,2.022,29.674,0.63,0.319,1.852,1,0,1,156.44,115.69,2,1.11,114.58,114.58,1,1,1.42,1.22,0.73,2.79,1.41,55,33.0,307.1749130434783,80.62951947976342,0.8833043478260869,0.38284443016388514,0.5054347826086957,0.17677227931770828,2.0711304347826087,0.7786306922673364,42.69660869565217,8.718739065104282,0.8573913043478261,0.239216474639876,0.8416521739130435,0.1494476523419282,0.4876086956521739,0.0934041750723629,2.0269565217391308,0.18218858318208977,119.8695652173913,26.841550469757763,1.0,0.0,1.0,0.0,119.8695652173913,26.841550469757763,1.1882608695652173,0.4624996528147399,1.184782608695652,0.13117890508134267,0.726086956521739,0.19158997721068013,1.8421739130434782,0.6380791951541263,1.056521739130435,0.3358112117849467,-0.43460401686101086,-0.7399986143322292,0.031482410097242175,-0.06309850776565637,-1.493634411858203,0.13213427586774143,1.4162294997367686,1.8051515954350852,0.9603045299730392,-0.19706630670799086,0,0,-0.19706630670799086,0.5010579554480417,-0.2684684041424948,0.020424051065875925,1.4854364382270402,1.0526100632278241,,,,0.76,1.61,0.0,1.5324223248889914,-0.0008695652173912665,1.5861099154950202,0.495946833752278,1.0156102988074718,1.2646,83.6434,4.347826086941562e-06,0.9524966592536314,90.22561304347826,40.09438896516913,1.327664133924459,-0.16416793504937496,0.239,0.3158,-0.0558,0.0893,0.4737,0.3651,0.1364,0.5883,0.9752,0.304,109.894,-8.69565217392174e-06,0.896148792390397,2.6086956521760392e-05,0.9163792556565369,-9.654113257610057e-18,1.8905984117589474,151.73834782608697,48.99987941600071,0.6564855084867245,1.064159742840117,0.1607956497314355,-0.8539683836940802,-0.08153231024952545,0.1568262349417225,1.1211,-8.205996268968548e-17,0.8801378090057793,-6.75787928032704e-17,0.8588299590811045,-0.09263584567696943,0.18260452291337975
RSC003721,Amateur,Kyuremex08,10,10,Capybaras,The Jungle,Solar,11,10,"[10, 11, 12, 13, 14, 15, 18, 19, 20, 21, 22]",289.5,0.7,0.6,1.0,2.4,29.167,1.033,0.533,2.333,0,0,1,181.0,108.5,1,2.5,106.0,106.0,1,1,1.7,1.3,0.77,1.88,0.97,55,33.0,307.1749130434783,80.62951947976342,0.8833043478260869,0.38284443016388514,0.5054347826086957,0.17677227931770828,2.0711304347826087,0.7786306922673364,42.69660869565217,8.718739065104282,0.8573913043478261,0.239216474639876,0.8416521739130435,0.1494476523419282,0.4876086956521739,0.0934041750723629,2.0269565217391308,0.18218858318208977,119.8695652173913,26.841550469757763,1.0,0.0,1.0,0.0,119.8695652173913,26.841550469757763,1.1882608695652173,0.4624996528147399,1.184782608695652,0.13117890508134267,0.726086956521739,0.19158997721068013,1.8421739130434782,0.6380791951541263,1.056521739130435,0.3358112117849467,-0.21921143965039225,-0.47879591129906063,0.5349550153242334,0.42236912631807294,-1.5517850224240366,0.5961491400910475,-1.2803668916067206,-0.4859665460634942,-1.6798169946521397,-0.5167199723808081,0,0,-0.5167199723808081,1.1064638153139679,-0.8783225567624828,0.22920323973927093,0.0592811789567671,-0.25764994167569183,,,,-2.2,-1.0,0.0,1.5324223248889914,-0.0008695652173912665,1.5861099154950202,-1.4356355713881732,-0.6299250922158085,-0.2646,81.62,4.347826086941562e-06,0.9524966592536314,90.22561304347826,40.09438896516913,-0.27780081458073436,-0.21463384941354613,-0.05,-0.0773,-0.073,-0.2584,-0.1159,-0.0764,-0.3948,-0.4587,-0.5871,0.5897,123.167,-8.69565217392174e-06,0.896148792390397,2.6086956521760392e-05,0.9163792556565369,-9.654113257610057e-18,1.8905984117589474,151.73834782608697,48.99987941600071,-0.5118472604580628,-0.6407020710392196,0.31191182449548527,-0.5830901660700232,-0.31792946976538905,-0.3913344503219797,-1.3679,-8.205996268968548e-17,0.8801378090057793,-6.75787928032704e-17,0.8588299590811045,-0.36122691982125876,-0.45565998971517435
RSC002767,Amateur,Rvbb3rDvck,55,10,Capybaras,The Jungle,Solar,4,8,"[8, 9, 10, 12]",432.109,1.6,0.364,0.891,3.709,43.138,0.673,0.382,1.921,13,0,2,266.08,166.03,15,6.82,159.21,159.21,1,1,2.11,1.25,0.71,2.33,1.32,55,33.0,307.1749130434783,80.62951947976342,0.8833043478260869,0.38284443016388514,0.5054347826086957,0.17677227931770828,2.0711304347826087,0.7786306922673364,42.69660869565217,8.718739065104282,0.8573913043478261,0.239216474639876,0.8416521739130435,0.1494476523419282,0.4876086956521739,0.0934041750723629,2.0269565217391308,0.18218858318208977,119.8695652173913,26.841550469757763,1.0,0.0,1.0,0.0,119.8695652173913,26.841550469757763,1.1882608695652173,0.4624996528147399,1.184782608695652,0.13117890508134267,0.726086956521739,0.19158997721068013,1.8421739130434782,0.6380791951541263,1.056521739130435,0.3358112117849467,1.5494832136247314,1.8720284159994585,-0.800095937861946,2.1035255628672833,0.05062558944038604,0.14049490405194515,1.1285033339110362,1.130663544433167,0.5815760784155815,1.465654334198517,0,0,1.465654334198517,1.9929509672605028,-0.49716371137499027,-0.08396554327082158,0.7645227906838254,0.7846023349521054,,,,2.05,2.6,0.0,1.5324223248889914,-0.0008695652173912665,1.5861099154950202,1.337751327884434,1.6397788954025092,1.1759,113.0391,4.347826086941562e-06,0.9524966592536314,90.22561304347826,40.09438896516913,1.2345404477274864,0.5689945038529036,0.2222,0.2354,0.1935,0.2408,0.3531,0.3395,0.3679,0.8919,1.0605000000000002,3.4586,240.228,-8.69565217392174e-06,0.896148792390397,2.6086956521760392e-05,0.9163792556565369,-9.654113257610057e-18,1.8905984117589474,151.73834782608697,48.99987941600071,0.9952685348970755,1.1572434737009683,1.8293678755300753,1.8059157130296348,1.5447342281210092,1.552075336298274,2.4109,-8.205996268968548e-17,0.8801378090057793,-6.75787928032704e-17,0.8588299590811045,1.7551049532413234,1.8071974782515734
RSC003927,Amateur,ZacRyu-Senpaii,41,10,Capybaras,The Jungle,Solar,4,10,"[10, 11, 12, 14]",182.488,0.317,0.366,0.683,1.341,23.639,0.715,0.423,2.008,0,1,1,102.34,80.15,2,1.22,78.93,78.93,1,1,1.02,1.29,0.53,1.61,0.96,55,33.0,307.1749130434783,80.62951947976342,0.8833043478260869,0.38284443016388514,0.5054347826086957,0.17677227931770828,2.0711304347826087,0.7786306922673364,42.69660869565217,8.718739065104282,0.8573913043478261,0.239216474639876,0.8416521739130435,0.1494476523419282,0.4876086956521739,0.0934041750723629,2.0269565217391308,0.18218858318208977,119.8695652173913,26.841550469757763,1.0,0.0,1.0,0.0,119.8695652173913,26.841550469757763,1.1882608695652173,0.4624996528147399,1.184782608695652,0.13117890508134267,0.726086956521739,0.19158997721068013,1.8421739130434782,0.6380791951541263,1.056521739130435,0.3358112117849467,-1.5464176625134483,-1.4792022639160969,-0.7887819467332495,-0.9377108326625333,-2.18582165991502,-0.7290104271052409,0.8474684742672982,0.6917110033049347,0.10404890036487369,-1.5252310131457454,0,0,-1.5252310131457454,-0.3638075586461386,-0.8020907876849843,-1.023471892301098,-0.3638637880794674,-0.2874285781507718,,,,-1.42,-0.83,0.0,1.5324223248889914,-0.0008695652173912665,1.5861099154950202,-0.9266375051687299,-0.5227446261338323,-0.4385,41.8329,4.347826086941562e-06,0.9524966592536314,90.22561304347826,40.09438896516913,-0.46037363340433696,-1.2069697105377528,-0.0829,-0.0862,-0.4104,-0.1668,-0.1293,-0.1266,-0.2548,-0.7463,-0.5107,-1.889,68.749,-8.69565217392174e-06,0.896148792390397,2.6086956521760392e-05,0.9163792556565369,-9.654113257610057e-18,1.8905984117589474,151.73834782608697,48.99987941600071,-0.8327761089284744,-0.5573304762236393,-0.999154547179874,-1.6936643276511236,-1.222053574745412,-1.07244843976703,-0.8951,-8.205996268968548e-17,0.8801378090057793,-6.75787928032704e-17,0.8588299590811045,-1.388479806504242,-1.2487319852168224
RSC004036,Amateur,4F0UR,23,10,Excitebikers,8-Bit Brigade,Lunar,2,10,"[10, 12]",246.783,0.522,0.217,0.783,1.391,37.527,1.043,0.652,2.377,0,0,0,121.59,125.19,0,0.0,125.19,125.19,1,1,0.87,1.33,0.59,1.2,0.75,55,33.0,307.1749130434783,80.62951947976342,0.8833043478260869,0.38284443016388514,0.5054347826086957,0.17677227931770828,2.0711304347826087,0.7786306922673364,42.69660869565217,8.718739065104282,0.8573913043478261,0.239216474639876,0.8416521739130435,0.1494476523419282,0.4876086956521739,0.0934041750723629,2.0269565217391308,0.18218858318208977,119.8695652173913,26.841550469757763,1.0,0.0,1.0,0.0,119.8695652173913,26.841550469757763,1.1882608695652173,0.4624996528147399,1.184782608695652,0.13117890508134267,0.726086956521739,0.19158997721068013,1.8421739130434782,0.6380791951541263,1.056521739130435,0.3358112117849467,-0.7490049975882046,-0.9437367226981008,-1.6316742858211342,-0.8734955371488125,-0.59293077325171,-0.3109790178950553,-1.3472799534266584,-1.7599995312893395,-1.9213249927467484,0.1982163731041993,0,0,0.1982163731041993,-0.6881321264314563,-1.1070178639949784,-0.7103031092910059,-1.0064172565418983,-0.9127799441274499,,,,-1.72,-1.56,0.0,1.5324223248889914,-0.0008695652173912665,1.5861099154950202,-1.1224059921762082,-0.9829901569564355,-0.9954,73.8621,4.347826086941562e-06,0.9524966592536314,90.22561304347826,40.09438896516913,-1.0450476000683064,-0.40812476423306027,-0.1881,-0.2738,-0.1388,-0.202,-0.4108,-0.2874,-0.3087,-0.8027,-1.0069,-0.4899,103.637,-8.69565217392174e-06,0.896148792390397,2.6086956521760392e-05,0.9163792556565369,-9.654113257610057e-18,1.8905984117589474,151.73834782608697,48.99987941600071,-0.895712086166761,-1.0988093420284955,-0.25912430527444164,-0.9816625754874749,-0.7582135810541204,-0.8551120972527553,-2.1804,-8.205996268968548e-17,0.8801378090057793,-6.75787928032704e-17,0.8588299590811045,-0.8614714346956791,-0.9956710152119901
RSC002055,Amateur,BLAPGaming,51,10,Excitebikers,8-Bit Brigade,Lunar,4,9,"[9, 10, 11, 12]",271.431,0.627,0.333,1.059,1.353,46.341,0.961,0.582,2.222,1,1,4,153.24,118.19,6,2.94,115.25,115.25,1,1,0.73,1.26,0.84,1.82,1.1,55,33.0,307.1749130434783,80.62951947976342,0.8833043478260869,0.38284443016388514,0.5054347826086957,0.17677227931770828,2.0711304347826087,0.7786306922673364,42.69660869565217,8.718739065104282,0.8573913043478261,0.239216474639876,0.8416521739130435,0.1494476523419282,0.4876086956521739,0.0934041750723629,2.0269565217391308,0.18218858318208977,119.8695652173913,26.841550469757763,1.0,0.0,1.0,0.0,119.8695652173913,26.841550469757763,1.1882608695652173,0.4624996528147399,1.184782608695652,0.13117890508134267,0.726086956521739,0.19158997721068013,1.8421739130434782,0.6380791951541263,1.056521739130435,0.3358112117849467,-0.44331050555807155,-0.6694738845132737,-0.9754628003567406,-0.9222991617392403,0.41799522581586035,0.8427876715250567,-0.7985928465031694,-1.0105683635094298,-1.0705581812770975,-0.17210500647479876,0,0,-0.17210500647479876,-0.9908350563644195,-0.5733954804524888,0.5945668199177115,-0.03475103594017371,0.12947233250034737,,,,-1.24,-1.18,0.0,1.5324223248889914,-0.0008695652173912665,1.5861099154950202,-0.809176412964243,-0.7434102915967242,-0.3678,96.81,4.347826086941562e-06,0.9524966592536314,90.22561304347826,40.09438896516913,-0.38614765128341283,0.16422215493149778,-0.0695,0.0388,0.0558,-0.1457,0.0583,-0.1062,-0.2225,-0.1206,-0.27040000000000003,-1.1629,122.571,-8.69565217392174e-06,0.896148792390397,2.6086956521760392e-05,0.9163792556565369,-9.654113257610057e-18,1.8905984117589474,151.73834782608697,48.99987941600071,-0.1345661628647175,-0.2951028030013359,-0.6150962535285736,-0.595253461308774,-0.4485842067215813,-0.47995546811855067,-1.6857,-8.205996268968548e-17,0.8801378090057793,-6.75787928032704e-17,0.8588299590811045,-0.5096749646834404,-0.5588480735256064
