RSC ID,Tier,Name,GP,Season,Team,Franchise,Conference,# of Seasons,First Season,Seasons Played,ShPCT,PPG,GPG,APG,SvPG,ShPG,PAPG,GAPG,AAPG,SvAPG,ShAPG,Hat Trick,Playmaker,Savior,DI,DT,pdt,pdh,pnt,poh,pot,MAJ,EXT,ACC,NEG,RAW,z1,z2,z3,z4,AFP,tZ,mShPG,mShA,SvpmShA,SvpAA,SvpGA,TierMaxGames,GPThreshold,PPG_mean,PPG_std,GPG_mean,GPG_std,APG_mean,APG_std,ShPG_mean,ShPG_std,ShPCT_mean,ShPCT_std,SvPG_mean,SvPG_std,GAPG_mean,GAPG_std,AAPG_mean,AAPG_std,ShAPG_mean,ShAPG_std,RAW_mean,RAW_std,DI_mean,DI_std,DT_mean,DT_std,pdt_mean,pdt_std,pnt_mean,pnt_std,pot_mean,pot_std,AFP_mean,AFP_std,tZ_mean,tZ_std,mShPG_mean,mShPG_std,mShA_mean,mShA_std,SvpmShA_mean,SvpmShA_std,SvpAA_mean,SvpAA_std,SvpGA_mean,SvpGA_std,PPG_z,GPG_z,APG_z,ShPG_z,ShPCT_z,SvPG_z,GAPG_z,AAPG_z,ShAPG_z,RAW_z,DI_z,DT_z,pdt_z,pnt_z,pot_z,AFP_z,tZ_z,mShPG_z,mShA_z,SvpmShA_z,SvpAA_z,SvpGA_z,RvShA,RvAA,RvShA_mean,RvShA_std,RvAA_mean,RvAA_std,RvShA_z,RvAA_z,RSvA,DWR,RSvA_mean,RSvA_std,DWR_mean,DWR_std,RSvA_z,DWR_z,RSvA_w,SvpGA_w,DWR_w,RvShA_w,SvpGA_s,RSvA_s,RvShA_s,DEF,DEFS,PRES,ATT,DEF_mean,DEF_std,DEFS_mean,DEFS_std,PRES_mean,PRES_std,ATT_mean,ATT_std,DEF_z,DEFS_z,PRES_z,ATT_z,RAD,RADS,RAD_mean,RAD_std,RADS_mean,RADS_std,RAD_z,RADS_z
RSC007216,Amateur,ASAPxLEG,48,22,Aeon Ale,5 O'clock Nowhere,N/A,5,20,"[20, 21, 22, 23, 24]",44.44,289.52,0.75,0.458,0.896,1.688,305.7,0.85,0.52,0.803,2.163,3.0,0.0,2.0,0.54,0.71,0.517,0.687,0.302,0.313,0.181,165.85,123.67,5.0,2.6,121.07,0.517,0.17,0.132,0.181,0.299,36.2,0.94,1.31,0.68,1.72,1.05,55,33.0,303.24666666666667,49.46260075383556,0.7927619047619048,0.2508808292321087,0.4655238095238095,0.11656097934026594,2.1394761904761905,0.5073556562262432,36.54714285714286,6.889275101821051,0.9217619047619048,0.22749789114668836,0.779047619047619,0.256538394044727,0.4590476190476191,0.15284353967063055,2.1325238095238097,0.37508860540512534,123.40333333333332,17.497140433034573,0.7123809523809523,0.3446578703860505,0.6885714285714286,0.10631489614751613,0.5137142857142857,0.03824544790840193,0.2897619047619048,0.01365615158785505,0.19671428571428573,0.03055510244974292,0.3070952380952381,0.029802524661351717,38.06733333333333,7.203843545867256,1.3476190476190477,0.3164791424707916,1.3542857142857143,0.17431498583229804,0.6852380952380953,0.17682248294883338,2.219047619047619,0.9776650999289315,1.298095238095238,0.549832875041308,-0.27751607188997757,-0.17044707996537484,-0.06454826963872627,-0.8898613525555443,1.1456730971261126,-0.11324019151146217,-0.27657607048093774,-0.3987893834684146,-0.0812506432800682,-0.13335512407090241,-0.5001509241262031,-0.20155756347481504,0.08591125128364664,0.8961598851157329,-0.5142933406992373,-0.2716292725943485,-0.25921347700625597,-1.2879807637138918,0.2540556916220611,-0.029623468411598974,-0.5104484338081579,-0.45121936020395104,-0.21,-0.53,0.0,1.6708800076606338,0.0009523809523809744,1.6130496110222547,-0.12568227463204665,-0.32916060195811025,-0.4252,82.3276,9.523809523824336e-06,0.9171119042432946,86.15707619047619,29.752423053810336,-0.4636397388826422,-0.12871140557359587,-0.0835,-0.1354,-0.0438,-0.0226,-0.203,-0.1275,-0.0346,-0.2853,-0.36510000000000004,-1.5472,136.32,1.4285714285717999e-05,0.8943406092120127,-4.761904761909524e-06,0.9239095174724582,-4.761904761898951e-06,1.866912619132505,137.21809523809523,34.56165948258961,-0.31902195067008193,-0.3951634128567375,-0.8287453961365212,-0.02598530428053235,-0.3394326223902007,-0.3663189697564518,5.2867763077388404e-17,0.8691453051937772,6.344131569286608e-17,0.8746372908607988,-0.39053610525402743,-0.41882386399958865
RSC007179,Amateur,B0A._.,20,22,Aeon Ale,5 O'clock Nowhere,N/A,5,20,"[20, 21, 22, 23, 24]",41.82,400.1,1.15,0.95,1.05,2.75,314.83,0.833,0.563,1.0,2.354,3.0,1.0,1.0,1.25,1.15,0.475,0.642,0.308,0.358,0.217,249.85,150.25,5.0,6.25,144.0,0.475,0.167,0.141,0.217,0.332,47.808,1.6,1.52,0.69,1.87,1.26,55,33.0,303.24666666666667,49.46260075383556,0.7927619047619048,0.2508808292321087,0.4655238095238095,0.11656097934026594,2.1394761904761905,0.5073556562262432,36.54714285714286,6.889275101821051,0.9217619047619048,0.22749789114668836,0.779047619047619,0.256538394044727,0.4590476190476191,0.15284353967063055,2.1325238095238097,0.37508860540512534,123.40333333333332,17.497140433034573,0.7123809523809523,0.3446578703860505,0.6885714285714286,0.10631489614751613,0.5137142857142857,0.03824544790840193,0.2897619047619048,0.01365615158785505,0.19671428571428573,0.03055510244974292,0.3070952380952381,0.029802524661351717,38.06733333333333,7.203843545867256,1.3476190476190477,0.3164791424707916,1.3542857142857143,0.17431498583229804,0.6852380952380953,0.17682248294883338,2.219047619047619,0.9776650999289315,1.298095238095238,0.549832875041308,1.95811242953744,1.4239354052341215,4.156418324711419,1.2033448371600708,0.7653718373742051,0.5636891603333968,-0.21030918647980026,-0.6801228313371473,-0.5904636592118777,1.1771447309058687,1.5598629650234355,-4.340206200157699,-1.012258656429038,1.3355223190635255,0.6639059489026503,0.8356594680402608,1.3521485585642339,0.797464725196685,-0.950660007359971,0.026930425828725485,-0.35702166219597287,-0.06928512248813047,0.59,0.5,0.0,1.6708800076606338,0.0009523809523809744,1.6130496110222547,0.35310734301384533,0.30938144471040313,-0.0438,99.36,9.523809523824336e-06,0.9171119042432946,86.15707619047619,29.752423053810336,-0.047769005730735656,0.4437596153309919,-0.0086,-0.0208,0.1509,0.0636,-0.0312,-0.0131,0.0971,0.1851,0.05280000000000001,2.1496,184.32,1.4285714285717999e-05,0.8943406092120127,-4.761904761909524e-06,0.9239095174724582,-4.761904761898951e-06,1.866912619132505,137.21809523809523,34.56165948258961,0.20695215265779995,0.057153607475784046,1.151422267906473,1.3628368969271363,0.9243129814826763,0.7898240701816361,5.2867763077388404e-17,0.8691453051937772,6.344131569286608e-17,0.8746372908607988,1.0634734790134999,0.9030304086443748
RSC006256,Amateur,Casca .,55,22,Aeon Ale,5 O'clock Nowhere,N/A,8,17,"[17, 18, 19, 20, 21, 22, 23, 24]",40.74,322.75,1.0,0.345,0.8,2.455,302.96,0.833,0.5,0.801,2.174,6.0,1.0,1.0,1.13,0.75,0.475,0.643,0.316,0.357,0.209,187.4,135.35,8.0,3.64,131.71,0.475,0.168,0.148,0.209,0.332,43.728,1.46,1.34,0.6,1.6,0.96,55,33.0,303.24666666666667,49.46260075383556,0.7927619047619048,0.2508808292321087,0.4655238095238095,0.11656097934026594,2.1394761904761905,0.5073556562262432,36.54714285714286,6.889275101821051,0.9217619047619048,0.22749789114668836,0.779047619047619,0.256538394044727,0.4590476190476191,0.15284353967063055,2.1325238095238097,0.37508860540512534,123.40333333333332,17.497140433034573,0.7123809523809523,0.3446578703860505,0.6885714285714286,0.10631489614751613,0.5137142857142857,0.03824544790840193,0.2897619047619048,0.01365615158785505,0.19671428571428573,0.03055510244974292,0.3070952380952381,0.029802524661351717,38.06733333333333,7.203843545867256,1.3476190476190477,0.3164791424707916,1.3542857142857143,0.17431498583229804,0.6852380952380953,0.17682248294883338,2.219047619047619,0.9776650999289315,1.298095238095238,0.549832875041308,0.394304647068542,0.8260419732843106,-1.033997914276057,0.6218986733501778,0.608606432590976,-0.5352221251290363,-0.21030918647980026,-0.2679366170178409,-0.1105770473389685,0.47474424169241464,1.2116916034770173,-0.5777983486278048,-1.012258656429038,1.921338897660582,0.40208388454667504,0.8356594680402608,0.7857842317958329,0.35509750027625936,0.08195344891034205,-0.48205462233419966,-0.6331898510979056,-0.61490546208216,0.36,0.21,0.0,1.6708800076606338,0.0009523809523809744,1.6130496110222547,0.2154553279406514,0.12959776166781198,-0.2747,79.026,9.523809523824336e-06,0.9171119042432946,86.15707619047619,29.752423053810336,-0.2995376273478705,-0.2396805187120022,-0.0539,-0.1845,-0.0815,0.0388,-0.2767,-0.0824,0.0593,-0.2811,-0.29979999999999996,1.1409,165.29,1.4285714285717999e-05,0.8943406092120127,-4.761904761909524e-06,0.9239095174724582,-4.761904761898951e-06,1.866912619132505,137.21809523809523,34.56165948258961,-0.31432575331894014,-0.32448549606393134,0.6111184584712401,0.8122267617400126,0.38616518988798965,0.30927586583392963,5.2867763077388404e-17,0.8691453051937772,6.344131569286608e-17,0.8746372908607988,0.44430452259290926,0.35360471027887125
RSC007852,Amateur,Medicmac121,14,22,Aeon Ale,5 O'clock Nowhere,N/A,3,22,"[22, 23, 24]",32.43,275.36,0.857,0.643,0.429,2.643,289.81,0.694,0.444,1.0,1.472,0.0,0.0,0.0,0.64,0.71,0.436,0.592,0.321,0.408,0.243,168.73,106.63,0.0,0.0,106.63,0.436,0.156,0.165,0.243,0.365,38.92,1.79,0.78,0.55,0.97,0.62,55,33.0,303.24666666666667,49.46260075383556,0.7927619047619048,0.2508808292321087,0.4655238095238095,0.11656097934026594,2.1394761904761905,0.5073556562262432,36.54714285714286,6.889275101821051,0.9217619047619048,0.22749789114668836,0.779047619047619,0.256538394044727,0.4590476190476191,0.15284353967063055,2.1325238095238097,0.37508860540512534,123.40333333333332,17.497140433034573,0.7123809523809523,0.3446578703860505,0.6885714285714286,0.10631489614751613,0.5137142857142857,0.03824544790840193,0.2897619047619048,0.01365615158785505,0.19671428571428573,0.03055510244974292,0.3070952380952381,0.029802524661351717,38.06733333333333,7.203843545867256,1.3476190476190477,0.3164791424707916,1.3542857142857143,0.17431498583229804,0.6852380952380953,0.17682248294883338,2.219047619047619,0.9776650999289315,1.298095238095238,0.549832875041308,-0.5637929716929451,0.2560502348254905,1.5226038034400886,0.9924474150324142,-0.5976162653244272,-2.1660064727552872,0.33152004152949965,0.09845112904376516,1.7609807389653753,-0.9586328347496885,-0.21000812283752168,-0.20155756347481504,-2.031987856447958,2.2874742592837425,1.5148276580595688,1.9429482086748682,0.1183627408393446,1.3978202447315478,3.294528646195762,-0.7648240935358245,-1.2775822918690818,-1.2332751802887267,0.8,-0.86,0.0,1.6708800076606338,0.0009523809523809744,1.6130496110222547,0.47878961764589206,-0.5337420343858864,-0.928,58.6465,9.523809523824336e-06,0.9171119042432946,86.15707619047619,29.752423053810336,-1.0118825407410024,-0.9246499399635607,-0.1821,-0.37,-0.3144,0.0862,-0.555,-0.2783,0.1317,-0.7803,-0.7016,1.5162,144.56,1.4285714285717999e-05,0.8943406092120127,-4.761904761909524e-06,0.9239095174724582,-4.761904761898951e-06,1.866912619132505,137.21809523809523,34.56165948258961,-0.8725023527689372,-0.7593765675394211,0.8121455425210495,0.21242917359345104,0.01632518950431454,-0.03236119431707418,5.2867763077388404e-17,0.8691453051937772,6.344131569286608e-17,0.8746372908607988,0.018783038240855206,-0.03699955930900804
RSC007993,Amateur,Origami Box,15,22,Aeon Ale,5 O'clock Nowhere,N/A,1,22,[22],33.33,191.6,0.4,0.2,0.867,1.2,309.8,0.923,0.548,0.667,2.411,0.0,0.0,1.0,0.4,0.33,0.494,0.669,0.316,0.331,0.19,111.42,80.18,1.0,1.67,78.51,0.494,0.175,0.141,0.19,0.314,24.652,0.8,1.49,0.58,1.58,0.94,55,33.0,303.24666666666667,49.46260075383556,0.7927619047619048,0.2508808292321087,0.4655238095238095,0.11656097934026594,2.1394761904761905,0.5073556562262432,36.54714285714286,6.889275101821051,0.9217619047619048,0.22749789114668836,0.779047619047619,0.256538394044727,0.4590476190476191,0.15284353967063055,2.1325238095238097,0.37508860540512534,123.40333333333332,17.497140433034573,0.7123809523809523,0.3446578703860505,0.6885714285714286,0.10631489614751613,0.5137142857142857,0.03824544790840193,0.2897619047619048,0.01365615158785505,0.19671428571428573,0.03055510244974292,0.3070952380952381,0.029802524661351717,38.06733333333333,7.203843545867256,1.3476190476190477,0.3164791424707916,1.3542857142857143,0.17431498583229804,0.6852380952380953,0.17682248294883338,2.219047619047619,0.9776650999289315,1.298095238095238,0.549832875041308,-2.257193616290164,-1.5655317545149343,-2.2779819715540466,-1.8517112777732656,-0.46697842800506967,-0.24071390062510453,-0.5611338664858221,-0.5819832564992178,-0.7424277529716319,-2.5657525871241664,-0.9063508459303573,3.3727298954785843,-0.5154675077018711,1.921338897660582,-0.21974351829876518,0.2316837913304739,-1.8622466254183876,-1.730347988634317,-0.778557764648252,-0.5951624108148499,-0.6536467539795302,-0.6512801513884287,-3.31,-3.15,0.0,1.6708800076606338,0.0009523809523809744,1.6130496110222547,-1.9809920430098782,-1.953413186687727,-1.2645,45.5358,9.523809523824336e-06,0.9171119042432946,86.15707619047619,29.752423053810336,-1.3787952353021364,-1.3653098477730168,-0.2482,-0.1954,-0.4642,-0.3566,-0.2931,-0.3792,-0.5448,-1.2644,-1.2170999999999998,-3.5926,85.33,1.4285714285717999e-05,0.8943406092120127,-4.761904761909524e-06,0.9239095174724582,-4.761904761898951e-06,1.866912619132505,137.21809523809523,34.56165948258961,-1.413795004599353,-1.3173316380859987,-1.9243510388636202,-1.5013195551050953,-1.5866549540530022,-1.5292519443995025,5.2867763077388404e-17,0.8691453051937772,6.344131569286608e-17,0.8746372908607988,-1.8255347461138909,-1.748441280035575
RSC007161,Amateur,Ander,50,22,Aloof Goofs,Vibe Tribe,N/A,5,20,"[20, 21, 22, 23, 24]",36.19,293.04,0.76,0.32,0.82,2.1,291.86,0.73,0.437,0.944,2.008,3.0,1.0,2.0,1.16,0.66,0.5,0.651,0.29,0.349,0.211,159.74,133.3,6.0,3.0,130.3,0.5,0.151,0.138,0.211,0.32,41.696,1.34,1.28,0.64,1.88,1.12,55,33.0,303.24666666666667,49.46260075383556,0.7927619047619048,0.2508808292321087,0.4655238095238095,0.11656097934026594,2.1394761904761905,0.5073556562262432,36.54714285714286,6.889275101821051,0.9217619047619048,0.22749789114668836,0.779047619047619,0.256538394044727,0.4590476190476191,0.15284353967063055,2.1325238095238097,0.37508860540512534,123.40333333333332,17.497140433034573,0.7123809523809523,0.3446578703860505,0.6885714285714286,0.10631489614751613,0.5137142857142857,0.03824544790840193,0.2897619047619048,0.01365615158785505,0.19671428571428573,0.03055510244974292,0.3070952380952381,0.029802524661351717,38.06733333333333,7.203843545867256,1.3476190476190477,0.3164791424707916,1.3542857142857143,0.17431498583229804,0.6852380952380953,0.17682248294883338,2.219047619047619,0.9776650999289315,1.298095238095238,0.549832875041308,-0.20635119284291126,-0.13058751783538738,-1.2484779241515722,-0.0778077271668121,-0.05184041163466635,-0.4473092222920421,0.19119016952709092,0.14424959730146594,0.33198505027715824,0.39415964528956937,1.298734443863622,0.2687434179664211,-0.35858609231434474,0.017435017220147977,0.46753940063566884,0.4330090169004029,0.5037125866994131,-0.024074406798390548,0.4261579343337802,-0.2558390453728993,-0.3467932107551608,-0.3239079476320107,0.73,0.54,0.0,1.6708800076606338,0.0009523809523809744,1.6130496110222547,0.4368955261018765,0.3341791940955882,-0.0267,83.392,9.523809523824336e-06,0.9171119042432946,86.15707619047619,29.752423053810336,-0.02912351664605395,-0.09293616810554445,-0.0052,-0.0972,-0.0316,0.0786,-0.1458,-0.008,0.1201,-0.055400000000000005,-0.03370000000000002,0.4796,133.19,1.4285714285717999e-05,0.8943406092120127,-4.761904761909524e-06,0.9239095174724582,-4.761904761898951e-06,1.866912619132505,137.21809523809523,34.56165948258961,-0.06196105280639134,-0.03647027924056705,0.25689727360009973,-0.11654808531761561,0.0022958823188715394,0.005109923253455495,5.2867763077388404e-17,0.8691453051937772,6.344131569286608e-17,0.8746372908607988,0.0026415402639258533,0.005842334081624118
RSC004190,Amateur,Demonikgoat4061,48,22,Aloof Goofs,Vibe Tribe,N/A,8,13,"[13, 16, 18, 19, 20, 21, 22, 23]",39.78,294.27,0.771,0.396,0.854,1.938,292.12,0.726,0.444,0.972,2.012,3.0,1.0,2.0,1.44,0.71,0.488,0.636,0.274,0.364,0.238,164.96,129.31,6.0,3.12,126.19,0.488,0.148,0.126,0.238,0.334,42.147,1.17,1.29,0.66,1.92,1.18,55,33.0,303.24666666666667,49.46260075383556,0.7927619047619048,0.2508808292321087,0.4655238095238095,0.11656097934026594,2.1394761904761905,0.5073556562262432,36.54714285714286,6.889275101821051,0.9217619047619048,0.22749789114668836,0.779047619047619,0.256538394044727,0.4590476190476191,0.15284353967063055,2.1325238095238097,0.37508860540512534,123.40333333333332,17.497140433034573,0.7123809523809523,0.3446578703860505,0.6885714285714286,0.10631489614751613,0.5137142857142857,0.03824544790840193,0.2897619047619048,0.01365615158785505,0.19671428571428573,0.03055510244974292,0.3070952380952381,0.029802524661351717,38.06733333333333,7.203843545867256,1.3476190476190477,0.3164791424707916,1.3542857142857143,0.17431498583229804,0.6852380952380953,0.17682248294883338,2.219047619047619,0.9776650999289315,1.298095238095238,0.549832875041308,-0.18148391976680675,-0.08674199949240119,-0.5964586941300047,-0.39711036627597396,0.46925940611699435,-0.2978572874691511,0.20678237752735856,0.09845112904376516,0.32132090334664914,0.1592641196046786,2.11113428747193,-0.20155756347481504,-0.6723489230893975,-1.1541981399739611,1.3511888678370843,0.9027678765635705,0.5663180551730771,-0.5612346084874789,0.36879052009654045,-0.14273125689224914,-0.30587940499191146,-0.21478387971320512,0.48,0.26,0.0,1.6708800076606338,0.0009523809523809744,1.6130496110222547,0.2872737705875352,0.16059494839929322,-0.0866,83.2854,9.523809523824336e-06,0.9171119042432946,86.15707619047619,29.752423053810336,-0.09443724741637172,-0.09651906956561052,-0.017,-0.0644,-0.0328,0.0517,-0.0967,-0.026,0.079,-0.0625,-0.04369999999999999,0.0051,136.26,1.4285714285717999e-05,0.8943406092120127,-4.761904761909524e-06,0.9239095174724582,-4.761904761898951e-06,1.866912619132505,137.21809523809523,34.56165948258961,-0.0698998626142739,-0.04729384995922031,0.00273433360107337,-0.027721332032042002,-0.03341721740323739,-0.02824097945096564,5.2867763077388404e-17,0.8691453051937772,6.344131569286608e-17,0.8746372908607988,-0.03844836669259466,-0.032288789588620845
RSC006797,Amateur,The-Manimal,39,22,Aloof Goofs,Vibe Tribe,N/A,6,18,"[18, 19, 20, 21, 22, 23]",27.27,302.49,0.692,0.564,0.821,2.538,294.0,0.701,0.405,1.06,1.921,0.0,1.0,1.0,0.33,0.77,0.489,0.658,0.312,0.342,0.199,169.58,132.91,2.0,1.28,131.63,0.489,0.169,0.143,0.199,0.32,42.122,1.85,1.22,0.67,2.03,1.17,55,33.0,303.24666666666667,49.46260075383556,0.7927619047619048,0.2508808292321087,0.4655238095238095,0.11656097934026594,2.1394761904761905,0.5073556562262432,36.54714285714286,6.889275101821051,0.9217619047619048,0.22749789114668836,0.779047619047619,0.256538394044727,0.4590476190476191,0.15284353967063055,2.1325238095238097,0.37508860540512534,123.40333333333332,17.497140433034573,0.7123809523809523,0.3446578703860505,0.6885714285714286,0.10631489614751613,0.5137142857142857,0.03824544790840193,0.2897619047619048,0.01365615158785505,0.19671428571428573,0.03055510244974292,0.3070952380952381,0.029802524661351717,38.06733333333333,7.203843545867256,1.3476190476190477,0.3164791424707916,1.3542857142857143,0.17431498583229804,0.6852380952380953,0.17682248294883338,2.219047619047619,0.9776650999289315,1.298095238095238,0.549832875041308,-0.015297753355761123,-0.40163254031930207,0.844846972233459,0.7854920007949946,-1.3466065326220782,-0.4429135771501924,0.3042336775290313,0.35361402362238353,0.5639302460157307,0.47017206600998296,-1.1094508068324345,-0.7659187412042997,-0.6462020205248098,1.6284306083620537,0.07480630410170695,0.4330090169004029,0.5628476855237611,1.5874061982688732,0.7703624197572183,-0.08617736265192406,-0.19336643914297608,-0.23297122436633946,1.03,0.82,0.0,1.6708800076606338,0.0009523809523809744,1.6130496110222547,0.616441632719086,0.5077634397918831,0.1362,88.1921,9.523809523824336e-06,0.9171119042432946,86.15707619047619,29.752423053810336,0.14849930042380857,0.06839859079185771,0.0267,-0.0699,0.0233,0.111,-0.1048,0.0408,0.1695,0.0911,0.10550000000000001,2.1503,121.84999999999998,1.4285714285717999e-05,0.8943406092120127,-4.761904761909524e-06,0.9239095174724582,-4.761904761898951e-06,1.866912619132505,137.21809523809523,34.56165948258961,0.10184678337034057,0.11419382516308695,1.1517972185028889,-0.44465733035292787,0.16673175536682122,0.16203222357887404,5.2867763077388404e-17,0.8691453051937772,6.344131569286608e-17,0.8746372908607988,0.19183415519876515,0.185256477481546
RSC007808,Amateur,Navybrat44,38,22,Amaranth,Flower Road,N/A,1,22,[22],32.97,335.37,0.789,0.474,1.132,2.395,300.36,0.689,0.439,1.083,1.914,2.0,1.0,3.0,0.84,0.68,0.517,0.672,0.286,0.328,0.198,191.07,144.3,6.0,3.95,140.35,0.517,0.155,0.13,0.198,0.305,42.807,1.61,1.23,0.92,2.58,1.64,55,33.0,303.24666666666667,49.46260075383556,0.7927619047619048,0.2508808292321087,0.4655238095238095,0.11656097934026594,2.1394761904761905,0.5073556562262432,36.54714285714286,6.889275101821051,0.9217619047619048,0.22749789114668836,0.779047619047619,0.256538394044727,0.4590476190476191,0.15284353967063055,2.1325238095238097,0.37508860540512534,123.40333333333332,17.497140433034573,0.7123809523809523,0.3446578703860505,0.6885714285714286,0.10631489614751613,0.5137142857142857,0.03824544790840193,0.2897619047619048,0.01365615158785505,0.19671428571428573,0.03055510244974292,0.3070952380952381,0.029802524661351717,38.06733333333333,7.203843545867256,1.3476190476190477,0.3164791424707916,1.3542857142857143,0.17431498583229804,0.6852380952380953,0.17682248294883338,2.219047619047619,0.9776650999289315,1.298095238095238,0.549832875041308,0.6494469122884191,-0.014994787658423768,0.07271893668160331,0.5036384366430808,-0.5192335629328126,0.9241320619650741,0.3510103015298342,0.1311643206564086,0.5825925031441219,0.9685392153949564,0.3702774797398412,0.08062302538992623,0.08591125128364664,-0.27547327207838035,0.042078546057210044,-0.07030404702441954,0.6579358139150249,0.8290623841195726,0.7129950055199786,1.327669993356202,0.3691983901017018,0.6218339743309733,1.55,1.1,0.0,1.6708800076606338,0.0009523809523809744,1.6130496110222547,0.9276548841889158,0.6813476854881779,0.5159,129.122,9.523809523824336e-06,0.9171119042432946,86.15707619047619,29.752423053810336,0.5625163884620333,1.4440815032717609,0.1013,0.1866,0.491,0.167,0.2798,0.1547,0.2551,0.9459,0.6896,1.487,135.82,1.4285714285717999e-05,0.8943406092120127,-4.761904761909524e-06,0.9239095174724582,-4.761904761898951e-06,1.866912619132505,137.21809523809523,34.56165948258961,1.0576347585503436,0.7463985908396263,0.7965047462134173,-0.0404522022097789,0.5478948709153245,0.4751577826315503,5.2867763077388404e-17,0.8691453051937772,6.344131569286608e-17,0.8746372908607988,0.6303835131378528,0.5432626616730581
RSC000654,Amateur,Rocci,31,22,Amaranth,Flower Road,N/A,11,6,"[6, 7, 8, 10, 11, 12, 13, 16, 17, 22, 24]",38.64,262.06,0.548,0.387,1.129,1.419,310.58,0.892,0.494,0.725,2.312,1.0,0.0,4.0,1.16,0.87,0.507,0.665,0.304,0.335,0.189,152.69,109.37,5.0,4.03,105.34,0.507,0.158,0.146,0.189,0.309,32.55,0.87,1.42,0.8,2.29,1.27,55,33.0,303.24666666666667,49.46260075383556,0.7927619047619048,0.2508808292321087,0.4655238095238095,0.11656097934026594,2.1394761904761905,0.5073556562262432,36.54714285714286,6.889275101821051,0.9217619047619048,0.22749789114668836,0.779047619047619,0.256538394044727,0.4590476190476191,0.15284353967063055,2.1325238095238097,0.37508860540512534,123.40333333333332,17.497140433034573,0.7123809523809523,0.3446578703860505,0.6885714285714286,0.10631489614751613,0.5137142857142857,0.03824544790840193,0.2897619047619048,0.01365615158785505,0.19671428571428573,0.03055510244974292,0.3070952380952381,0.029802524661351717,38.06733333333333,7.203843545867256,1.3476190476190477,0.3164791424707916,1.3542857142857143,0.17431498583229804,0.6852380952380953,0.17682248294883338,2.219047619047619,0.9776650999289315,1.298095238095238,0.549832875041308,-0.8326829976378236,-0.9756102349911205,-0.6736714976851904,-1.420061413792362,0.30378481217914116,0.9109451265395254,-0.44029425448374787,-0.22868078708266876,-0.4784901164415316,-1.0323591676288872,1.298734443863622,-1.7065207040867731,-0.17555777436223066,1.042614029764997,-0.2524712763432621,0.06391277002219976,-0.7658874458064195,-1.5091643761741043,-0.3769858649875742,0.6490232624723015,0.07257329831814448,-0.051097777834996146,-1.51,-1.26,0.0,1.6708800076606338,0.0009523809523809744,1.6130496110222547,-0.9037154033066211,-0.7817195282377363,-0.3289,84.272,9.523809523824336e-06,0.9171119042432946,86.15707619047619,29.752423053810336,-0.35863619508996103,-0.06335874517066488,-0.0646,-0.0153,-0.0215,-0.1627,-0.023,-0.0986,-0.2485,-0.2641,-0.3701,-2.2751,107.63000000000001,1.4285714285717999e-05,0.8943406092120127,-4.761904761909524e-06,0.9239095174724582,-4.761904761898951e-06,1.866912619132505,137.21809523809523,34.56165948258961,-0.29531733546908046,-0.40057519821606413,-1.2186404520380834,-0.8560959074606989,-0.7689260057393585,-0.7608983144614172,5.2867763077388404e-17,0.8691453051937772,6.344131569286608e-17,0.8746372908607988,-0.8846921235660652,-0.8699586930629929
