RSC ID,Tier,Name,GP,Season,Team,Franchise,Conference,# of Seasons,First Season,Seasons Played,PPG,GPG,APG,SvPG,ShPG,ShPCT,GAPG,AAPG,ShAPG,Hat Trick,Playmaker,Savior,TierMaxGames,GPThreshold,MAJ,EXT,ACC,NEG,RAW,tZ,DI,DT,mShPG,mShA,SvpmShA,SvpAA,SvpGA,PPG_mean,PPG_std,GPG_mean,GPG_std,APG_mean,APG_std,ShPG_mean,ShPG_std,ShPCT_mean,ShPCT_std,SvPG_mean,SvPG_std,GAPG_mean,GAPG_std,AAPG_mean,AAPG_std,ShAPG_mean,ShAPG_std,RAW_mean,RAW_std,DI_mean,DI_std,DT_mean,DT_std,tZ_mean,tZ_std,mShPG_mean,mShPG_std,mShA_mean,mShA_std,SvpmShA_mean,SvpmShA_std,SvpAA_mean,SvpAA_std,SvpGA_mean,SvpGA_std,PPG_z,GPG_z,APG_z,ShPG_z,ShPCT_z,SvPG_z,GAPG_z,AAPG_z,ShAPG_z,RAW_z,DI_z,DT_z,tZ_z,mShPG_z,mShA_z,SvpmShA_z,SvpAA_z,SvpGA_z,pdt_z,pnt_z,pot_z,RvShA,RvAA,RvShA_mean,RvShA_std,RvAA_mean,RvAA_std,RvShA_z,RvAA_z,RSvA,DWR,RSvA_mean,RSvA_std,DWR_mean,DWR_std,RSvA_z,DWR_z,RSvA_w,SvpGA_w,DWR_w,RvShA_w,SvpGA_s,RSvA_s,RvShA_s,DEF,DEFS,PRES,ATT,DEF_mean,DEF_std,DEFS_mean,DEFS_std,PRES_mean,PRES_std,ATT_mean,ATT_std,DEF_z,DEFS_z,PRES_z,ATT_z,RAD,RADS,RAD_mean,RAD_std,RADS_mean,RADS_std,RAD_z,RADS_z
RSC000685,Amateur,DaTurquoisOrang,19,7,Blobfish,The Abyss,Lunar,11.0,6.0,"[6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17]",297.6,0.84,0.37,1.16,1.42,59.155,0.544,0.193,1.368,1,0,2,55,33.0,182.82,114.78,3,3.95,110.83,110.83,1,1,0.58,0.82,1.41,6.01,2.13,287.02,55.57306807021583,0.754,0.22919538894966773,0.43099999999999994,0.100362500860368,1.9955000000000003,0.507101930997164,37.76425,5.894509495909596,0.843,0.23357856787047276,0.9881802120141343,0.25561842416081815,0.5966095406360424,0.1285716142317585,2.634035512367491,0.4829808635979428,119.21900000000001,21.62690256918087,1.0,0.0,1.0,0.0,119.21900000000001,21.62690256918087,1.2414999999999998,0.33473123547108663,1.6465,0.2979098238693963,0.524,0.162331694217021,1.4715,0.5276589309093715,0.9259999999999999,0.4179952152836202,0.1903799874182284,0.3752256988856173,-0.6077967316185934,-1.1348803166028938,3.6289279056796473,1.3571450621094105,1.7376690020383099,3.139180783003242,2.6212953924017195,-0.3878965086731672,0,0,-0.3878965086731672,-1.9762123456122422,2.7743294573674007,5.4579606544086685,8.601200006561651,2.8804157463454594,,,,2.23,2.75,-5.551115123125783e-18,1.3982997193960807,0.0004999999999999699,1.378215761123971,1.5947939980729788,1.9949706552170836,5.4963,156.2703,2.7755575615628915e-18,0.9147396166755812,63.621984999999995,27.35222681224895,6.008595123468125,3.387231161687719,1.0815,0.8641,1.1517,0.2871,1.2962,1.6524,0.4386,3.3844,3.3872,-2.3641,157.35500000000002,-2.7755575615628915e-18,0.9435609025611993,1.4999999999981694e-05,0.9433504630194164,-5.000000000021654e-06,1.846513402255864,133.11925000000002,30.463413562527407,3.586837893360559,3.590590276659761,-1.2803021072643246,0.7955690832301221,1.1562025691396656,1.4153684748833106,-2.7755575615628914e-16,0.8361591366836508,-2.2759572004815707e-16,0.8217706357515246,1.3827542131816697,1.722340046366989
RSC000392,Amateur,Jordayumm,51,7,Blobfish,The Abyss,Lunar,6.0,5.0,"[5, 6, 7, 8, 9, 10]",404.9,1.08,0.53,1.12,3.14,34.395,0.667,0.5,2.333,4,0,8,55,33.0,229.74,175.16,12,5.88,169.28,169.28,1,1,2.06,1.67,0.67,2.24,1.68,287.02,55.57306807021583,0.754,0.22919538894966773,0.43099999999999994,0.100362500860368,1.9955000000000003,0.507101930997164,37.76425,5.894509495909596,0.843,0.23357856787047276,0.9881802120141343,0.25561842416081815,0.5966095406360424,0.1285716142317585,2.634035512367491,0.4829808635979428,119.21900000000001,21.62690256918087,1.0,0.0,1.0,0.0,119.21900000000001,21.62690256918087,1.2414999999999998,0.33473123547108663,1.6465,0.2979098238693963,0.524,0.162331694217021,1.4715,0.5276589309093715,0.9259999999999999,0.4179952152836202,2.121171353200442,1.422367184147806,0.9864242037744403,2.256942697397065,-0.5715912413641937,1.1858964738306215,1.2564830296116254,0.7514064532307855,0.6232866249087825,2.3147558851695553,0,0,2.3147558851695553,2.4452453588565697,-0.0788829307297441,0.8993930649477041,1.4564332279481393,1.8038483992894323,,,,2.94,3.07,-5.551115123125783e-18,1.3982997193960807,0.0004999999999999699,1.378215761123971,2.10255352212312,2.2271549104160164,1.8187,113.4176,2.7755575615628915e-18,0.9147396166755812,63.621984999999995,27.35222681224895,1.9882160637249569,1.8205323954721078,0.3579,0.5412,0.619,0.3785,0.8117,0.5468,0.5782,1.8966,1.9366999999999999,4.76,173.79500000000002,-2.7755575615628915e-18,0.9435609025611993,1.4999999999981694e-05,0.9433504630194164,-5.000000000021654e-06,1.846513402255864,133.11925000000002,30.463413562527407,2.010045133124819,2.0529856886921762,2.5778339838664355,1.3352328331987926,1.893423202854645,1.9205582515563804,-2.7755575615628914e-16,0.8361591366836508,-2.2759572004815707e-16,0.8217706357515246,2.2644292453279684,2.337097686387874
RSC001871,Amateur,TheWainMaker,55,7,Blobfish,The Abyss,Lunar,5.0,7.0,"[7, 8, 9, 10, 11]",272.3,0.64,0.47,1.02,1.89,33.862,0.8057208480565371,0.5414381625441697,2.451742049469965,0,0,5,55,33.0,164.54,107.76,5,2.27,105.49,105.49,1,1,1.25,1.65,0.62,1.88,1.27,287.02,55.57306807021583,0.754,0.22919538894966773,0.43099999999999994,0.100362500860368,1.9955000000000003,0.507101930997164,37.76425,5.894509495909596,0.843,0.23357856787047276,0.9881802120141343,0.25561842416081815,0.5966095406360424,0.1285716142317585,2.634035512367491,0.4829808635979428,119.21900000000001,21.62690256918087,1.0,0.0,1.0,0.0,119.21900000000001,21.62690256918087,1.2414999999999998,0.33473123547108663,1.6465,0.2979098238693963,0.524,0.162331694217021,1.4715,0.5276589309093715,0.9259999999999999,0.4179952152836202,-0.26487650423405534,-0.4973922054995394,0.3885913530020522,-0.20804495812616097,-0.6620143716297177,0.757775003133646,0.7137958249942339,0.4291100988467242,0.37743413173668977,-0.6348112012842904,0,0,-0.6348112012842904,0.025393507086476804,-0.011748521598046518,0.5913817413354764,0.7741743313166096,0.8229759275272743,,,,-0.26,-0.21,-5.551115123125783e-18,1.3982997193960807,0.0004999999999999699,1.378215761123971,-0.18594010739864328,-0.1527337053730482,0.3385,65.4038,2.7755575615628915e-18,0.9147396166755812,63.621984999999995,27.35222681224895,0.3700506612255446,0.06514332497426029,0.0666,0.2469,0.0221,-0.0335,0.3703,0.1018,-0.0511,0.30210000000000004,0.42100000000000004,-0.6094,116.762,-2.7755575615628915e-18,0.9435609025611993,1.4999999999981694e-05,0.9433504630194164,-5.000000000021654e-06,1.846513402255864,133.11925000000002,30.463413562527407,0.32017011215702196,0.4462657479941632,-0.3300246828728723,-0.536947376774638,-0.19822947807371347,-0.09400068033069374,-2.7755575615628914e-16,0.8361591366836508,-2.2759572004815707e-16,0.8217706357515246,-0.23707147285375002,-0.11438797669465049
RSC001765,Amateur,Trios,25,7,Blobfish,The Abyss,Lunar,16.0,7.0,"[7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 23]",270.1,0.96,0.52,0.44,1.64,58.537,0.8057208480565371,0.5414381625441697,2.451742049469965,3,0,0,55,33.0,163.48,106.62,3,3.0,103.62,103.62,1,1,0.68,1.65,0.27,0.81,0.55,287.02,55.57306807021583,0.754,0.22919538894966773,0.43099999999999994,0.100362500860368,1.9955000000000003,0.507101930997164,37.76425,5.894509495909596,0.843,0.23357856787047276,0.9881802120141343,0.25561842416081815,0.5966095406360424,0.1285716142317585,2.634035512367491,0.4829808635979428,119.21900000000001,21.62690256918087,1.0,0.0,1.0,0.0,119.21900000000001,21.62690256918087,1.2414999999999998,0.33473123547108663,1.6465,0.2979098238693963,0.524,0.162331694217021,1.4715,0.5276589309093715,0.9259999999999999,0.4179952152836202,-0.3044640252472972,0.8987964415167115,0.8867853953123757,-0.7010424892308061,3.524084576403674,-1.7253295269088094,0.7137958249942339,0.4291100988467242,0.37743413173668977,-0.7212775824046644,0,0,-0.7212775824046644,-1.6774652034184032,-0.011748521598046518,-1.564697523950115,-1.2536507225604343,-0.8995318277623692,,,,-0.34,-0.29,-5.551115123125783e-18,1.3982997193960807,0.0004999999999999699,1.378215761123971,-0.24315244813668738,-0.21077976917278146,-0.7635,27.9774,2.7755575615628915e-18,0.9147396166755812,63.621984999999995,27.35222681224895,-0.8346637513905562,-1.3031693998690277,-0.1502,-0.2699,-0.4431,-0.0438,-0.4048,-0.2295,-0.0669,-0.9069999999999999,-0.7011999999999999,-2.3987,170.937,-2.7755575615628915e-18,0.9435609025611993,1.4999999999981694e-05,0.9433504630194164,-5.000000000021654e-06,1.846513402255864,133.11925000000002,30.463413562527407,-0.9612522069725881,-0.7433239580501136,-1.2990401245230834,1.2414153759353825,-0.17138791154803362,-0.16218967776884774,-2.7755575615628914e-16,0.8361591366836508,-2.2759572004815707e-16,0.8217706357515246,-0.20497044644849174,-0.19736611496287162
RSC000693,Amateur,Averytt10,50,7,Cheese Fries,Fifty-Fifty Pizzeria,Solar,4.0,4.0,"[4, 5, 6, 7]",304.0,0.82,0.36,1.1,1.82,45.055,0.938,0.581,2.736,3,0,5,55,33.0,180.9,123.1,8,4.0,119.1,119.1,1,1,1.0,1.8,0.61,1.89,1.17,287.02,55.57306807021583,0.754,0.22919538894966773,0.43099999999999994,0.100362500860368,1.9955000000000003,0.507101930997164,37.76425,5.894509495909596,0.843,0.23357856787047276,0.9881802120141343,0.25561842416081815,0.5966095406360424,0.1285716142317585,2.634035512367491,0.4829808635979428,119.21900000000001,21.62690256918087,1.0,0.0,1.0,0.0,119.21900000000001,21.62690256918087,1.2414999999999998,0.33473123547108663,1.6465,0.2979098238693963,0.524,0.162331694217021,1.4715,0.5276589309093715,0.9259999999999999,0.4179952152836202,0.3055436849112958,0.28796390844710157,-0.7074355400806581,-0.3460842668354613,1.2368713639462803,1.1002721796912263,0.19630905784226377,0.12140736296508874,-0.21111496400277568,-0.0055024060712972065,0,0,-0.0055024060712972065,-0.7214743483981197,-0.5152565900857784,0.5297794766130309,0.7931259673341522,0.5837387392926014,,,,-0.22,0.12,-5.551115123125783e-18,1.3982997193960807,0.0004999999999999699,1.378215761123971,-0.15733393702962123,0.08670630780085163,0.4611,72.651,2.7755575615628915e-18,0.9147396166755812,63.621984999999995,27.35222681224895,0.5040778726472632,0.330101642618604,0.0907,0.1751,0.1122,-0.0283,0.2627,0.1386,-0.0433,0.3497,0.358,-0.727,145.255,-2.7755575615628915e-18,0.9435609025611993,1.4999999999981694e-05,0.9433504630194164,-5.000000000021654e-06,1.846513402255864,133.11925000000002,30.463413562527407,0.37061730626054473,0.3794825083926755,-0.39371227910495454,0.3983713110512336,0.1753499201281355,0.20071572835032522,-2.7755575615628914e-16,0.8361591366836508,-2.2759572004815707e-16,0.8217706357515246,0.20970878919484554,0.2442478711432262
RSC001028,Amateur,g8rnc,17,7,Free Agent,Free Agent,N/A,2.0,6.0,"[6, 7]",258.9,0.65,0.24,1.12,1.76,36.932,0.932,0.453,2.709,0,0,2,55,33.0,158.44,100.46,2,2.94,97.52,97.52,1,1,1.11,1.78,0.63,2.47,1.2,287.02,55.57306807021583,0.754,0.22919538894966773,0.43099999999999994,0.100362500860368,1.9955000000000003,0.507101930997164,37.76425,5.894509495909596,0.843,0.23357856787047276,0.9881802120141343,0.25561842416081815,0.5966095406360424,0.1285716142317585,2.634035512367491,0.4829808635979428,119.21900000000001,21.62690256918087,1.0,0.0,1.0,0.0,119.21900000000001,21.62690256918087,1.2414999999999998,0.33473123547108663,1.6465,0.2979098238693963,0.524,0.162331694217021,1.4715,0.5276589309093715,0.9259999999999999,0.4179952152836202,-0.5060004958601666,-0.4537613102802815,-1.9031012416254331,-0.4644036743005763,-0.14119071325231078,1.1858964738306215,0.21978154430210162,1.1169614809158195,-0.15521212802110773,-1.0033336919417153,0,0,-1.0033336919417153,-0.39285249198489697,-0.4481221809540808,0.652984006057922,1.892320856351616,0.6555098957630033,,,,-1.16,0.11,-5.551115123125783e-18,1.3982997193960807,0.0004999999999999699,1.378215761123971,-0.8295789407016392,0.07945054982588497,1.0403,61.4376,2.7755575615628915e-18,0.9147396166755812,63.621984999999995,27.35222681224895,1.1372635239968507,-0.07986132226067146,0.2047,0.1967,-0.0272,-0.1493,0.295,0.3127,-0.2281,0.2249,0.37959999999999994,-1.3962,119.532,-2.7755575615628915e-18,0.9435609025611993,1.4999999999981694e-05,0.9433504630194164,-5.000000000021654e-06,1.846513402255864,133.11925000000002,30.463413562527407,0.23835239398912356,0.4023796191131855,-0.75612502909228,-0.44601863058162006,-0.3039049200711529,-0.1810848663462562,-2.7755575615628914e-16,0.8361591366836508,-2.2759572004815707e-16,0.8217706357515246,-0.36345344652513295,-0.22035937823532775
RSC000984,Amateur,onemanblitz,5,7,Free Agent,Free Agent,N/A,3.0,6.0,"[6, 7, 8]",168.2,0.2,0.2,0.4,0.8,25.0,1.357,0.81,3.226,0,0,0,55,33.0,60.8,107.4,0,0.0,107.4,107.4,1,1,0.6,1.87,0.21,0.49,0.29,287.02,55.57306807021583,0.754,0.22919538894966773,0.43099999999999994,0.100362500860368,1.9955000000000003,0.507101930997164,37.76425,5.894509495909596,0.843,0.23357856787047276,0.9881802120141343,0.25561842416081815,0.5966095406360424,0.1285716142317585,2.634035512367491,0.4829808635979428,119.21900000000001,21.62690256918087,1.0,0.0,1.0,0.0,119.21900000000001,21.62690256918087,1.2414999999999998,0.33473123547108663,1.6465,0.2979098238693963,0.524,0.162331694217021,1.4715,0.5276589309093715,0.9259999999999999,0.4179952152836202,-2.138086021269736,-2.4171515951468847,-2.301656475473691,-2.3575141937424133,-2.1654473555191576,-1.8965781151875991,-1.4428529132697756,-1.6597011761811418,-1.225647913299707,-0.546495271904656,0,0,-0.546495271904656,-1.9164629171734744,-0.75022702204672,-1.9343111122847882,-1.8601030751217935,-1.5215485171725183,,,,-1.77,-2.21,-5.551115123125783e-18,1.3982997193960807,0.0004999999999999699,1.378215761123971,-1.2658230388292253,-1.6038853003663807,-1.7397,22.554,2.7755575615628915e-18,0.9147396166755812,63.621984999999995,27.35222681224895,-1.9018526893178136,-1.5014494169669876,-0.3423,-0.4565,-0.5105,-0.2278,-0.6847,-0.523,-0.3481,-1.5371,-1.5558,-2.463,53.0,-2.7755575615628915e-18,0.9435609025611993,1.4999999999981694e-05,0.9433504630194164,-5.000000000021654e-06,1.846513402255864,133.11925000000002,30.463413562527407,-1.6290416398429604,-1.6492439035014048,-1.333862509197598,-2.6300155048465585,-1.9497328205701518,-1.9266301453527466,-2.7755575615628914e-16,0.8361591366836508,-2.2759572004815707e-16,0.8217706357515246,-2.331772428276181,-2.34448648020966
RSC001868,Amateur,Thunda Esq,54,7,Huns,The Sovereign,Lunar,11.0,7.0,"[7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18]",327.5,0.8,0.56,1.13,1.96,40.816,0.8057208480565371,0.5414381625441697,2.451742049469965,5,0,5,55,33.0,192.01,135.49,10,4.63,130.86,130.86,1,1,1.16,1.65,0.68,2.09,1.4,287.02,55.57306807021583,0.754,0.22919538894966773,0.43099999999999994,0.100362500860368,1.9955000000000003,0.507101930997164,37.76425,5.894509495909596,0.843,0.23357856787047276,0.9881802120141343,0.25561842416081815,0.5966095406360424,0.1285716142317585,2.634035512367491,0.4829808635979428,119.21900000000001,21.62690256918087,1.0,0.0,1.0,0.0,119.21900000000001,21.62690256918087,1.2414999999999998,0.33473123547108663,1.6465,0.2979098238693963,0.524,0.162331694217021,1.4715,0.5276589309093715,0.9259999999999999,0.4179952152836202,0.728410386643654,0.20070211800858626,1.2853406291606344,-0.07000564941686022,0.5177275568251642,1.228708620900318,0.7137958249942339,0.4291100988467242,0.37743413173668977,0.538264782150952,0,0,0.538264782150952,-0.2434789208879782,-0.011748521598046518,0.9609953296701497,1.1721586876850014,1.1339842722323488,,,,0.92,0.97,-5.551115123125783e-18,1.3982997193960807,0.0004999999999999699,1.378215761123971,0.657941918487507,0.7034457356730179,0.9519,88.9848,2.7755575615628915e-18,0.9147396166755812,63.621984999999995,27.35222681224895,1.0406240012425283,0.9272669159295639,0.1873,0.3402,0.3153,0.1184,0.5103,0.2862,0.1809,0.9612,0.9774,0.2948,140.416,-2.7755575615628915e-18,0.9435609025611993,1.4999999999981694e-05,0.9433504630194164,-5.000000000021654e-06,1.846513402255864,133.11925000000002,30.463413562527407,1.018694180090465,1.0360783593317462,0.15965494734012772,0.23952502844184206,0.4750859265884248,0.5389775413333923,-2.7755575615628914e-16,0.8361591366836508,-2.2759572004815707e-16,0.8217706357515246,0.5681764460204268,0.6558734492143145
RSC000776,Amateur,bernatra,43,7,Huns,The Sovereign,Lunar,7.0,5.0,"[5, 6, 7, 13, 14, 15, 20]",255.2,0.74,0.28,0.67,1.79,41.341,1.148,0.607,2.511,1,0,1,55,33.0,144.09,111.11,2,1.16,109.95,109.95,1,1,1.05,1.36,0.49,1.1,0.58,287.02,55.57306807021583,0.754,0.22919538894966773,0.43099999999999994,0.100362500860368,1.9955000000000003,0.507101930997164,37.76425,5.894509495909596,0.843,0.23357856787047276,0.9881802120141343,0.25561842416081815,0.5966095406360424,0.1285716142317585,2.634035512367491,0.4829808635979428,119.21900000000001,21.62690256918087,1.0,0.0,1.0,0.0,119.21900000000001,21.62690256918087,1.2414999999999998,0.33473123547108663,1.6465,0.2979098238693963,0.524,0.162331694217021,1.4715,0.5276589309093715,0.9259999999999999,0.4179952152836202,-0.5725795084733463,-0.06108325330696104,-1.5045460077771744,-0.40524397056801875,0.6067934918897042,-0.7406501443057665,-0.6252279682520756,-0.08081456724365368,0.2547420025111217,-0.42858657037687264,0,0,-0.42858657037687264,-0.5721007773012003,0.961700410811567,-0.2094477000563148,-0.7040532780517027,-0.8277606712919676,,,,-0.17,-0.51,-5.551115123125783e-18,1.3982997193960807,0.0004999999999999699,1.378215761123971,-0.12157622406834369,-0.3704064446220481,-0.5472,53.8755,2.7755575615628915e-18,0.9147396166755812,63.621984999999995,27.35222681224895,-0.5982030186783397,-0.3563324136971288,-0.1077,-0.2483,-0.1212,-0.0219,-0.3725,-0.1645,-0.0334,-0.4991,-0.5704,-1.0007,133.241,-2.7755575615628915e-18,0.9435609025611993,1.4999999999981694e-05,0.9433504630194164,-5.000000000021654e-06,1.846513402255864,133.11925000000002,30.463413562527407,-0.5289536675854671,-0.6046692320203584,-0.5419375774784317,0.00399659741841126,-0.31927921725501623,-0.3704939363323389,-2.7755575615628914e-16,0.8361591366836508,-2.2759572004815707e-16,0.8217706357515246,-0.3818402541426882,-0.45084835136937573
RSC000466,Amateur,underbreadbore,26,7,Huns,The Sovereign,Lunar,10.0,6.0,"[6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",282.2,0.42,0.46,1.08,1.58,26.582,1.209,0.667,3.0,0,1,5,55,33.0,142.36,139.84,6,5.77,134.07,134.07,1,1,1.16,1.79,0.6,1.62,0.89,287.02,55.57306807021583,0.754,0.22919538894966773,0.43099999999999994,0.100362500860368,1.9955000000000003,0.507101930997164,37.76425,5.894509495909596,0.843,0.23357856787047276,0.9881802120141343,0.25561842416081815,0.5966095406360424,0.1285716142317585,2.634035512367491,0.4829808635979428,119.21900000000001,21.62690256918087,1.0,0.0,1.0,0.0,119.21900000000001,21.62690256918087,1.2414999999999998,0.33473123547108663,1.6465,0.2979098238693963,0.524,0.162331694217021,1.4715,0.5276589309093715,0.9259999999999999,0.4179952152836202,-0.08673265967446654,-1.457271900323212,0.2889525445399881,-0.8193618966959206,-1.897062004524676,1.0146478855518313,-0.8638649139270986,-0.5474805600330593,-0.7577204713790814,0.6866910299565138,0,0,0.6866910299565138,-0.2434789208879782,-0.4816893855199296,0.46817721189058537,0.28143179486050585,-0.08612538776448199,,,,-0.07,0.14,-5.551115123125783e-18,1.3982997193960807,0.0004999999999999699,1.378215761123971,-0.05006079814578858,0.10121782375078496,0.1967,80.442,2.7755575615628915e-18,0.9147396166755812,63.621984999999995,27.35222681224895,0.21503387020107717,0.6149413397108718,0.0387,-0.0258,0.2091,-0.009,-0.0388,0.0591,-0.0138,0.21300000000000002,0.006499999999999999,0.4432,84.382,-2.7755575615628915e-18,0.9435609025611993,1.4999999999981694e-05,0.9433504630194164,-5.000000000021654e-06,1.846513402255864,133.11925000000002,30.463413562527407,0.22574059546324288,0.006874433473264262,0.24002262829966012,-1.5998617456302069,-0.5006441921083045,-0.5155950242456504,-2.7755575615628914e-16,0.8361591366836508,-2.2759572004815707e-16,0.8217706357515246,-0.5987427155241575,-0.6274196251538349
