RSC ID,Player Name,Discord ID,3v3 Active/Returning
RSC000114,iP JoKeR,143855809707638785,FALSE
RSC000115,Chamberoni,144237641716465665,FALSE
RSC000116,EtchedTree,144269584948658177,FALSE
RSC000117,C'mon Now,144977180487712768,FALSE
RSC000118,Classé,145006524849192960,FALSE
RSC000119,Nue.,256634943659048960,FALSE
RSC000120,JO3_YOUN9,145991703315218432,FALSE
RSC000121,Cineo,145995224597004298,FALSE
RSC000122,corbasm,146134739252674560,FALSE
RSC000123,"Dub (OLD DUB, INACTIVE PLAYER)",146380810243670016,FALSE
RSC000124,MrFelon,146479459967565824,FALSE
RSC000125,Grillied,147161424156688385,FALSE
RSC000126,Beyond Teddie,147440942389919744,FALSE
RSC000127,Czexmix,147906477171015680,FALSE
RSC000128,Tylurr,148155247934570496,FALSE
RSC000129,Seb,148208772131717120,FALSE
RSC000130,Anthage,148501003568807937,FALSE
RSC000131,Ferret,148548577965113344,FALSE
RSC000132,Rymaster,148556037467799552,FALSE
RSC000133,SADmello,148612101752094720,FALSE
RSC000134,Jackbo,148889697060388864,FALSE
RSC000135,Memeboi,148917714281431040,FALSE
RSC000136,Blun,149665864168243200,TRUE
RSC000137,Sora-change,150725788017229825,FALSE
RSC000138,roacs,151484648323547138,FALSE
RSC000139,JMelly,151868549118296065,FALSE
RSC000140,Kaeso Clarus,151882545414275072,TRUE
RSC000141,Jam,151937432944771074,FALSE
RSC000142,SIIpscrIIn,153007425815838720,FALSE
RSC000143,Grit,153213964350783488,FALSE
RSC000144,Dominipple,153669885120086016,FALSE
RSC000145,Gradster13,153903466060840963,FALSE
RSC000146,EtherealDoom989,154016874688937984,FALSE
RSC000147,DudeBroSick,154080974303395840,FALSE
RSC000148,Shadowvail,154425453115998209,FALSE
RSC000149,Greenzoid,155899715714678784,FALSE
RSC000150,Mogger,156199924134969347,FALSE
RSC000151,BDBR,156242064395206657,FALSE
RSC000152,ThreeCrown,156909900902039552,FALSE
RSC000153,ViralPanda,157285530986479616,FALSE
RSC000154,Pulfer,157550924397674497,FALSE
RSC000155,syKro,157841474875162624,FALSE
RSC000156,Drupenson,158350342306791424,TRUE
RSC000157,Billis_xm,158359009273970688,FALSE
RSC000158,Gillz,158401640368570368,FALSE
RSC000159,Prussia,158619040221233152,FALSE
RSC000160,euronate,158769176666832896,FALSE
RSC000161,WTFisVHS,159048561517002754,FALSE
RSC000162,Draconium,159060523990777856,FALSE
RSC000163,Jordan,159396558507343873,FALSE
RSC000164,ewok_360,159542823580860416,FALSE
RSC000165,Vrou,159876098807693312,FALSE
RSC000166,Mastr119,160064328785985536,FALSE
RSC000167,Llama.,160119966136401920,FALSE
RSC000168,Makima,160191233690566656,FALSE
RSC000169,MoMed09,160198140748627968,FALSE
RSC000170,Nathanry,160815930538983435,FALSE
RSC000171,BlindEyez,161221787798077440,FALSE
RSC000172,Bill Nye the Cat Guy,161326083021602816,FALSE
RSC000173,Wray,161627255297015809,FALSE
RSC000174,Zamma,161633323062525954,FALSE
RSC000175,Nytro,161993761927331840,FALSE
RSC000176,Gengar,162757452553519105,FALSE
RSC000177,Xenas,162951144287633408,FALSE
RSC000178,Scias,163357581127974912,FALSE
RSC000179,sykoshaggy4200,163535669472395264,FALSE
RSC000180,Devgru1168,163540809159933953,FALSE
RSC000181,Eclipse,1216375392613437643,TRUE
RSC000182,Goose,163826298018463744,TRUE
RSC000183,Rex,164183062060597248,FALSE
RSC000184,Admiral Peanut,164466433164574720,FALSE
RSC000185,robwobwob,698227570381946953,FALSE
RSC000186,Coates,165327360193724416,FALSE
RSC000187,smokeybones,165636365134856193,FALSE
RSC000188,xNolan,166361318293635072,FALSE
RSC000189,Jordton,166607659800199168,FALSE
RSC000190,leaf.,166709200968351745,TRUE
RSC000191,Namsu,167711593751117824,FALSE
RSC000192,CodemanX,168121281865056257,FALSE
RSC000193,Shamu,168584247140024320,FALSE
RSC000194,Crzykil,168630302816600064,FALSE
RSC000195,Brackennn,168780047812001792,FALSE
RSC000196,Hayhay21700,168802369994358786,TRUE
RSC000197,kareemostyle,170297499964145667,TRUE
RSC000198,RichStroker,170695754120167424,FALSE
RSC000199,NiceGuyDBone98,170732517136007168,FALSE
RSC000200,Jonezy,171096937653600256,TRUE
RSC000201,AlphaChee,171288150554050560,FALSE
RSC000202,Aki (Change),173482057731801089,FALSE
RSC000203,FrostyBrew,174024053143764992,TRUE
RSC000204,Seifer,174514010673250304,FALSE
RSC000205,BEEG YOSHI,175073236046839808,FALSE
RSC000206,jastnorn,175291948070993920,FALSE
RSC000207,SteveHarvey,175436425456648193,FALSE
RSC000208,RKR,175713373160341504,FALSE
RSC000209,Charm,176068651227545605,FALSE
RSC000210,Neeks,176185729955659777,FALSE
