RSC Id,Player Name,Season,Tier,Played,Wins,Losses,MVPs,Pts,Goals,Assists,Saves,Shots,Cycles,Hat Tricks,Playmakers,Saviors,DI,DT,W%,MVP%,PPG,GPG,APG,SvPG,ShPG,DIPG,DTPG,Sh%,G+A,G+A PG
RSC000032,BraveNewWrld,13,Veteran,53,29,24,6,16066,34,36,43,129,11,1,2,2,44,43,0.55,0.21,303.13,0.64,0.68,0.81,2.43,0.83,0.81,0.26,70,1.32
RSC000033,TruDustGaming,6,Veteran,33,17,16,6,10537,29,18,28,87,4,4,1,1,,,0.52,0.35,319.30,0.88,0.55,0.85,2.64,0.00,0.00,0.33,47,1.42
RSC000034,Frosty2200,4,Challenger,64,44,20,10,20381,56,35,66,143,13,2,0,7,,,0.69,0.23,318.45,0.88,0.55,1.03,2.23,0.00,0.00,0.39,91,1.42
RSC000034,Frosty2200,5,Rival,51,29,22,11,16212,41,26,56,105,10,0,0,7,,,0.57,0.38,317.88,0.80,0.51,1.10,2.06,0.00,0.00,0.39,67,1.31
RSC000034,Frosty2200,6,Rival,58,20,38,7,18645,32,33,75,110,7,0,3,12,,,0.34,0.35,321.47,0.55,0.57,1.29,1.90,0.00,0.00,0.29,65,1.12
RSC000034,Frosty2200,7,Challenger,54,25,29,7,16985,37,27,59,103,6,0,2,8,,,0.46,0.28,314.54,0.69,0.50,1.09,1.91,0.00,0.00,0.36,64,1.19
RSC000034,Frosty2200,8,Rival,49,21,28,3,15528,34,29,59,99,10,2,1,3,,,0.43,0.14,316.90,0.69,0.59,1.20,2.02,0.00,0.00,0.34,63,1.29
RSC000035,Feen,2,Rival,44,21,23,3,6610,25,7,35,67,1,0,0,2,,,0.48,0.14,150.23,0.57,0.16,0.80,1.52,0.00,0.00,0.37,32,0.73
RSC000035,Feen,3,Challenger,40,23,17,6,10555,27,20,46,85,2,2,0,3,,,0.58,0.26,263.88,0.68,0.50,1.15,2.13,0.00,0.00,0.32,47,1.18
RSC000035,Feen,4,Rival,59,29,30,3,17888,41,34,54,141,9,1,1,8,,,0.49,0.10,303.19,0.69,0.58,0.92,2.39,0.00,0.00,0.29,75,1.27
RSC000035,Feen,5,Rival,57,27,30,5,15710,31,23,57,103,5,1,0,3,,,0.47,0.19,275.61,0.54,0.40,1.00,1.81,0.00,0.00,0.30,54,0.95
RSC000035,Feen,6,Rival,60,26,34,11,19286,36,30,72,135,7,1,1,7,,,0.43,0.42,321.43,0.60,0.50,1.20,2.25,0.00,0.00,0.27,66,1.10
RSC000035,Feen,7,Veteran,64,34,30,7,19557,44,26,79,142,7,1,0,9,,,0.53,0.21,305.58,0.69,0.41,1.23,2.22,0.00,0.00,0.31,70,1.09
RSC000035,Feen,8,Veteran,61,28,33,12,20647,45,24,92,138,10,2,1,8,,,0.46,0.43,338.48,0.74,0.39,1.51,2.26,0.00,0.00,0.33,69,1.13
RSC000035,Feen,9,Elite,56,31,25,11,19592,43,30,76,140,8,2,1,6,,,0.55,0.35,349.86,0.77,0.54,1.36,2.50,0.00,0.00,0.31,73,1.30
RSC000035,Feen,10,Elite,53,16,37,7,17052,30,28,68,111,11,0,2,6,,,0.30,0.44,321.74,0.57,0.53,1.28,2.09,0.00,0.00,0.27,58,1.09
RSC000035,Feen,18,Veteran,58,14,44,4,18833,34,18,84,150,7,1,1,12,46,81,0.24,0.29,324.71,0.59,0.31,1.45,2.59,0.79,1.40,0.23,52,0.90
RSC000035,Feen,19,Veteran,64,40,24,12,22760,50,49,79,158,18,2,2,6,50,78,0.63,0.30,355.63,0.78,0.77,1.23,2.47,0.78,1.22,0.32,99,1.55
RSC000035,Feen,20,Veteran,58,19,39,6,19672,42,29,82,141,12,2,0,12,48,52,0.33,0.32,339.17,0.72,0.50,1.41,2.43,0.83,0.90,0.30,71,1.22
RSC000035,Feen,21,Veteran,52,25,27,2,17638,40,34,67,147,7,2,2,4,57,48,0.48,0.08,339.19,0.77,0.65,1.29,2.83,1.10,0.92,0.27,74,1.42
RSC000036,Scribbs,2,Veteran,50,23,27,11,10920,45,20,42,105,8,4,0,1,,,0.46,0.48,218.40,0.90,0.40,0.84,2.10,0.00,0.00,0.43,65,1.30
RSC000036,Scribbs,3,Veteran,48,22,26,7,10380,25,26,46,76,5,1,1,5,,,0.46,0.32,216.25,0.52,0.54,0.96,1.58,0.00,0.00,0.33,51,1.06
