RSC ID,# of Seasons,First Season,Seasons Played
RSC000113,1,5,[5]
RSC000114,3,6,"[6, 7, 9]"
RSC000115,2,6,"[6, 8]"
RSC000116,3,5,"[5, 6, 7]"
RSC000117,1,6,[6]
RSC000118,8,1,"[1, 5, 6, 7, 8, 10, 11, 13]"
RSC000119,10,6,"[6, 8, 9, 14, 15, 16, 17, 18, 19, 21]"
RSC000120,1,6,[6]
RSC000121,11,1,"[1, 3, 6, 7, 8, 9, 10, 11, 12, 13, 14]"
RSC000122,4,6,"[6, 7, 8, 9]"
RSC000123,1,6,[6]
RSC000124,13,5,"[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]"
RSC000125,2,6,"[6, 7]"
RSC000126,3,6,"[6, 11, 13]"
RSC000127,6,1,"[1, 2, 3, 4, 5, 6]"
RSC000128,12,6,"[6, 8, 9, 10, 11, 15, 16, 17, 19, 20, 23, 25]"
RSC000129,11,2,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]"
RSC000130,14,3,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17]"
RSC000132,3,4,"[4, 5, 6]"
RSC000133,6,6,"[6, 8, 9, 11, 12, 13]"
RSC000134,1,6,[6]
RSC000136,19,5,"[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 18, 19, 20, 21, 22, 23, 24, 25]"
RSC000137,2,6,"[6, 7]"
RSC000138,1,1,[1]
RSC000139,5,4,"[4, 5, 6, 12, 13]"
RSC000140,12,5,"[5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 21, 25]"
RSC000141,3,5,"[5, 6, 7]"
RSC000142,2,6,"[6, 7]"
RSC000143,4,6,"[6, 7, 8, 9]"
RSC000145,4,6,"[6, 7, 8, 12]"
RSC000146,13,9,"[9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 21, 22, 23]"
RSC000147,4,6,"[6, 7, 11, 12]"
RSC000148,6,4,"[4, 5, 6, 8, 12, 21]"
RSC000149,6,1,"[1, 3, 4, 5, 6, 7]"
RSC000150,1,6,[6]
RSC000151,12,1,"[1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 13, 14]"
RSC000152,1,6,[6]
RSC000153,1,6,[6]
RSC000154,1,5,[5]
RSC000155,5,3,"[3, 5, 6, 8, 9]"
RSC000156,18,4,"[4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 18, 19, 20, 21, 22, 23, 24, 25]"
RSC000157,3,6,"[6, 7, 8]"
RSC000158,13,1,"[1, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]"
RSC000159,12,1,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 16, 19]"
RSC000160,7,4,"[4, 5, 6, 7, 8, 9, 10]"
RSC000161,1,5,[5]
RSC000162,13,5,"[5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18]"
RSC000164,2,5,"[5, 6]"
RSC000165,5,5,"[5, 6, 7, 8, 9]"
RSC000167,2,6,"[6, 7]"
RSC000168,3,8,"[8, 9, 12]"
RSC000169,7,6,"[6, 7, 8, 9, 10, 14, 17]"
RSC000170,6,6,"[6, 7, 8, 9, 14, 20]"
RSC000171,3,6,"[6, 11, 12]"
RSC000172,11,6,"[6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]"
RSC000173,4,5,"[5, 6, 8, 17]"
RSC000174,2,1,"[1, 2]"
RSC000175,9,6,"[6, 8, 9, 10, 11, 12, 13, 14, 15]"
RSC000176,5,5,"[5, 6, 7, 9, 10]"
RSC000177,1,6,[6]
RSC000178,10,5,"[5, 6, 7, 9, 10, 11, 12, 13, 15, 16]"
RSC000179,7,5,"[5, 8, 11, 12, 13, 14, 23]"
RSC000181,5,6,"[6, 8, 23, 24, 25]"
RSC000182,20,6,"[6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]"
RSC000183,17,5,"[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 23, 24]"
RSC000184,6,2,"[2, 3, 6, 7, 8, 9]"
RSC000185,10,4,"[4, 5, 6, 7, 8, 9, 10, 12, 13, 14]"
RSC000186,3,4,"[4, 5, 6]"
RSC000187,6,6,"[6, 7, 8, 9, 10, 11]"
RSC000188,3,6,"[6, 7, 8]"
RSC000189,6,6,"[6, 7, 8, 9, 10, 14]"
RSC000190,13,6,"[6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 22]"
RSC000192,4,3,"[3, 4, 5, 6]"
RSC000193,13,1,"[1, 2, 3, 4, 6, 8, 11, 12, 13, 14, 15, 16, 17]"
RSC000194,5,6,"[6, 7, 8, 10, 12]"
RSC000195,1,5,[5]
RSC000196,8,6,"[6, 8, 9, 10, 12, 13, 15, 16]"
RSC000197,15,3,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 22]"
RSC000199,1,5,[5]
RSC000200,9,6,"[6, 7, 8, 9, 18, 19, 20, 21, 24]"
RSC000201,6,6,"[6, 8, 9, 10, 11, 12]"
RSC000202,6,6,"[6, 8, 9, 10, 11, 13]"
RSC000203,19,6,"[6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25]"
RSC000204,1,2,[2]
RSC000205,2,5,"[5, 6]"
RSC000206,2,5,"[5, 6]"
RSC000207,1,6,[6]
RSC000208,1,6,[6]
RSC000209,3,6,"[6, 17, 18]"
RSC000210,2,5,"[5, 6]"
RSC000211,7,5,"[5, 6, 7, 8, 9, 10, 11]"
RSC000212,5,1,"[1, 4, 5, 6, 7]"
RSC000213,5,4,"[4, 5, 6, 7, 8]"
RSC000214,7,5,"[5, 6, 7, 8, 9, 10, 11]"
RSC000215,5,6,"[6, 7, 8, 9, 10]"
RSC000216,3,5,"[5, 6, 7]"
RSC000217,3,6,"[6, 7, 8]"
RSC000218,5,6,"[6, 7, 10, 11, 18]"
RSC000219,3,6,"[6, 7, 8]"
RSC000220,13,1,"[1, 2, 4, 5, 6, 8, 9, 14, 15, 16, 17, 19, 20]"
RSC000221,24,2,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]"
RSC000223,3,4,"[4, 5, 8]"
RSC000224,2,2,"[2, 3]"
RSC000225,1,4,[4]
RSC000226,4,2,"[2, 3, 6, 7]"
RSC000227,9,5,"[5, 6, 7, 8, 9, 10, 11, 12, 13]"
RSC000229,13,6,"[6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 18, 20, 21]"
RSC000230,11,6,"[6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]"
RSC000231,2,1,"[1, 2]"
RSC000232,15,4,"[4, 6, 10, 11, 12, 14, 15, 16, 17, 18, 20, 21, 22, 23, 25]"
RSC000233,11,6,"[6, 7, 8, 9, 10, 11, 12, 13, 21, 24, 25]"
RSC000234,3,5,"[5, 6, 8]"
RSC000235,12,6,"[6, 8, 9, 10, 11, 12, 16, 17, 18, 19, 20, 21]"
RSC000236,10,2,"[2, 3, 4, 6, 7, 9, 10, 11, 13, 14]"
RSC000237,4,5,"[5, 6, 9, 10]"
RSC000238,1,1,[1]
RSC000239,2,6,"[6, 13]"
RSC000240,1,5,[5]
RSC000241,17,5,"[5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 17, 18, 19, 20, 21, 22, 25]"
RSC000242,7,3,"[3, 4, 5, 6, 7, 8, 9]"
RSC000243,4,6,"[6, 8, 9, 10]"
RSC000244,6,6,"[6, 8, 9, 10, 13, 14]"
RSC000245,3,6,"[6, 7, 18]"
RSC000246,1,1,[1]
RSC000247,11,4,"[4, 5, 6, 7, 8, 9, 11, 12, 13, 15, 16]"
RSC000248,4,2,"[2, 3, 4, 5]"
RSC000249,8,5,"[5, 6, 7, 8, 9, 10, 12, 13]"
RSC000250,2,5,"[5, 6]"
RSC000251,7,1,"[1, 2, 3, 4, 5, 6, 7]"
RSC000252,8,2,"[2, 3, 4, 5, 6, 7, 10, 14]"
RSC000253,11,6,"[6, 7, 8, 9, 10, 11, 12, 13, 14, 21, 22]"
RSC000254,14,5,"[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]"
RSC000255,3,5,"[5, 6, 7]"
RSC000256,2,5,"[5, 19]"
RSC000257,4,5,"[5, 6, 9, 10]"
RSC000258,11,3,"[3, 4, 5, 6, 7, 8, 10, 11, 13, 14, 15]"
RSC000259,1,6,[6]
RSC000260,4,4,"[4, 5, 7, 8]"
RSC000261,12,6,"[6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19]"
RSC000262,3,3,"[3, 4, 5]"
RSC000264,1,6,[6]
RSC000265,12,6,"[6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]"
RSC000266,1,1,[1]
RSC000267,5,6,"[6, 8, 10, 11, 12]"
RSC000268,7,3,"[3, 4, 5, 6, 7, 8, 9]"
RSC000269,4,1,"[1, 2, 3, 5]"
RSC000270,5,5,"[5, 6, 7, 8, 11]"
RSC000272,1,6,[6]
RSC000274,1,5,[5]
RSC000275,4,4,"[4, 5, 6, 7]"
RSC000276,4,6,"[6, 8, 12, 13]"
RSC000277,2,6,"[6, 10]"
RSC000278,18,6,"[6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25]"
RSC000279,5,3,"[3, 5, 6, 8, 11]"
RSC000280,3,5,"[5, 6, 7]"
RSC000281,9,3,"[3, 4, 5, 6, 7, 8, 9, 11, 12]"
RSC000282,1,5,[5]
RSC000283,1,5,[5]
RSC000284,1,6,[6]
RSC000285,1,6,[6]
RSC000286,4,3,"[3, 4, 5, 6]"
RSC000287,9,5,"[5, 6, 8, 9, 11, 12, 16, 17, 19]"
RSC000289,3,5,"[5, 6, 8]"
RSC000290,9,6,"[6, 9, 11, 13, 14, 18, 20, 21, 22]"
RSC000291,18,4,"[4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22]"
RSC000292,9,1,"[1, 2, 3, 4, 5, 6, 7, 8, 11]"
RSC000293,7,1,"[1, 6, 7, 8, 9, 10, 14]"
RSC000294,10,1,"[1, 2, 3, 4, 5, 6, 8, 9, 10, 11]"
RSC000295,4,4,"[4, 5, 6, 11]"
RSC000296,1,6,[6]
RSC000297,5,3,"[3, 4, 5, 6, 7]"
RSC000298,2,5,"[5, 6]"
RSC000299,3,4,"[4, 5, 6]"
RSC000300,9,6,"[6, 7, 8, 11, 13, 14, 15, 19, 20]"
RSC000301,2,6,"[6, 8]"
RSC000302,11,6,"[6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 21]"
RSC000303,3,6,"[6, 7, 8]"
RSC000304,1,6,[6]
RSC000305,5,5,"[5, 6, 7, 8, 9]"
RSC000306,4,6,"[6, 7, 8, 9]"
RSC000307,2,5,"[5, 6]"
RSC000308,4,4,"[4, 5, 6, 7]"
RSC000309,1,5,[5]
RSC000310,16,2,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]"
RSC000313,8,5,"[5, 6, 7, 8, 9, 10, 11, 12]"
RSC000314,14,6,"[6, 8, 11, 12, 14, 15, 16, 17, 18, 19, 20, 23, 24, 25]"
RSC000315,6,5,"[5, 6, 7, 8, 15, 16]"
RSC000316,2,6,"[6, 7]"
RSC000317,5,6,"[6, 8, 10, 11, 12]"
RSC000318,7,5,"[5, 6, 7, 9, 10, 11, 12]"
RSC000320,19,6,"[6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 23, 24, 25]"
RSC000321,1,5,[5]
RSC000322,14,6,"[6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 20, 23]"
RSC000323,19,6,"[6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25]"
RSC000324,7,2,"[2, 4, 5, 6, 7, 8, 9]"
RSC000325,8,2,"[2, 3, 4, 5, 6, 7, 8, 12]"
RSC000327,1,6,[6]
RSC000328,1,6,[6]
RSC000329,15,1,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 15, 16, 20, 21, 25]"
RSC000330,20,4,"[4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24]"
RSC000331,14,6,"[6, 7, 8, 9, 11, 12, 13, 19, 20, 21, 22, 23, 24, 25]"
RSC000332,3,6,"[6, 7, 8]"
RSC000333,3,6,"[6, 8, 17]"
RSC000334,13,1,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 25]"
RSC000335,5,6,"[6, 8, 11, 23, 24]"
RSC000336,13,1,"[1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15]"
RSC000337,5,2,"[2, 6, 10, 12, 18]"
RSC000338,1,2,[2]
RSC000339,3,2,"[2, 3, 5]"
RSC000340,4,4,"[4, 5, 6, 8]"
RSC000341,11,6,"[6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17]"
RSC000342,9,1,"[1, 6, 8, 9, 11, 17, 19, 20, 21]"
