RSC ID,# of Seasons,First Season,Seasons Played
RSC000499,10,6,"[6, 7, 8, 10, 11, 12, 13, 15, 24, 25]"
RSC000500,5,6,"[6, 7, 8, 9, 10]"
RSC000501,1,6,[6]
RSC000502,6,6,"[6, 8, 9, 10, 12, 13]"
RSC000503,8,4,"[4, 5, 6, 7, 8, 9, 10, 11]"
RSC000504,1,6,[6]
RSC000505,2,1,"[1, 2]"
RSC000506,5,6,"[6, 8, 9, 11, 14]"
RSC000507,5,5,"[5, 6, 7, 12, 13]"
RSC000508,11,6,"[6, 8, 15, 16, 17, 18, 19, 20, 21, 22, 23]"
RSC000509,4,5,"[5, 6, 7, 8]"
RSC000510,1,4,[4]
RSC000511,2,5,"[5, 6]"
RSC000512,1,6,[6]
RSC000513,8,6,"[6, 7, 8, 9, 12, 13, 14, 15]"
RSC000514,4,6,"[6, 7, 8, 9]"
RSC000515,1,6,[6]
RSC000516,6,6,"[6, 8, 9, 10, 11, 13]"
RSC000517,3,4,"[4, 5, 6]"
RSC000518,1,6,[6]
RSC000519,14,2,"[2, 3, 6, 7, 8, 9, 10, 11, 12, 13, 14, 17, 18, 24]"
RSC000520,5,3,"[3, 4, 5, 6, 7]"
RSC000521,3,6,"[6, 7, 8]"
RSC000522,2,5,"[5, 6]"
RSC000523,1,6,[6]
RSC000524,8,1,"[1, 2, 3, 4, 5, 6, 7, 8]"
RSC000525,6,1,"[1, 2, 3, 4, 5, 7]"
RSC000526,3,4,"[4, 5, 6]"
RSC000528,1,1,[1]
RSC000529,2,4,"[4, 5]"
RSC000530,5,6,"[6, 8, 9, 10, 11]"
RSC000531,7,6,"[6, 9, 11, 12, 13, 15, 18]"
RSC000532,3,4,"[4, 5, 6]"
RSC000533,1,6,[6]
RSC000534,13,6,"[6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19]"
RSC000535,4,4,"[4, 5, 6, 7]"
RSC000537,3,6,"[6, 7, 8]"
RSC000540,2,10,"[10, 12]"
RSC000541,1,6,[6]
RSC000542,9,1,"[1, 2, 3, 4, 5, 6, 8, 9, 10]"
RSC000544,10,6,"[6, 8, 9, 10, 11, 12, 13, 14, 15, 16]"
RSC000545,7,4,"[4, 6, 9, 10, 11, 12, 13]"
RSC000546,1,6,[6]
RSC000547,7,3,"[3, 4, 5, 6, 7, 8, 9]"
RSC000548,2,6,"[6, 7]"
RSC000549,2,6,"[6, 7]"
RSC000550,7,6,"[6, 7, 8, 22, 23, 24, 25]"
RSC000551,5,6,"[6, 9, 14, 18, 19]"
RSC000552,13,6,"[6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]"
RSC000553,1,5,[5]
RSC000554,2,1,"[1, 2]"
RSC000555,8,6,"[6, 7, 8, 9, 10, 11, 12, 13]"
RSC000556,5,5,"[5, 6, 8, 10, 11]"
RSC000557,1,6,[6]
RSC000559,2,5,"[5, 6]"
RSC000560,2,5,"[5, 6]"
RSC000561,1,6,[6]
RSC000562,2,1,"[1, 5]"
RSC000563,4,6,"[6, 7, 8, 9]"
RSC000564,11,6,"[6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18]"
RSC000565,7,6,"[6, 8, 9, 10, 11, 12, 18]"
RSC000566,7,5,"[5, 6, 7, 17, 18, 19, 20]"
RSC000567,3,5,"[5, 6, 7]"
RSC000568,2,3,"[3, 6]"
RSC000569,4,6,"[6, 8, 9, 10]"
RSC000570,1,4,[4]
RSC000571,3,1,"[1, 2, 3]"
RSC000572,4,6,"[6, 8, 9, 10]"
RSC000574,10,3,"[3, 6, 8, 9, 10, 11, 12, 13, 14, 15]"
RSC000575,2,4,"[4, 6]"
RSC000577,11,5,"[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]"
RSC000578,1,4,[4]
RSC000579,17,6,"[6, 7, 8, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]"
RSC000580,1,6,[6]
RSC000581,2,5,"[5, 6]"
RSC000582,2,6,"[6, 9]"
RSC000583,13,2,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]"
RSC000584,1,6,[6]
RSC000585,1,2,[2]
RSC000586,1,5,[5]
RSC000587,2,6,"[6, 7]"
RSC000588,9,7,"[7, 8, 9, 10, 12, 14, 16, 17, 18]"
RSC000589,8,6,"[6, 7, 8, 9, 10, 11, 12, 13]"
RSC000590,3,5,"[5, 6, 7]"
RSC000591,9,6,"[6, 8, 9, 10, 11, 12, 13, 16, 23]"
RSC000592,1,4,[4]
RSC000593,1,6,[6]
RSC000594,10,4,"[4, 5, 6, 7, 8, 9, 10, 11, 12, 13]"
RSC000595,11,4,"[4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15]"
RSC000596,1,6,[6]
RSC000597,2,5,"[5, 6]"
RSC000598,2,1,"[1, 2]"
RSC000599,1,1,[1]
RSC000600,1,5,[5]
RSC000601,7,6,"[6, 8, 9, 12, 13, 18, 22]"
RSC000602,1,6,[6]
RSC000603,5,6,"[6, 7, 8, 9, 11]"
RSC000604,2,5,"[5, 6]"
RSC000605,3,6,"[6, 7, 12]"
RSC000606,5,4,"[4, 5, 9, 15, 19]"
RSC000609,3,6,"[6, 8, 11]"
RSC000610,3,6,"[6, 7, 8]"
RSC000611,1,6,[6]
RSC000612,5,6,"[6, 8, 12, 14, 15]"
RSC000613,1,5,[5]
RSC000614,2,5,"[5, 6]"
RSC000615,1,7,[7]
RSC000617,13,6,"[6, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20]"
RSC000618,8,5,"[5, 10, 16, 19, 20, 22, 23, 24]"
RSC000619,2,5,"[5, 6]"
RSC000620,3,4,"[4, 5, 6]"
RSC000621,11,4,"[4, 5, 6, 7, 8, 9, 13, 14, 17, 18, 19]"
RSC000622,3,6,"[6, 7, 8]"
RSC000623,22,4,"[4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]"
RSC000624,2,6,"[6, 7]"
RSC000625,19,3,"[3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 22, 23, 25]"
RSC000626,19,6,"[6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]"
RSC000627,3,6,"[6, 7, 8]"
RSC000628,4,4,"[4, 5, 6, 7]"
RSC000630,2,5,"[5, 6]"
RSC000631,1,5,[5]
RSC000632,2,6,"[6, 10]"
RSC000633,5,2,"[2, 3, 4, 5, 6]"
RSC000634,10,6,"[6, 7, 8, 9, 10, 11, 12, 13, 14, 17]"
RSC000635,2,4,"[4, 5]"
RSC000636,4,6,"[6, 8, 9, 11]"
RSC000637,1,6,[6]
RSC000639,8,3,"[3, 4, 5, 6, 7, 8, 9, 15]"
RSC000640,4,6,"[6, 9, 10, 11]"
RSC000642,4,6,"[6, 8, 9, 10]"
RSC000643,8,6,"[6, 7, 8, 9, 10, 11, 12, 13]"
RSC000644,6,5,"[5, 6, 7, 8, 9, 11]"
RSC000645,9,6,"[6, 8, 9, 10, 13, 14, 15, 18, 22]"
RSC000646,2,6,"[6, 7]"
RSC000647,6,6,"[6, 8, 9, 10, 11, 12]"
RSC000648,2,6,"[6, 7]"
RSC000649,11,6,"[6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 25]"
RSC000651,4,5,"[5, 6, 7, 8]"
RSC000652,5,4,"[4, 5, 6, 7, 8]"
RSC000653,2,5,"[5, 6]"
RSC000654,11,6,"[6, 7, 8, 10, 11, 12, 13, 16, 17, 22, 24]"
RSC000655,3,4,"[4, 5, 6]"
RSC000656,8,6,"[6, 9, 11, 12, 13, 14, 15, 25]"
RSC000657,19,5,"[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 23, 24, 25]"
RSC000658,3,10,"[10, 11, 13]"
RSC000659,4,6,"[6, 8, 9, 12]"
RSC000660,2,4,"[4, 5]"
RSC000661,8,3,"[3, 4, 5, 6, 7, 8, 9, 10]"
RSC000662,1,6,[6]
RSC000663,13,6,"[6, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 22, 23]"
RSC000664,6,6,"[6, 8, 9, 10, 11, 17]"
RSC000665,3,5,"[5, 6, 12]"
RSC000666,16,5,"[5, 6, 7, 8, 9, 11, 12, 17, 18, 19, 20, 21, 22, 23, 24, 25]"
RSC000667,1,5,[5]
RSC000668,1,1,[1]
RSC000669,3,6,"[6, 7, 11]"
RSC000670,2,6,"[6, 7]"
RSC000671,1,8,[8]
RSC000672,8,6,"[6, 8, 9, 10, 20, 22, 23, 25]"
RSC000673,2,5,"[5, 6]"
RSC000675,3,5,"[5, 7, 10]"
RSC000676,2,5,"[5, 6]"
RSC000677,2,5,"[5, 6]"
RSC000678,3,6,"[6, 7, 8]"
RSC000679,3,3,"[3, 4, 5]"
RSC000680,1,6,[6]
RSC000682,7,6,"[6, 7, 8, 9, 10, 11, 12]"
RSC000683,1,1,[1]
RSC000684,8,6,"[6, 7, 8, 9, 10, 11, 12, 18]"
RSC000685,11,6,"[6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17]"
RSC000686,4,6,"[6, 14, 24, 25]"
RSC000687,2,6,"[6, 7]"
RSC000688,4,1,"[1, 2, 3, 7]"
RSC000689,9,6,"[6, 8, 9, 10, 11, 14, 15, 16, 18]"
RSC000690,18,6,"[6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24]"
RSC000691,2,6,"[6, 10]"
RSC000693,4,4,"[4, 5, 6, 7]"
RSC000694,4,6,"[6, 8, 9, 12]"
RSC000695,2,6,"[6, 7]"
RSC000696,3,6,"[6, 7, 8]"
RSC000697,17,6,"[6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 23]"
RSC000698,11,6,"[6, 7, 8, 9, 10, 11, 12, 13, 14, 17, 22]"
RSC000699,5,6,"[6, 8, 9, 11, 12]"
RSC000700,2,6,"[6, 8]"
RSC000701,1,2,[2]
RSC000702,1,2,[2]
RSC000703,1,6,[6]
RSC000706,4,5,"[5, 6, 7, 8]"
RSC000707,4,5,"[5, 9, 10, 11]"
RSC000708,8,3,"[3, 5, 6, 7, 8, 9, 10, 11]"
RSC000710,5,6,"[6, 8, 9, 14, 15]"
RSC000711,3,4,"[4, 5, 6]"
RSC000712,7,4,"[4, 6, 7, 8, 11, 12, 13]"
RSC000713,7,6,"[6, 8, 9, 10, 11, 12, 13]"
RSC000714,17,6,"[6, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 22, 23, 24]"
RSC000715,3,4,"[4, 5, 6]"
RSC000716,5,4,"[4, 5, 6, 12, 13]"
RSC000717,4,6,"[6, 7, 8, 9]"
RSC000719,2,9,"[9, 15]"
RSC000720,2,8,"[8, 9]"
RSC000721,1,8,[8]
RSC000722,9,5,"[5, 6, 7, 8, 9, 10, 11, 14, 15]"
RSC000723,2,4,"[4, 5]"
RSC000724,19,6,"[6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]"
RSC000725,2,5,"[5, 6]"
RSC000726,17,6,"[6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]"
RSC000727,2,1,"[1, 2]"
RSC000728,5,6,"[6, 7, 11, 12, 13]"
RSC000729,3,6,"[6, 7, 8]"
RSC000730,13,6,"[6, 7, 8, 9, 11, 12, 14, 15, 16, 17, 19, 20, 21]"
RSC000731,5,5,"[5, 20, 21, 22, 24]"
RSC000733,1,6,[6]
RSC000734,2,5,"[5, 6]"
RSC000735,7,6,"[6, 8, 9, 10, 11, 12, 13]"
RSC000736,2,5,"[5, 8]"
RSC000737,7,5,"[5, 6, 7, 8, 10, 22, 23]"
RSC000738,1,6,[6]
RSC000739,6,6,"[6, 7, 8, 10, 13, 24]"
RSC000740,8,2,"[2, 3, 6, 7, 8, 9, 10, 11]"
RSC000741,3,6,"[6, 7, 8]"
RSC000742,2,5,"[5, 6]"
RSC000743,2,4,"[4, 5]"
RSC000744,5,6,"[6, 7, 8, 9, 11]"
RSC000745,10,6,"[6, 8, 9, 10, 11, 13, 14, 17, 20, 23]"
RSC000746,1,1,[1]
RSC000747,3,6,"[6, 7, 8]"
RSC000748,3,7,"[7, 8, 9]"
RSC000749,1,5,[5]
RSC000750,15,5,"[5, 7, 8, 9, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 22]"
RSC000752,2,6,"[6, 8]"
RSC000753,11,3,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]"
RSC000754,10,5,"[5, 6, 7, 8, 9, 10, 11, 13, 14, 18]"
RSC000755,11,6,"[6, 7, 9, 13, 14, 15, 16, 17, 18, 19, 20]"
RSC000756,2,6,"[6, 12]"
RSC000757,2,6,"[6, 11]"
RSC000758,4,5,"[5, 6, 7, 8]"
RSC000759,6,7,"[7, 8, 9, 10, 11, 12]"
RSC000760,1,6,[6]
RSC000763,12,6,"[6, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 22]"
RSC000764,5,4,"[4, 5, 6, 7, 8]"
RSC000765,2,6,"[6, 13]"
RSC000766,10,5,"[5, 6, 7, 8, 9, 10, 11, 13, 14, 15]"
RSC000767,10,5,"[5, 6, 7, 8, 9, 20, 21, 22, 23, 24]"
RSC000769,6,6,"[6, 8, 11, 12, 13, 14]"
RSC000770,3,6,"[6, 7, 8]"
RSC000771,3,6,"[6, 7, 8]"
RSC000772,2,5,"[5, 6]"
RSC000773,9,6,"[6, 7, 8, 9, 10, 11, 12, 13, 14]"
RSC000774,16,6,"[6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 24]"
RSC000775,11,5,"[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]"
RSC000776,7,5,"[5, 6, 7, 13, 14, 15, 20]"
RSC000777,19,4,"[4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 25]"
RSC000778,5,1,"[1, 2, 3, 5, 6]"
RSC000779,13,6,"[6, 8, 9, 10, 11, 12, 13, 14, 15, 18, 19, 20, 21]"
RSC000780,1,6,[6]
RSC000781,7,4,"[4, 5, 6, 7, 9, 11, 12]"
RSC000782,12,4,"[4, 5, 6, 7, 8, 10, 11, 17, 18, 19, 20, 21]"
RSC000783,3,3,"[3, 4, 5]"
RSC000784,11,5,"[5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16]"
RSC000785,11,6,"[6, 7, 8, 9, 10, 11, 12, 16, 17, 20, 21]"
RSC000786,1,6,[6]
RSC000787,20,6,"[6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]"
RSC000788,1,6,[6]
RSC000789,2,4,"[4, 5]"
RSC000790,8,6,"[6, 8, 9, 10, 13, 18, 20, 21]"
RSC000791,4,4,"[4, 5, 7, 8]"
RSC000792,5,4,"[4, 6, 7, 8, 10]"
RSC000793,6,4,"[4, 5, 6, 7, 8, 9]"
RSC000794,2,6,"[6, 9]"
RSC000795,2,5,"[5, 6]"
RSC000796,20,6,"[6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]"
RSC000797,4,5,"[5, 6, 8, 10]"
RSC000798,2,6,"[6, 7]"
RSC000799,9,8,"[8, 9, 11, 13, 21, 22, 23, 24, 25]"
RSC000800,3,6,"[6, 7, 8]"
RSC000802,2,6,"[6, 9]"
RSC000803,1,9,[9]
RSC000804,4,6,"[6, 8, 9, 10]"
RSC000805,14,5,"[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]"
RSC000806,5,6,"[6, 10, 11, 12, 14]"
RSC000808,3,4,"[4, 5, 6]"
RSC000809,6,6,"[6, 8, 9, 10, 11, 12]"
RSC000810,1,6,[6]
RSC000811,1,6,[6]
RSC000812,7,6,"[6, 17, 18, 19, 20, 21, 24]"
RSC000813,15,5,"[5, 6, 7, 8, 9, 10, 14, 15, 16, 18, 19, 20, 22, 23, 24]"
RSC000815,1,6,[6]
RSC000816,1,6,[6]
RSC000817,10,5,"[5, 6, 7, 8, 9, 10, 11, 14, 15, 16]"
RSC000818,4,5,"[5, 7, 8, 9]"
RSC000819,12,5,"[5, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]"
RSC000820,4,4,"[4, 5, 6, 7]"
RSC000821,3,1,"[1, 8, 9]"
RSC000823,2,1,"[1, 2]"
RSC000824,15,6,"[6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 22, 23]"
RSC000825,3,3,"[3, 4, 5]"
RSC000826,1,1,[1]
RSC000828,20,6,"[6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]"
RSC000831,1,1,[1]
RSC000832,2,4,"[4, 6]"
RSC000834,3,3,"[3, 4, 5]"
RSC000835,6,6,"[6, 8, 9, 10, 11, 12]"
RSC000836,3,6,"[6, 7, 9]"
RSC000837,1,6,[6]
RSC000839,11,4,"[4, 5, 6, 7, 8, 11, 16, 17, 19, 20, 22]"
RSC000840,2,5,"[5, 6]"
RSC000841,8,5,"[5, 6, 7, 8, 9, 10, 11, 12]"
RSC000842,2,5,"[5, 6]"
RSC000843,2,5,"[5, 6]"
RSC000844,2,7,"[7, 8]"
RSC000845,2,5,"[5, 6]"
RSC000846,2,6,"[6, 7]"
RSC000847,2,5,"[5, 6]"
RSC000848,21,4,"[4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]"
RSC000849,9,5,"[5, 6, 7, 8, 9, 10, 11, 12, 13]"
RSC000850,7,6,"[6, 8, 9, 10, 11, 13, 14]"
RSC000851,19,6,"[6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]"
RSC000853,1,8,[8]
RSC000855,9,4,"[4, 5, 6, 7, 8, 9, 10, 12, 13]"
RSC000857,3,5,"[5, 6, 7]"
RSC000858,9,6,"[6, 7, 13, 14, 15, 16, 17, 18, 19]"
RSC000859,2,5,"[5, 23]"
RSC000861,7,6,"[6, 8, 9, 10, 11, 12, 13]"
RSC000862,1,6,[6]
RSC000863,1,6,[6]
RSC000865,6,6,"[6, 7, 8, 12, 13, 14]"
RSC000866,6,6,"[6, 8, 9, 10, 11, 13]"
RSC000867,18,4,"[4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 22, 25]"
RSC000868,5,2,"[2, 3, 4, 5, 6]"
RSC000869,3,4,"[4, 5, 6]"
RSC000870,6,6,"[6, 7, 8, 9, 10, 11]"
RSC000871,2,2,"[2, 3]"
RSC000872,1,10,[10]
RSC000873,6,6,"[6, 7, 9, 11, 12, 13]"
RSC000874,1,6,[6]
RSC000875,8,6,"[6, 8, 9, 10, 11, 13, 14, 15]"
RSC000876,8,6,"[6, 8, 9, 10, 11, 16, 19, 20]"
RSC000878,2,4,"[4, 5]"
RSC000879,8,5,"[5, 6, 7, 8, 9, 10, 15, 16]"
RSC000880,3,6,"[6, 8, 9]"
RSC000881,2,6,"[6, 8]"
RSC000883,1,6,[6]
RSC000884,9,5,"[5, 8, 9, 10, 11, 12, 18, 19, 20]"
RSC000885,2,6,"[6, 8]"
RSC000886,13,6,"[6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19]"
RSC000888,1,6,[6]
RSC000889,1,6,[6]
RSC000891,8,4,"[4, 5, 6, 7, 8, 9, 10, 11]"
RSC000892,1,6,[6]
RSC000893,1,6,[6]
RSC000894,4,6,"[6, 8, 9, 12]"
RSC000895,2,4,"[4, 5]"
RSC000896,4,6,"[6, 7, 8, 9]"
RSC000897,5,5,"[5, 6, 7, 8, 12]"
RSC000898,7,4,"[4, 5, 6, 8, 9, 10, 12]"
RSC000899,1,5,[5]
RSC000900,1,6,[6]
RSC000901,3,6,"[6, 8, 10]"
RSC000902,2,6,"[6, 7]"
RSC000904,4,6,"[6, 7, 8, 10]"
RSC000905,1,5,[5]
RSC000906,1,6,[6]
RSC000908,3,6,"[6, 7, 8]"
RSC000909,1,6,[6]
RSC000910,1,6,[6]
RSC000911,2,5,"[5, 6]"
RSC000913,4,5,"[5, 6, 7, 8]"
RSC000914,2,5,"[5, 6]"
RSC000915,1,6,[6]
RSC000918,2,6,"[6, 7]"
RSC000919,4,3,"[3, 6, 9, 20]"
RSC000920,2,6,"[6, 7]"
RSC000921,4,6,"[6, 8, 9, 10]"
RSC000922,11,6,"[6, 9, 10, 12, 13, 15, 16, 18, 19, 24, 25]"
RSC000923,18,5,"[5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20, 22, 23, 24, 25]"
RSC000925,8,6,"[6, 8, 9, 10, 11, 12, 13, 14]"
RSC000926,19,6,"[6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]"
RSC000928,2,4,"[4, 8]"
RSC000929,8,6,"[6, 8, 9, 10, 11, 12, 13, 14]"
RSC000930,7,6,"[6, 7, 8, 9, 10, 11, 13]"
RSC000931,16,4,"[4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 19, 20, 23]"
RSC000932,8,6,"[6, 7, 8, 9, 10, 11, 12, 13]"
RSC000934,11,6,"[6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 20]"
RSC000935,1,6,[6]
RSC000936,1,6,[6]
RSC000937,3,6,"[6, 7, 8]"
RSC000938,12,6,"[6, 8, 9, 12, 13, 15, 20, 21, 22, 23, 24, 25]"
RSC000939,3,4,"[4, 5, 6]"
RSC000940,1,6,[6]
RSC000941,4,6,"[6, 7, 8, 9]"
RSC000942,1,5,[5]
RSC000944,1,5,[5]
RSC000945,10,6,"[6, 7, 8, 9, 10, 11, 13, 14, 15, 18]"
RSC000946,11,6,"[6, 7, 8, 10, 12, 13, 14, 15, 16, 17, 19]"
RSC000947,5,4,"[4, 5, 6, 7, 8]"
RSC000948,3,6,"[6, 7, 8]"
RSC000950,2,6,"[6, 10]"
RSC000951,1,6,[6]
RSC000952,5,5,"[5, 6, 7, 8, 9]"
RSC000953,2,6,"[6, 8]"
RSC000954,10,5,"[5, 6, 7, 8, 9, 10, 11, 12, 16, 17]"
RSC000955,3,6,"[6, 8, 9]"
RSC000957,5,6,"[6, 8, 11, 12, 23]"
RSC000958,5,4,"[4, 5, 6, 7, 8]"
RSC000959,4,6,"[6, 7, 8, 9]"
RSC000960,14,6,"[6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 21, 22]"
RSC000961,8,5,"[5, 6, 7, 8, 9, 10, 11, 12]"
RSC000962,11,6,"[6, 7, 8, 9, 10, 11, 12, 14, 21, 22, 25]"
RSC000963,13,6,"[6, 8, 13, 14, 15, 16, 17, 18, 19, 22, 23, 24, 25]"
RSC000964,1,6,[6]
RSC000966,7,6,"[6, 7, 8, 9, 12, 13, 14]"
RSC000967,18,6,"[6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24, 25]"
RSC000968,1,22,[22]
RSC000969,2,6,"[6, 7]"
RSC000970,9,4,"[4, 5, 6, 7, 8, 9, 10, 11, 15]"
RSC000971,4,5,"[5, 6, 7, 8]"
RSC000972,6,5,"[5, 6, 8, 9, 10, 11]"
RSC000973,1,6,[6]
RSC000974,2,5,"[5, 6]"
RSC000975,1,6,[6]
RSC000976,5,6,"[6, 8, 9, 10, 11]"
RSC000977,4,6,"[6, 7, 8, 9]"
RSC000978,13,5,"[5, 6, 7, 9, 10, 11, 13, 14, 15, 16, 17, 18, 25]"
RSC000979,7,6,"[6, 8, 9, 12, 14, 15, 16]"
RSC000980,3,6,"[6, 7, 8]"
RSC000981,15,6,"[6, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 24, 25]"
RSC000982,1,5,[5]
RSC000983,2,5,"[5, 6]"
RSC000984,3,6,"[6, 7, 8]"
RSC000985,1,6,[6]
RSC000986,2,10,"[10, 11]"
RSC000987,3,6,"[6, 7, 8]"
RSC000988,1,6,[6]
RSC000989,17,6,"[6, 8, 9, 10, 11, 12, 13, 14, 16, 18, 19, 20, 21, 22, 23, 24, 25]"
RSC000991,4,6,"[6, 7, 8, 9]"
RSC000992,4,6,"[6, 8, 9, 10]"
RSC000993,5,5,"[5, 6, 7, 9, 19]"
RSC000994,3,6,"[6, 7, 8]"
RSC000995,8,5,"[5, 6, 7, 11, 12, 18, 20, 25]"
RSC000996,15,6,"[6, 7, 8, 9, 10, 13, 15, 16, 17, 18, 19, 20, 21, 24, 25]"
RSC000997,1,6,[6]
RSC000999,7,5,"[5, 6, 7, 8, 9, 10, 12]"
RSC001001,1,6,[6]
RSC001002,13,6,"[6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 20, 21]"
RSC001004,7,6,"[6, 7, 8, 9, 10, 11, 12]"
RSC001005,1,6,[6]
RSC001007,13,6,"[6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 21, 22]"
RSC001008,1,6,[6]
RSC001009,5,6,"[6, 8, 9, 11, 12]"
RSC001010,4,6,"[6, 8, 9, 10]"
RSC001011,1,6,[6]
RSC001012,3,6,"[6, 7, 8]"
RSC001013,1,6,[6]
RSC001014,1,6,[6]
RSC001015,8,6,"[6, 8, 9, 10, 11, 12, 13, 22]"
RSC001016,1,6,[6]
RSC001017,2,6,"[6, 7]"
RSC001018,5,6,"[6, 7, 9, 11, 12]"
RSC001019,13,8,"[8, 9, 10, 12, 13, 14, 15, 16, 17, 19, 20, 22, 25]"
RSC001021,7,6,"[6, 7, 8, 9, 10, 11, 12]"
RSC001025,5,6,"[6, 7, 8, 9, 10]"
RSC001026,4,6,"[6, 15, 16, 17]"
RSC001027,1,6,[6]
RSC001028,2,6,"[6, 7]"
RSC001029,2,6,"[6, 7]"
RSC001031,15,6,"[6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]"
RSC001032,13,6,"[6, 8, 9, 10, 13, 14, 15, 16, 17, 18, 20, 21, 22]"
RSC001033,1,6,[6]
RSC001034,8,6,"[6, 8, 9, 10, 11, 12, 13, 18]"
RSC001035,13,8,"[8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]"
RSC001036,1,6,[6]
RSC001038,3,6,"[6, 7, 10]"
RSC001039,1,6,[6]
RSC001040,6,6,"[6, 7, 8, 9, 10, 11]"
RSC001041,1,6,[6]
RSC001042,2,6,"[6, 7]"
RSC001045,2,6,"[6, 15]"
RSC001046,2,6,"[6, 7]"
RSC001047,1,6,[6]
RSC001048,3,6,"[6, 7, 8]"
RSC001049,1,6,[6]
RSC001050,1,6,[6]
RSC001052,5,7,"[7, 8, 9, 10, 11]"
RSC001054,3,6,"[6, 9, 10]"
RSC001055,18,6,"[6, 7, 8, 9, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]"
RSC001056,5,6,"[6, 18, 19, 21, 22]"
RSC001057,1,6,[6]
RSC001058,5,6,"[6, 7, 8, 9, 10]"
RSC001059,8,6,"[6, 7, 8, 9, 12, 13, 14, 15]"
RSC001061,10,6,"[6, 8, 9, 10, 11, 12, 13, 16, 17, 18]"
RSC001062,2,6,"[6, 7]"
RSC001064,1,6,[6]
RSC001065,9,6,"[6, 7, 8, 9, 10, 11, 12, 13, 14]"
RSC001066,6,6,"[6, 16, 17, 22, 23, 24]"
